open,high,low,close,volume,datetime
90.15,90.15,90.15,90.15,400,2024-04-08 08:13:00-04:00
90.15,90.15,90.15,90.15,100,2024-04-08 08:14:00-04:00
90.15,90.16,90.15,90.15,2100,2024-04-08 08:19:00-04:00
90.15,90.17,90.11,90.17,7256,2024-04-08 08:24:00-04:00
90.71,90.71,90.71,90.71,100,2024-04-08 08:57:00-04:00
90.93,90.93,90.93,90.93,200,2024-04-08 09:01:00-04:00
90.95,90.95,90.95,90.95,252,2024-04-08 09:08:00-04:00
90.85,90.85,90.85,90.85,100,2024-04-08 09:16:00-04:00
90.91,90.91,90.91,90.91,100,2024-04-08 09:18:00-04:00
91.49,91.49,91.49,91.49,100,2024-04-08 09:21:00-04:00
91.32,92.04,91.32,91.75,28002,2024-04-08 09:30:00-04:00
91.7848,91.87,91.14,91.14,7080,2024-04-08 09:31:00-04:00
91.125,91.225,90.92,91.14,11014,2024-04-08 09:32:00-04:00
90.94,90.94,90.92,90.92,200,2024-04-08 09:33:00-04:00
90.795,90.8,90.47,90.51,5408,2024-04-08 09:34:00-04:00
90.45,90.45,90.15,90.4,6019,2024-04-08 09:35:00-04:00
90.42,90.665,90.41,90.64,1710,2024-04-08 09:36:00-04:00
90.62,90.69,90.38,90.42,2149,2024-04-08 09:37:00-04:00
90.24,90.5,90.24,90.39,500,2024-04-08 09:38:00-04:00
90.3,90.5,90.25,90.48,24160,2024-04-08 09:39:00-04:00
90.41,90.49,89.98,89.98,28653,2024-04-08 09:40:00-04:00
90.06,90.25,90.06,90.1926,1424,2024-04-08 09:41:00-04:00
90.3,90.4,90.295,90.3,727,2024-04-08 09:42:00-04:00
90.5,90.635,90.43,90.5,3200,2024-04-08 09:43:00-04:00
90.47,90.62,90.45,90.61,4244,2024-04-08 09:44:00-04:00
90.53,90.63,90.5,90.63,7740,2024-04-08 09:45:00-04:00
90.68,90.815,90.68,90.81,2461,2024-04-08 09:46:00-04:00
90.78,90.85,90.67,90.67,10275,2024-04-08 09:47:00-04:00
90.72,90.77,90.66,90.73,2615,2024-04-08 09:48:00-04:00
90.735,90.735,90.58,90.58,1161,2024-04-08 09:49:00-04:00
90.53,90.53,90.15,90.2795,4667,2024-04-08 09:50:00-04:00
90.25,90.305,90.2,90.305,3192,2024-04-08 09:51:00-04:00
90.31,90.35,90.26,90.34,1027,2024-04-08 09:52:00-04:00
90.34,90.39,90.34,90.36,500,2024-04-08 09:53:00-04:00
90.43,90.51,90.4,90.4,750,2024-04-08 09:54:00-04:00
90.5,90.51,90.305,90.305,1301,2024-04-08 09:55:00-04:00
90.22,90.27,90.155,90.27,400,2024-04-08 09:56:00-04:00
90.25,90.33,90.25,90.29,7100,2024-04-08 09:57:00-04:00
90.3,90.33,90.26,90.32,1620,2024-04-08 09:58:00-04:00
90.41,90.5,90.365,90.5,900,2024-04-08 09:59:00-04:00
90.495,90.495,90.24,90.44,18469,2024-04-08 10:00:00-04:00
90.43,90.49,90.33,90.415,4306,2024-04-08 10:01:00-04:00
90.42,90.42,90.3,90.32,1914,2024-04-08 10:02:00-04:00
90.345,90.345,90.1,90.16,21691,2024-04-08 10:03:00-04:00
90.2,90.23,90.2,90.23,399,2024-04-08 10:04:00-04:00
90.165,90.22,90.0416,90.0416,2800,2024-04-08 10:05:00-04:00
90.07,90.17,90.03,90.1,2898,2024-04-08 10:06:00-04:00
90.12,90.12,90.12,90.12,300,2024-04-08 10:07:00-04:00
90.14,90.31,90.14,90.2557,4260,2024-04-08 10:08:00-04:00
90.29,90.3,90.245,90.3,999,2024-04-08 10:09:00-04:00
90.195,90.275,90.195,90.275,425,2024-04-08 10:10:00-04:00
90.2,90.2,90.075,90.075,2219,2024-04-08 10:11:00-04:00
90.1,90.12,90.02,90.035,3366,2024-04-08 10:12:00-04:00
90.0,90.14,89.9875,90.14,2300,2024-04-08 10:13:00-04:00
90.16,90.195,90.15,90.16,1200,2024-04-08 10:14:00-04:00
90.1675,90.325,90.1675,90.325,1900,2024-04-08 10:15:00-04:00
90.325,90.325,90.22,90.31,2600,2024-04-08 10:16:00-04:00
90.32,90.385,90.32,90.33,473,2024-04-08 10:17:00-04:00
90.39,90.42,90.21,90.21,3300,2024-04-08 10:18:00-04:00
90.15,90.28,90.15,90.28,500,2024-04-08 10:19:00-04:00
90.2,90.2,90.16,90.2,1800,2024-04-08 10:20:00-04:00
90.12,90.23,90.12,90.23,1000,2024-04-08 10:21:00-04:00
90.255,90.35,90.255,90.34,697,2024-04-08 10:22:00-04:00
90.4,90.42,90.4,90.42,200,2024-04-08 10:23:00-04:00
90.42,90.42,90.42,90.42,110,2024-04-08 10:24:00-04:00
90.4799,90.4799,90.34,90.39,4063,2024-04-08 10:25:00-04:00
90.31,90.385,90.31,90.385,500,2024-04-08 10:26:00-04:00
90.38,90.38,90.2,90.2,4729,2024-04-08 10:27:00-04:00
90.19,90.27,90.16,90.24,7609,2024-04-08 10:28:00-04:00
90.25,90.25,90.08,90.16,3763,2024-04-08 10:29:00-04:00
90.16,90.22,90.16,90.22,915,2024-04-08 10:30:00-04:00
90.2,90.225,90.14,90.14,4053,2024-04-08 10:31:00-04:00
90.14,90.15,90.14,90.15,700,2024-04-08 10:32:00-04:00
90.19,90.22,90.15,90.15,6067,2024-04-08 10:33:00-04:00
90.12,90.12,90.11,90.12,900,2024-04-08 10:34:00-04:00
90.14,90.2,90.12,90.12,4479,2024-04-08 10:35:00-04:00
90.17,90.21,90.07,90.07,2215,2024-04-08 10:36:00-04:00
90.07,90.145,90.07,90.145,700,2024-04-08 10:37:00-04:00
90.14,90.14,90.01,90.05,1898,2024-04-08 10:38:00-04:00
90.045,90.08,90.0,90.07,1400,2024-04-08 10:39:00-04:00
90.09,90.13,90.045,90.08,9786,2024-04-08 10:40:00-04:00
90.05,90.08,89.98,90.015,5039,2024-04-08 10:41:00-04:00
90.015,90.015,90.015,90.015,100,2024-04-08 10:42:00-04:00
90.015,90.24,90.015,90.11,50238,2024-04-08 10:43:00-04:00
90.07,90.205,90.07,90.12,6821,2024-04-08 10:44:00-04:00
90.03,90.12,90.02,90.09,4995,2024-04-08 10:45:00-04:00
90.07,90.09,90.035,90.055,2593,2024-04-08 10:46:00-04:00
90.1,90.28,90.07,90.25,2578,2024-04-08 10:47:00-04:00
90.3,90.5,90.27,90.5,5856,2024-04-08 10:48:00-04:00
90.5,90.535,90.45,90.5,600,2024-04-08 10:49:00-04:00
90.55,90.67,90.5,90.67,2262,2024-04-08 10:50:00-04:00
90.715,90.86,90.715,90.77,4607,2024-04-08 10:51:00-04:00
90.8,90.89,90.8,90.89,959,2024-04-08 10:52:00-04:00
90.82,90.83,90.6,90.6,3500,2024-04-08 10:53:00-04:00
90.59,90.61,90.43,90.58,3278,2024-04-08 10:54:00-04:00
90.61,90.61,90.48,90.515,710,2024-04-08 10:55:00-04:00
90.64,90.64,90.575,90.6,321,2024-04-08 10:56:00-04:00
90.59,90.59,90.46,90.54,1800,2024-04-08 10:57:00-04:00
90.495,90.59,90.43,90.43,4123,2024-04-08 10:58:00-04:00
90.42,90.47,90.42,90.465,1219,2024-04-08 10:59:00-04:00
90.465,90.47,90.43,90.47,1900,2024-04-08 11:00:00-04:00
90.47,90.56,90.44,90.54,2420,2024-04-08 11:01:00-04:00
90.56,90.56,90.35,90.375,9571,2024-04-08 11:02:00-04:00
90.375,90.48,90.375,90.475,5400,2024-04-08 11:03:00-04:00
90.46,90.52,90.43,90.43,1775,2024-04-08 11:04:00-04:00
90.465,90.465,90.27,90.27,2770,2024-04-08 11:05:00-04:00
90.28,90.35,90.23,90.345,1800,2024-04-08 11:06:00-04:00
90.32,90.34,90.32,90.34,300,2024-04-08 11:07:00-04:00
90.37,90.405,90.33,90.365,1304,2024-04-08 11:08:00-04:00
90.39,90.465,90.39,90.44,1226,2024-04-08 11:09:00-04:00
90.48,90.53,90.46,90.47,3882,2024-04-08 11:10:00-04:00
90.525,90.53,90.52,90.53,300,2024-04-08 11:11:00-04:00
90.5,90.52,90.44,90.49,5776,2024-04-08 11:12:00-04:00
90.43,90.44,90.42,90.44,300,2024-04-08 11:13:00-04:00
90.44,90.44,90.3,90.36,89326,2024-04-08 11:14:00-04:00
90.43,90.45,90.32,90.32,3672,2024-04-08 11:15:00-04:00
90.35,90.425,90.35,90.405,4871,2024-04-08 11:16:00-04:00
90.39,90.39,90.18,90.3364,11679,2024-04-08 11:17:00-04:00
90.31,90.35,90.29,90.35,2000,2024-04-08 11:18:00-04:00
90.34,90.34,90.23,90.24,2475,2024-04-08 11:19:00-04:00
90.22,90.22,90.18,90.2,728,2024-04-08 11:20:00-04:00
90.19,90.235,90.19,90.19,650,2024-04-08 11:21:00-04:00
90.215,90.235,90.165,90.165,1600,2024-04-08 11:22:00-04:00
90.16,90.25,90.16,90.25,3722,2024-04-08 11:23:00-04:00
90.26,90.28,90.22,90.22,2005,2024-04-08 11:24:00-04:00
90.21,90.22,90.16,90.22,2035,2024-04-08 11:25:00-04:00
90.22,90.23,90.2,90.22,1000,2024-04-08 11:26:00-04:00
90.23,90.23,90.06,90.1,7351,2024-04-08 11:27:00-04:00
90.08,90.145,90.08,90.105,6097,2024-04-08 11:28:00-04:00
90.09,90.12,90.05,90.05,5132,2024-04-08 11:29:00-04:00
90.03,90.03,89.86,90.0,9718,2024-04-08 11:30:00-04:00
89.99,90.01,89.96,89.99,2028,2024-04-08 11:31:00-04:00
90.02,90.04,90.0,90.04,2000,2024-04-08 11:32:00-04:00
90.05,90.05,89.99,90.02,3100,2024-04-08 11:33:00-04:00
89.99,90.04,89.99,89.99,1128,2024-04-08 11:34:00-04:00
90.01,90.05,90.01,90.01,1094,2024-04-08 11:35:00-04:00
90.0,90.02,89.87,89.92,4320,2024-04-08 11:36:00-04:00
89.9,89.94,89.88,89.93,2043,2024-04-08 11:37:00-04:00
89.92,89.95,89.9,89.91,1578,2024-04-08 11:38:00-04:00
89.92,89.96,89.88,89.91,4353,2024-04-08 11:39:00-04:00
89.88,89.89,89.86,89.86,1200,2024-04-08 11:40:00-04:00
89.9,89.9,89.84,89.885,2525,2024-04-08 11:41:00-04:00
89.9,89.91,89.84,89.88,2226,2024-04-08 11:42:00-04:00
89.925,89.935,89.81,89.81,4590,2024-04-08 11:43:00-04:00
89.8,89.8,89.76,89.775,800,2024-04-08 11:44:00-04:00
89.8,89.82,89.72,89.82,3606,2024-04-08 11:45:00-04:00
89.84,89.84,89.78,89.78,1100,2024-04-08 11:46:00-04:00
89.79,89.9,89.79,89.83,2182,2024-04-08 11:47:00-04:00
89.86,89.925,89.86,89.925,2013,2024-04-08 11:48:00-04:00
89.9,89.94,89.87,89.88,5400,2024-04-08 11:49:00-04:00
89.88,89.89,89.84,89.86,1000,2024-04-08 11:50:00-04:00
89.905,89.94,89.89,89.94,1400,2024-04-08 11:51:00-04:00
89.94,90.0,89.94,89.96,1147,2024-04-08 11:52:00-04:00
89.94,89.99,89.89,89.89,2300,2024-04-08 11:53:00-04:00
89.86,89.98,89.86,89.95,2735,2024-04-08 11:54:00-04:00
89.92,89.94,89.81,89.81,18375,2024-04-08 11:55:00-04:00
89.81,89.9,89.81,89.87,2137,2024-04-08 11:56:00-04:00
89.885,89.9125,89.86,89.86,2366,2024-04-08 11:57:00-04:00
89.86,89.93,89.86,89.89,1100,2024-04-08 11:58:00-04:00
89.95,90.055,89.95,90.05,1197,2024-04-08 11:59:00-04:00
90.035,90.04,89.97,89.97,2161,2024-04-08 12:00:00-04:00
89.97,89.99,89.95,89.97,1403,2024-04-08 12:01:00-04:00
90.0,90.0,89.97,90.0,2194,2024-04-08 12:02:00-04:00
90.01,90.03,89.97,89.97,2200,2024-04-08 12:03:00-04:00
89.97,90.0,89.955,89.965,2393,2024-04-08 12:04:00-04:00
89.9828,90.025,89.965,90.005,1122,2024-04-08 12:05:00-04:00
89.99,89.99,89.92,89.96,2484,2024-04-08 12:06:00-04:00
89.955,89.98,89.95,89.96,900,2024-04-08 12:07:00-04:00
89.98,90.025,89.96,89.96,3885,2024-04-08 12:08:00-04:00
89.975,89.975,89.92,89.92,1200,2024-04-08 12:09:00-04:00
89.88,89.88,89.83,89.86,2189,2024-04-08 12:10:00-04:00
89.87,89.87,89.85,89.85,601,2024-04-08 12:11:00-04:00
89.89,89.89,89.84,89.84,1997,2024-04-08 12:12:00-04:00
89.83,89.83,89.65,89.65,1800,2024-04-08 12:13:00-04:00
89.69,89.7492,89.677,89.72,1853,2024-04-08 12:14:00-04:00
89.69,89.71,89.63,89.7,1967,2024-04-08 12:15:00-04:00
89.72,89.8,89.695,89.695,2300,2024-04-08 12:16:00-04:00
89.67,89.71,89.65,89.65,1504,2024-04-08 12:17:00-04:00
89.665,89.6928,89.64,89.6928,1307,2024-04-08 12:18:00-04:00
89.68,89.7,89.64,89.64,1400,2024-04-08 12:19:00-04:00
89.62,89.62,89.49,89.49,2127,2024-04-08 12:20:00-04:00
89.49,89.53,89.37,89.37,4526,2024-04-08 12:21:00-04:00
89.4,89.44,89.39,89.4,735,2024-04-08 12:22:00-04:00
89.415,89.44,89.33,89.34,4676,2024-04-08 12:23:00-04:00
89.3,89.47,89.28,89.4175,5747,2024-04-08 12:24:00-04:00
89.415,89.46,89.33,89.415,3753,2024-04-08 12:25:00-04:00
89.39,89.39,89.32,89.35,1100,2024-04-08 12:26:00-04:00
89.39,89.45,89.35,89.435,3435,2024-04-08 12:27:00-04:00
89.4,89.4,89.35,89.36,4360,2024-04-08 12:28:00-04:00
89.4,89.48,89.38,89.45,1750,2024-04-08 12:29:00-04:00
89.45,89.47,89.395,89.45,4808,2024-04-08 12:30:00-04:00
89.42,89.5,89.42,89.46,1997,2024-04-08 12:31:00-04:00
89.46,89.5247,89.43,89.43,4166,2024-04-08 12:32:00-04:00
89.42,89.45,89.41,89.42,1526,2024-04-08 12:33:00-04:00
89.48,89.54,89.47,89.53,2700,2024-04-08 12:34:00-04:00
89.53,89.55,89.47,89.53,2625,2024-04-08 12:35:00-04:00
89.48,89.57,89.47,89.55,7276,2024-04-08 12:36:00-04:00
89.59,89.6,89.46,89.46,2554,2024-04-08 12:37:00-04:00
89.44,89.54,89.37,89.54,13493,2024-04-08 12:38:00-04:00
89.54,89.54,89.5,89.5,3150,2024-04-08 12:39:00-04:00
89.42,89.44,89.35,89.41,4177,2024-04-08 12:40:00-04:00
89.455,89.57,89.41,89.51,6792,2024-04-08 12:41:00-04:00
89.495,89.505,89.475,89.505,1702,2024-04-08 12:42:00-04:00
89.505,89.505,89.43,89.495,3800,2024-04-08 12:43:00-04:00
89.54,89.55,89.495,89.52,2335,2024-04-08 12:44:00-04:00
89.52,89.55,89.5,89.5,5622,2024-04-08 12:45:00-04:00
89.52,89.52,89.4,89.475,8600,2024-04-08 12:46:00-04:00
89.49,89.49,89.38,89.38,4534,2024-04-08 12:47:00-04:00
89.36,89.41,89.335,89.41,2000,2024-04-08 12:48:00-04:00
89.41,89.44,89.385,89.415,2139,2024-04-08 12:49:00-04:00
89.43,89.44,89.28,89.28,4782,2024-04-08 12:50:00-04:00
89.3,89.4,89.285,89.39,2464,2024-04-08 12:51:00-04:00
89.37,89.37,89.34,89.3425,2044,2024-04-08 12:52:00-04:00
89.32,89.35,89.2527,89.2527,2794,2024-04-08 12:53:00-04:00
89.26,89.3,89.26,89.28,700,2024-04-08 12:54:00-04:00
89.27,89.33,89.27,89.27,1200,2024-04-08 12:55:00-04:00
89.28,89.305,89.16,89.19,4937,2024-04-08 12:56:00-04:00
