open,high,low,close,volume,datetime
117.97,118.12,117.97,118.12,556,2024-04-08 09:27:00-04:00
118.24,118.33,117.71,117.975,26289,2024-04-08 09:30:00-04:00
117.945,118.41,117.71,118.32,4088,2024-04-08 09:31:00-04:00
118.3525,119.04,118.345,118.905,5277,2024-04-08 09:32:00-04:00
118.98,119.405,118.9,119.405,4823,2024-04-08 09:33:00-04:00
119.47,119.47,119.29,119.29,1300,2024-04-08 09:34:00-04:00
119.35,119.48,118.62,118.775,6930,2024-04-08 09:35:00-04:00
118.715,118.715,118.15,118.24,5649,2024-04-08 09:36:00-04:00
118.19,118.36,118.11,118.34,1300,2024-04-08 09:37:00-04:00
118.375,118.62,118.315,118.62,1000,2024-04-08 09:38:00-04:00
118.675,118.735,118.62,118.62,400,2024-04-08 09:39:00-04:00
118.5301,118.5301,118.5301,118.5301,100,2024-04-08 09:40:00-04:00
118.105,118.495,118.105,118.495,700,2024-04-08 09:41:00-04:00
118.31,118.45,118.31,118.45,400,2024-04-08 09:42:00-04:00
118.3875,118.3875,118.38,118.38,400,2024-04-08 09:43:00-04:00
118.32,118.32,118.22,118.22,200,2024-04-08 09:44:00-04:00
118.33,118.46,118.16,118.2,2191,2024-04-08 09:46:00-04:00
118.27,118.27,117.96,117.96,1300,2024-04-08 09:47:00-04:00
117.85,118.06,117.85,118.01,500,2024-04-08 09:48:00-04:00
118.01,118.01,117.81,117.81,400,2024-04-08 09:49:00-04:00
117.895,117.91,117.7,117.7,975,2024-04-08 09:50:00-04:00
117.7,117.7,117.64,117.64,400,2024-04-08 09:51:00-04:00
117.94,117.94,117.84,117.84,300,2024-04-08 09:52:00-04:00
117.9,117.9,117.8775,117.8775,304,2024-04-08 09:53:00-04:00
117.96,117.96,117.96,117.96,100,2024-04-08 09:54:00-04:00
117.92,117.958,117.92,117.958,200,2024-04-08 09:55:00-04:00
117.89,117.89,117.89,117.89,200,2024-04-08 09:56:00-04:00
117.84,117.89,117.84,117.89,200,2024-04-08 09:57:00-04:00
117.82,117.9,117.82,117.84,900,2024-04-08 09:58:00-04:00
117.84,117.965,117.84,117.935,2343,2024-04-08 09:59:00-04:00
117.915,117.915,117.67,117.705,2564,2024-04-08 10:00:00-04:00
117.7,117.73,117.7,117.73,600,2024-04-08 10:01:00-04:00
117.755,117.755,117.755,117.755,200,2024-04-08 10:02:00-04:00
117.75,117.8,117.65,117.68,1000,2024-04-08 10:03:00-04:00
117.715,117.715,117.715,117.715,267,2024-04-08 10:04:00-04:00
117.81,117.91,117.81,117.91,400,2024-04-08 10:05:00-04:00
117.94,117.95,117.84,117.84,1647,2024-04-08 10:06:00-04:00
117.82,117.82,117.77,117.77,700,2024-04-08 10:07:00-04:00
117.91,117.93,117.91,117.93,208,2024-04-08 10:08:00-04:00
118.11,118.11,117.94,117.94,724,2024-04-08 10:09:00-04:00
117.96,117.99,117.955,117.955,2505,2024-04-08 10:10:00-04:00
117.9016,117.96,117.75,117.75,2744,2024-04-08 10:11:00-04:00
117.71,117.89,117.71,117.89,1300,2024-04-08 10:12:00-04:00
117.81,117.81,117.7,117.755,1500,2024-04-08 10:13:00-04:00
117.765,117.83,117.75,117.79,4079,2024-04-08 10:14:00-04:00
117.79,117.9,117.79,117.885,1367,2024-04-08 10:15:00-04:00
117.865,117.865,117.865,117.865,1458,2024-04-08 10:16:00-04:00
117.8,117.89,117.8,117.825,1893,2024-04-08 10:17:00-04:00
117.92,118.0187,117.92,117.97,911,2024-04-08 10:18:00-04:00
117.975,118.03,117.975,118.03,675,2024-04-08 10:19:00-04:00
118.07,118.13,118.05,118.075,1376,2024-04-08 10:20:00-04:00
118.095,118.095,118.07,118.07,300,2024-04-08 10:21:00-04:00
