open,high,low,close,volume,datetime
457.3,457.3,457.3,457.3,114,2024-04-08 07:05:00-04:00
456.95,456.95,456.95,456.95,130,2024-04-08 07:49:00-04:00
456.95,456.95,456.95,456.95,153,2024-04-08 08:03:00-04:00
456.95,456.95,456.95,456.95,165,2024-04-08 08:23:00-04:00
456.95,456.95,456.95,456.95,1106,2024-04-08 08:40:00-04:00
456.05,456.05,456.0,456.0,258,2024-04-08 08:54:00-04:00
455.77,455.77,455.77,455.77,100,2024-04-08 08:55:00-04:00
456.65,456.65,456.33,456.33,392,2024-04-08 09:11:00-04:00
456.23,456.24,456.23,456.24,369,2024-04-08 09:13:00-04:00
456.0,456.0,456.0,456.0,393,2024-04-08 09:24:00-04:00
455.01,455.01,455.01,455.01,168,2024-04-08 09:25:00-04:00
454.0,454.0,453.5,453.5,250,2024-04-08 09:27:00-04:00
455.97,456.0,455.03,455.03,63681,2024-04-08 09:30:00-04:00
455.05,455.3,454.325,455.24,19339,2024-04-08 09:31:00-04:00
455.66,456.35,455.25,455.465,7929,2024-04-08 09:32:00-04:00
455.74,455.74,454.7789,455.055,10247,2024-04-08 09:33:00-04:00
455.31,455.87,455.28,455.525,10134,2024-04-08 09:34:00-04:00
455.525,455.525,454.93,454.93,8655,2024-04-08 09:35:00-04:00
454.97,455.06,454.44,454.77,10363,2024-04-08 09:36:00-04:00
454.565,455.04,454.34,455.04,5553,2024-04-08 09:37:00-04:00
454.81,454.88,453.59,454.45,26309,2024-04-08 09:38:00-04:00
454.45,455.11,454.3,454.84,26841,2024-04-08 09:39:00-04:00
454.925,455.23,454.595,454.705,10100,2024-04-08 09:40:00-04:00
454.6,454.7,454.43,454.65,5303,2024-04-08 09:41:00-04:00
454.59,454.77,454.42,454.666,10946,2024-04-08 09:42:00-04:00
454.51,455.0,454.42,454.88,14000,2024-04-08 09:43:00-04:00
454.7,455.51,454.55,455.51,10093,2024-04-08 09:44:00-04:00
455.405,456.27,455.29,456.18,19331,2024-04-08 09:45:00-04:00
456.14,456.33,455.93,456.198,17691,2024-04-08 09:46:00-04:00
456.23,456.23,455.76,455.835,37393,2024-04-08 09:47:00-04:00
455.89,456.2,455.7,455.975,14024,2024-04-08 09:48:00-04:00
456.01,456.0475,455.63,455.63,3454,2024-04-08 09:49:00-04:00
455.51,455.74,455.35,455.4819,14243,2024-04-08 09:50:00-04:00
455.67,455.89,455.06,455.06,5312,2024-04-08 09:51:00-04:00
