open,high,low,close,volume,datetime
270.52,271.43,270.52,270.98,6983,2024-04-08 09:30:00-04:00
270.91,270.91,270.91,270.91,200,2024-04-08 09:32:00-04:00
270.61,270.61,270.61,270.61,100,2024-04-08 09:34:00-04:00
270.635,270.635,270.635,270.635,100,2024-04-08 09:35:00-04:00
270.285,270.79,270.285,270.66,8100,2024-04-08 09:36:00-04:00
270.34,270.805,270.34,270.805,1500,2024-04-08 09:37:00-04:00
270.525,270.525,270.335,270.335,300,2024-04-08 09:38:00-04:00
270.31,270.31,269.98,270.16,704,2024-04-08 09:39:00-04:00
269.87,269.87,269.38,269.39,1017,2024-04-08 09:40:00-04:00
269.415,269.415,269.415,269.415,100,2024-04-08 09:42:00-04:00
269.755,269.8775,269.675,269.675,500,2024-04-08 09:43:00-04:00
269.7,269.71,269.7,269.71,200,2024-04-08 09:46:00-04:00
269.805,269.805,269.71,269.71,600,2024-04-08 09:47:00-04:00
270.04,270.04,270.04,270.04,200,2024-04-08 09:48:00-04:00
269.81,269.81,269.54,269.54,800,2024-04-08 09:51:00-04:00
269.685,269.685,269.685,269.685,285,2024-04-08 09:52:00-04:00
269.69,269.95,269.69,269.95,1000,2024-04-08 09:54:00-04:00
270.35,270.35,270.35,270.35,100,2024-04-08 09:55:00-04:00
270.18,270.285,270.18,270.285,300,2024-04-08 09:57:00-04:00
270.3,270.3,270.295,270.295,2492,2024-04-08 09:59:00-04:00
270.08,270.09,269.84,269.995,3189,2024-04-08 10:00:00-04:00
269.95,269.95,269.95,269.95,140,2024-04-08 10:01:00-04:00
269.57,269.64,269.55,269.64,300,2024-04-08 10:04:00-04:00
269.665,269.665,269.66,269.66,500,2024-04-08 10:05:00-04:00
269.79,269.81,269.79,269.81,712,2024-04-08 10:06:00-04:00
269.99,270.055,269.99,270.055,500,2024-04-08 10:07:00-04:00
270.17,270.17,270.17,270.17,100,2024-04-08 10:08:00-04:00
270.555,270.555,270.3202,270.425,400,2024-04-08 10:09:00-04:00
270.425,270.425,270.425,270.425,203,2024-04-08 10:10:00-04:00
270.425,270.54,270.27,270.27,1777,2024-04-08 10:11:00-04:00
270.435,270.435,270.435,270.435,1000,2024-04-08 10:12:00-04:00
270.39,270.39,270.39,270.39,300,2024-04-08 10:14:00-04:00
270.49,270.58,270.49,270.58,241,2024-04-08 10:15:00-04:00
270.56,270.56,270.51,270.51,700,2024-04-08 10:16:00-04:00
270.385,270.385,270.29,270.29,1102,2024-04-08 10:18:00-04:00
270.29,270.41,270.26,270.41,1103,2024-04-08 10:19:00-04:00
270.595,270.7,270.595,270.6,1400,2024-04-08 10:24:00-04:00
270.74,270.855,270.7,270.84,1500,2024-04-08 10:25:00-04:00
270.88,270.88,270.88,270.88,100,2024-04-08 10:29:00-04:00
270.88,270.99,270.88,270.905,700,2024-04-08 10:30:00-04:00
270.87,270.87,270.86,270.86,200,2024-04-08 10:31:00-04:00
270.905,270.905,270.905,270.905,100,2024-04-08 10:32:00-04:00
270.85,270.85,270.81,270.81,400,2024-04-08 10:33:00-04:00
270.907,270.907,270.907,270.907,145,2024-04-08 10:35:00-04:00
270.78,270.82,270.77,270.81,520,2024-04-08 10:37:00-04:00
270.88,270.88,270.75,270.75,715,2024-04-08 10:38:00-04:00
270.745,270.745,270.745,270.745,200,2024-04-08 10:39:00-04:00
270.64,270.64,270.64,270.64,400,2024-04-08 10:40:00-04:00
270.54,270.54,270.45,270.46,1435,2024-04-08 10:42:00-04:00
270.44,270.44,270.39,270.41,900,2024-04-08 10:43:00-04:00
270.45,270.45,270.45,270.45,500,2024-04-08 10:44:00-04:00
270.55,270.65,270.525,270.65,801,2024-04-08 10:45:00-04:00
270.68,270.68,270.68,270.68,100,2024-04-08 10:47:00-04:00
270.78,270.78,270.78,270.78,101,2024-04-08 10:48:00-04:00
270.99,271.0,270.99,271.0,200,2024-04-08 10:49:00-04:00
270.9875,270.9875,270.9875,270.9875,100,2024-04-08 10:50:00-04:00
270.985,270.985,270.985,270.985,430,2024-04-08 10:51:00-04:00
270.985,270.985,270.985,270.985,234,2024-04-08 10:52:00-04:00
271.06,271.06,271.01,271.01,210,2024-04-08 10:54:00-04:00
271.07,271.245,271.03,271.08,3840,2024-04-08 10:55:00-04:00
271.17,271.17,271.08,271.1,1000,2024-04-08 10:56:00-04:00
271.17,271.17,271.17,271.17,100,2024-04-08 10:57:00-04:00
271.12,271.12,270.99,271.01,1206,2024-04-08 10:58:00-04:00
271.055,271.055,271.055,271.055,132,2024-04-08 11:00:00-04:00
270.99,271.02,270.81,270.81,1200,2024-04-08 11:02:00-04:00
270.825,270.8275,270.825,270.8275,245,2024-04-08 11:03:00-04:00
270.89,270.91,270.825,270.88,1292,2024-04-08 11:04:00-04:00
270.87,270.87,270.87,270.87,500,2024-04-08 11:06:00-04:00
270.845,270.845,270.845,270.845,200,2024-04-08 11:07:00-04:00
270.78,270.835,270.68,270.68,1416,2024-04-08 11:08:00-04:00
270.775,270.78,270.77,270.78,800,2024-04-08 11:09:00-04:00
270.773,270.773,270.773,270.773,169,2024-04-08 11:12:00-04:00
270.64,270.83,270.64,270.83,735,2024-04-08 11:13:00-04:00
270.97,270.97,270.97,270.97,114,2024-04-08 11:14:00-04:00
271.0,271.0,270.995,270.995,400,2024-04-08 11:16:00-04:00
271.1,271.12,271.1,271.12,300,2024-04-08 11:17:00-04:00
271.23,271.3,271.22,271.3,577,2024-04-08 11:18:00-04:00
271.21,271.22,271.21,271.22,200,2024-04-08 11:21:00-04:00
271.29,271.4,271.29,271.4,400,2024-04-08 11:22:00-04:00
271.44,271.53,271.44,271.53,900,2024-04-08 11:24:00-04:00
271.45,271.45,271.17,271.17,1000,2024-04-08 11:25:00-04:00
271.24,271.33,271.22,271.22,350,2024-04-08 11:26:00-04:00
271.1,271.14,271.01,271.01,989,2024-04-08 11:27:00-04:00
271.21,271.21,271.1,271.125,700,2024-04-08 11:29:00-04:00
271.01,271.03,270.92,271.01,800,2024-04-08 11:30:00-04:00
271.01,271.01,271.01,271.01,100,2024-04-08 11:33:00-04:00
271.015,271.015,271.015,271.015,100,2024-04-08 11:35:00-04:00
270.9,270.9,270.8,270.87,800,2024-04-08 11:36:00-04:00
270.93,270.97,270.82,270.925,914,2024-04-08 11:37:00-04:00
271.045,271.045,270.9,270.9,400,2024-04-08 11:38:00-04:00
270.975,270.98,270.975,270.98,281,2024-04-08 11:39:00-04:00
271.005,271.005,271.005,271.005,200,2024-04-08 11:40:00-04:00
271.005,271.005,271.005,271.005,100,2024-04-08 11:43:00-04:00
271.1,271.1,271.1,271.1,200,2024-04-08 11:44:00-04:00
271.1,271.1,271.0,271.0,1100,2024-04-08 11:45:00-04:00
270.935,270.935,270.84,270.84,700,2024-04-08 11:46:00-04:00
270.785,270.785,270.785,270.785,600,2024-04-08 11:47:00-04:00
270.79,270.795,270.79,270.795,300,2024-04-08 11:48:00-04:00
270.62,270.62,270.62,270.62,100,2024-04-08 11:50:00-04:00
270.36,270.36,270.36,270.36,200,2024-04-08 11:53:00-04:00
270.465,270.465,270.465,270.465,200,2024-04-08 11:54:00-04:00
270.36,270.36,270.36,270.36,484,2024-04-08 11:55:00-04:00
270.36,270.46,270.3428,270.3428,1100,2024-04-08 11:56:00-04:00
270.355,270.355,270.355,270.355,100,2024-04-08 11:57:00-04:00
270.49,270.51,270.465,270.51,1916,2024-04-08 11:58:00-04:00
270.61,270.61,270.61,270.61,100,2024-04-08 11:59:00-04:00
270.63,270.635,270.62,270.62,500,2024-04-08 12:03:00-04:00
270.55,270.56,270.5,270.52,1400,2024-04-08 12:08:00-04:00
270.45,270.45,270.45,270.45,100,2024-04-08 12:12:00-04:00
270.445,270.445,270.445,270.445,100,2024-04-08 12:14:00-04:00
270.56,270.63,270.56,270.63,1030,2024-04-08 12:15:00-04:00
270.8,270.8,270.8,270.8,200,2024-04-08 12:17:00-04:00
271.0,271.0,271.0,271.0,100,2024-04-08 12:19:00-04:00
270.85,270.925,270.85,270.925,221,2024-04-08 12:21:00-04:00
270.875,270.875,270.875,270.875,100,2024-04-08 12:22:00-04:00
270.79,270.79,270.6197,270.63,1753,2024-04-08 12:23:00-04:00
270.59,270.78,270.59,270.78,1100,2024-04-08 12:25:00-04:00
