open,high,low,close,volume,datetime
405.02,405.02,405.02,405.02,100,2024-04-08 09:25:00-04:00
402.79,402.79,400.25,400.25,200,2024-04-08 09:26:00-04:00
401.16,401.16,401.16,401.16,596,2024-04-08 09:27:00-04:00
403.45,403.45,399.0,399.4,34038,2024-04-08 09:30:00-04:00
400.295,400.305,400.295,400.305,200,2024-04-08 09:31:00-04:00
400.275,401.05,400.275,401.01,755,2024-04-08 09:32:00-04:00
400.75,400.915,400.47,400.915,1755,2024-04-08 09:33:00-04:00
402.0,402.0,402.0,402.0,100,2024-04-08 09:35:00-04:00
400.935,400.935,400.02,400.02,1500,2024-04-08 09:36:00-04:00
400.08,401.2598,400.08,400.695,900,2024-04-08 09:37:00-04:00
400.725,400.725,400.725,400.725,100,2024-04-08 09:38:00-04:00
400.74,400.74,400.18,400.5,300,2024-04-08 09:39:00-04:00
401.33,401.44,400.9601,400.9601,400,2024-04-08 09:40:00-04:00
401.49,401.49,401.49,401.49,1000,2024-04-08 09:41:00-04:00
400.375,400.62,400.375,400.62,600,2024-04-08 09:42:00-04:00
401.18,401.23,400.5,400.98,900,2024-04-08 09:43:00-04:00
400.53,400.53,400.5,400.53,600,2024-04-08 09:44:00-04:00
401.25,401.25,400.81,400.81,317,2024-04-08 09:45:00-04:00
400.81,400.81,400.81,400.81,100,2024-04-08 09:46:00-04:00
401.05,401.37,401.05,401.37,300,2024-04-08 09:47:00-04:00
402.09,402.68,402.09,402.68,968,2024-04-08 09:48:00-04:00
402.88,402.88,402.5928,402.855,636,2024-04-08 09:49:00-04:00
402.795,402.795,402.795,402.795,300,2024-04-08 09:50:00-04:00
403.08,403.27,403.03,403.135,1130,2024-04-08 09:51:00-04:00
403.145,403.145,403.145,403.145,107,2024-04-08 09:52:00-04:00
403.58,403.67,403.2714,403.2714,819,2024-04-08 09:53:00-04:00
403.505,403.595,403.505,403.595,3090,2024-04-08 09:54:00-04:00
403.58,403.74,403.54,403.74,2600,2024-04-08 09:55:00-04:00
