open,high,low,close,volume,datetime
19.15,19.15,19.15,19.15,894,2024-04-08 07:00:00-04:00
19.17,19.18,19.17,19.18,479,2024-04-08 07:09:00-04:00
19.18,19.18,19.18,19.18,967,2024-04-08 07:13:00-04:00
19.19,19.2,19.19,19.2,1405,2024-04-08 07:21:00-04:00
19.15,19.15,19.15,19.15,186,2024-04-08 07:42:00-04:00
19.2,19.2,19.2,19.2,2000,2024-04-08 08:17:00-04:00
19.19,19.19,19.19,19.19,372,2024-04-08 08:23:00-04:00
19.1999,19.1999,19.1999,19.1999,2054,2024-04-08 08:24:00-04:00
19.16,19.16,19.16,19.16,1000,2024-04-08 08:52:00-04:00
19.18,19.18,19.18,19.18,200,2024-04-08 08:55:00-04:00
19.192,19.192,19.192,19.192,100,2024-04-08 09:01:00-04:00
19.17,19.17,19.14,19.14,1923,2024-04-08 09:06:00-04:00
19.16,19.16,19.14,19.14,1100,2024-04-08 09:07:00-04:00
19.15,19.15,19.15,19.15,200,2024-04-08 09:14:00-04:00
19.16,19.16,19.16,19.16,100,2024-04-08 09:19:00-04:00
19.17,19.17,19.17,19.17,100,2024-04-08 09:21:00-04:00
19.15,19.15,19.15,19.15,100,2024-04-08 09:22:00-04:00
19.15,19.15,19.15,19.15,200,2024-04-08 09:25:00-04:00
19.16,19.2,19.16,19.2,663,2024-04-08 09:27:00-04:00
19.25,19.25,19.25,19.25,595,2024-04-08 09:29:00-04:00
19.2,19.25,19.175,19.19,215592,2024-04-08 09:30:00-04:00
19.18,19.28,19.1374,19.265,30689,2024-04-08 09:31:00-04:00
19.26,19.27,19.21,19.22,17552,2024-04-08 09:32:00-04:00
19.23,19.32,19.22,19.31,21578,2024-04-08 09:33:00-04:00
19.31,19.33,19.2898,19.315,36723,2024-04-08 09:34:00-04:00
19.3298,19.348,19.31,19.32,58668,2024-04-08 09:35:00-04:00
19.31,19.32,19.27,19.3099,61549,2024-04-08 09:36:00-04:00
19.3099,19.36,19.3025,19.35,141466,2024-04-08 09:37:00-04:00
19.355,19.45,19.355,19.4424,123624,2024-04-08 09:38:00-04:00
19.45,19.4583,19.39,19.4583,107971,2024-04-08 09:39:00-04:00
19.445,19.45,19.385,19.41,27656,2024-04-08 09:40:00-04:00
19.415,19.47,19.415,19.445,122194,2024-04-08 09:41:00-04:00
19.44,19.47,19.405,19.44,32157,2024-04-08 09:42:00-04:00
19.445,19.46,19.4,19.44,24570,2024-04-08 09:43:00-04:00
19.435,19.46,19.41,19.455,23567,2024-04-08 09:44:00-04:00
19.44,19.45,19.42,19.445,24362,2024-04-08 09:45:00-04:00
19.445,19.48,19.442,19.45,27189,2024-04-08 09:46:00-04:00
19.4599,19.46,19.41,19.41,23892,2024-04-08 09:47:00-04:00
19.405,19.415,19.38,19.415,18457,2024-04-08 09:48:00-04:00
19.42,19.43,19.39,19.41,41637,2024-04-08 09:49:00-04:00
19.41,19.42,19.32,19.33,26383,2024-04-08 09:50:00-04:00
19.325,19.35,19.31,19.33,42856,2024-04-08 09:51:00-04:00
19.335,19.34,19.305,19.305,10977,2024-04-08 09:52:00-04:00
19.3,19.33,19.29,19.33,31440,2024-04-08 09:53:00-04:00
19.33,19.35,19.32,19.3245,20607,2024-04-08 09:54:00-04:00
19.32,19.34,19.31,19.325,44325,2024-04-08 09:55:00-04:00
19.33,19.35,19.295,19.315,48057,2024-04-08 09:56:00-04:00
19.31,19.32,19.27,19.2701,26202,2024-04-08 09:57:00-04:00
19.27,19.29,19.2515,19.2882,27298,2024-04-08 09:58:00-04:00
19.281,19.29,19.26,19.27,10443,2024-04-08 09:59:00-04:00
19.27,19.29,19.255,19.27,52655,2024-04-08 10:00:00-04:00
19.265,19.28,19.25,19.26,16218,2024-04-08 10:01:00-04:00
19.26,19.28,19.25,19.2714,5120,2024-04-08 10:02:00-04:00
19.27,19.315,19.27,19.315,8170,2024-04-08 10:03:00-04:00
19.315,19.32,19.2852,19.2899,24287,2024-04-08 10:04:00-04:00
19.285,19.3,19.265,19.265,14007,2024-04-08 10:05:00-04:00
