open,high,low,close,volume,datetime
57.37,57.48,57.1,57.48,1149,2024-04-08 07:00:00-04:00
57.4,57.4,57.4,57.4,184,2024-04-08 07:10:00-04:00
57.4,57.4,57.4,57.4,221,2024-04-08 08:19:00-04:00
57.5,57.5,57.5,57.5,100,2024-04-08 08:24:00-04:00
57.45,57.45,57.45,57.45,100,2024-04-08 08:29:00-04:00
57.46,57.46,57.45,57.45,349,2024-04-08 08:32:00-04:00
57.46,57.46,57.37,57.37,1624,2024-04-08 09:27:00-04:00
57.34,57.34,57.28,57.28,2623,2024-04-08 09:29:00-04:00
57.375,57.48,57.34,57.34,2228,2024-04-08 09:30:00-04:00
57.32,57.44,57.32,57.44,7865,2024-04-08 09:31:00-04:00
57.42,57.48,57.42,57.46,2203,2024-04-08 09:32:00-04:00
57.45,57.55,57.38,57.47,254704,2024-04-08 09:33:00-04:00
57.47,57.59,57.45,57.555,44668,2024-04-08 09:34:00-04:00
57.56,57.6,57.52,57.59,45567,2024-04-08 09:35:00-04:00
57.58,57.6,57.53,57.5399,27887,2024-04-08 09:36:00-04:00
57.54,57.54,57.4708,57.5003,43060,2024-04-08 09:37:00-04:00
57.5,57.63,57.4926,57.63,44296,2024-04-08 09:38:00-04:00
57.635,57.655,57.585,57.62,31545,2024-04-08 09:39:00-04:00
57.615,57.62,57.555,57.59,21932,2024-04-08 09:40:00-04:00
57.585,57.69,57.565,57.69,45098,2024-04-08 09:41:00-04:00
57.68,57.725,57.635,57.66,12151,2024-04-08 09:42:00-04:00
57.65,57.71,57.65,57.7,22632,2024-04-08 09:43:00-04:00
57.7,57.71,57.66,57.6671,25408,2024-04-08 09:44:00-04:00
57.67,57.745,57.665,57.733,24284,2024-04-08 09:45:00-04:00
57.735,57.765,57.7,57.7,29086,2024-04-08 09:46:00-04:00
57.685,57.715,57.65,57.65,21915,2024-04-08 09:47:00-04:00
57.65,57.65,57.605,57.63,20127,2024-04-08 09:48:00-04:00
57.635,57.64,57.505,57.53,34283,2024-04-08 09:49:00-04:00
57.525,57.55,57.48,57.505,21202,2024-04-08 09:50:00-04:00
57.515,57.55,57.49,57.525,34039,2024-04-08 09:51:00-04:00
57.53,57.55,57.49,57.4962,18513,2024-04-08 09:52:00-04:00
57.49,57.52,57.47,57.49,32468,2024-04-08 09:53:00-04:00
57.495,57.495,57.41,57.435,36520,2024-04-08 09:54:00-04:00
57.44,57.48,57.43,57.475,25056,2024-04-08 09:55:00-04:00
57.475,57.49,57.43,57.45,33706,2024-04-08 09:56:00-04:00
57.44,57.46,57.41,57.45,18227,2024-04-08 09:57:00-04:00
57.46,57.47,57.42,57.465,23662,2024-04-08 09:58:00-04:00
57.47,57.47,57.425,57.425,26936,2024-04-08 09:59:00-04:00
57.425,57.425,57.33,57.335,32521,2024-04-08 10:00:00-04:00
57.335,57.37,57.31,57.37,26435,2024-04-08 10:01:00-04:00
57.365,57.365,57.32,57.355,30002,2024-04-08 10:02:00-04:00
57.355,57.38,57.32,57.365,29659,2024-04-08 10:03:00-04:00
57.38,57.38,57.315,57.315,19211,2024-04-08 10:04:00-04:00
57.315,57.37,57.31,57.335,15828,2024-04-08 10:05:00-04:00
57.335,57.37,57.335,57.35,17117,2024-04-08 10:06:00-04:00
57.35,57.38,57.35,57.36,121827,2024-04-08 10:07:00-04:00
57.36,57.425,57.33,57.42,41607,2024-04-08 10:08:00-04:00
57.4101,57.43,57.38,57.38,19273,2024-04-08 10:09:00-04:00
57.39,57.45,57.385,57.44,24342,2024-04-08 10:10:00-04:00
57.4475,57.47,57.43,57.455,23848,2024-04-08 10:11:00-04:00
57.455,57.48,57.44,57.46,35573,2024-04-08 10:12:00-04:00
57.465,57.49,57.445,57.465,23300,2024-04-08 10:13:00-04:00
57.46,57.49,57.46,57.49,9125,2024-04-08 10:14:00-04:00
57.485,57.49,57.41,57.411,23507,2024-04-08 10:15:00-04:00
57.415,57.425,57.39,57.395,34924,2024-04-08 10:16:00-04:00
57.395,57.42,57.39,57.405,19094,2024-04-08 10:17:00-04:00
57.41,57.45,57.4,57.41,26091,2024-04-08 10:18:00-04:00
57.42,57.44,57.4144,57.435,12162,2024-04-08 10:19:00-04:00
57.435,57.52,57.435,57.52,21766,2024-04-08 10:20:00-04:00
57.5132,57.585,57.501,57.575,34679,2024-04-08 10:21:00-04:00
57.58,57.635,57.58,57.63,21566,2024-04-08 10:22:00-04:00
57.62,57.63,57.61,57.62,13530,2024-04-08 10:23:00-04:00
57.62,57.63,57.555,57.56,31218,2024-04-08 10:24:00-04:00
57.56,57.63,57.56,57.58,33144,2024-04-08 10:25:00-04:00
57.58,57.61,57.55,57.605,21211,2024-04-08 10:26:00-04:00
57.61,57.61,57.58,57.59,16568,2024-04-08 10:27:00-04:00
57.585,57.585,57.565,57.575,25880,2024-04-08 10:28:00-04:00
57.58,57.645,57.58,57.625,19292,2024-04-08 10:29:00-04:00
57.62,57.62,57.57,57.585,25096,2024-04-08 10:30:00-04:00
57.585,57.595,57.565,57.58,15944,2024-04-08 10:31:00-04:00
57.585,57.625,57.575,57.625,28890,2024-04-08 10:32:00-04:00
57.625,57.645,57.6,57.62,27927,2024-04-08 10:33:00-04:00
57.62,57.665,57.62,57.665,14022,2024-04-08 10:34:00-04:00
57.67,57.67,57.625,57.645,44366,2024-04-08 10:35:00-04:00
57.655,57.67,57.621,57.625,42603,2024-04-08 10:36:00-04:00
57.625,57.645,57.61,57.63,21158,2024-04-08 10:37:00-04:00
57.635,57.665,57.62,57.665,16388,2024-04-08 10:38:00-04:00
57.67,57.7,57.665,57.7,8720,2024-04-08 10:39:00-04:00
