open,high,low,close,volume,datetime
59.93,59.93,59.93,59.93,100,2024-04-08 07:09:00-04:00
59.85,59.85,59.85,59.85,975,2024-04-08 07:15:00-04:00
59.85,59.85,59.85,59.85,143,2024-04-08 07:34:00-04:00
59.85,59.85,59.85,59.85,100,2024-04-08 07:47:00-04:00
59.86,59.86,59.86,59.86,300,2024-04-08 07:50:00-04:00
59.8,59.8,59.8,59.8,139,2024-04-08 08:00:00-04:00
59.85,59.86,59.85,59.86,500,2024-04-08 08:08:00-04:00
59.94,59.94,59.94,59.94,100,2024-04-08 08:30:00-04:00
59.94,59.94,59.94,59.94,400,2024-04-08 08:34:00-04:00
59.82,59.82,59.7,59.81,887,2024-04-08 08:35:00-04:00
59.66,59.73,59.65,59.73,2142,2024-04-08 08:43:00-04:00
59.74,59.74,59.74,59.74,100,2024-04-08 08:48:00-04:00
59.74,59.74,59.74,59.74,100,2024-04-08 08:51:00-04:00
59.74,59.74,59.74,59.74,200,2024-04-08 09:00:00-04:00
59.6505,59.6505,59.6505,59.6505,1656,2024-04-08 09:04:00-04:00
59.7104,59.79,59.7104,59.79,2100,2024-04-08 09:05:00-04:00
59.8,59.8,59.8,59.8,200,2024-04-08 09:10:00-04:00
59.6528,59.6528,59.6528,59.6528,1000,2024-04-08 09:12:00-04:00
59.8,59.8,59.8,59.8,100,2024-04-08 09:17:00-04:00
59.74,59.74,59.74,59.74,200,2024-04-08 09:24:00-04:00
59.79,59.79,59.79,59.79,128,2024-04-08 09:28:00-04:00
59.66,59.68,59.59,59.59,2571,2024-04-08 09:29:00-04:00
59.6,59.64,59.42,59.57,445261,2024-04-08 09:30:00-04:00
59.565,59.75,59.565,59.75,29474,2024-04-08 09:31:00-04:00
59.75,59.77,59.69,59.72,19447,2024-04-08 09:32:00-04:00
59.72,59.725,59.68,59.72,17014,2024-04-08 09:33:00-04:00
59.71,59.745,59.7,59.74,15400,2024-04-08 09:34:00-04:00
59.74,59.8,59.74,59.7842,30854,2024-04-08 09:35:00-04:00
59.78,59.8,59.75,59.75,22286,2024-04-08 09:36:00-04:00
59.77,59.85,59.74,59.81,37945,2024-04-08 09:37:00-04:00
59.8,59.8,59.71,59.72,16455,2024-04-08 09:38:00-04:00
59.715,59.78,59.715,59.78,15510,2024-04-08 09:39:00-04:00
59.78,59.78,59.71,59.715,21555,2024-04-08 09:40:00-04:00
59.72,59.73,59.69,59.7,16439,2024-04-08 09:41:00-04:00
59.705,59.74,59.67,59.71,29382,2024-04-08 09:42:00-04:00
59.72,59.745,59.71,59.745,19496,2024-04-08 09:43:00-04:00
59.75,59.75,59.71,59.71,18138,2024-04-08 09:44:00-04:00
59.7179,59.825,59.715,59.82,29170,2024-04-08 09:45:00-04:00
59.81,59.88,59.8,59.88,23977,2024-04-08 09:46:00-04:00
59.87,59.89,59.8303,59.8599,36459,2024-04-08 09:47:00-04:00
59.86,59.87,59.84,59.86,16882,2024-04-08 09:48:00-04:00
59.86,59.89,59.85,59.86,26678,2024-04-08 09:49:00-04:00
59.8675,59.8697,59.83,59.83,7105,2024-04-08 09:50:00-04:00
59.83,59.85,59.8125,59.82,15195,2024-04-08 09:51:00-04:00
59.83,59.88,59.83,59.85,14567,2024-04-08 09:52:00-04:00
59.855,59.86,59.83,59.855,9859,2024-04-08 09:53:00-04:00
59.86,59.88,59.85,59.855,17365,2024-04-08 09:54:00-04:00
59.855,59.86,59.84,59.85,8302,2024-04-08 09:55:00-04:00
59.845,59.87,59.84,59.86,10339,2024-04-08 09:56:00-04:00
59.865,59.865,59.84,59.855,12319,2024-04-08 09:57:00-04:00
59.855,59.89,59.845,59.845,19733,2024-04-08 09:58:00-04:00
59.845,59.85,59.82,59.82,15052,2024-04-08 09:59:00-04:00
59.83,59.8375,59.81,59.835,13000,2024-04-08 10:00:00-04:00
59.83,59.83,59.79,59.805,14415,2024-04-08 10:01:00-04:00
59.81,59.81,59.79,59.8,6468,2024-04-08 10:02:00-04:00
59.7925,59.8,59.77,59.77,9314,2024-04-08 10:03:00-04:00
59.78,59.785,59.74,59.75,15274,2024-04-08 10:04:00-04:00
59.745,59.75,59.73,59.7325,11369,2024-04-08 10:05:00-04:00
59.74,59.81,59.74,59.81,14487,2024-04-08 10:06:00-04:00
59.81,59.81,59.77,59.78,13281,2024-04-08 10:07:00-04:00
59.77,59.78,59.76,59.765,3566,2024-04-08 10:08:00-04:00
59.76,59.795,59.76,59.775,14579,2024-04-08 10:09:00-04:00
59.77,59.77,59.7025,59.735,25684,2024-04-08 10:10:00-04:00
59.74,59.75,59.735,59.74,11161,2024-04-08 10:11:00-04:00
59.75,59.76,59.74,59.7525,12569,2024-04-08 10:12:00-04:00
59.75,59.795,59.75,59.78,11781,2024-04-08 10:13:00-04:00
59.795,59.81,59.79,59.81,4314,2024-04-08 10:14:00-04:00
59.805,59.81,59.8,59.8,14549,2024-04-08 10:15:00-04:00
59.8,59.83,59.79,59.82,13219,2024-04-08 10:16:00-04:00
59.815,59.83,59.815,59.8298,11539,2024-04-08 10:17:00-04:00
59.82,59.82,59.77,59.7703,12009,2024-04-08 10:18:00-04:00
59.765,59.765,59.74,59.745,15927,2024-04-08 10:19:00-04:00
59.745,59.7585,59.715,59.75,18479,2024-04-08 10:20:00-04:00
59.74,59.765,59.74,59.7599,6858,2024-04-08 10:21:00-04:00
59.755,59.7886,59.74,59.785,12410,2024-04-08 10:22:00-04:00
59.78,59.78,59.76,59.76,9988,2024-04-08 10:23:00-04:00
59.765,59.78,59.74,59.75,21304,2024-04-08 10:24:00-04:00
59.76,59.785,59.75,59.77,14277,2024-04-08 10:25:00-04:00
59.7725,59.785,59.76,59.775,11036,2024-04-08 10:26:00-04:00
59.78,59.79,59.755,59.76,16130,2024-04-08 10:27:00-04:00
59.76,59.765,59.75,59.755,3627,2024-04-08 10:28:00-04:00
59.76,59.76,59.73,59.73,10344,2024-04-08 10:29:00-04:00
59.73,59.74,59.72,59.725,18211,2024-04-08 10:30:00-04:00
59.7298,59.74,59.715,59.73,12510,2024-04-08 10:31:00-04:00
59.735,59.785,59.735,59.775,19043,2024-04-08 10:32:00-04:00
59.77,59.78,59.71,59.71,26037,2024-04-08 10:33:00-04:00
59.72,59.72,59.7,59.7025,12413,2024-04-08 10:34:00-04:00
59.71,59.7197,59.7,59.71,29459,2024-04-08 10:35:00-04:00
59.71,59.72,59.7,59.7025,14795,2024-04-08 10:36:00-04:00
59.705,59.72,59.7,59.72,15697,2024-04-08 10:37:00-04:00
59.715,59.72,59.6925,59.695,21017,2024-04-08 10:38:00-04:00
59.695,59.705,59.69,59.705,10442,2024-04-08 10:39:00-04:00
59.71,59.72,59.7,59.7,17311,2024-04-08 10:40:00-04:00
59.7097,59.7166,59.68,59.6951,20011,2024-04-08 10:41:00-04:00
59.6949,59.71,59.69,59.705,13168,2024-04-08 10:42:00-04:00
59.7,59.72,59.685,59.6925,31785,2024-04-08 10:43:00-04:00
59.7,59.71,59.69,59.7,11276,2024-04-08 10:44:00-04:00
59.705,59.73,59.7025,59.7101,20573,2024-04-08 10:45:00-04:00
59.715,59.72,59.7,59.7,15009,2024-04-08 10:46:00-04:00
59.705,59.71,59.69,59.695,19093,2024-04-08 10:47:00-04:00
59.695,59.7,59.665,59.665,54403,2024-04-08 10:48:00-04:00
59.665,59.6999,59.66,59.675,46725,2024-04-08 10:49:00-04:00
59.675,59.685,59.665,59.665,25250,2024-04-08 10:50:00-04:00
59.6699,59.67,59.63,59.635,44078,2024-04-08 10:51:00-04:00
59.6362,59.65,59.63,59.65,21734,2024-04-08 10:52:00-04:00
59.645,59.66,59.64,59.65,14493,2024-04-08 10:53:00-04:00
59.655,59.66,59.65,59.655,7859,2024-04-08 10:54:00-04:00
59.655,59.67,59.65,59.655,32917,2024-04-08 10:55:00-04:00
59.66,59.6699,59.65,59.66,29027,2024-04-08 10:56:00-04:00
59.66,59.7,59.66,59.7,19160,2024-04-08 10:57:00-04:00
59.695,59.71,59.685,59.7,17631,2024-04-08 10:58:00-04:00
59.685,59.705,59.685,59.69,12305,2024-04-08 10:59:00-04:00
59.7,59.745,59.7,59.735,17246,2024-04-08 11:00:00-04:00
59.73,59.75,59.73,59.74,12861,2024-04-08 11:01:00-04:00
59.74,59.7475,59.72,59.73,20689,2024-04-08 11:02:00-04:00
59.74,59.75,59.74,59.75,10147,2024-04-08 11:03:00-04:00
59.74,59.7482,59.725,59.745,17956,2024-04-08 11:04:00-04:00
59.74,59.745,59.73,59.7339,7389,2024-04-08 11:05:00-04:00
59.73,59.74,59.73,59.7384,5761,2024-04-08 11:06:00-04:00
59.73,59.76,59.73,59.755,25118,2024-04-08 11:07:00-04:00
59.755,59.76,59.73,59.745,17384,2024-04-08 11:08:00-04:00
59.74,59.76,59.74,59.755,7387,2024-04-08 11:09:00-04:00
59.755,59.755,59.74,59.745,12775,2024-04-08 11:10:00-04:00
59.745,59.75,59.72,59.72,13531,2024-04-08 11:11:00-04:00
59.725,59.73,59.72,59.725,4068,2024-04-08 11:12:00-04:00
59.72,59.73,59.72,59.725,9015,2024-04-08 11:13:00-04:00
59.7202,59.73,59.72,59.725,5137,2024-04-08 11:14:00-04:00
59.725,59.76,59.725,59.755,25655,2024-04-08 11:15:00-04:00
59.76,59.76,59.75,59.76,11150,2024-04-08 11:16:00-04:00
59.76,59.77,59.755,59.7647,9642,2024-04-08 11:17:00-04:00
59.77,59.77,59.76,59.765,7936,2024-04-08 11:18:00-04:00
59.765,59.79,59.7625,59.79,15413,2024-04-08 11:19:00-04:00
59.79,59.81,59.79,59.8,14330,2024-04-08 11:20:00-04:00
59.81,59.81,59.765,59.775,39685,2024-04-08 11:21:00-04:00
59.77,59.82,59.77,59.8,26357,2024-04-08 11:22:00-04:00
59.8,59.815,59.8,59.813,11475,2024-04-08 11:23:00-04:00
59.815,59.82,59.81,59.815,12986,2024-04-08 11:24:00-04:00
59.82,59.82,59.78,59.8,33105,2024-04-08 11:25:00-04:00
59.805,59.8086,59.79,59.805,11425,2024-04-08 11:26:00-04:00
59.805,59.805,59.79,59.805,14995,2024-04-08 11:27:00-04:00
59.805,59.86,59.8001,59.855,31053,2024-04-08 11:28:00-04:00
59.86,59.86,59.84,59.845,11304,2024-04-08 11:29:00-04:00
59.845,59.87,59.84,59.87,11831,2024-04-08 11:30:00-04:00
59.87,59.88,59.865,59.8718,9654,2024-04-08 11:31:00-04:00
59.87,59.88,59.87,59.88,7502,2024-04-08 11:32:00-04:00
59.8725,59.88,59.86,59.865,19936,2024-04-08 11:33:00-04:00
59.87,59.885,59.87,59.87,20607,2024-04-08 11:34:00-04:00
59.87,59.88,59.86,59.87,21016,2024-04-08 11:35:00-04:00
59.875,59.875,59.81,59.8299,30621,2024-04-08 11:36:00-04:00
59.8252,59.88,59.82,59.87,10726,2024-04-08 11:37:00-04:00
59.88,59.895,59.87,59.88,14781,2024-04-08 11:38:00-04:00
59.87,59.89,59.87,59.885,13905,2024-04-08 11:39:00-04:00
59.885,59.8875,59.86,59.8601,12669,2024-04-08 11:40:00-04:00
59.86,59.8699,59.83,59.835,9868,2024-04-08 11:41:00-04:00
59.83,59.85,59.83,59.85,10400,2024-04-08 11:42:00-04:00
59.845,59.87,59.845,59.865,10144,2024-04-08 11:43:00-04:00
59.8601,59.87,59.859,59.859,9381,2024-04-08 11:44:00-04:00
59.85,59.855,59.84,59.85,20322,2024-04-08 11:45:00-04:00
59.86,59.87,59.855,59.87,7455,2024-04-08 11:46:00-04:00
59.865,59.865,59.84,59.8401,12158,2024-04-08 11:47:00-04:00
59.84,59.88,59.84,59.86,18913,2024-04-08 11:48:00-04:00
59.865,59.87,59.85,59.85,7540,2024-04-08 11:49:00-04:00
59.85,59.85,59.83,59.835,7706,2024-04-08 11:50:00-04:00
