open,high,low,close,volume,datetime
87.22,87.22,87.19,87.19,5753,2024-04-08 09:30:00-04:00
87.345,87.345,87.345,87.345,100,2024-04-08 09:32:00-04:00
87.439,87.439,87.4,87.4,242,2024-04-08 09:35:00-04:00
87.36,87.36,87.31,87.31,202,2024-04-08 09:36:00-04:00
87.31,87.31,87.31,87.31,124,2024-04-08 09:38:00-04:00
87.2825,87.295,87.21,87.21,400,2024-04-08 09:40:00-04:00
87.11,87.11,87.11,87.11,100,2024-04-08 09:42:00-04:00
87.17,87.18,87.17,87.17,300,2024-04-08 09:43:00-04:00
87.08,87.08,87.07,87.07,300,2024-04-08 09:44:00-04:00
87.11,87.15,87.11,87.15,323,2024-04-08 09:45:00-04:00
87.03,87.03,87.03,87.03,100,2024-04-08 09:46:00-04:00
86.985,86.985,86.93,86.93,224,2024-04-08 09:48:00-04:00
86.91,86.91,86.91,86.91,200,2024-04-08 09:49:00-04:00
86.96,86.96,86.96,86.96,222,2024-04-08 09:51:00-04:00
86.98,87.0,86.96,86.96,507,2024-04-08 09:52:00-04:00
86.925,86.93,86.925,86.93,510,2024-04-08 09:53:00-04:00
86.925,86.925,86.925,86.925,100,2024-04-08 09:55:00-04:00
86.96,86.96,86.96,86.96,200,2024-04-08 09:58:00-04:00
86.96,87.0,86.96,86.9725,1011,2024-04-08 09:59:00-04:00
86.965,86.99,86.92,86.93,5531,2024-04-08 10:00:00-04:00
86.95,87.05,86.95,87.05,2101,2024-04-08 10:01:00-04:00
87.015,87.05,87.015,87.03,615,2024-04-08 10:02:00-04:00
87.03,87.05,86.99,87.01,1726,2024-04-08 10:03:00-04:00
86.95,86.98,86.95,86.97,1120,2024-04-08 10:04:00-04:00
86.97,86.97,86.97,86.97,200,2024-04-08 10:05:00-04:00
87.03,87.03,87.0093,87.0093,308,2024-04-08 10:06:00-04:00
87.04,87.04,86.925,86.9325,2800,2024-04-08 10:08:00-04:00
86.96,86.98,86.94,86.98,1262,2024-04-08 10:09:00-04:00
86.97,87.0,86.9667,87.0,850,2024-04-08 10:11:00-04:00
86.995,86.995,86.995,86.995,315,2024-04-08 10:13:00-04:00
86.97,86.97,86.9,86.94,2346,2024-04-08 10:14:00-04:00
86.98,86.9946,86.98,86.98,1355,2024-04-08 10:15:00-04:00
86.91,86.94,86.9,86.93,1644,2024-04-08 10:18:00-04:00
86.96,87.0,86.96,87.0,202,2024-04-08 10:19:00-04:00
87.04,87.095,86.99,86.99,2047,2024-04-08 10:20:00-04:00
87.0021,87.0021,87.0021,87.0021,200,2024-04-08 10:21:00-04:00
87.0077,87.0077,86.94,86.94,1632,2024-04-08 10:23:00-04:00
86.94,86.9675,86.94,86.9675,430,2024-04-08 10:24:00-04:00
86.99,87.075,86.99,87.075,1700,2024-04-08 10:25:00-04:00
87.08,87.08,87.06,87.06,400,2024-04-08 10:26:00-04:00
87.11,87.13,87.07,87.13,2849,2024-04-08 10:28:00-04:00
87.11,87.16,87.11,87.16,600,2024-04-08 10:29:00-04:00
87.13,87.145,87.13,87.145,340,2024-04-08 10:31:00-04:00
87.172,87.23,87.172,87.19,3743,2024-04-08 10:33:00-04:00
87.18,87.185,87.18,87.185,681,2024-04-08 10:34:00-04:00
87.21,87.21,87.21,87.21,200,2024-04-08 10:35:00-04:00
87.22,87.22,87.2,87.2,900,2024-04-08 10:37:00-04:00
