open,high,low,close,volume,datetime
108.0,108.0,108.0,108.0,600,2024-04-08 08:38:00-04:00
108.7918,108.7918,108.7918,108.7918,100,2024-04-08 09:22:00-04:00
108.88,108.88,108.53,108.88,800,2024-04-08 09:27:00-04:00
108.17,108.5,107.95,107.95,22980,2024-04-08 09:30:00-04:00
108.1922,108.3,108.1922,108.3,300,2024-04-08 09:31:00-04:00
107.985,108.24,107.925,107.925,3064,2024-04-08 09:32:00-04:00
107.925,108.1172,107.53,107.58,8515,2024-04-08 09:33:00-04:00
107.53,107.5302,107.2,107.265,58686,2024-04-08 09:34:00-04:00
107.415,107.95,107.415,107.95,8419,2024-04-08 09:35:00-04:00
107.95,108.27,107.915,107.915,11708,2024-04-08 09:36:00-04:00
107.995,107.995,107.99,107.99,500,2024-04-08 09:37:00-04:00
107.8,107.81,107.47,107.555,11385,2024-04-08 09:38:00-04:00
107.52,107.7753,107.52,107.7753,1700,2024-04-08 09:39:00-04:00
107.5706,107.665,107.39,107.44,2000,2024-04-08 09:40:00-04:00
107.51,107.5917,107.435,107.5917,1389,2024-04-08 09:41:00-04:00
107.37,107.555,107.01,107.545,13018,2024-04-08 09:42:00-04:00
107.7087,107.7087,107.5,107.5,5400,2024-04-08 09:43:00-04:00
107.49,107.72,107.4575,107.6,9207,2024-04-08 09:44:00-04:00
107.62,107.62,107.405,107.405,1250,2024-04-08 09:45:00-04:00
107.415,107.415,107.415,107.415,100,2024-04-08 09:46:00-04:00
107.4884,107.4884,107.3,107.3,1268,2024-04-08 09:47:00-04:00
107.28,107.37,107.2001,107.2001,1400,2024-04-08 09:48:00-04:00
107.27,107.27,107.07,107.26,4218,2024-04-08 09:49:00-04:00
107.175,107.18,107.05,107.05,1800,2024-04-08 09:50:00-04:00
107.16,107.28,107.12,107.28,1500,2024-04-08 09:51:00-04:00
107.19,107.19,107.05,107.15,989,2024-04-08 09:52:00-04:00
107.135,107.18,107.135,107.16,1300,2024-04-08 09:53:00-04:00
107.15,107.25,107.15,107.16,1000,2024-04-08 09:54:00-04:00
107.2499,107.2499,107.155,107.17,900,2024-04-08 09:55:00-04:00
107.265,107.265,107.1,107.14,2252,2024-04-08 09:56:00-04:00
107.09,107.1833,107.09,107.1825,2061,2024-04-08 09:57:00-04:00
107.185,107.317,107.185,107.317,250,2024-04-08 09:58:00-04:00
107.215,107.2799,107.075,107.21,3400,2024-04-08 09:59:00-04:00
107.22,107.23,107.12,107.13,1300,2024-04-08 10:00:00-04:00
107.16,107.3,107.16,107.3,3500,2024-04-08 10:01:00-04:00
107.27,107.35,107.215,107.35,3434,2024-04-08 10:02:00-04:00
107.32,107.32,107.17,107.17,1720,2024-04-08 10:03:00-04:00
107.17,107.175,107.08,107.08,2622,2024-04-08 10:04:00-04:00
107.065,107.12,107.055,107.12,1738,2024-04-08 10:05:00-04:00
107.12,107.13,106.795,106.795,4164,2024-04-08 10:06:00-04:00
106.78,106.8187,106.635,106.635,2100,2024-04-08 10:07:00-04:00
106.615,106.76,106.615,106.7175,1843,2024-04-08 10:08:00-04:00
106.725,106.725,106.715,106.715,800,2024-04-08 10:09:00-04:00
106.67,106.67,106.58,106.63,900,2024-04-08 10:10:00-04:00
106.7614,106.7614,106.635,106.635,1627,2024-04-08 10:11:00-04:00
106.72,106.72,106.54,106.55,1410,2024-04-08 10:12:00-04:00
106.5843,106.5843,106.5,106.5,1512,2024-04-08 10:13:00-04:00
106.5,106.5899,106.5,106.51,400,2024-04-08 10:14:00-04:00
106.55,106.55,106.34,106.34,1801,2024-04-08 10:15:00-04:00
106.36,106.3906,106.31,106.35,1800,2024-04-08 10:16:00-04:00
106.345,106.46,106.34,106.42,7715,2024-04-08 10:17:00-04:00
106.41,106.46,106.41,106.43,1000,2024-04-08 10:18:00-04:00
106.39,106.415,106.39,106.41,400,2024-04-08 10:19:00-04:00
106.3861,106.48,106.3861,106.44,900,2024-04-08 10:20:00-04:00
106.46,106.46,106.46,106.46,200,2024-04-08 10:21:00-04:00
106.46,106.66,106.46,106.66,1592,2024-04-08 10:22:00-04:00
106.7,106.77,106.65,106.65,6776,2024-04-08 10:23:00-04:00
106.65,106.7,106.65,106.7,200,2024-04-08 10:24:00-04:00
106.67,106.72,106.65,106.65,1550,2024-04-08 10:25:00-04:00
106.505,106.56,106.505,106.56,346,2024-04-08 10:26:00-04:00
106.56,106.56,106.56,106.56,200,2024-04-08 10:27:00-04:00
106.56,106.56,106.51,106.55,1300,2024-04-08 10:28:00-04:00
106.55,106.57,106.5,106.57,1000,2024-04-08 10:29:00-04:00
106.56,106.62,106.5,106.5,2200,2024-04-08 10:30:00-04:00
106.485,106.52,106.4489,106.4489,600,2024-04-08 10:31:00-04:00
106.54,106.57,106.4925,106.4925,612,2024-04-08 10:32:00-04:00
106.64,106.73,106.64,106.73,2511,2024-04-08 10:33:00-04:00
106.7,106.7,106.67,106.68,650,2024-04-08 10:34:00-04:00
106.73,106.73,106.705,106.705,436,2024-04-08 10:35:00-04:00
106.67,106.69,106.67,106.68,700,2024-04-08 10:36:00-04:00
106.67,106.695,106.67,106.695,600,2024-04-08 10:37:00-04:00
106.71,106.81,106.71,106.8,843,2024-04-08 10:38:00-04:00
106.84,106.84,106.73,106.73,1025,2024-04-08 10:39:00-04:00
106.72,106.8,106.705,106.8,1250,2024-04-08 10:40:00-04:00
106.775,106.775,106.73,106.74,700,2024-04-08 10:41:00-04:00
106.65,106.68,106.6201,106.63,2600,2024-04-08 10:42:00-04:00
106.61,106.61,106.605,106.605,200,2024-04-08 10:43:00-04:00
106.615,106.66,106.615,106.63,1600,2024-04-08 10:44:00-04:00
106.65,106.6814,106.65,106.6814,200,2024-04-08 10:45:00-04:00
106.7,106.76,106.7,106.76,900,2024-04-08 10:47:00-04:00
106.86,106.99,106.86,106.99,768,2024-04-08 10:48:00-04:00
107.0,107.0,106.9,106.905,2118,2024-04-08 10:49:00-04:00
106.9398,106.95,106.86,106.9,1805,2024-04-08 10:50:00-04:00
106.96,107.01,106.96,107.01,984,2024-04-08 10:51:00-04:00
107.0024,107.12,107.0024,107.12,998,2024-04-08 10:52:00-04:00
107.09,107.09,106.985,106.985,2049,2024-04-08 10:53:00-04:00
107.01,107.03,107.0,107.02,1581,2024-04-08 10:54:00-04:00
107.0,107.0,106.91,106.94,1400,2024-04-08 10:55:00-04:00
106.895,106.895,106.895,106.895,100,2024-04-08 10:56:00-04:00
106.92,106.92,106.83,106.84,1600,2024-04-08 10:57:00-04:00
106.8113,106.85,106.78,106.815,3012,2024-04-08 10:58:00-04:00
106.815,106.86,106.815,106.86,400,2024-04-08 10:59:00-04:00
106.88,106.97,106.88,106.97,800,2024-04-08 11:00:00-04:00
106.895,106.895,106.82,106.82,800,2024-04-08 11:01:00-04:00
106.83,106.86,106.82,106.86,400,2024-04-08 11:02:00-04:00
106.79,106.8,106.73,106.775,2153,2024-04-08 11:04:00-04:00
106.775,106.775,106.69,106.69,227,2024-04-08 11:05:00-04:00
106.7212,106.75,106.7212,106.74,477,2024-04-08 11:06:00-04:00
106.69,106.7,106.68,106.68,1100,2024-04-08 11:07:00-04:00
106.66,106.72,106.66,106.7188,1100,2024-04-08 11:08:00-04:00
106.73,106.79,106.73,106.79,1204,2024-04-08 11:09:00-04:00
106.795,106.83,106.795,106.81,1168,2024-04-08 11:10:00-04:00
106.85,106.85,106.83,106.83,1458,2024-04-08 11:11:00-04:00
106.81,106.81,106.735,106.745,1062,2024-04-08 11:12:00-04:00
106.74,106.74,106.7,106.71,900,2024-04-08 11:13:00-04:00
106.73,106.765,106.73,106.765,400,2024-04-08 11:14:00-04:00
106.8,106.85,106.75,106.75,1531,2024-04-08 11:15:00-04:00
106.76,106.79,106.74,106.74,1000,2024-04-08 11:16:00-04:00
106.79,106.79,106.79,106.79,100,2024-04-08 11:17:00-04:00
106.82,106.93,106.82,106.9,1166,2024-04-08 11:18:00-04:00
106.9,106.9,106.9,106.9,300,2024-04-08 11:19:00-04:00
106.915,106.915,106.915,106.915,100,2024-04-08 11:20:00-04:00
106.93,106.93,106.88,106.89,1372,2024-04-08 11:21:00-04:00
106.97,107.0,106.97,107.0,805,2024-04-08 11:23:00-04:00
106.99,107.0,106.96,106.96,957,2024-04-08 11:24:00-04:00
107.02,107.02,106.9275,106.93,1600,2024-04-08 11:25:00-04:00
106.93,106.96,106.9,106.91,500,2024-04-08 11:26:00-04:00
106.94,106.9501,106.94,106.9501,300,2024-04-08 11:27:00-04:00
106.98,106.98,106.975,106.975,200,2024-04-08 11:28:00-04:00
107.0,107.02,106.98,106.9988,1506,2024-04-08 11:29:00-04:00
106.99,106.99,106.92,106.96,2104,2024-04-08 11:30:00-04:00
107.0698,107.09,107.0,107.0,2080,2024-04-08 11:33:00-04:00
106.96,106.97,106.94,106.945,500,2024-04-08 11:34:00-04:00
106.96,107.01,106.96,107.01,600,2024-04-08 11:35:00-04:00
106.98,107.0,106.92,106.92,1400,2024-04-08 11:36:00-04:00
106.91,106.91,106.82,106.82,300,2024-04-08 11:37:00-04:00
106.91,106.92,106.85,106.85,613,2024-04-08 11:38:00-04:00
106.87,106.935,106.87,106.91,1600,2024-04-08 11:39:00-04:00
106.75,106.75,106.69,106.69,500,2024-04-08 11:41:00-04:00
106.68,106.68,106.658,106.67,1400,2024-04-08 11:42:00-04:00
106.685,106.74,106.685,106.74,800,2024-04-08 11:43:00-04:00
106.795,106.83,106.795,106.83,925,2024-04-08 11:44:00-04:00
106.79,106.79,106.71,106.71,779,2024-04-08 11:45:00-04:00
106.7714,106.7714,106.77,106.77,500,2024-04-08 11:46:00-04:00
106.79,106.79,106.78,106.78,550,2024-04-08 11:47:00-04:00
106.82,106.82,106.82,106.82,127,2024-04-08 11:48:00-04:00
106.85,106.85,106.77,106.77,1827,2024-04-08 11:49:00-04:00
106.745,106.745,106.68,106.68,200,2024-04-08 11:50:00-04:00
106.675,106.675,106.66,106.66,469,2024-04-08 11:51:00-04:00
106.71,106.71,106.71,106.71,300,2024-04-08 11:52:00-04:00
106.71,106.71,106.67,106.67,1100,2024-04-08 11:53:00-04:00
106.62,106.64,106.62,106.64,618,2024-04-08 11:54:00-04:00
106.64,106.64,106.6,106.6,200,2024-04-08 11:55:00-04:00
106.585,106.65,106.585,106.65,500,2024-04-08 11:56:00-04:00
106.68,106.68,106.68,106.68,100,2024-04-08 11:57:00-04:00
106.71,106.71,106.64,106.66,1900,2024-04-08 11:58:00-04:00
106.68,106.73,106.68,106.73,500,2024-04-08 11:59:00-04:00
106.73,106.73,106.62,106.62,800,2024-04-08 12:00:00-04:00
106.675,106.675,106.675,106.675,125,2024-04-08 12:01:00-04:00
106.66,106.69,106.65,106.69,1497,2024-04-08 12:02:00-04:00
106.71,106.75,106.71,106.75,400,2024-04-08 12:03:00-04:00
106.77,106.77,106.66,106.66,1202,2024-04-08 12:04:00-04:00
106.68,106.68,106.62,106.62,800,2024-04-08 12:05:00-04:00
106.65,106.65,106.65,106.65,300,2024-04-08 12:06:00-04:00
106.69,106.695,106.67,106.67,603,2024-04-08 12:07:00-04:00
106.67,106.705,106.67,106.682,1012,2024-04-08 12:08:00-04:00
106.65,106.65,106.64,106.65,600,2024-04-08 12:09:00-04:00
106.67,106.68,106.65,106.65,1400,2024-04-08 12:11:00-04:00
106.67,106.67,106.67,106.67,100,2024-04-08 12:12:00-04:00
106.66,106.7021,106.6401,106.66,1684,2024-04-08 12:13:00-04:00
106.66,106.66,106.63,106.63,305,2024-04-08 12:14:00-04:00
106.7,106.7,106.67,106.67,1328,2024-04-08 12:15:00-04:00
106.68,106.68,106.6671,106.6671,213,2024-04-08 12:16:00-04:00
106.68,106.7,106.6701,106.6701,554,2024-04-08 12:17:00-04:00
106.72,106.72,106.69,106.71,1621,2024-04-08 12:18:00-04:00
106.6956,106.6956,106.6956,106.6956,167,2024-04-08 12:19:00-04:00
106.69,106.69,106.6545,106.6545,3509,2024-04-08 12:20:00-04:00
106.68,106.69,106.675,106.675,500,2024-04-08 12:21:00-04:00
106.65,106.675,106.65,106.67,1816,2024-04-08 12:22:00-04:00
106.65,106.65,106.57,106.5895,1200,2024-04-08 12:23:00-04:00
106.6,106.6278,106.5401,106.61,1389,2024-04-08 12:24:00-04:00
106.65,106.7,106.6492,106.7,600,2024-04-08 12:25:00-04:00
106.705,106.705,106.6169,106.6169,1603,2024-04-08 12:26:00-04:00
106.65,106.68,106.65,106.68,523,2024-04-08 12:27:00-04:00
106.68,106.695,106.68,106.695,300,2024-04-08 12:28:00-04:00
106.73,106.8,106.73,106.76,842,2024-04-08 12:29:00-04:00
106.8,106.81,106.8,106.81,500,2024-04-08 12:30:00-04:00
106.8,106.81,106.796,106.81,583,2024-04-08 12:31:00-04:00
106.8,106.82,106.7801,106.7801,1483,2024-04-08 12:32:00-04:00
106.82,106.83,106.82,106.83,400,2024-04-08 12:33:00-04:00
106.7974,106.7974,106.76,106.765,1148,2024-04-08 12:34:00-04:00
106.7701,106.7701,106.7701,106.7701,185,2024-04-08 12:35:00-04:00
106.78,106.7875,106.78,106.78,976,2024-04-08 12:36:00-04:00
106.7601,106.81,106.74,106.74,1504,2024-04-08 12:37:00-04:00
106.74,106.74,106.685,106.685,1006,2024-04-08 12:38:00-04:00
106.6701,106.71,106.6701,106.71,638,2024-04-08 12:39:00-04:00
106.7158,106.72,106.69,106.72,1210,2024-04-08 12:40:00-04:00
106.725,106.725,106.725,106.725,200,2024-04-08 12:41:00-04:00
106.75,106.81,106.73,106.81,800,2024-04-08 12:43:00-04:00
106.8795,106.8795,106.8795,106.8795,100,2024-04-08 12:44:00-04:00
106.86,106.86,106.785,106.785,1605,2024-04-08 12:45:00-04:00
106.82,106.82,106.78,106.78,2482,2024-04-08 12:46:00-04:00
106.76,106.76,106.76,106.76,200,2024-04-08 12:47:00-04:00
106.775,106.79,106.775,106.79,600,2024-04-08 12:48:00-04:00
106.78,106.79,106.76,106.79,600,2024-04-08 12:49:00-04:00
106.8,106.84,106.8,106.825,500,2024-04-08 12:50:00-04:00
106.82,106.82,106.76,106.77,900,2024-04-08 12:51:00-04:00
106.75,106.75,106.71,106.71,200,2024-04-08 12:52:00-04:00
106.7001,106.7001,106.7,106.7,200,2024-04-08 12:53:00-04:00
