open,high,low,close,volume,datetime
53.56,53.57,53.56,53.57,323,2024-04-08 07:02:00-04:00
53.5,53.5,53.5,53.5,100,2024-04-08 08:47:00-04:00
53.53,53.53,53.53,53.53,262,2024-04-08 09:27:00-04:00
53.76,53.76,53.66,53.66,1530,2024-04-08 09:29:00-04:00
53.64,53.69,53.575,53.575,31786,2024-04-08 09:30:00-04:00
53.565,53.67,53.565,53.615,970,2024-04-08 09:31:00-04:00
53.63,53.665,53.63,53.665,1200,2024-04-08 09:32:00-04:00
53.6,53.76,53.59,53.76,1960,2024-04-08 09:33:00-04:00
53.76,53.84,53.75,53.84,1475,2024-04-08 09:34:00-04:00
53.82,53.84,53.8049,53.8049,1252,2024-04-08 09:35:00-04:00
53.77,53.82,53.73,53.8,2714,2024-04-08 09:36:00-04:00
53.78,53.81,53.76,53.81,3483,2024-04-08 09:37:00-04:00
53.84,53.95,53.84,53.95,3102,2024-04-08 09:38:00-04:00
53.96,54.08,53.96,54.08,6029,2024-04-08 09:39:00-04:00
54.06,54.125,54.05,54.115,4193,2024-04-08 09:40:00-04:00
54.115,54.16,54.11,54.11,3967,2024-04-08 09:41:00-04:00
54.105,54.105,53.94,53.94,6786,2024-04-08 09:42:00-04:00
53.95,53.98,53.89,53.89,2300,2024-04-08 09:43:00-04:00
53.92,53.95,53.8999,53.94,3000,2024-04-08 09:44:00-04:00
53.95,53.96,53.91,53.955,5225,2024-04-08 09:45:00-04:00
53.95,54.03,53.95,53.97,3502,2024-04-08 09:46:00-04:00
53.95,53.95,53.91,53.92,5100,2024-04-08 09:47:00-04:00
53.93,53.97,53.905,53.96,3699,2024-04-08 09:48:00-04:00
53.955,53.965,53.93,53.955,2533,2024-04-08 09:49:00-04:00
53.945,53.98,53.935,53.98,4604,2024-04-08 09:50:00-04:00
53.98,53.99,53.945,53.96,4834,2024-04-08 09:51:00-04:00
53.935,53.935,53.8775,53.885,3128,2024-04-08 09:52:00-04:00
53.87,53.885,53.865,53.865,1310,2024-04-08 09:53:00-04:00
53.885,53.885,53.84,53.855,2747,2024-04-08 09:54:00-04:00
53.855,53.855,53.8,53.815,4263,2024-04-08 09:55:00-04:00
53.815,53.815,53.75,53.775,5653,2024-04-08 09:56:00-04:00
53.775,53.78,53.735,53.745,1800,2024-04-08 09:57:00-04:00
53.75,53.765,53.67,53.69,4647,2024-04-08 09:58:00-04:00
53.69,53.695,53.665,53.67,2625,2024-04-08 09:59:00-04:00
53.68,53.69,53.63,53.65,19284,2024-04-08 10:00:00-04:00
53.65,53.695,53.64,53.65,5084,2024-04-08 10:01:00-04:00
53.655,53.665,53.64,53.665,3557,2024-04-08 10:02:00-04:00
53.665,53.71,53.66,53.665,4733,2024-04-08 10:03:00-04:00
53.665,53.665,53.595,53.595,9580,2024-04-08 10:04:00-04:00
53.595,53.625,53.585,53.585,8006,2024-04-08 10:05:00-04:00
53.59,53.64,53.585,53.635,3221,2024-04-08 10:06:00-04:00
53.665,53.7,53.65,53.65,8938,2024-04-08 10:07:00-04:00
53.655,53.655,53.625,53.65,1499,2024-04-08 10:08:00-04:00
