open,high,low,close,volume,datetime
135.89,136.09,135.66,135.66,5832,2024-04-08 09:30:00-04:00
135.71,135.71,135.71,135.71,100,2024-04-08 09:31:00-04:00
135.83,135.83,135.83,135.83,100,2024-04-08 09:33:00-04:00
135.67,135.67,135.67,135.67,200,2024-04-08 09:36:00-04:00
135.84,135.89,135.7,135.7,619,2024-04-08 09:37:00-04:00
135.845,135.845,135.75,135.81,1516,2024-04-08 09:38:00-04:00
135.81,135.86,135.75,135.82,4000,2024-04-08 09:39:00-04:00
135.95,136.12,135.95,136.11,1909,2024-04-08 09:40:00-04:00
136.08,136.155,136.08,136.155,1516,2024-04-08 09:41:00-04:00
136.06,136.06,136.03,136.06,422,2024-04-08 09:42:00-04:00
136.06,136.22,136.06,136.21,2108,2024-04-08 09:44:00-04:00
136.19,136.28,136.12,136.28,800,2024-04-08 09:45:00-04:00
136.18,136.2,136.095,136.095,800,2024-04-08 09:46:00-04:00
136.135,136.25,136.07,136.07,416,2024-04-08 09:47:00-04:00
136.06,136.105,136.035,136.0925,900,2024-04-08 09:48:00-04:00
136.105,136.15,135.97,136.09,1385,2024-04-08 09:49:00-04:00
136.07,136.135,136.05,136.08,4302,2024-04-08 09:50:00-04:00
136.04,136.1,135.89,136.05,2279,2024-04-08 09:51:00-04:00
136.04,136.095,136.01,136.01,1700,2024-04-08 09:52:00-04:00
135.93,136.075,135.93,135.98,1300,2024-04-08 09:53:00-04:00
136.01,136.05,135.92,135.97,900,2024-04-08 09:54:00-04:00
135.93,136.01,135.93,136.0,400,2024-04-08 09:55:00-04:00
135.98,136.035,135.9,135.9,700,2024-04-08 09:56:00-04:00
136.02,136.02,135.84,135.84,1024,2024-04-08 09:57:00-04:00
135.98,135.98,135.86,135.89,745,2024-04-08 09:58:00-04:00
135.84,135.86,135.785,135.86,2623,2024-04-08 09:59:00-04:00
135.86,135.88,135.8,135.8,2569,2024-04-08 10:00:00-04:00
135.84,135.84,135.7,135.7,1647,2024-04-08 10:01:00-04:00
135.635,135.655,135.635,135.655,355,2024-04-08 10:02:00-04:00
135.655,135.655,135.52,135.52,963,2024-04-08 10:03:00-04:00
135.46,135.48,135.42,135.42,900,2024-04-08 10:04:00-04:00
135.385,135.57,135.385,135.51,3269,2024-04-08 10:05:00-04:00
135.48,135.62,135.48,135.6,1353,2024-04-08 10:06:00-04:00
135.62,135.655,135.54,135.54,2000,2024-04-08 10:07:00-04:00
135.505,135.57,135.485,135.57,603,2024-04-08 10:08:00-04:00
135.595,135.595,135.46,135.46,400,2024-04-08 10:09:00-04:00
135.465,135.51,135.38,135.505,1200,2024-04-08 10:10:00-04:00
135.46,135.5,135.39,135.485,2024,2024-04-08 10:11:00-04:00
135.5,135.54,135.45,135.54,1191,2024-04-08 10:12:00-04:00
135.54,135.54,135.43,135.48,1000,2024-04-08 10:13:00-04:00
135.405,135.41,135.37,135.375,2769,2024-04-08 10:14:00-04:00
135.375,135.455,135.3,135.3,1254,2024-04-08 10:15:00-04:00
135.3539,135.3539,135.2909,135.33,1708,2024-04-08 10:16:00-04:00
135.335,135.335,135.2,135.33,2713,2024-04-08 10:17:00-04:00
135.34,135.41,135.32,135.36,4429,2024-04-08 10:18:00-04:00
135.32,135.32,135.255,135.255,500,2024-04-08 10:19:00-04:00
135.28,135.29,135.17,135.23,4260,2024-04-08 10:20:00-04:00
135.245,135.315,135.245,135.28,1479,2024-04-08 10:21:00-04:00
135.3,135.3,135.26,135.26,783,2024-04-08 10:22:00-04:00
135.18,135.2,135.165,135.165,365,2024-04-08 10:23:00-04:00
135.155,135.1999,135.105,135.105,1300,2024-04-08 10:24:00-04:00
135.16,135.26,135.11,135.26,1100,2024-04-08 10:25:00-04:00
135.25,135.335,135.21,135.33,1370,2024-04-08 10:26:00-04:00
135.36,135.365,135.33,135.33,1300,2024-04-08 10:27:00-04:00
135.275,135.28,135.24,135.28,300,2024-04-08 10:28:00-04:00
135.29,135.29,135.24,135.27,1930,2024-04-08 10:29:00-04:00
135.22,135.25,135.165,135.165,2626,2024-04-08 10:30:00-04:00
135.21,135.255,135.16,135.23,4255,2024-04-08 10:31:00-04:00
135.22,135.22,135.125,135.125,1321,2024-04-08 10:32:00-04:00
135.12,135.12,135.08,135.105,1528,2024-04-08 10:33:00-04:00
135.08,135.23,135.08,135.18,3752,2024-04-08 10:34:00-04:00
135.15,135.21,135.13,135.13,436,2024-04-08 10:35:00-04:00
135.128,135.128,135.04,135.0435,521,2024-04-08 10:36:00-04:00
135.11,135.13,135.06,135.12,2414,2024-04-08 10:37:00-04:00
135.13,135.21,135.13,135.21,3017,2024-04-08 10:38:00-04:00
135.205,135.27,135.205,135.27,4922,2024-04-08 10:39:00-04:00
135.28,135.33,135.28,135.33,900,2024-04-08 10:40:00-04:00
135.3,135.34,135.22,135.25,1200,2024-04-08 10:41:00-04:00
135.17,135.17,135.03,135.03,1697,2024-04-08 10:42:00-04:00
135.01,135.1,135.01,135.09,4091,2024-04-08 10:43:00-04:00
135.12,135.2,135.09,135.15,1049,2024-04-08 10:44:00-04:00
135.21,135.22,135.15,135.1561,2272,2024-04-08 10:45:00-04:00
135.1625,135.25,135.1625,135.23,1603,2024-04-08 10:46:00-04:00
135.28,135.31,135.27,135.31,1059,2024-04-08 10:47:00-04:00
135.28,135.28,135.23,135.27,1627,2024-04-08 10:48:00-04:00
135.25,135.25,135.13,135.13,1310,2024-04-08 10:49:00-04:00
135.1,135.1,135.04,135.04,400,2024-04-08 10:50:00-04:00
135.04,135.069,135.01,135.01,2024,2024-04-08 10:51:00-04:00
134.93,134.99,134.87,134.95,4061,2024-04-08 10:52:00-04:00
134.92,134.925,134.895,134.925,1473,2024-04-08 10:53:00-04:00
134.905,134.96,134.84,134.84,700,2024-04-08 10:54:00-04:00
134.86,134.895,134.74,134.815,2050,2024-04-08 10:55:00-04:00
134.85,134.85,134.78,134.78,1159,2024-04-08 10:56:00-04:00
134.79,134.8,134.75,134.75,3245,2024-04-08 10:57:00-04:00
134.79,134.81,134.72,134.72,2471,2024-04-08 10:58:00-04:00
134.71,134.77,134.6946,134.77,2129,2024-04-08 10:59:00-04:00
134.73,134.78,134.73,134.75,1261,2024-04-08 11:00:00-04:00
134.74,134.835,134.72,134.835,1600,2024-04-08 11:01:00-04:00
134.84,134.86,134.78,134.78,2200,2024-04-08 11:02:00-04:00
134.765,134.855,134.75,134.835,3274,2024-04-08 11:03:00-04:00
134.84,134.84,134.78,134.79,2321,2024-04-08 11:04:00-04:00
134.825,134.87,134.775,134.79,900,2024-04-08 11:05:00-04:00
134.75,134.79,134.745,134.76,700,2024-04-08 11:06:00-04:00
134.7,134.85,134.7,134.825,3798,2024-04-08 11:07:00-04:00
134.845,134.87,134.825,134.835,444,2024-04-08 11:08:00-04:00
134.81,134.81,134.81,134.81,854,2024-04-08 11:09:00-04:00
134.835,134.935,134.8,134.935,1000,2024-04-08 11:10:00-04:00
134.9291,134.9291,134.885,134.885,921,2024-04-08 11:11:00-04:00
134.91,134.97,134.9,134.97,3160,2024-04-08 11:12:00-04:00
134.92,134.92,134.895,134.895,1100,2024-04-08 11:13:00-04:00
134.88,134.88,134.86,134.86,500,2024-04-08 11:14:00-04:00
134.86,134.87,134.82,134.82,844,2024-04-08 11:15:00-04:00
134.82,134.825,134.82,134.825,1254,2024-04-08 11:16:00-04:00
134.84,135.005,134.84,135.005,2283,2024-04-08 11:17:00-04:00
135.015,135.015,134.97,134.97,1722,2024-04-08 11:18:00-04:00
134.93,134.97,134.93,134.97,300,2024-04-08 11:19:00-04:00
134.94,134.96,134.94,134.96,800,2024-04-08 11:20:00-04:00
134.98,134.98,134.94,134.96,1700,2024-04-08 11:21:00-04:00
134.98,135.015,134.97,134.97,2765,2024-04-08 11:22:00-04:00
134.965,134.965,134.93,134.93,500,2024-04-08 11:23:00-04:00
134.925,135.01,134.925,134.98,1400,2024-04-08 11:24:00-04:00
134.98,135.0,134.93,134.94,980,2024-04-08 11:25:00-04:00
134.955,134.98,134.95,134.975,2549,2024-04-08 11:26:00-04:00
134.98,134.98,134.9334,134.97,2687,2024-04-08 11:27:00-04:00
134.96,134.965,134.915,134.915,1000,2024-04-08 11:28:00-04:00
134.92,134.93,134.885,134.89,700,2024-04-08 11:29:00-04:00
134.89,134.89,134.77,134.77,1755,2024-04-08 11:30:00-04:00
134.79,134.79,134.73,134.755,600,2024-04-08 11:31:00-04:00
134.78,134.78,134.76,134.765,1372,2024-04-08 11:32:00-04:00
134.75,134.79,134.7,134.79,2850,2024-04-08 11:33:00-04:00
134.78,134.78,134.745,134.745,400,2024-04-08 11:34:00-04:00
134.74,134.74,134.69,134.71,1579,2024-04-08 11:35:00-04:00
134.71,134.71,134.665,134.665,774,2024-04-08 11:36:00-04:00
134.65,134.66,134.63,134.66,2247,2024-04-08 11:37:00-04:00
134.62,134.62,134.57,134.57,500,2024-04-08 11:38:00-04:00
134.57,134.63,134.57,134.63,1787,2024-04-08 11:39:00-04:00
134.62,134.64,134.62,134.64,400,2024-04-08 11:40:00-04:00
134.66,134.66,134.53,134.53,900,2024-04-08 11:41:00-04:00
134.53,134.6,134.53,134.58,819,2024-04-08 11:42:00-04:00
134.57,134.61,134.57,134.61,1550,2024-04-08 11:43:00-04:00
134.55,134.55,134.55,134.55,300,2024-04-08 11:44:00-04:00
134.545,134.57,134.515,134.53,2810,2024-04-08 11:45:00-04:00
134.59,134.59,134.59,134.59,300,2024-04-08 11:46:00-04:00
134.56,134.56,134.53,134.53,300,2024-04-08 11:47:00-04:00
134.55,134.6,134.55,134.58,2573,2024-04-08 11:48:00-04:00
134.56,134.56,134.51,134.54,500,2024-04-08 11:49:00-04:00
134.515,134.52,134.5,134.5,577,2024-04-08 11:50:00-04:00
134.52,134.56,134.51,134.55,3584,2024-04-08 11:51:00-04:00
134.57,134.6,134.56,134.6,724,2024-04-08 11:52:00-04:00
134.6,134.61,134.59,134.59,601,2024-04-08 11:53:00-04:00
134.61,134.66,134.61,134.64,1400,2024-04-08 11:54:00-04:00
