open,high,low,close,volume,datetime
295.11,295.11,294.495,294.495,5961,2024-04-08 09:30:00-04:00
294.47,294.47,293.865,293.865,300,2024-04-08 09:32:00-04:00
294.03,294.03,294.03,294.03,100,2024-04-08 09:36:00-04:00
293.77,293.77,293.77,293.77,100,2024-04-08 09:37:00-04:00
294.18,294.18,294.18,294.18,100,2024-04-08 09:39:00-04:00
293.76,293.76,293.76,293.76,100,2024-04-08 09:41:00-04:00
294.43,294.43,294.43,294.43,100,2024-04-08 09:42:00-04:00
294.51,294.51,294.51,294.51,100,2024-04-08 09:45:00-04:00
294.785,294.785,294.785,294.785,100,2024-04-08 09:48:00-04:00
294.37,294.37,294.3,294.3,218,2024-04-08 09:49:00-04:00
294.52,294.52,294.52,294.52,100,2024-04-08 09:52:00-04:00
294.79,295.14,294.79,295.14,200,2024-04-08 09:53:00-04:00
295.205,295.205,295.205,295.205,100,2024-04-08 09:55:00-04:00
294.99,294.99,294.99,294.99,100,2024-04-08 09:58:00-04:00
295.0,295.0,295.0,295.0,300,2024-04-08 09:59:00-04:00
294.84,294.86,294.84,294.86,200,2024-04-08 10:00:00-04:00
295.19,295.2,295.0275,295.0275,851,2024-04-08 10:02:00-04:00
294.68,294.68,294.48,294.48,700,2024-04-08 10:03:00-04:00
294.8,294.98,294.8,294.98,1563,2024-04-08 10:05:00-04:00
295.205,295.205,295.205,295.205,100,2024-04-08 10:06:00-04:00
295.08,295.08,295.08,295.08,100,2024-04-08 10:09:00-04:00
295.42,295.425,295.31,295.42,400,2024-04-08 10:11:00-04:00
295.3,295.3,295.3,295.3,100,2024-04-08 10:12:00-04:00
295.33,295.49,295.32,295.49,400,2024-04-08 10:13:00-04:00
295.475,295.475,295.475,295.475,100,2024-04-08 10:14:00-04:00
295.52,295.79,295.52,295.79,300,2024-04-08 10:15:00-04:00
296.31,296.31,296.18,296.18,262,2024-04-08 10:20:00-04:00
296.23,296.23,296.22,296.22,200,2024-04-08 10:21:00-04:00
296.45,296.45,296.45,296.45,100,2024-04-08 10:22:00-04:00
296.56,296.84,296.56,296.84,704,2024-04-08 10:25:00-04:00
296.64,296.65,296.62,296.62,1400,2024-04-08 10:26:00-04:00
296.62,296.62,296.62,296.62,100,2024-04-08 10:27:00-04:00
296.2875,296.2875,296.2875,296.2875,100,2024-04-08 10:29:00-04:00
296.66,296.95,296.66,296.95,400,2024-04-08 10:30:00-04:00
296.83,296.83,296.83,296.83,100,2024-04-08 10:33:00-04:00
297.28,297.28,297.28,297.28,100,2024-04-08 10:35:00-04:00
297.685,297.685,297.685,297.685,100,2024-04-08 10:38:00-04:00
297.78,297.78,297.48,297.48,1300,2024-04-08 10:42:00-04:00
297.48,297.48,297.2126,297.2126,236,2024-04-08 10:43:00-04:00
297.54,297.59,297.54,297.59,300,2024-04-08 10:44:00-04:00
297.71,297.71,297.71,297.71,100,2024-04-08 10:50:00-04:00
297.96,297.995,297.86,297.995,1906,2024-04-08 10:52:00-04:00
297.53,297.53,297.53,297.53,100,2024-04-08 10:53:00-04:00
297.715,297.715,297.715,297.715,200,2024-04-08 10:54:00-04:00
297.2,297.2,297.2,297.2,100,2024-04-08 10:56:00-04:00
296.84,296.84,296.84,296.84,100,2024-04-08 10:59:00-04:00
297.185,297.185,297.185,297.185,100,2024-04-08 11:01:00-04:00
296.85,296.85,296.755,296.755,1400,2024-04-08 11:02:00-04:00
297.07,297.25,297.07,297.115,1300,2024-04-08 11:03:00-04:00
297.535,297.535,297.535,297.535,100,2024-04-08 11:10:00-04:00
297.7,297.7,297.7,297.7,298,2024-04-08 11:11:00-04:00
297.805,297.805,297.805,297.805,100,2024-04-08 11:14:00-04:00
297.715,297.715,297.715,297.715,126,2024-04-08 11:17:00-04:00
297.655,297.655,297.655,297.655,100,2024-04-08 11:19:00-04:00
297.21,297.21,297.21,297.21,100,2024-04-08 11:21:00-04:00
297.485,297.485,297.485,297.485,100,2024-04-08 11:26:00-04:00
297.4725,297.4725,297.4725,297.4725,100,2024-04-08 11:27:00-04:00
297.4131,297.4131,297.4131,297.4131,164,2024-04-08 11:28:00-04:00
297.07,297.07,297.07,297.07,100,2024-04-08 11:30:00-04:00
297.0,297.0,297.0,297.0,247,2024-04-08 11:31:00-04:00
297.315,297.365,297.315,297.365,250,2024-04-08 11:35:00-04:00
297.335,297.335,296.99,297.03,900,2024-04-08 11:36:00-04:00
296.91,296.92,296.7475,296.7475,510,2024-04-08 11:37:00-04:00
296.91,296.91,296.58,296.58,300,2024-04-08 11:38:00-04:00
296.23,296.23,296.23,296.23,100,2024-04-08 11:39:00-04:00
296.49,296.49,296.49,296.49,100,2024-04-08 11:41:00-04:00
296.525,296.525,296.48,296.48,247,2024-04-08 11:43:00-04:00
296.48,296.66,296.475,296.48,536,2024-04-08 11:44:00-04:00
296.3,296.395,296.3,296.395,500,2024-04-08 11:45:00-04:00
296.9,296.9,296.9,296.9,100,2024-04-08 11:50:00-04:00
296.955,296.955,296.955,296.955,100,2024-04-08 11:51:00-04:00
296.8217,296.8217,296.8217,296.8217,250,2024-04-08 11:52:00-04:00
297.325,297.325,297.325,297.325,100,2024-04-08 11:54:00-04:00
297.09,297.09,296.34,296.62,1731,2024-04-08 11:56:00-04:00
296.65,296.65,296.4974,296.4974,250,2024-04-08 11:59:00-04:00
296.18,296.18,296.18,296.18,100,2024-04-08 12:00:00-04:00
296.19,296.19,296.065,296.065,500,2024-04-08 12:02:00-04:00
296.31,296.46,296.31,296.41,700,2024-04-08 12:03:00-04:00
296.7275,296.7275,296.7275,296.7275,100,2024-04-08 12:12:00-04:00
296.7,296.7,296.7,296.7,100,2024-04-08 12:13:00-04:00
296.93,296.96,296.5,296.5,1300,2024-04-08 12:17:00-04:00
296.585,296.585,296.585,296.585,100,2024-04-08 12:20:00-04:00
296.62,296.62,296.62,296.62,100,2024-04-08 12:22:00-04:00
296.37,296.37,296.37,296.37,100,2024-04-08 12:23:00-04:00
296.675,296.675,296.675,296.675,100,2024-04-08 12:29:00-04:00
296.68,296.83,296.68,296.83,435,2024-04-08 12:31:00-04:00
296.88,297.11,296.88,297.11,600,2024-04-08 12:32:00-04:00
297.43,297.43,297.43,297.43,200,2024-04-08 12:33:00-04:00
297.56,297.56,297.56,297.56,100,2024-04-08 12:35:00-04:00
297.41,297.41,297.41,297.41,1269,2024-04-08 12:36:00-04:00
297.385,297.385,297.3625,297.3625,200,2024-04-08 12:37:00-04:00
297.515,297.515,297.515,297.515,100,2024-04-08 12:38:00-04:00
297.83,297.83,297.83,297.83,100,2024-04-08 12:40:00-04:00
297.88,297.95,297.88,297.95,200,2024-04-08 12:44:00-04:00
297.995,297.995,297.995,297.995,100,2024-04-08 12:45:00-04:00
297.96,297.98,297.96,297.98,600,2024-04-08 12:46:00-04:00
297.815,297.815,297.7,297.7,200,2024-04-08 12:49:00-04:00
298.14,298.14,298.14,298.14,100,2024-04-08 12:56:00-04:00
298.115,298.115,298.115,298.115,100,2024-04-08 12:57:00-04:00
298.58,298.58,298.58,298.58,100,2024-04-08 13:00:00-04:00
298.19,298.23,298.17,298.17,1200,2024-04-08 13:03:00-04:00
297.99,297.99,297.84,297.84,200,2024-04-08 13:05:00-04:00
297.78,297.78,297.78,297.78,100,2024-04-08 13:10:00-04:00
298.09,298.09,298.09,298.09,100,2024-04-08 13:11:00-04:00
298.04,298.04,298.04,298.04,400,2024-04-08 13:16:00-04:00
298.32,298.32,298.32,298.32,100,2024-04-08 13:19:00-04:00
298.28,298.28,298.28,298.28,100,2024-04-08 13:20:00-04:00
298.41,298.41,298.41,298.41,100,2024-04-08 13:26:00-04:00
298.41,298.41,298.41,298.41,100,2024-04-08 13:27:00-04:00
298.46,298.46,298.46,298.46,100,2024-04-08 13:28:00-04:00
298.59,298.59,298.59,298.59,100,2024-04-08 13:29:00-04:00
298.47,298.47,298.47,298.47,200,2024-04-08 13:30:00-04:00
298.58,298.795,298.58,298.795,400,2024-04-08 13:32:00-04:00
298.81,298.81,298.81,298.81,100,2024-04-08 13:37:00-04:00
298.96,298.96,298.96,298.96,100,2024-04-08 13:39:00-04:00
299.025,299.025,299.025,299.025,100,2024-04-08 13:41:00-04:00
299.04,299.04,299.04,299.04,475,2024-04-08 13:42:00-04:00
299.03,299.03,299.03,299.03,100,2024-04-08 13:43:00-04:00
299.03,299.05,299.03,299.05,399,2024-04-08 13:44:00-04:00
299.18,299.22,299.18,299.22,500,2024-04-08 13:46:00-04:00
299.28,299.28,298.76,298.76,2080,2024-04-08 13:47:00-04:00
298.545,298.545,298.545,298.545,100,2024-04-08 13:49:00-04:00
298.96,298.96,298.96,298.96,234,2024-04-08 13:52:00-04:00
298.936,298.95,298.936,298.95,318,2024-04-08 13:54:00-04:00
299.05,299.13,299.05,299.11,400,2024-04-08 13:56:00-04:00
299.34,299.34,299.19,299.19,500,2024-04-08 13:59:00-04:00
299.025,299.025,299.025,299.025,100,2024-04-08 14:01:00-04:00
298.995,298.995,298.995,298.995,100,2024-04-08 14:03:00-04:00
298.745,298.745,298.745,298.745,100,2024-04-08 14:04:00-04:00
298.52,298.52,298.52,298.52,100,2024-04-08 14:05:00-04:00
298.73,298.73,298.73,298.73,100,2024-04-08 14:06:00-04:00
298.42,298.42,298.42,298.42,100,2024-04-08 14:11:00-04:00
298.33,298.33,298.33,298.33,100,2024-04-08 14:12:00-04:00
297.85,297.85,297.79,297.79,300,2024-04-08 14:23:00-04:00
