open,high,low,close,volume,datetime
131.8,134.25,131.46,133.88,1135419,2017-07-12 01:00:00-04:00
133.88,134.49,133.56,134.14,955545,2017-07-13 01:00:00-04:00
134.93,136.33,134.88,136.04,1202366,2017-07-14 01:00:00-04:00
136.07,136.399,134.74,135.4,1458882,2017-07-17 01:00:00-04:00
135.32,138.0,135.075,136.18,2272442,2017-07-18 01:00:00-04:00
135.6,136.67,134.33,135.42,2757954,2017-07-19 01:00:00-04:00
135.68,137.45,135.67,136.24,2082084,2017-07-20 01:00:00-04:00
135.99,137.07,135.62,136.9,1542668,2017-07-21 01:00:00-04:00
136.97,137.98,136.1002,137.07,1367498,2017-07-24 01:00:00-04:00
137.72,137.73,136.035,136.62,1205338,2017-07-25 01:00:00-04:00
136.32,137.99,136.28,137.87,1337965,2017-07-26 01:00:00-04:00
139.12,139.5,134.0,134.86,2933553,2017-07-27 01:00:00-04:00
135.17,138.79,134.81,138.34,1972640,2017-07-28 01:00:00-04:00
138.67,139.13,135.75,136.33,2386690,2017-07-31 01:00:00-04:00
136.23,136.42,135.51,135.97,2374966,2017-08-01 01:00:00-04:00
136.08,138.14,135.63,137.97,2409047,2017-08-02 01:00:00-04:00
138.06,138.18,136.84,137.15,1661887,2017-08-03 01:00:00-04:00
137.5,138.01,137.15,137.57,927911,2017-08-04 01:00:00-04:00
137.38,138.16,136.9511,138.07,976609,2017-08-07 01:00:00-04:00
137.49,137.56,136.17,136.63,1333491,2017-08-08 01:00:00-04:00
136.37,138.39,136.33,137.85,1319251,2017-08-09 01:00:00-04:00
137.3,138.11,136.81,136.83,1032688,2017-08-10 01:00:00-04:00
137.19,137.77,136.29,136.68,870814,2017-08-11 01:00:00-04:00
137.4,140.02,137.4,139.97,1648458,2017-08-14 01:00:00-04:00
139.66,140.16,138.921,139.69,1386099,2017-08-15 01:00:00-04:00
140.0,141.13,139.68,141.09,1334558,2017-08-16 01:00:00-04:00
141.03,141.51,139.65,139.65,956338,2017-08-17 01:00:00-04:00
139.44,140.38,138.7201,140.0,1114278,2017-08-18 01:00:00-04:00
140.19,141.46,140.125,141.28,1545942,2017-08-21 01:00:00-04:00
141.28,142.26,140.95,142.09,1030346,2017-08-22 01:00:00-04:00
141.99,143.11,141.71,142.84,921582,2017-08-23 01:00:00-04:00
143.05,144.26,142.51,143.8,1578994,2017-08-24 01:00:00-04:00
144.72,146.09,143.98,144.24,1253977,2017-08-25 01:00:00-04:00
144.29,146.12,144.29,145.78,1577274,2017-08-28 01:00:00-04:00
145.09,146.63,144.89,145.89,1178480,2017-08-29 01:00:00-04:00
145.65,147.64,145.3166,147.52,1753040,2017-08-30 01:00:00-04:00
147.38,148.71,146.88,148.05,2293248,2017-08-31 01:00:00-04:00
148.33,148.33,145.23,145.77,1766073,2017-09-01 01:00:00-04:00
145.97,147.15,145.67,146.94,1647240,2017-09-05 01:00:00-04:00
147.0,147.3087,146.07,146.07,1380669,2017-09-06 01:00:00-04:00
146.31,147.03,146.02,146.99,1757397,2017-09-07 01:00:00-04:00
