open,high,low,close,volume,datetime
164.39,168.18,164.12,168.1,743849,2016-12-07 01:00:00-05:00
167.45,169.39,165.405,168.77,709631,2016-12-08 01:00:00-05:00
168.7,170.88,168.29,169.05,533775,2016-12-09 01:00:00-05:00
169.12,170.98,168.3,170.4,593346,2016-12-12 01:00:00-05:00
171.27,171.47,168.85,170.63,600678,2016-12-13 01:00:00-05:00
170.55,172.92,168.78,170.03,1353879,2016-12-14 01:00:00-05:00
169.99,172.32,168.47,169.6,1002558,2016-12-15 01:00:00-05:00
171.08,174.53,170.77,172.93,1119660,2016-12-16 01:00:00-05:00
174.16,175.08,172.67,174.79,925149,2016-12-19 01:00:00-05:00
173.94,175.73,173.58,175.23,687642,2016-12-20 01:00:00-05:00
175.0,176.57,172.93,172.93,883935,2016-12-21 01:00:00-05:00
172.36,174.07,171.3,173.72,686082,2016-12-22 01:00:00-05:00
174.37,175.3,173.43,174.49,367973,2016-12-23 01:00:00-05:00
174.27,176.9,173.81,175.82,648013,2016-12-27 01:00:00-05:00
174.81,175.34,172.22,173.94,751827,2016-12-28 01:00:00-05:00
173.9,176.17,173.33,175.6,601944,2016-12-29 01:00:00-05:00
175.26,177.77,174.89,177.15,756286,2016-12-30 01:00:00-05:00
178.3,178.3,175.26,176.62,858164,2017-01-03 01:00:00-05:00
177.08,178.3899,175.58,177.35,759715,2017-01-04 01:00:00-05:00
175.89,178.63,174.84,178.43,840613,2017-01-05 01:00:00-05:00
178.1,180.69,178.1,180.0,732769,2017-01-06 01:00:00-05:00
179.83,180.03,176.87,177.22,637013,2017-01-09 01:00:00-05:00
176.59,177.7,175.6401,176.82,602868,2017-01-10 01:00:00-05:00
176.59,177.885,174.26,175.17,1118275,2017-01-11 01:00:00-05:00
174.9,177.02,173.64,176.59,679784,2017-01-12 01:00:00-05:00
176.34,176.93,175.47,176.26,471424,2017-01-13 01:00:00-05:00
176.22,178.15,174.8501,176.31,807993,2017-01-17 01:00:00-05:00
176.66,177.76,175.47,176.57,609914,2017-01-18 01:00:00-05:00
175.83,175.83,173.92,175.22,594401,2017-01-19 01:00:00-05:00
175.38,177.37,174.83,176.97,563977,2017-01-20 01:00:00-05:00
176.58,177.5,175.76,176.9,519126,2017-01-23 01:00:00-05:00
177.31,177.99,174.51,175.56,746878,2017-01-24 01:00:00-05:00
174.76,175.71,173.31,173.43,957597,2017-01-25 01:00:00-05:00
173.72,175.05,173.17,174.21,671022,2017-01-26 01:00:00-05:00
174.52,174.72,172.12,173.12,577899,2017-01-27 01:00:00-05:00
173.03,173.8699,171.53,172.11,692645,2017-01-30 01:00:00-05:00
172.5,174.41,172.15,173.31,962996,2017-01-31 01:00:00-05:00
172.21,173.59,169.5,169.61,1181191,2017-02-01 01:00:00-05:00
171.34,176.85,171.09,175.54,1514730,2017-02-02 01:00:00-05:00
176.69,179.0,172.92,173.53,908078,2017-02-03 01:00:00-05:00
173.69,175.53,172.68,174.82,644952,2017-02-06 01:00:00-05:00
174.6,176.52,174.29,175.72,698008,2017-02-07 01:00:00-05:00
175.71,179.33,174.96,178.5,928130,2017-02-08 01:00:00-05:00
178.5,179.11,177.85,178.25,634856,2017-02-09 01:00:00-05:00
177.22,180.27,177.15,179.87,592163,2017-02-10 01:00:00-05:00
180.41,180.41,176.79,178.55,884272,2017-02-13 01:00:00-05:00
177.94,178.61,175.71,178.46,536051,2017-02-14 01:00:00-05:00
177.32,178.61,175.76,177.83,637042,2017-02-15 01:00:00-05:00
178.28,179.25,177.3,179.07,569742,2017-02-16 01:00:00-05:00
179.27,179.91,177.17,178.54,498560,2017-02-17 01:00:00-05:00
178.03,181.68,177.9,181.1,609909,2017-02-21 01:00:00-05:00
181.3,181.84,178.68,180.71,497906,2017-02-22 01:00:00-05:00
181.61,183.13,180.95,182.75,675466,2017-02-23 01:00:00-05:00
183.0,183.33,181.24,183.06,515939,2017-02-24 01:00:00-05:00
183.56,184.14,182.76,183.49,362058,2017-02-27 01:00:00-05:00
183.72,184.43,182.84,183.78,794304,2017-02-28 01:00:00-05:00
183.33,184.88,181.8,183.31,594400,2017-03-01 01:00:00-05:00
183.28,184.28,181.43,182.84,524005,2017-03-02 01:00:00-05:00
182.0,182.3,179.44,181.17,420357,2017-03-03 01:00:00-05:00
180.24,183.3,180.14,182.83,719473,2017-03-06 01:00:00-05:00
182.91,183.28,181.66,183.05,427954,2017-03-07 01:00:00-05:00
183.49,184.24,181.34,181.53,806752,2017-03-08 01:00:00-05:00
181.76,182.405,178.18,178.66,698670,2017-03-09 01:00:00-05:00
179.53,181.51,176.15,177.77,576684,2017-03-10 01:00:00-05:00
