open,high,low,close,volume,datetime
60.5,61.3399,60.32,61.14,2237329,2017-07-12 01:00:00-04:00
61.2,61.59,61.08,61.42,3226637,2017-07-13 01:00:00-04:00
60.99,61.43,60.42,61.26,2119031,2017-07-14 01:00:00-04:00
61.19,61.365,60.78,61.07,2510075,2017-07-17 01:00:00-04:00
60.78,61.06,60.56,61.04,1518914,2017-07-18 01:00:00-04:00
61.16,61.4,60.91,61.14,1940539,2017-07-19 01:00:00-04:00
61.0,61.56,60.94,61.37,1940339,2017-07-20 01:00:00-04:00
61.76,62.86,61.7,62.53,3646309,2017-07-21 01:00:00-04:00
62.45,62.715,61.94,62.53,2296271,2017-07-24 01:00:00-04:00
62.95,63.93,62.95,63.79,3321542,2017-07-25 01:00:00-04:00
64.0,64.0,63.04,63.13,3782752,2017-07-26 01:00:00-04:00
61.32,62.09,59.92,60.44,7624609,2017-07-27 01:00:00-04:00
60.4,60.89,60.2,60.26,3526890,2017-07-28 01:00:00-04:00
60.4,61.3,60.35,60.94,2345548,2017-07-31 01:00:00-04:00
61.29,61.48,60.59,60.61,2926666,2017-08-01 01:00:00-04:00
60.54,61.03,60.4,60.78,2256701,2017-08-02 01:00:00-04:00
60.65,60.84,60.31,60.46,2224494,2017-08-03 01:00:00-04:00
61.0,61.33,60.93,61.04,1829906,2017-08-04 01:00:00-04:00
60.86,61.5,60.86,61.39,2020497,2017-08-07 01:00:00-04:00
61.28,62.54,61.01,61.96,2902102,2017-08-08 01:00:00-04:00
61.49,61.63,60.965,61.26,1834036,2017-08-09 01:00:00-04:00
60.89,61.08,60.09,60.1,2280850,2017-08-10 01:00:00-04:00
60.12,60.22,59.56,59.64,2164189,2017-08-11 01:00:00-04:00
60.21,60.68,60.12,60.5,1802428,2017-08-14 01:00:00-04:00
61.03,62.11,61.03,61.87,2876340,2017-08-15 01:00:00-04:00
62.18,62.47,61.59,61.71,2309308,2017-08-16 01:00:00-04:00
61.45,61.67,59.895,59.9,1905639,2017-08-17 01:00:00-04:00
59.73,60.0,59.395,59.43,2044334,2017-08-18 01:00:00-04:00
59.49,59.58,59.11,59.27,1555895,2017-08-21 01:00:00-04:00
59.25,59.58,58.97,59.5,2627770,2017-08-22 01:00:00-04:00
59.14,59.71,58.92,59.31,1498603,2017-08-23 01:00:00-04:00
59.42,59.73,59.24,59.47,1730224,2017-08-24 01:00:00-04:00
59.63,60.465,59.63,59.69,2776868,2017-08-25 01:00:00-04:00
59.83,59.96,59.01,59.1,1200014,2017-08-28 01:00:00-04:00
58.52,58.67,58.125,58.45,2706905,2017-08-29 01:00:00-04:00
58.49,59.26,58.44,58.97,1775314,2017-08-30 01:00:00-04:00
58.97,59.4,58.78,58.95,2321778,2017-08-31 01:00:00-04:00
59.12,59.84,58.89,59.59,1343074,2017-09-01 01:00:00-04:00
59.3,59.3,57.98,58.44,2504237,2017-09-05 01:00:00-04:00
58.68,59.06,58.41,58.86,1846375,2017-09-06 01:00:00-04:00
58.92,58.98,57.72,58.09,2432210,2017-09-07 01:00:00-04:00
57.96,58.2,57.63,57.66,1966894,2017-09-08 01:00:00-04:00
58.01,58.48,57.82,58.19,2667393,2017-09-11 01:00:00-04:00
58.35,58.54,57.5,57.99,3270093,2017-09-12 01:00:00-04:00
58.0,59.355,57.83,59.29,2901559,2017-09-13 01:00:00-04:00
59.21,59.415,58.57,58.65,1765636,2017-09-14 01:00:00-04:00
58.54,59.52,58.48,59.43,4212083,2017-09-15 01:00:00-04:00
59.54,60.47,59.45,60.25,2432816,2017-09-18 01:00:00-04:00
60.25,60.78,60.05,60.49,2007282,2017-09-19 01:00:00-04:00
60.43,60.62,60.01,60.34,2816767,2017-09-20 01:00:00-04:00
60.31,60.75,60.14,60.5,1734268,2017-09-21 01:00:00-04:00
60.38,61.42,60.38,61.41,2111776,2017-09-22 01:00:00-04:00
61.3,62.27,61.21,61.91,2161531,2017-09-25 01:00:00-04:00
61.7,62.75,61.64,62.69,2806619,2017-09-26 01:00:00-04:00
63.26,64.19,63.12,64.06,3413078,2017-09-27 01:00:00-04:00
64.06,64.5,63.73,64.36,2393067,2017-09-28 01:00:00-04:00
64.55,64.73,63.95,64.48,2494510,2017-09-29 01:00:00-04:00
64.51,65.22,64.27,65.16,2258395,2017-10-02 01:00:00-04:00
65.17,65.8,65.13,65.74,3260668,2017-10-03 01:00:00-04:00
65.47,65.98,64.99,65.49,2200602,2017-10-04 01:00:00-04:00
65.53,66.155,65.31,65.97,2387973,2017-10-05 01:00:00-04:00
65.92,66.01,65.425,65.75,2554417,2017-10-06 01:00:00-04:00
65.81,66.14,65.26,65.38,1974762,2017-10-09 01:00:00-04:00
65.42,65.74,65.18,65.34,1698207,2017-10-10 01:00:00-04:00
65.16,65.36,64.6,64.84,2155699,2017-10-11 01:00:00-04:00
64.21,64.84,63.66,63.81,3782521,2017-10-12 01:00:00-04:00
63.73,64.42,63.53,63.88,2780064,2017-10-13 01:00:00-04:00
64.19,65.4,64.19,65.35,3294992,2017-10-16 01:00:00-04:00
65.41,65.535,64.56,64.66,1680911,2017-10-17 01:00:00-04:00
64.97,65.56,64.82,65.39,1969788,2017-10-18 01:00:00-04:00
65.03,65.76,64.8,65.66,2077822,2017-10-19 01:00:00-04:00
66.21,67.1,66.21,66.57,3211817,2017-10-20 01:00:00-04:00
66.6,67.035,66.59,66.84,2552899,2017-10-23 01:00:00-04:00
66.96,67.41,66.83,67.39,2696087,2017-10-24 01:00:00-04:00
66.11,67.3,64.59,65.15,5375237,2017-10-25 01:00:00-04:00
65.7,66.92,65.565,66.69,3020761,2017-10-26 01:00:00-04:00
66.6,66.99,66.23,66.78,1713309,2017-10-27 01:00:00-04:00
66.61,67.08,66.4,66.51,1423951,2017-10-30 01:00:00-04:00
66.3,66.86,66.17,66.53,1920273,2017-10-31 01:00:00-04:00
66.68,67.175,66.3,66.9,1923130,2017-11-01 01:00:00-04:00
66.82,67.115,66.11,66.93,2362293,2017-11-02 01:00:00-04:00
67.01,67.86,66.85,67.44,3146339,2017-11-03 01:00:00-04:00
67.26,67.42,66.79,67.02,1331802,2017-11-06 01:00:00-05:00
67.04,67.19,66.16,66.44,1800334,2017-11-07 01:00:00-05:00
66.16,66.25,65.5076,66.09,1634363,2017-11-08 01:00:00-05:00
65.75,65.97,64.78,65.47,2195371,2017-11-09 01:00:00-05:00
65.4,65.69,64.73,64.76,1630893,2017-11-10 01:00:00-05:00
64.58,65.05,63.87,65.0,2186138,2017-11-13 01:00:00-05:00
64.52,64.83,63.985,64.21,2046324,2017-11-14 01:00:00-05:00
63.8,65.52,63.31,65.27,3254170,2017-11-15 01:00:00-05:00
65.41,65.85,64.77,64.82,2266918,2017-11-16 01:00:00-05:00
64.6,65.3904,64.5,65.06,1491345,2017-11-17 01:00:00-05:00
65.24,66.14,65.1301,65.82,1237951,2017-11-20 01:00:00-05:00
65.77,65.92,65.28,65.64,1228889,2017-11-21 01:00:00-05:00
65.64,65.86,65.0,65.5,2026240,2017-11-22 01:00:00-05:00
65.57,65.64,65.19,65.4,897294,2017-11-24 01:00:00-05:00
65.49,65.82,65.13,65.34,1764582,2017-11-27 01:00:00-05:00
65.42,67.7,65.1,67.63,2291241,2017-11-28 01:00:00-05:00
68.0,69.98,67.975,69.01,2778956,2017-11-29 01:00:00-05:00
69.44,71.18,69.28,70.6,3971556,2017-11-30 01:00:00-05:00
70.79,71.19,68.77,71.12,2557963,2017-12-01 01:00:00-05:00
72.02,73.76,72.0,73.44,3998076,2017-12-04 01:00:00-05:00
74.16,74.41,72.6,73.18,3449019,2017-12-05 01:00:00-05:00
72.75,73.35,72.7,72.94,2309514,2017-12-06 01:00:00-05:00
72.53,73.83,72.25,73.45,1605917,2017-12-07 01:00:00-05:00
73.69,73.8,73.11,73.8,1851279,2017-12-08 01:00:00-05:00
74.13,74.68,73.74,74.35,2368839,2017-12-11 01:00:00-05:00
74.66,75.51,74.55,75.09,2196906,2017-12-12 01:00:00-05:00
74.84,75.1,73.73,73.82,2213066,2017-12-13 01:00:00-05:00
73.98,74.39,73.43,73.67,1316269,2017-12-14 01:00:00-05:00
74.02,75.16,73.85,74.59,5182601,2017-12-15 01:00:00-05:00
75.49,76.88,75.2812,75.96,3157836,2017-12-18 01:00:00-05:00
76.349,76.72,75.83,75.95,2403686,2017-12-19 01:00:00-05:00
76.52,76.52,75.66,75.74,1920196,2017-12-20 01:00:00-05:00
76.15,76.5125,75.75,76.04,2073354,2017-12-21 01:00:00-05:00
76.19,77.25,76.1,77.13,2224285,2017-12-22 01:00:00-05:00
77.03,77.52,76.97,77.26,1073469,2017-12-26 01:00:00-05:00
77.15,77.15,76.52,76.96,2108313,2017-12-27 01:00:00-05:00
77.0,77.54,76.98,77.5,1909659,2017-12-28 01:00:00-05:00
77.79,77.79,76.92,76.92,1481327,2017-12-29 01:00:00-05:00
77.24,77.47,76.38,76.91,3122476,2018-01-02 01:00:00-05:00
77.11,77.66,77.11,77.48,1921196,2018-01-03 01:00:00-05:00
78.0,78.83,77.81,78.25,1994667,2018-01-04 01:00:00-05:00
78.53,78.53,77.34,78.16,1642614,2018-01-05 01:00:00-05:00
78.16,78.19,77.44,77.57,1762281,2018-01-08 01:00:00-05:00
77.83,78.415,77.41,78.24,2306027,2018-01-09 01:00:00-05:00
78.41,79.91,78.38,79.47,2490934,2018-01-10 01:00:00-05:00
79.75,80.38,79.435,80.36,1951080,2018-01-11 01:00:00-05:00
80.86,81.0,80.22,80.51,2078412,2018-01-12 01:00:00-05:00
81.0,81.23,78.56,78.94,1985036,2018-01-16 01:00:00-05:00
79.3,79.3,78.37,78.93,2441166,2018-01-17 01:00:00-05:00
79.07,79.14,78.12,78.22,1700963,2018-01-18 01:00:00-05:00
78.18,78.39,77.12,78.32,4342418,2018-01-19 01:00:00-05:00
78.09,78.905,77.83,78.87,1818162,2018-01-22 01:00:00-05:00
78.53,78.96,77.6,78.72,2866731,2018-01-23 01:00:00-05:00
78.97,79.53,78.34,78.74,3210939,2018-01-24 01:00:00-05:00
78.28,81.25,78.05,80.3,3049228,2018-01-25 01:00:00-05:00
80.51,80.99,79.44,80.98,2365365,2018-01-26 01:00:00-05:00
80.75,81.93,80.75,81.31,2015395,2018-01-29 01:00:00-05:00
81.44,81.44,79.72,79.72,1775453,2018-01-30 01:00:00-05:00
80.32,80.69,79.69,79.8,1700863,2018-01-31 01:00:00-05:00
79.51,80.8,79.31,80.62,2120746,2018-02-01 01:00:00-05:00
80.45,80.84,78.85,78.97,2176141,2018-02-02 01:00:00-05:00
77.79,79.33,74.5,74.88,2659331,2018-02-05 01:00:00-05:00
