open,high,low,close,volume,datetime
77.3,78.65,76.86,78.59,1395282,2016-12-07 01:00:00-05:00
78.47,79.28,76.78,78.94,2863388,2016-12-08 01:00:00-05:00
79.19,79.43,78.35,78.6,1612014,2016-12-09 01:00:00-05:00
78.03,78.42,77.711,78.09,2191415,2016-12-12 01:00:00-05:00
78.01,78.18,76.39,76.86,2134766,2016-12-13 01:00:00-05:00
77.08,77.19,76.11,76.4,1808332,2016-12-14 01:00:00-05:00
76.67,76.81,75.56,75.76,1785940,2016-12-15 01:00:00-05:00
75.74,76.0,74.89,75.53,3316047,2016-12-16 01:00:00-05:00
75.31,76.359,74.76,75.68,2255088,2016-12-19 01:00:00-05:00
76.5,78.155,75.05,75.74,3105341,2016-12-20 01:00:00-05:00
75.7,76.23,75.21,75.74,1459949,2016-12-21 01:00:00-05:00
75.7,75.7,74.14,74.57,1098168,2016-12-22 01:00:00-05:00
74.41,74.665,73.73,74.48,633552,2016-12-23 01:00:00-05:00
74.77,75.22,74.32,74.37,641938,2016-12-27 01:00:00-05:00
74.28,74.87,73.35,73.68,954937,2016-12-28 01:00:00-05:00
73.76,74.24,73.57,73.78,540808,2016-12-29 01:00:00-05:00
73.57,73.74,72.03,72.72,1453084,2016-12-30 01:00:00-05:00
73.2,73.23,71.19,72.06,2143848,2017-01-03 01:00:00-05:00
72.15,72.76,71.82,72.09,1907504,2017-01-04 01:00:00-05:00
72.96,72.96,71.675,72.33,1840435,2017-01-05 01:00:00-05:00
72.09,72.36,71.34,71.55,2240037,2017-01-06 01:00:00-05:00
71.49,72.0,71.015,71.56,1466456,2017-01-09 01:00:00-05:00
71.66,72.63,71.55,72.25,2029464,2017-01-10 01:00:00-05:00
72.04,73.09,72.04,72.89,1952067,2017-01-11 01:00:00-05:00
72.87,74.06,72.675,73.81,2122233,2017-01-12 01:00:00-05:00
73.68,73.83,72.9,73.37,1410282,2017-01-13 01:00:00-05:00
73.14,74.05,72.73,72.88,1331562,2017-01-17 01:00:00-05:00
73.26,73.26,72.43,73.16,852380,2017-01-18 01:00:00-05:00
72.92,73.29,72.36,72.59,1139962,2017-01-19 01:00:00-05:00
72.74,73.66,72.625,73.44,1224471,2017-01-20 01:00:00-05:00
73.38,73.44,72.44,73.0,1436192,2017-01-23 01:00:00-05:00
73.22,73.82,73.06,73.67,1137923,2017-01-24 01:00:00-05:00
72.96,73.7,72.5,73.57,1435871,2017-01-25 01:00:00-05:00
73.76,74.46,73.4,73.55,749560,2017-01-26 01:00:00-05:00
73.68,73.82,72.7,73.56,1101000,2017-01-27 01:00:00-05:00
74.04,74.04,73.02,73.82,1139354,2017-01-30 01:00:00-05:00
73.96,74.09,72.79,73.28,1132516,2017-01-31 01:00:00-05:00
73.26,73.69,71.73,72.18,1898914,2017-02-01 01:00:00-05:00
72.08,72.35,71.43,71.63,1708965,2017-02-02 01:00:00-05:00
72.97,73.18,71.625,71.82,1681937,2017-02-03 01:00:00-05:00
71.8,72.96,71.68,72.33,2188276,2017-02-06 01:00:00-05:00
72.4,73.23,71.81,71.85,1264335,2017-02-07 01:00:00-05:00
71.7,73.51,71.7,73.44,982847,2017-02-08 01:00:00-05:00
73.46,75.22,73.18,75.07,1592876,2017-02-09 01:00:00-05:00
75.33,76.76,75.32,76.28,1690597,2017-02-10 01:00:00-05:00
76.42,76.71,76.02,76.08,1156008,2017-02-13 01:00:00-05:00
75.36,76.25,74.85,76.24,1057107,2017-02-14 01:00:00-05:00
76.06,76.3,75.2675,75.74,1395078,2017-02-15 01:00:00-05:00
75.99,76.3,75.44,75.8,658407,2017-02-16 01:00:00-05:00
75.7,76.75,75.61,76.73,1195862,2017-02-17 01:00:00-05:00
76.54,77.11,76.445,76.7,1269537,2017-02-21 01:00:00-05:00
75.92,76.15,74.875,75.42,1472238,2017-02-22 01:00:00-05:00
75.51,76.06,75.21,75.46,1089027,2017-02-23 01:00:00-05:00
75.02,75.66,74.62,75.46,1160021,2017-02-24 01:00:00-05:00
75.51,75.65,74.31,74.53,1411108,2017-02-27 01:00:00-05:00
74.65,75.015,74.3401,74.68,1602525,2017-02-28 01:00:00-05:00
75.43,75.48,74.73,74.89,930116,2017-03-01 01:00:00-05:00
74.85,75.55,74.61,75.47,1065730,2017-03-02 01:00:00-05:00
75.4,75.44,74.49,75.11,696579,2017-03-03 01:00:00-05:00
74.97,75.23,74.21,74.68,1118350,2017-03-06 01:00:00-05:00
74.79,74.79,74.11,74.51,1329773,2017-03-07 01:00:00-05:00
74.57,75.54,74.515,75.18,1219055,2017-03-08 01:00:00-05:00
75.07,75.59,74.88,75.22,778100,2017-03-09 01:00:00-05:00
75.26,75.8,73.83,74.16,2159743,2017-03-10 01:00:00-05:00
74.36,74.55,73.81,74.45,1863357,2017-03-13 01:00:00-04:00
74.59,74.75,74.01,74.61,1026435,2017-03-14 01:00:00-04:00
74.55,75.92,74.31,75.83,1400030,2017-03-15 01:00:00-04:00
75.84,76.12,75.24,75.4,956474,2017-03-16 01:00:00-04:00
75.77,77.07,75.54,76.66,2140540,2017-03-17 01:00:00-04:00
76.69,77.0979,76.34,76.86,932309,2017-03-20 01:00:00-04:00
77.0,77.4,76.46,76.6,1381165,2017-03-21 01:00:00-04:00
76.54,77.16,76.31,77.0,1370126,2017-03-22 01:00:00-04:00
