open,high,low,close,volume,datetime
57.73,57.97,57.16,57.2,1124560,2017-07-12 01:00:00-04:00
57.18,57.29,56.73,57.11,703669,2017-07-13 01:00:00-04:00
57.11,57.5,57.03,57.27,808655,2017-07-14 01:00:00-04:00
57.26,57.82,57.01,57.58,988594,2017-07-17 01:00:00-04:00
57.53,59.075,57.45,58.82,1925522,2017-07-18 01:00:00-04:00
58.84,59.21,58.66,59.1,1290710,2017-07-19 01:00:00-04:00
59.04,59.34,58.76,59.05,911192,2017-07-20 01:00:00-04:00
58.6,59.52,58.6,59.01,1401447,2017-07-21 01:00:00-04:00
59.04,59.32,58.92,59.09,1106441,2017-07-24 01:00:00-04:00
59.47,59.735,59.265,59.6,558373,2017-07-25 01:00:00-04:00
59.7,59.895,59.49,59.66,651113,2017-07-26 01:00:00-04:00
59.73,59.73,58.31,58.64,1708631,2017-07-27 01:00:00-04:00
58.68,59.22,58.68,58.78,793654,2017-07-28 01:00:00-04:00
58.84,59.12,58.84,58.88,820661,2017-07-31 01:00:00-04:00
58.445,59.1,58.445,58.79,983542,2017-08-01 01:00:00-04:00
58.8,59.27,58.37,59.14,936345,2017-08-02 01:00:00-04:00
59.01,59.6,58.71,59.56,856285,2017-08-03 01:00:00-04:00
59.54,59.79,59.31,59.56,716814,2017-08-04 01:00:00-04:00
59.36,59.43,58.98,59.06,1154575,2017-08-07 01:00:00-04:00
57.34,57.5,55.17,55.92,2594729,2017-08-08 01:00:00-04:00
55.11,55.74,55.01,55.62,1783942,2017-08-09 01:00:00-04:00
55.55,55.78,54.715,54.74,1529243,2017-08-10 01:00:00-04:00
54.89,54.94,54.32,54.44,1596297,2017-08-11 01:00:00-04:00
54.6,55.84,54.6,55.7,1452564,2017-08-14 01:00:00-04:00
55.72,55.92,55.37,55.57,901010,2017-08-15 01:00:00-04:00
55.67,56.29,55.67,55.72,821049,2017-08-16 01:00:00-04:00
55.61,55.96,54.78,54.82,1235143,2017-08-17 01:00:00-04:00
54.82,55.36,54.73,54.87,1006746,2017-08-18 01:00:00-04:00
54.93,55.33,54.69,54.98,885130,2017-08-21 01:00:00-04:00
55.26,55.94,55.1888,55.75,960343,2017-08-22 01:00:00-04:00
55.6,55.6,54.91,55.03,886663,2017-08-23 01:00:00-04:00
55.16,55.16,54.7,54.95,572310,2017-08-24 01:00:00-04:00
55.25,55.46,55.005,55.05,688229,2017-08-25 01:00:00-04:00
55.26,55.48,54.94,55.44,656840,2017-08-28 01:00:00-04:00
55.23,56.02,55.03,55.9,1248072,2017-08-29 01:00:00-04:00
55.96,56.37,55.7,56.12,984160,2017-08-30 01:00:00-04:00
56.16,56.46,55.72,56.1,1161346,2017-08-31 01:00:00-04:00
56.32,56.77,56.255,56.53,856024,2017-09-01 01:00:00-04:00
56.23,56.69,56.23,56.55,953419,2017-09-05 01:00:00-04:00
56.62,57.16,56.42,56.47,1245050,2017-09-06 01:00:00-04:00
56.59,56.81,56.39,56.59,2174953,2017-09-07 01:00:00-04:00
56.59,57.15,56.43,56.97,1278987,2017-09-08 01:00:00-04:00
57.06,57.45,56.86,57.15,1254275,2017-09-11 01:00:00-04:00
57.28,58.18,56.86,57.96,898510,2017-09-12 01:00:00-04:00
57.46,57.49,56.69,56.72,1270940,2017-09-13 01:00:00-04:00
56.82,57.21,56.765,57.04,1704824,2017-09-14 01:00:00-04:00
56.98,57.06,56.77,56.9,1322338,2017-09-15 01:00:00-04:00
57.06,57.1315,56.8,56.89,566150,2017-09-18 01:00:00-04:00
57.08,57.19,56.72,57.12,556782,2017-09-19 01:00:00-04:00
57.28,58.04,57.28,57.99,1103150,2017-09-20 01:00:00-04:00
58.02,58.5,57.64,57.75,455795,2017-09-21 01:00:00-04:00
57.8,58.63,57.8,58.19,774974,2017-09-22 01:00:00-04:00
58.06,58.11,57.7,58.08,540382,2017-09-25 01:00:00-04:00
58.09,59.1,57.92,58.95,885554,2017-09-26 01:00:00-04:00
59.19,59.48,58.66,59.4,794677,2017-09-27 01:00:00-04:00
59.29,59.75,59.15,59.63,725352,2017-09-28 01:00:00-04:00
59.81,60.3,59.64,59.86,1213265,2017-09-29 01:00:00-04:00
59.83,60.36,59.5,60.34,1042150,2017-10-02 01:00:00-04:00
60.21,60.43,59.8,60.24,875714,2017-10-03 01:00:00-04:00
60.14,60.47,59.99,60.1,997940,2017-10-04 01:00:00-04:00
59.99,60.28,59.65,60.27,726812,2017-10-05 01:00:00-04:00
60.13,60.46,60.04,60.34,534308,2017-10-06 01:00:00-04:00
