open,high,low,close,volume,datetime
74.73,75.66,73.97,75.62,2811351,2016-12-07 01:00:00-05:00
75.55,75.555,74.71,75.12,1787429,2016-12-08 01:00:00-05:00
75.12,75.72,74.98,75.56,1456379,2016-12-09 01:00:00-05:00
75.44,76.1,75.37,75.78,1813280,2016-12-12 01:00:00-05:00
76.06,76.3926,75.3,75.34,1590729,2016-12-13 01:00:00-05:00
75.23,76.6,75.03,75.92,2777181,2016-12-14 01:00:00-05:00
76.11,77.78,75.6,77.35,2132676,2016-12-15 01:00:00-05:00
77.55,77.74,76.27,76.64,7858259,2016-12-16 01:00:00-05:00
76.71,76.95,75.92,76.08,1740481,2016-12-19 01:00:00-05:00
76.25,76.56,75.68,76.46,1692343,2016-12-20 01:00:00-05:00
76.29,77.22,76.03,76.69,960249,2016-12-21 01:00:00-05:00
76.52,76.52,75.59,75.8,2082270,2016-12-22 01:00:00-05:00
76.03,76.82,75.78,76.02,993118,2016-12-23 01:00:00-05:00
76.11,76.91,75.8601,76.67,1186458,2016-12-27 01:00:00-05:00
76.6,76.87,76.12,76.58,1561931,2016-12-28 01:00:00-05:00
76.65,77.12,76.51,77.0,1471959,2016-12-29 01:00:00-05:00
77.0,77.14,75.4,75.64,1610119,2016-12-30 01:00:00-05:00
76.28,77.05,75.88,76.98,1646556,2017-01-03 01:00:00-05:00
76.86,78.25,76.86,78.24,1556527,2017-01-04 01:00:00-05:00
78.25,78.79,77.75,78.05,1150149,2017-01-05 01:00:00-05:00
78.51,79.02,77.68,78.89,973712,2017-01-06 01:00:00-05:00
78.92,78.945,78.02,78.04,963590,2017-01-09 01:00:00-05:00
78.07,78.33,77.64,77.65,796031,2017-01-10 01:00:00-05:00
77.43,77.7175,77.0,77.39,1201347,2017-01-11 01:00:00-05:00
76.98,77.2299,76.09,77.05,2217267,2017-01-12 01:00:00-05:00
76.95,77.45,76.7,77.37,1228319,2017-01-13 01:00:00-05:00
77.26,78.75,77.085,78.7,2186977,2017-01-17 01:00:00-05:00
78.87,79.54,78.16,79.46,2633158,2017-01-18 01:00:00-05:00
79.26,79.3098,78.58,79.15,1590928,2017-01-19 01:00:00-05:00
79.56,79.98,79.24,79.79,3061399,2017-01-20 01:00:00-05:00
79.8,80.345,79.62,80.07,2794749,2017-01-23 01:00:00-05:00
80.0,80.08,79.475,80.03,1901666,2017-01-24 01:00:00-05:00
