open,high,low,close,volume,datetime
140.46,142.06,140.46,141.84,390113,2016-12-07 01:00:00-05:00
140.95,141.97,139.42,141.78,366914,2016-12-08 01:00:00-05:00
141.69,143.45,140.94,141.49,280970,2016-12-09 01:00:00-05:00
140.83,142.14,140.54,141.35,396547,2016-12-12 01:00:00-05:00
142.29,143.0,140.33,142.09,650780,2016-12-13 01:00:00-05:00
142.53,142.83,138.55,138.61,473721,2016-12-14 01:00:00-05:00
138.4,140.25,137.59,138.08,346168,2016-12-15 01:00:00-05:00
139.33,141.32,139.21,140.26,793169,2016-12-16 01:00:00-05:00
141.43,142.9,140.71,142.09,318800,2016-12-19 01:00:00-05:00
141.48,142.75,140.9,142.14,275369,2016-12-20 01:00:00-05:00
142.37,143.47,139.73,139.8,351608,2016-12-21 01:00:00-05:00
139.28,139.82,137.93,139.71,299342,2016-12-22 01:00:00-05:00
140.08,140.33,139.09,139.66,222434,2016-12-23 01:00:00-05:00
139.52,140.7,139.36,140.1,312236,2016-12-27 01:00:00-05:00
140.02,140.3,138.255,138.93,358176,2016-12-28 01:00:00-05:00
138.28,140.29,137.95,140.05,471641,2016-12-29 01:00:00-05:00
139.97,142.81,139.74,142.11,440017,2016-12-30 01:00:00-05:00
142.92,143.44,141.51,143.4,518619,2017-01-03 01:00:00-05:00
143.61,144.59,143.19,144.22,410104,2017-01-04 01:00:00-05:00
143.09,145.48,142.03,145.29,451041,2017-01-05 01:00:00-05:00
144.73,145.8,144.03,144.49,414016,2017-01-06 01:00:00-05:00
144.94,145.01,142.54,142.68,365009,2017-01-09 01:00:00-05:00
142.41,142.48,140.79,141.19,394370,2017-01-10 01:00:00-05:00
141.01,141.865,139.6,139.77,309445,2017-01-11 01:00:00-05:00
139.77,140.65,138.89,140.62,329599,2017-01-12 01:00:00-05:00
140.09,140.88,139.34,140.18,300683,2017-01-13 01:00:00-05:00
140.69,141.5,140.5801,141.29,378542,2017-01-17 01:00:00-05:00
141.56,141.72,140.36,141.53,289062,2017-01-18 01:00:00-05:00
141.0,141.0,138.98,139.25,279025,2017-01-19 01:00:00-05:00
139.39,140.82,139.2514,140.72,313214,2017-01-20 01:00:00-05:00
140.21,142.0,140.21,141.72,259426,2017-01-23 01:00:00-05:00
141.74,142.42,140.38,140.96,411316,2017-01-24 01:00:00-05:00
141.12,141.58,140.01,140.77,414768,2017-01-25 01:00:00-05:00
140.85,141.62,140.29,140.8,295271,2017-01-26 01:00:00-05:00
141.28,141.28,139.17,139.69,279484,2017-01-27 01:00:00-05:00
139.05,139.89,138.35,139.14,319991,2017-01-30 01:00:00-05:00
139.44,140.75,139.33,140.43,1552153,2017-01-31 01:00:00-05:00
139.73,140.48,137.04,137.5,557859,2017-02-01 01:00:00-05:00
137.75,140.115,137.71,140.11,434185,2017-02-02 01:00:00-05:00
140.82,141.25,139.27,139.94,325240,2017-02-03 01:00:00-05:00
139.91,140.5,139.35,139.79,253304,2017-02-06 01:00:00-05:00
140.19,140.68,139.11,139.68,315050,2017-02-07 01:00:00-05:00
139.74,140.691,139.4,140.33,297576,2017-02-08 01:00:00-05:00
140.47,142.08,140.02,142.02,283495,2017-02-09 01:00:00-05:00
141.6,142.99,141.54,142.96,251891,2017-02-10 01:00:00-05:00
143.32,143.32,141.54,142.95,347106,2017-02-13 01:00:00-05:00
142.12,143.0,140.01,141.08,512118,2017-02-14 01:00:00-05:00
140.1,140.84,139.13,139.98,489344,2017-02-15 01:00:00-05:00
140.34,141.5,140.15,140.5,304694,2017-02-16 01:00:00-05:00
140.91,141.2,139.26,140.66,378090,2017-02-17 01:00:00-05:00
140.51,142.68,140.16,142.5,440724,2017-02-21 01:00:00-05:00
142.27,143.24,140.62,141.55,350817,2017-02-22 01:00:00-05:00
142.21,142.77,141.315,142.4,357484,2017-02-23 01:00:00-05:00
142.67,142.67,141.32,142.34,332538,2017-02-24 01:00:00-05:00
142.69,143.79,141.6,142.22,362891,2017-02-27 01:00:00-05:00
142.33,142.33,140.12,140.73,418551,2017-02-28 01:00:00-05:00
139.89,140.0,138.3,138.97,627133,2017-03-01 01:00:00-05:00
138.37,138.55,136.198,136.76,584793,2017-03-02 01:00:00-05:00
137.12,137.18,134.08,135.02,549367,2017-03-03 01:00:00-05:00
135.01,135.01,134.0,134.3,416170,2017-03-06 01:00:00-05:00
134.39,134.77,132.91,133.39,322991,2017-03-07 01:00:00-05:00
132.65,133.15,130.16,130.5,540064,2017-03-08 01:00:00-05:00
130.56,131.24,127.29,127.44,523003,2017-03-09 01:00:00-05:00
127.33,128.1772,126.02,126.98,659274,2017-03-10 01:00:00-05:00
128.58,128.58,126.99,128.32,597730,2017-03-13 01:00:00-04:00
128.0,130.06,127.61,129.62,654038,2017-03-14 01:00:00-04:00
129.9,133.59,129.62,133.02,527112,2017-03-15 01:00:00-04:00
132.7,133.36,132.24,133.0,555027,2017-03-16 01:00:00-04:00
133.72,134.9,132.91,134.75,1347727,2017-03-17 01:00:00-04:00
