open,high,low,close,volume,datetime
61.24,63.27,61.24,62.99,3564628,2016-12-07 01:00:00-05:00
62.7,62.77,62.13,62.48,2646242,2016-12-08 01:00:00-05:00
62.56,63.22,62.36,63.2,1938701,2016-12-09 01:00:00-05:00
63.05,63.92,63.05,63.87,1802610,2016-12-12 01:00:00-05:00
63.85,64.03,63.47,63.74,3112990,2016-12-13 01:00:00-05:00
63.9,64.06,62.6743,62.87,2594086,2016-12-14 01:00:00-05:00
62.07,62.97,61.92,62.82,2963715,2016-12-15 01:00:00-05:00
62.88,63.67,62.88,63.5,3883935,2016-12-16 01:00:00-05:00
63.74,63.74,62.91,63.06,2913269,2016-12-19 01:00:00-05:00
61.06,62.19,60.52,61.45,6168088,2016-12-20 01:00:00-05:00
61.42,62.95,61.399,62.39,4290161,2016-12-21 01:00:00-05:00
62.28,62.52,62.02,62.46,2645393,2016-12-22 01:00:00-05:00
62.46,62.4723,61.87,62.16,1460070,2016-12-23 01:00:00-05:00
62.32,62.432,61.965,62.2,1599717,2016-12-27 01:00:00-05:00
62.11,62.495,61.67,61.89,1701656,2016-12-28 01:00:00-05:00
61.71,62.42,61.67,62.36,1483370,2016-12-29 01:00:00-05:00
62.37,62.47,61.58,61.77,1938083,2016-12-30 01:00:00-05:00
62.09,62.24,61.36,62.09,2327949,2017-01-03 01:00:00-05:00
62.05,62.56,61.95,62.07,2137222,2017-01-04 01:00:00-05:00
62.0,62.47,61.71,62.25,2558494,2017-01-05 01:00:00-05:00
61.72,61.82,61.36,61.47,2282018,2017-01-06 01:00:00-05:00
61.36,61.559,60.52,60.56,3408890,2017-01-09 01:00:00-05:00
60.6,60.734,60.27,60.45,3244256,2017-01-10 01:00:00-05:00
60.45,61.11,60.31,60.98,3374041,2017-01-11 01:00:00-05:00
60.92,61.88,60.86,61.27,2961772,2017-01-12 01:00:00-05:00
61.21,61.47,60.925,61.08,1853784,2017-01-13 01:00:00-05:00
60.96,62.055,60.96,61.98,2775139,2017-01-17 01:00:00-05:00
61.88,62.28,61.82,62.08,2116360,2017-01-18 01:00:00-05:00
62.11,62.13,61.62,61.65,2421539,2017-01-19 01:00:00-05:00
62.0,62.72,61.92,62.42,3103966,2017-01-20 01:00:00-05:00
62.19,62.35,61.55,62.12,2837433,2017-01-23 01:00:00-05:00
