open,high,low,close,volume,datetime
115.73,118.47,115.04,118.02,456040,2016-12-07 01:00:00-05:00
118.11,118.84,117.05,118.79,401022,2016-12-08 01:00:00-05:00
119.21,119.79,118.1,118.24,482963,2016-12-09 01:00:00-05:00
118.36,120.48,117.77,120.29,515116,2016-12-12 01:00:00-05:00
120.75,121.7699,119.85,120.83,414423,2016-12-13 01:00:00-05:00
121.06,121.6,119.2,119.77,582014,2016-12-14 01:00:00-05:00
119.64,120.773,119.3,119.91,450810,2016-12-15 01:00:00-05:00
119.2,120.47,119.12,119.43,1208326,2016-12-16 01:00:00-05:00
120.21,120.48,118.82,119.03,445841,2016-12-19 01:00:00-05:00
119.13,119.55,118.12,118.4,441112,2016-12-20 01:00:00-05:00
118.66,120.1,118.66,119.56,350118,2016-12-21 01:00:00-05:00
119.59,120.0,118.92,119.09,280760,2016-12-22 01:00:00-05:00
119.34,120.33,119.0,119.88,250450,2016-12-23 01:00:00-05:00
120.12,120.85,119.64,119.75,268088,2016-12-27 01:00:00-05:00
119.79,120.895,117.59,117.75,301677,2016-12-28 01:00:00-05:00
117.73,118.68,117.53,118.08,430863,2016-12-29 01:00:00-05:00
118.61,118.935,117.15,117.27,535087,2016-12-30 01:00:00-05:00
118.29,119.18,117.1701,117.6,569453,2017-01-03 01:00:00-05:00
118.02,118.26,113.92,115.95,20606473,2017-01-04 01:00:00-05:00
116.15,118.36,115.9,115.96,1312358,2017-01-05 01:00:00-05:00
115.99,118.91,115.3,118.36,946358,2017-01-06 01:00:00-05:00
120.26,120.86,118.07,119.02,1038924,2017-01-09 01:00:00-05:00
119.14,121.81,119.11,120.71,958328,2017-01-10 01:00:00-05:00
120.99,121.69,119.83,121.12,700022,2017-01-11 01:00:00-05:00
120.83,120.83,118.71,120.64,706687,2017-01-12 01:00:00-05:00
120.44,121.72,120.03,120.8,651573,2017-01-13 01:00:00-05:00
120.88,121.535,119.43,120.01,813556,2017-01-17 01:00:00-05:00
120.16,120.418,118.24,118.9,730228,2017-01-18 01:00:00-05:00
119.24,120.49,118.4,120.28,546860,2017-01-19 01:00:00-05:00
120.43,120.79,118.69,118.88,605350,2017-01-20 01:00:00-05:00
119.02,119.22,116.54,117.74,611756,2017-01-23 01:00:00-05:00
118.07,118.98,117.4,118.51,466432,2017-01-24 01:00:00-05:00
118.84,121.47,118.65,121.4,550342,2017-01-25 01:00:00-05:00
120.88,121.39,118.8,119.61,762012,2017-01-26 01:00:00-05:00
120.02,121.78,119.65,121.66,531517,2017-01-27 01:00:00-05:00
121.57,121.57,119.84,120.5,789769,2017-01-30 01:00:00-05:00
120.51,122.47,120.23,122.33,869795,2017-01-31 01:00:00-05:00
122.4,123.257,121.1901,122.8,944366,2017-02-01 01:00:00-05:00
125.5,139.8999,125.02,139.07,2796731,2017-02-02 01:00:00-05:00
139.53,142.86,138.52,142.02,1758148,2017-02-03 01:00:00-05:00
142.0,142.32,140.21,142.01,1145044,2017-02-06 01:00:00-05:00
142.23,143.47,141.79,143.13,864817,2017-02-07 01:00:00-05:00
142.83,143.09,141.0,141.11,1358731,2017-02-08 01:00:00-05:00
141.39,142.54,140.86,142.11,776761,2017-02-09 01:00:00-05:00
142.07,142.51,141.49,141.83,435483,2017-02-10 01:00:00-05:00
142.73,142.9,141.32,141.7,570982,2017-02-13 01:00:00-05:00
141.11,142.0,140.63,141.6,682783,2017-02-14 01:00:00-05:00
140.89,142.09,140.65,141.74,859407,2017-02-15 01:00:00-05:00
141.93,142.38,140.99,141.95,407324,2017-02-16 01:00:00-05:00
141.71,142.7,141.12,142.23,426961,2017-02-17 01:00:00-05:00
142.3,143.06,141.52,142.4,539709,2017-02-21 01:00:00-05:00
142.16,143.05,141.8,142.25,584507,2017-02-22 01:00:00-05:00
142.63,143.56,141.8301,143.02,510486,2017-02-23 01:00:00-05:00
142.81,143.92,141.02,143.06,571682,2017-02-24 01:00:00-05:00
143.35,144.33,142.5001,143.61,573370,2017-02-27 01:00:00-05:00
143.94,146.17,143.8,144.94,744706,2017-02-28 01:00:00-05:00
145.84,148.22,145.37,147.01,796928,2017-03-01 01:00:00-05:00
147.0,147.26,145.75,146.1,523140,2017-03-02 01:00:00-05:00
146.66,147.67,146.22,147.13,658902,2017-03-03 01:00:00-05:00
146.36,147.75,145.5249,147.08,638106,2017-03-06 01:00:00-05:00
146.74,147.7,145.24,147.03,752590,2017-03-07 01:00:00-05:00
147.35,147.7,146.51,146.88,412618,2017-03-08 01:00:00-05:00
146.77,149.57,146.42,149.41,628446,2017-03-09 01:00:00-05:00
150.33,151.99,149.1,150.28,725131,2017-03-10 01:00:00-05:00
150.66,151.97,150.19,151.6,500890,2017-03-13 01:00:00-04:00
151.73,151.89,150.445,151.21,388728,2017-03-14 01:00:00-04:00
151.45,153.87,151.07,153.68,583579,2017-03-15 01:00:00-04:00
153.94,153.945,151.28,151.62,1033559,2017-03-16 01:00:00-04:00
151.77,152.43,151.3,151.95,3389175,2017-03-17 01:00:00-04:00
152.18,152.415,150.49,151.54,764524,2017-03-20 01:00:00-04:00
151.9,152.34,148.61,150.11,680347,2017-03-21 01:00:00-04:00
152.22,153.94,150.56,152.88,618481,2017-03-22 01:00:00-04:00
152.44,153.69,151.65,152.89,522088,2017-03-23 01:00:00-04:00
153.22,154.57,152.87,153.74,538419,2017-03-24 01:00:00-04:00
152.98,154.49,151.8048,153.96,460058,2017-03-27 01:00:00-04:00
153.51,154.4099,152.335,153.81,423183,2017-03-28 01:00:00-04:00
153.57,154.9,153.57,154.72,397978,2017-03-29 01:00:00-04:00
154.45,154.99,153.9,154.52,244427,2017-03-30 01:00:00-04:00
154.0,155.65,153.69,154.61,466473,2017-03-31 01:00:00-04:00
155.07,155.74,153.59,155.28,481211,2017-04-03 01:00:00-04:00
156.54,156.54,153.88,155.12,508511,2017-04-04 01:00:00-04:00
155.08,157.03,154.1,154.72,617755,2017-04-05 01:00:00-04:00
154.59,155.13,153.33,154.56,579647,2017-04-06 01:00:00-04:00
154.84,156.14,154.745,155.48,530698,2017-04-07 01:00:00-04:00
155.47,156.36,153.99,154.58,374406,2017-04-10 01:00:00-04:00
154.24,154.945,153.75,154.69,471390,2017-04-11 01:00:00-04:00
155.27,155.35,153.84,154.2,437259,2017-04-12 01:00:00-04:00
153.75,155.19,153.38,153.6,369315,2017-04-13 01:00:00-04:00
154.28,155.78,153.24,155.28,492159,2017-04-17 01:00:00-04:00
155.1,155.99,154.2,155.68,552427,2017-04-18 01:00:00-04:00
156.55,157.65,155.86,157.08,477335,2017-04-19 01:00:00-04:00
157.81,159.77,156.75,159.52,492499,2017-04-20 01:00:00-04:00
159.61,159.92,158.23,159.12,455639,2017-04-21 01:00:00-04:00
161.92,162.99,161.18,161.87,739901,2017-04-24 01:00:00-04:00
162.39,163.29,162.207,162.43,470624,2017-04-25 01:00:00-04:00
162.7,163.37,161.36,162.82,660709,2017-04-26 01:00:00-04:00
162.8,163.39,161.19,162.76,799523,2017-04-27 01:00:00-04:00
166.02,172.0,165.25,167.73,1710434,2017-04-28 01:00:00-04:00
168.3,168.3,162.25,163.73,1231186,2017-05-01 01:00:00-04:00
164.2,164.2,162.39,163.73,834114,2017-05-02 01:00:00-04:00
163.73,164.855,160.18,160.28,794739,2017-05-03 01:00:00-04:00
160.47,161.02,158.83,160.46,789251,2017-05-04 01:00:00-04:00
161.02,162.76,160.11,162.47,771065,2017-05-05 01:00:00-04:00
162.31,162.65,160.56,161.66,418240,2017-05-08 01:00:00-04:00
160.8,162.25,160.8,162.06,475665,2017-05-09 01:00:00-04:00
162.08,163.63,161.55,163.01,678721,2017-05-10 01:00:00-04:00
