open,high,low,close,volume,datetime
94.04,94.97,94.04,94.8,373200,2016-12-07 01:00:00-05:00
94.96,94.96,93.9,94.28,331265,2016-12-08 01:00:00-05:00
94.19,94.42,93.59,93.73,247976,2016-12-09 01:00:00-05:00
93.78,94.0445,93.09,93.51,213467,2016-12-12 01:00:00-05:00
93.73,93.94,92.75,93.51,288329,2016-12-13 01:00:00-05:00
93.46,94.03,92.05,92.08,287726,2016-12-14 01:00:00-05:00
91.98,92.82,91.6,91.82,185913,2016-12-15 01:00:00-05:00
91.51,92.13,91.01,91.15,892376,2016-12-16 01:00:00-05:00
91.47,91.94,90.83,91.82,335674,2016-12-19 01:00:00-05:00
92.11,92.49,91.06,91.56,246546,2016-12-20 01:00:00-05:00
91.28,91.42,90.85,90.9,159201,2016-12-21 01:00:00-05:00
90.83,90.88,90.21,90.86,351782,2016-12-22 01:00:00-05:00
91.06,91.18,90.64,90.79,120315,2016-12-23 01:00:00-05:00
90.96,91.3,90.61,91.1,100432,2016-12-27 01:00:00-05:00
91.17,91.265,89.49,89.64,144264,2016-12-28 01:00:00-05:00
89.71,90.4499,89.26,89.92,158866,2016-12-29 01:00:00-05:00
90.25,90.31,89.18,90.06,353479,2016-12-30 01:00:00-05:00
90.84,91.89,90.03,91.22,378595,2017-01-03 01:00:00-05:00
91.69,92.055,91.24,91.64,308138,2017-01-04 01:00:00-05:00
91.59,92.1,90.3,90.82,369149,2017-01-05 01:00:00-05:00
90.93,91.392,90.15,90.6,164980,2017-01-06 01:00:00-05:00
90.4,90.55,89.35,89.53,181332,2017-01-09 01:00:00-05:00
90.13,90.84,89.97,90.81,181706,2017-01-10 01:00:00-05:00
90.64,91.46,90.05,91.39,195277,2017-01-11 01:00:00-05:00
90.97,90.97,89.54,90.57,233143,2017-01-12 01:00:00-05:00
91.0,91.9,90.41,91.72,183472,2017-01-13 01:00:00-05:00
91.17,91.17,90.06,90.47,127335,2017-01-17 01:00:00-05:00
90.7,91.15,90.31,90.62,195936,2017-01-18 01:00:00-05:00
90.97,91.4,90.35,90.75,152449,2017-01-19 01:00:00-05:00
91.07,91.61,90.76,91.14,224185,2017-01-20 01:00:00-05:00
91.04,91.36,89.88,90.35,120560,2017-01-23 01:00:00-05:00
90.61,92.73,90.61,92.14,163175,2017-01-24 01:00:00-05:00
92.75,93.08,92.0,92.97,188469,2017-01-25 01:00:00-05:00
92.81,93.09,91.95,92.65,143087,2017-01-26 01:00:00-05:00
