open,high,low,close,volume,datetime
146.78,147.51,146.02,146.24,754328,2017-07-12 01:00:00-04:00
146.1,146.12,144.5,144.7,1158039,2017-07-13 01:00:00-04:00
144.96,145.96,144.73,145.7,911065,2017-07-14 01:00:00-04:00
145.43,146.71,144.96,146.21,801700,2017-07-17 01:00:00-04:00
145.97,146.79,145.651,146.64,907751,2017-07-18 01:00:00-04:00
146.95,147.72,146.44,147.68,940800,2017-07-19 01:00:00-04:00
147.46,147.72,146.53,147.12,1178614,2017-07-20 01:00:00-04:00
146.52,147.89,145.93,147.29,1642737,2017-07-21 01:00:00-04:00
143.45,143.87,140.02,141.98,3224980,2017-07-24 01:00:00-04:00
143.0,143.57,140.5801,141.65,2068700,2017-07-25 01:00:00-04:00
141.71,141.83,139.99,140.07,1307266,2017-07-26 01:00:00-04:00
140.37,140.85,139.51,140.82,1394608,2017-07-27 01:00:00-04:00
140.69,141.07,139.905,140.83,1305909,2017-07-28 01:00:00-04:00
141.21,141.72,140.56,140.71,1185319,2017-07-31 01:00:00-04:00
141.1,141.34,139.56,139.91,1621307,2017-08-01 01:00:00-04:00
140.07,141.77,140.07,141.77,1484892,2017-08-02 01:00:00-04:00
141.8,141.84,140.17,141.43,1419635,2017-08-03 01:00:00-04:00
141.6,143.06,141.3808,142.88,1223323,2017-08-04 01:00:00-04:00
141.68,142.51,140.84,141.67,1335642,2017-08-07 01:00:00-04:00
141.95,141.95,140.93,141.34,1009569,2017-08-08 01:00:00-04:00
141.25,141.78,140.29,140.73,1306609,2017-08-09 01:00:00-04:00
140.54,140.85,137.35,137.47,2062190,2017-08-10 01:00:00-04:00
138.12,138.92,137.8,138.36,964291,2017-08-11 01:00:00-04:00
139.56,139.88,138.86,139.05,777777,2017-08-14 01:00:00-04:00
139.06,139.71,138.99,139.09,1165032,2017-08-15 01:00:00-04:00
139.53,140.19,138.9,140.03,1091444,2017-08-16 01:00:00-04:00
138.55,138.95,136.13,136.19,1633307,2017-08-17 01:00:00-04:00
135.98,137.51,135.54,135.67,1123747,2017-08-18 01:00:00-04:00
135.6,136.035,135.07,135.6,1150565,2017-08-21 01:00:00-04:00
136.17,138.08,135.95,137.87,918856,2017-08-22 01:00:00-04:00
137.19,137.47,136.44,136.48,728984,2017-08-23 01:00:00-04:00
136.75,136.91,135.7,135.87,740922,2017-08-24 01:00:00-04:00
136.71,137.38,136.44,136.81,621712,2017-08-25 01:00:00-04:00
137.11,137.49,136.2,136.53,591756,2017-08-28 01:00:00-04:00
135.87,137.09,135.2018,136.85,912060,2017-08-29 01:00:00-04:00
136.75,137.22,136.3,136.94,1016927,2017-08-30 01:00:00-04:00
137.41,137.77,136.97,137.51,867792,2017-08-31 01:00:00-04:00
138.0,138.66,137.59,137.72,706658,2017-09-01 01:00:00-04:00
137.32,137.795,136.04,136.45,1070626,2017-09-05 01:00:00-04:00
