open,high,low,close,volume,datetime
18.48,18.78,18.23,18.37,5885375,2017-07-12 01:00:00-04:00
18.44,18.8,18.39,18.73,4271603,2017-07-13 01:00:00-04:00
18.86,19.12,18.7835,18.95,4345163,2017-07-14 01:00:00-04:00
18.9,19.1,18.825,18.93,3676298,2017-07-17 01:00:00-04:00
18.92,19.05,18.675,19.04,4716021,2017-07-18 01:00:00-04:00
19.06,19.11,18.95,19.07,3357119,2017-07-19 01:00:00-04:00
19.11,19.24,18.97,19.04,2828047,2017-07-20 01:00:00-04:00
19.02,19.1499,18.71,18.89,2814232,2017-07-21 01:00:00-04:00
18.87,19.12,18.695,18.92,4221177,2017-07-24 01:00:00-04:00
18.98,19.73,18.8,19.67,6573877,2017-07-25 01:00:00-04:00
19.66,19.89,19.47,19.74,5164422,2017-07-26 01:00:00-04:00
20.1,21.15,19.83,21.02,9708716,2017-07-27 01:00:00-04:00
21.08,21.24,20.33,20.41,6641903,2017-07-28 01:00:00-04:00
20.41,20.46,19.825,20.18,11735253,2017-07-31 01:00:00-04:00
20.3,20.675,20.07,20.61,3876516,2017-08-01 01:00:00-04:00
20.55,20.57,20.0,20.04,5372586,2017-08-02 01:00:00-04:00
20.05,20.35,19.89,19.93,3452704,2017-08-03 01:00:00-04:00
19.94,20.43,19.92,20.32,4771098,2017-08-04 01:00:00-04:00
20.28,20.55,20.11,20.46,2282617,2017-08-07 01:00:00-04:00
20.36,20.58,20.21,20.47,3658758,2017-08-08 01:00:00-04:00
20.4,20.78,20.3,20.5,4019205,2017-08-09 01:00:00-04:00
20.46,20.59,20.43,20.46,4455790,2017-08-10 01:00:00-04:00
20.25,20.36,19.9,19.99,3203958,2017-08-11 01:00:00-04:00
19.81,20.215,19.67,20.09,2709288,2017-08-14 01:00:00-04:00
19.91,19.98,19.5,19.67,2875808,2017-08-15 01:00:00-04:00
19.8,20.08,19.635,19.68,2739818,2017-08-16 01:00:00-04:00
19.65,19.81,19.47,19.53,3134005,2017-08-17 01:00:00-04:00
19.39,19.415,19.14,19.34,3378100,2017-08-18 01:00:00-04:00
19.38,19.75,19.3,19.71,2656753,2017-08-21 01:00:00-04:00
19.74,19.88,19.53,19.54,2395732,2017-08-22 01:00:00-04:00
19.52,19.9,19.47,19.79,1910796,2017-08-23 01:00:00-04:00
19.94,20.31,19.52,19.6,3696747,2017-08-24 01:00:00-04:00
19.67,19.97,19.51,19.85,2382409,2017-08-25 01:00:00-04:00
19.75,19.9366,19.34,19.39,2124961,2017-08-28 01:00:00-04:00
19.4,19.52,19.09,19.29,3053348,2017-08-29 01:00:00-04:00
19.25,19.455,19.0,19.44,2770785,2017-08-30 01:00:00-04:00
19.53,19.77,19.42,19.62,3452017,2017-08-31 01:00:00-04:00
19.63,19.955,19.53,19.81,2411135,2017-09-01 01:00:00-04:00
19.85,20.105,19.6,19.8,4492585,2017-09-05 01:00:00-04:00
19.87,20.25,19.79,20.19,4463845,2017-09-06 01:00:00-04:00
20.24,20.61,20.035,20.58,5599061,2017-09-07 01:00:00-04:00
20.47,20.5,20.135,20.17,3832347,2017-09-08 01:00:00-04:00
20.23,20.43,20.18,20.3,3436616,2017-09-11 01:00:00-04:00
20.3,20.6,19.89,20.01,5820156,2017-09-12 01:00:00-04:00
20.04,20.135,19.705,19.86,3753409,2017-09-13 01:00:00-04:00
19.91,20.505,19.83,20.5,4392127,2017-09-14 01:00:00-04:00
20.56,20.63,20.27,20.55,6458425,2017-09-15 01:00:00-04:00
20.5,20.53,19.92,20.03,3392570,2017-09-18 01:00:00-04:00
19.89,19.93,19.53,19.67,4018794,2017-09-19 01:00:00-04:00
19.68,19.79,19.39,19.49,3263429,2017-09-20 01:00:00-04:00
19.46,19.69,19.17,19.26,2835037,2017-09-21 01:00:00-04:00
19.26,19.425,19.13,19.18,2562805,2017-09-22 01:00:00-04:00
19.28,19.71,19.25,19.58,2789344,2017-09-25 01:00:00-04:00
19.89,20.255,19.67,20.16,4864031,2017-09-26 01:00:00-04:00
20.05,20.13,19.28,19.41,3786441,2017-09-27 01:00:00-04:00
19.44,19.52,19.26,19.48,3270228,2017-09-28 01:00:00-04:00
19.5,19.68,19.41,19.55,2847562,2017-09-29 01:00:00-04:00
19.55,19.59,19.2,19.36,2753906,2017-10-02 01:00:00-04:00
19.09,19.19,18.85,19.11,2500296,2017-10-03 01:00:00-04:00
19.11,19.22,18.96,19.22,4339342,2017-10-04 01:00:00-04:00
19.28,19.62,19.21,19.29,3211625,2017-10-05 01:00:00-04:00
19.19,19.2197,18.97,19.11,3058401,2017-10-06 01:00:00-04:00
19.12,19.3,19.065,19.16,2172426,2017-10-09 01:00:00-04:00
19.24,19.56,19.21,19.46,2729363,2017-10-10 01:00:00-04:00
19.49,19.6,19.385,19.42,2090429,2017-10-11 01:00:00-04:00
19.41,19.56,19.22,19.28,3380670,2017-10-12 01:00:00-04:00
19.42,19.79,19.28,19.46,2650824,2017-10-13 01:00:00-04:00
19.42,19.55,19.1945,19.26,2204459,2017-10-16 01:00:00-04:00
19.25,19.34,19.16,19.26,3290894,2017-10-17 01:00:00-04:00
19.26,19.5056,19.06,19.18,1760959,2017-10-18 01:00:00-04:00
19.19,19.38,19.0,19.07,2627882,2017-10-19 01:00:00-04:00
19.07,19.1,18.7,18.77,3048236,2017-10-20 01:00:00-04:00
18.75,19.01,18.65,18.87,2073557,2017-10-23 01:00:00-04:00
18.83,18.93,18.535,18.73,3172236,2017-10-24 01:00:00-04:00
18.66,18.755,18.14,18.49,5631469,2017-10-25 01:00:00-04:00
18.5,18.75,17.775,18.33,7425953,2017-10-26 01:00:00-04:00
18.16,18.36,17.76,18.36,4537909,2017-10-27 01:00:00-04:00
18.34,18.48,18.205,18.43,3431820,2017-10-30 01:00:00-04:00
18.43,18.43,17.76,18.16,5938921,2017-10-31 01:00:00-04:00
18.22,18.73,18.12,18.55,4479287,2017-11-01 01:00:00-04:00
18.69,19.11,18.63,18.96,4950688,2017-11-02 01:00:00-04:00
18.85,18.98,18.51,18.57,4446933,2017-11-03 01:00:00-04:00
18.36,18.87,18.35,18.62,3173263,2017-11-06 01:00:00-05:00
18.66,19.07,18.64,18.82,4657433,2017-11-07 01:00:00-05:00
18.78,19.29,18.78,18.93,3299138,2017-11-08 01:00:00-05:00
18.84,19.36,18.805,19.07,4627088,2017-11-09 01:00:00-05:00
18.96,19.28,18.96,19.15,3425325,2017-11-10 01:00:00-05:00
19.19,19.47,18.86,18.95,2493757,2017-11-13 01:00:00-05:00
18.96,19.15,18.65,18.92,3586513,2017-11-14 01:00:00-05:00
18.89,19.22,18.8,19.1,2516449,2017-11-15 01:00:00-05:00
19.02,19.38,18.94,19.3,2539963,2017-11-16 01:00:00-05:00
19.31,19.53,19.29,19.35,4279155,2017-11-17 01:00:00-05:00
19.36,19.37,18.94,18.99,2786538,2017-11-20 01:00:00-05:00
19.01,19.01,18.67,18.74,7392048,2017-11-21 01:00:00-05:00
18.71,19.0,18.67,18.78,4784072,2017-11-22 01:00:00-05:00
18.82,18.87,18.7,18.8,1305410,2017-11-24 01:00:00-05:00
18.58,18.64,18.11,18.19,7515523,2017-11-27 01:00:00-05:00
18.0,18.32,17.96,18.3,6242346,2017-11-28 01:00:00-05:00
18.24,18.6,18.24,18.47,4021232,2017-11-29 01:00:00-05:00
18.5,18.77,18.42,18.52,4771835,2017-11-30 01:00:00-05:00
18.56,18.565,18.275,18.5,3902080,2017-12-01 01:00:00-05:00
18.54,19.38,18.51,19.09,7433731,2017-12-04 01:00:00-05:00
19.11,19.11,18.46,18.48,4565286,2017-12-05 01:00:00-05:00
18.62,18.6352,17.895,18.04,3887005,2017-12-06 01:00:00-05:00
18.01,18.2656,17.93,18.16,3684565,2017-12-07 01:00:00-05:00
18.24,18.34,18.095,18.29,2137311,2017-12-08 01:00:00-05:00
18.27,18.46,18.06,18.11,2162105,2017-12-11 01:00:00-05:00
18.24,18.57,18.155,18.41,4652793,2017-12-12 01:00:00-05:00
18.46,18.71,18.34,18.41,3678199,2017-12-13 01:00:00-05:00
18.47,18.52,18.26,18.36,3295112,2017-12-14 01:00:00-05:00
18.43,18.635,18.37,18.47,7748984,2017-12-15 01:00:00-05:00
18.47,18.86,18.45,18.85,4010564,2017-12-18 01:00:00-05:00
18.85,18.85,18.29,18.31,3980929,2017-12-19 01:00:00-05:00
18.3,18.51,18.015,18.03,2956369,2017-12-20 01:00:00-05:00
18.05,18.1267,17.91,17.95,4044988,2017-12-21 01:00:00-05:00
17.94,18.14,17.83,18.02,2818287,2017-12-22 01:00:00-05:00
18.07,18.37,17.96,18.25,1752699,2017-12-26 01:00:00-05:00
18.29,18.355,18.21,18.25,2439563,2017-12-27 01:00:00-05:00
