open,high,low,close,volume,datetime
78.02,80.0,77.9,79.26,1765261,2016-12-07 01:00:00-05:00
79.25,79.71,78.315,78.85,1031294,2016-12-08 01:00:00-05:00
79.02,79.02,76.81,77.21,1538866,2016-12-09 01:00:00-05:00
77.34,77.5,76.56,77.32,1388167,2016-12-12 01:00:00-05:00
77.58,79.04,77.58,77.97,1356683,2016-12-13 01:00:00-05:00
79.33,80.45,77.51,77.81,2241095,2016-12-14 01:00:00-05:00
77.92,80.68,77.34,79.36,2226801,2016-12-15 01:00:00-05:00
79.62,80.43,77.84,78.19,7673964,2016-12-16 01:00:00-05:00
79.42,80.68,78.82,79.37,1916370,2016-12-19 01:00:00-05:00
79.73,79.99,78.68,78.88,908634,2016-12-20 01:00:00-05:00
79.1,79.33,78.66,78.98,798466,2016-12-21 01:00:00-05:00
78.98,79.35,78.38,79.15,1507342,2016-12-22 01:00:00-05:00
79.22,79.32,78.53,79.12,488480,2016-12-23 01:00:00-05:00
79.19,80.48,79.09,80.02,733429,2016-12-27 01:00:00-05:00
80.96,81.69,79.72,79.76,1057889,2016-12-28 01:00:00-05:00
79.58,79.78,78.52,79.29,636150,2016-12-29 01:00:00-05:00
79.29,79.54,78.12,78.68,784268,2016-12-30 01:00:00-05:00
78.97,80.45,78.48,79.41,1330860,2017-01-03 01:00:00-05:00
79.2,79.47,78.43,79.13,1165699,2017-01-04 01:00:00-05:00
78.76,79.27,77.86,78.42,1317168,2017-01-05 01:00:00-05:00
78.63,79.17,77.92,79.13,942696,2017-01-06 01:00:00-05:00
79.21,80.1,79.17,79.59,1040649,2017-01-09 01:00:00-05:00
79.6,79.7,78.83,79.33,561899,2017-01-10 01:00:00-05:00
79.24,80.46,79.025,80.27,1208074,2017-01-11 01:00:00-05:00
80.18,80.21,79.47,80.1,903990,2017-01-12 01:00:00-05:00
80.13,81.58,80.11,81.44,1148201,2017-01-13 01:00:00-05:00
81.38,81.38,79.2,80.0,1198991,2017-01-17 01:00:00-05:00
80.34,81.69,80.03,81.63,1297461,2017-01-18 01:00:00-05:00
81.67,81.89,80.82,81.15,911245,2017-01-19 01:00:00-05:00
81.0,81.88,80.68,81.56,965097,2017-01-20 01:00:00-05:00
81.69,82.11,81.39,82.1,1029770,2017-01-23 01:00:00-05:00
82.23,83.05,81.88,82.8,1135093,2017-01-24 01:00:00-05:00
83.6,85.14,83.13,84.67,2007413,2017-01-25 01:00:00-05:00
84.65,84.82,82.97,83.25,2715731,2017-01-26 01:00:00-05:00
85.97,87.96,85.23,86.16,3253500,2017-01-27 01:00:00-05:00
85.99,86.56,85.18,86.25,1635158,2017-01-30 01:00:00-05:00
86.23,86.23,84.57,85.11,1492809,2017-01-31 01:00:00-05:00
85.54,86.06,84.9,86.04,1399605,2017-02-01 01:00:00-05:00
85.94,87.57,85.33,87.36,1612911,2017-02-02 01:00:00-05:00
87.91,88.12,87.18,87.59,1298064,2017-02-03 01:00:00-05:00
87.27,87.9,86.9,87.0,1160861,2017-02-06 01:00:00-05:00
86.89,87.72,86.89,87.66,1256964,2017-02-07 01:00:00-05:00
87.76,87.83,86.87,86.87,1031752,2017-02-08 01:00:00-05:00
86.85,87.29,86.49,86.74,811672,2017-02-09 01:00:00-05:00
86.96,87.24,86.33,86.64,1422066,2017-02-10 01:00:00-05:00
86.8,87.48,86.72,87.22,698770,2017-02-13 01:00:00-05:00
87.16,87.29,86.36,86.99,1408884,2017-02-14 01:00:00-05:00
86.99,87.86,86.69,87.68,743737,2017-02-15 01:00:00-05:00
87.91,88.58,87.165,88.53,1936323,2017-02-16 01:00:00-05:00
88.26,88.47,87.41,88.46,1431179,2017-02-17 01:00:00-05:00
88.7,90.5,88.3,90.45,1301332,2017-02-21 01:00:00-05:00
90.15,90.4,89.56,90.27,836588,2017-02-22 01:00:00-05:00
90.35,90.88,89.34,89.9,808626,2017-02-23 01:00:00-05:00
89.46,90.35,89.11,90.29,762448,2017-02-24 01:00:00-05:00
90.46,90.46,89.51,90.22,437144,2017-02-27 01:00:00-05:00
90.26,90.46,89.78,90.12,989938,2017-02-28 01:00:00-05:00
90.66,91.65,89.86,91.44,1314195,2017-03-01 01:00:00-05:00
91.35,91.58,90.65,90.73,1091305,2017-03-02 01:00:00-05:00
90.93,91.02,89.87,90.42,751666,2017-03-03 01:00:00-05:00
90.03,91.06,89.6036,90.82,774930,2017-03-06 01:00:00-05:00
90.52,91.43,89.52,91.04,879071,2017-03-07 01:00:00-05:00
91.27,91.89,90.79,91.55,1089434,2017-03-08 01:00:00-05:00
91.77,91.9199,91.0601,91.79,1022122,2017-03-09 01:00:00-05:00
92.59,93.22,91.89,93.2,1386573,2017-03-10 01:00:00-05:00
92.97,93.35,92.41,92.86,1113696,2017-03-13 01:00:00-04:00
92.86,93.39,92.05,92.87,712250,2017-03-14 01:00:00-04:00
93.1,93.65,92.64,93.61,784871,2017-03-15 01:00:00-04:00
93.61,94.66,93.529,94.2,843595,2017-03-16 01:00:00-04:00
94.43,95.27,93.99,94.69,1982335,2017-03-17 01:00:00-04:00
95.02,96.34,94.61,95.12,1013585,2017-03-20 01:00:00-04:00
95.34,95.74,93.24,94.19,1110306,2017-03-21 01:00:00-04:00
94.53,95.64,93.99,95.57,1076846,2017-03-22 01:00:00-04:00
95.58,95.9956,94.85,95.23,766765,2017-03-23 01:00:00-04:00
96.05,96.91,95.3,95.72,514617,2017-03-24 01:00:00-04:00
95.33,96.105,94.61,95.8,572022,2017-03-27 01:00:00-04:00
95.79,96.2,95.21,95.65,732954,2017-03-28 01:00:00-04:00
95.44,95.6725,95.04,95.45,637231,2017-03-29 01:00:00-04:00
95.74,96.12,95.46,95.64,395735,2017-03-30 01:00:00-04:00
95.38,96.4292,94.74,95.07,772359,2017-03-31 01:00:00-04:00
95.34,96.38,94.81,95.97,963438,2017-04-03 01:00:00-04:00
95.97,96.66,95.87,96.46,967115,2017-04-04 01:00:00-04:00
96.47,97.49,95.56,95.73,1122973,2017-04-05 01:00:00-04:00
95.73,96.19,94.88,96.17,980730,2017-04-06 01:00:00-04:00
96.24,96.66,96.08,96.54,1128126,2017-04-07 01:00:00-04:00
96.75,96.97,95.85,96.33,1472725,2017-04-10 01:00:00-04:00
96.15,96.19,93.61,95.5,1406113,2017-04-11 01:00:00-04:00
95.76,95.985,94.73,95.21,1041037,2017-04-12 01:00:00-04:00
94.98,96.31,94.22,95.33,1134903,2017-04-13 01:00:00-04:00
94.52,95.74,94.33,95.5,1542877,2017-04-17 01:00:00-04:00
94.94,95.85,94.32,94.6,1416702,2017-04-18 01:00:00-04:00
95.69,97.66,95.565,97.59,1563146,2017-04-19 01:00:00-04:00
98.0,98.82,97.62,98.51,1021989,2017-04-20 01:00:00-04:00
98.57,98.65,97.67,98.37,799113,2017-04-21 01:00:00-04:00
99.71,100.98,99.21,100.83,1419037,2017-04-24 01:00:00-04:00
101.12,101.81,100.44,101.71,1007736,2017-04-25 01:00:00-04:00
101.78,101.78,100.63,100.8,791110,2017-04-26 01:00:00-04:00
101.29,104.22,101.29,103.59,2706251,2017-04-27 01:00:00-04:00
100.28,103.98,97.84,98.22,3066458,2017-04-28 01:00:00-04:00
98.71,99.5,97.47,99.17,1802029,2017-05-01 01:00:00-04:00
99.37,99.79,98.47,99.72,1483879,2017-05-02 01:00:00-04:00
99.68,100.02,99.085,99.45,1019348,2017-05-03 01:00:00-04:00
100.2,100.85,99.59,100.81,903485,2017-05-04 01:00:00-04:00
101.47,101.8,99.8,100.94,986052,2017-05-05 01:00:00-04:00
101.01,101.025,100.25,100.5,968398,2017-05-08 01:00:00-04:00
100.7,101.47,100.61,100.81,787807,2017-05-09 01:00:00-04:00
101.14,101.29,100.4,100.76,1155040,2017-05-10 01:00:00-04:00
100.29,100.73,99.57,100.26,867054,2017-05-11 01:00:00-04:00
100.39,101.0,99.5,100.04,907509,2017-05-12 01:00:00-04:00
100.09,101.81,100.09,101.25,1506266,2017-05-15 01:00:00-04:00
101.67,102.37,101.465,102.33,1158191,2017-05-16 01:00:00-04:00
101.42,101.53,99.83,99.88,1343637,2017-05-17 01:00:00-04:00
99.65,101.12,99.16,100.85,1387697,2017-05-18 01:00:00-04:00
101.36,102.56,101.1,101.78,970966,2017-05-19 01:00:00-04:00
102.2,102.88,101.63,102.71,902316,2017-05-22 01:00:00-04:00
102.97,103.08,102.04,102.49,952108,2017-05-23 01:00:00-04:00
103.11,103.64,102.61,103.28,681357,2017-05-24 01:00:00-04:00
103.5,105.1398,103.35,104.85,691938,2017-05-25 01:00:00-04:00
104.75,104.8,103.905,104.74,566490,2017-05-26 01:00:00-04:00
104.85,105.67,104.52,104.54,1062827,2017-05-30 01:00:00-04:00
105.1,105.1499,103.38,104.0,2005765,2017-05-31 01:00:00-04:00
104.0,105.0995,104.0,104.75,1386188,2017-06-01 01:00:00-04:00
105.51,105.93,104.82,105.88,1840943,2017-06-02 01:00:00-04:00
105.9,106.79,105.53,106.4,1227529,2017-06-05 01:00:00-04:00
106.39,108.28,105.6994,107.8,1413914,2017-06-06 01:00:00-04:00
108.0,108.93,107.65,108.67,1099122,2017-06-07 01:00:00-04:00
108.93,109.2136,107.9,108.93,899181,2017-06-08 01:00:00-04:00
109.25,109.59,100.56,101.98,1888164,2017-06-09 01:00:00-04:00
100.54,101.92,98.13,101.14,2494886,2017-06-12 01:00:00-04:00
101.97,102.91,100.15,101.42,1064318,2017-06-13 01:00:00-04:00
101.44,102.705,97.63,98.55,1590058,2017-06-14 01:00:00-04:00
97.23,98.37,96.64,97.07,1603613,2017-06-15 01:00:00-04:00
97.46,98.815,96.8742,97.7,1720718,2017-06-16 01:00:00-04:00
98.75,101.42,98.495,101.02,1604604,2017-06-19 01:00:00-04:00
100.86,101.203,97.48,97.58,1395791,2017-06-20 01:00:00-04:00
97.77,98.295,97.01,98.01,1038042,2017-06-21 01:00:00-04:00
97.95,98.581,96.35,96.67,778734,2017-06-22 01:00:00-04:00
96.68,98.06,96.62,97.95,1595330,2017-06-23 01:00:00-04:00
98.32,98.71,95.89,96.02,1239141,2017-06-26 01:00:00-04:00
95.72,95.96,93.7,93.87,1347091,2017-06-27 01:00:00-04:00
94.58,95.98,92.95,95.74,1593879,2017-06-28 01:00:00-04:00
95.36,95.36,91.09,92.51,1615783,2017-06-29 01:00:00-04:00
93.5,93.5,91.26,91.51,1320074,2017-06-30 01:00:00-04:00
92.3,92.93,90.77,91.55,0,2017-07-03 01:00:00-04:00
91.74,92.53,90.69,92.29,1660634,2017-07-05 01:00:00-04:00
91.85,92.86,90.92,92.48,1222347,2017-07-06 01:00:00-04:00
93.21,95.09,92.96,94.57,1181004,2017-07-07 01:00:00-04:00
94.68,95.79,93.86,95.63,1184643,2017-07-10 01:00:00-04:00
95.64,97.43,95.14,96.93,1172745,2017-07-11 01:00:00-04:00
97.71,99.1133,96.83,97.7,753381,2017-07-12 01:00:00-04:00
98.0,98.64,97.1,97.6,827433,2017-07-13 01:00:00-04:00
97.95,99.72,97.72,99.64,937242,2017-07-14 01:00:00-04:00
100.0,100.1665,98.33,99.13,791511,2017-07-17 01:00:00-04:00
99.06,99.88,98.15,99.83,709515,2017-07-18 01:00:00-04:00
100.64,101.665,100.47,101.39,1088351,2017-07-19 01:00:00-04:00
101.68,101.75,100.4709,101.7,571675,2017-07-20 01:00:00-04:00
100.97,101.55,99.13,99.89,978219,2017-07-21 01:00:00-04:00
99.96,100.91,99.84,100.21,776183,2017-07-24 01:00:00-04:00
99.98,100.35,98.91,99.12,1108988,2017-07-25 01:00:00-04:00
98.49,100.88,98.49,100.86,854882,2017-07-26 01:00:00-04:00
100.89,101.08,98.5,99.93,1478275,2017-07-27 01:00:00-04:00
97.74,97.89,94.2,94.4,1864670,2017-07-28 01:00:00-04:00
94.58,94.749,92.49,92.63,1231182,2017-07-31 01:00:00-04:00
92.85,93.05,91.86,92.63,1757748,2017-08-01 01:00:00-04:00
93.18,93.29,89.92,90.01,1549743,2017-08-02 01:00:00-04:00
89.87,90.32,88.48,88.96,1625042,2017-08-03 01:00:00-04:00
89.02,89.89,88.4,88.83,1133328,2017-08-04 01:00:00-04:00
89.03,92.69,89.03,92.01,2010096,2017-08-07 01:00:00-04:00
91.99,92.125,90.38,90.68,1319499,2017-08-08 01:00:00-04:00
90.08,91.85,89.49,91.48,929319,2017-08-09 01:00:00-04:00
90.79,91.0902,87.93,88.14,1165498,2017-08-10 01:00:00-04:00
88.1,90.6,88.09,90.34,1069552,2017-08-11 01:00:00-04:00
91.47,92.73,91.0,91.5,1209029,2017-08-14 01:00:00-04:00
91.44,91.5,90.5,91.02,1123957,2017-08-15 01:00:00-04:00
