open,high,low,close,volume,datetime
125.0,125.75,124.6,125.28,2770351,2017-07-12 01:00:00-04:00
125.62,126.4,125.37,125.47,3330947,2017-07-13 01:00:00-04:00
125.56,127.53,125.56,127.01,2690807,2017-07-14 01:00:00-04:00
127.26,127.58,126.54,127.43,2291720,2017-07-17 01:00:00-04:00
127.11,128.16,127.0,127.73,3732840,2017-07-18 01:00:00-04:00
127.73,128.27,127.555,128.04,2550405,2017-07-19 01:00:00-04:00
128.4,128.84,127.935,128.47,2350324,2017-07-20 01:00:00-04:00
128.53,130.2,128.32,129.27,4375492,2017-07-21 01:00:00-04:00
129.39,129.9,128.6,129.52,3065440,2017-07-24 01:00:00-04:00
130.0,130.18,129.22,129.98,2476008,2017-07-25 01:00:00-04:00
129.92,131.18,129.76,130.99,3547811,2017-07-26 01:00:00-04:00
132.0,132.1989,126.55,128.93,4914542,2017-07-27 01:00:00-04:00
128.96,129.99,127.31,127.91,5257924,2017-07-28 01:00:00-04:00
128.0,128.45,127.4,127.8,3347529,2017-07-31 01:00:00-04:00
128.66,129.98,128.5,129.49,4010522,2017-08-01 01:00:00-04:00
129.74,130.61,129.18,130.61,3578631,2017-08-02 01:00:00-04:00
130.4,130.57,129.24,129.89,2568052,2017-08-03 01:00:00-04:00
130.22,130.25,129.44,129.82,2208103,2017-08-04 01:00:00-04:00
129.99,130.495,129.55,130.38,1585964,2017-08-07 01:00:00-04:00
130.13,130.31,129.3,129.84,2062843,2017-08-08 01:00:00-04:00
129.09,130.03,128.77,129.72,1789884,2017-08-09 01:00:00-04:00
129.17,129.41,127.59,127.67,2590439,2017-08-10 01:00:00-04:00
128.16,129.42,127.86,128.55,2484529,2017-08-11 01:00:00-04:00
129.23,131.29,129.0,131.09,2793352,2017-08-14 01:00:00-04:00
131.42,131.99,130.95,131.58,2155613,2017-08-15 01:00:00-04:00
132.17,132.63,131.8129,132.37,2000733,2017-08-16 01:00:00-04:00
132.16,132.5,130.82,130.88,2672966,2017-08-17 01:00:00-04:00
130.56,131.97,130.36,131.14,3167271,2017-08-18 01:00:00-04:00
131.35,132.09,131.13,131.94,1807551,2017-08-21 01:00:00-04:00
132.51,134.24,132.28,133.8,2180062,2017-08-22 01:00:00-04:00
133.18,133.48,132.67,133.07,2006390,2017-08-23 01:00:00-04:00
133.23,133.46,131.98,132.96,2046557,2017-08-24 01:00:00-04:00
133.3,133.6,132.56,132.75,2215524,2017-08-25 01:00:00-04:00
133.15,134.0,132.71,133.85,2154721,2017-08-28 01:00:00-04:00
133.1,134.21,132.741,133.84,2122335,2017-08-29 01:00:00-04:00
133.93,134.24,133.48,133.8,3225061,2017-08-30 01:00:00-04:00
134.2,134.5,133.28,133.3,4374730,2017-08-31 01:00:00-04:00
133.84,133.9,133.14,133.24,2447352,2017-09-01 01:00:00-04:00
132.84,132.93,131.68,132.66,2763402,2017-09-05 01:00:00-04:00
132.99,133.66,132.59,132.89,3652076,2017-09-06 01:00:00-04:00
136.08,138.64,135.65,136.53,7268966,2017-09-07 01:00:00-04:00
136.22,137.74,136.06,137.22,4452115,2017-09-08 01:00:00-04:00
139.36,141.99,139.18,141.99,5457576,2017-09-11 01:00:00-04:00
142.66,143.52,141.81,142.42,3774971,2017-09-12 01:00:00-04:00
142.02,142.13,139.54,140.1,3613812,2017-09-13 01:00:00-04:00
139.5,141.8,139.37,141.47,4179357,2017-09-14 01:00:00-04:00
142.32,142.69,139.81,141.58,6152491,2017-09-15 01:00:00-04:00
141.66,141.69,140.51,141.4,2843463,2017-09-18 01:00:00-04:00
141.93,143.59,141.87,142.49,4179040,2017-09-19 01:00:00-04:00
