open,high,low,close,volume,datetime
195.01,200.17,194.41,199.97,556221,2016-12-07 01:00:00-05:00
199.57,202.6,199.17,201.27,536268,2016-12-08 01:00:00-05:00
201.51,201.51,198.9,199.86,421527,2016-12-09 01:00:00-05:00
199.29,199.535,196.59,198.64,436284,2016-12-12 01:00:00-05:00
201.98,202.893,200.65,201.26,573261,2016-12-13 01:00:00-05:00
201.22,202.945,198.96,199.64,529894,2016-12-14 01:00:00-05:00
199.88,202.405,197.46,197.74,614402,2016-12-15 01:00:00-05:00
198.24,199.47,196.5,197.0,760173,2016-12-16 01:00:00-05:00
198.01,200.96,197.05,199.61,478330,2016-12-19 01:00:00-05:00
200.06,202.1,199.47,201.16,469547,2016-12-20 01:00:00-05:00
201.61,205.91,201.61,204.87,577204,2016-12-21 01:00:00-05:00
205.13,205.9,202.4,202.99,353465,2016-12-22 01:00:00-05:00
203.6,204.11,202.78,203.71,247986,2016-12-23 01:00:00-05:00
204.5,205.13,203.115,203.73,283206,2016-12-27 01:00:00-05:00
204.77,204.77,201.61,201.77,224989,2016-12-28 01:00:00-05:00
201.71,202.52,201.18,202.14,210523,2016-12-29 01:00:00-05:00
203.16,203.16,198.45,199.68,440418,2016-12-30 01:00:00-05:00
201.68,204.15,200.08,201.75,492807,2017-01-03 01:00:00-05:00
202.0,206.41,202.0,205.88,544649,2017-01-04 01:00:00-05:00
205.45,206.18,203.09,204.35,540523,2017-01-05 01:00:00-05:00
204.55,206.37,203.315,204.44,590923,2017-01-06 01:00:00-05:00
205.28,205.77,203.52,203.73,458323,2017-01-09 01:00:00-05:00
203.14,205.52,203.0,203.18,520080,2017-01-10 01:00:00-05:00
203.82,204.16,200.84,202.2,494400,2017-01-11 01:00:00-05:00
200.96,202.04,199.9,201.74,468566,2017-01-12 01:00:00-05:00
201.62,203.13,201.11,202.41,387872,2017-01-13 01:00:00-05:00
201.73,202.67,200.74,201.81,457560,2017-01-17 01:00:00-05:00
202.17,204.6,201.53,204.09,777658,2017-01-18 01:00:00-05:00
204.51,210.21,204.51,205.9,863297,2017-01-19 01:00:00-05:00
206.4,208.01,206.4,207.14,617529,2017-01-20 01:00:00-05:00
207.08,210.3,206.74,209.52,892028,2017-01-23 01:00:00-05:00
210.63,215.99,210.63,214.87,1027693,2017-01-24 01:00:00-05:00
215.63,217.96,215.19,215.38,942908,2017-01-25 01:00:00-05:00
215.33,216.52,213.89,215.45,417836,2017-01-26 01:00:00-05:00
214.88,215.29,214.04,215.17,334973,2017-01-27 01:00:00-05:00
213.42,216.08,212.13,215.46,485257,2017-01-30 01:00:00-05:00
215.63,216.42,213.43,215.84,558078,2017-01-31 01:00:00-05:00
215.85,217.25,213.07,215.87,493414,2017-02-01 01:00:00-05:00
215.58,216.975,214.8,216.03,558626,2017-02-02 01:00:00-05:00
216.31,217.51,214.83,215.39,455780,2017-02-03 01:00:00-05:00
214.46,216.48,212.77,213.38,749001,2017-02-06 01:00:00-05:00
214.46,216.175,213.75,214.0,566719,2017-02-07 01:00:00-05:00
214.27,215.5,213.47,214.1,458141,2017-02-08 01:00:00-05:00
213.23,215.37,211.13,214.77,999180,2017-02-09 01:00:00-05:00
212.5,224.165,209.9,222.72,2023906,2017-02-10 01:00:00-05:00
224.41,225.53,222.68,223.8,688412,2017-02-13 01:00:00-05:00
223.39,224.3,222.19,224.23,540692,2017-02-14 01:00:00-05:00
224.0,224.98,222.41,222.98,459025,2017-02-15 01:00:00-05:00
223.2,224.01,220.24,221.78,421657,2017-02-16 01:00:00-05:00
221.37,221.995,219.22,221.55,470703,2017-02-17 01:00:00-05:00
222.08,224.88,219.53,224.54,603479,2017-02-21 01:00:00-05:00
225.02,226.15,223.56,225.05,532562,2017-02-22 01:00:00-05:00
226.17,226.58,224.45,225.31,394802,2017-02-23 01:00:00-05:00
224.92,226.225,223.37,225.96,343668,2017-02-24 01:00:00-05:00
225.26,228.3,224.33,228.08,461006,2017-02-27 01:00:00-05:00
228.02,228.52,226.06,226.36,489079,2017-02-28 01:00:00-05:00
229.31,233.7,228.26,231.53,546969,2017-03-01 01:00:00-05:00
230.4,232.46,229.71,230.15,354921,2017-03-02 01:00:00-05:00
230.57,232.45,229.25,229.67,368804,2017-03-03 01:00:00-05:00
227.78,229.76,226.74,228.04,396890,2017-03-06 01:00:00-05:00
227.93,229.36,226.24,227.3,345104,2017-03-07 01:00:00-05:00
227.9,230.89,227.0,229.57,360129,2017-03-08 01:00:00-05:00
229.2,230.55,226.74,228.13,332978,2017-03-09 01:00:00-05:00
229.51,230.98,228.9374,230.39,344504,2017-03-10 01:00:00-05:00
230.27,231.47,229.275,231.07,308531,2017-03-13 01:00:00-04:00
229.46,231.19,228.94,229.92,267495,2017-03-14 01:00:00-04:00
231.0,231.62,228.53,231.0,525177,2017-03-15 01:00:00-04:00
231.0,233.57,230.16,231.4,626731,2017-03-16 01:00:00-04:00
231.23,231.5539,229.2,230.2,665193,2017-03-17 01:00:00-04:00
230.83,231.99,228.97,231.9,848131,2017-03-20 01:00:00-04:00
232.18,232.2,229.07,229.42,341554,2017-03-21 01:00:00-04:00
227.45,228.17,224.01,227.92,693963,2017-03-22 01:00:00-04:00
228.3,230.81,227.95,229.38,296274,2017-03-23 01:00:00-04:00
229.57,230.06,225.53,227.02,732175,2017-03-24 01:00:00-04:00
224.74,228.07,223.84,227.63,330598,2017-03-27 01:00:00-04:00
227.32,228.85,226.03,227.99,438659,2017-03-28 01:00:00-04:00
226.82,230.21,226.42,229.96,473676,2017-03-29 01:00:00-04:00
229.84,232.14,228.84,228.91,397167,2017-03-30 01:00:00-04:00
