open,high,low,close,volume,datetime
105.74,106.27,103.8,105.4,369283,2017-07-12 01:00:00-04:00
105.47,106.25,104.38,106.1,545723,2017-07-13 01:00:00-04:00
106.11,108.2,105.11,107.45,316541,2017-07-14 01:00:00-04:00
107.35,107.81,106.77,106.98,236690,2017-07-17 01:00:00-04:00
106.8,107.46,105.9,106.98,313660,2017-07-18 01:00:00-04:00
107.3,107.845,106.9,107.59,247902,2017-07-19 01:00:00-04:00
107.79,108.27,107.19,107.4,139738,2017-07-20 01:00:00-04:00
107.17,108.38,107.12,108.15,148606,2017-07-21 01:00:00-04:00
108.14,109.22,108.01,108.98,276945,2017-07-24 01:00:00-04:00
109.6,110.53,109.25,110.26,544449,2017-07-25 01:00:00-04:00
110.74,110.77,110.115,110.35,327863,2017-07-26 01:00:00-04:00
110.8,110.8,109.2,109.81,430449,2017-07-27 01:00:00-04:00
109.75,110.58,108.6196,110.37,305655,2017-07-28 01:00:00-04:00
110.5,110.59,108.94,108.95,317346,2017-07-31 01:00:00-04:00
109.44,111.05,108.84,110.49,267631,2017-08-01 01:00:00-04:00
110.37,110.64,107.235,108.65,356974,2017-08-02 01:00:00-04:00
109.7,112.2851,107.5701,111.71,391064,2017-08-03 01:00:00-04:00
112.5,113.38,110.63,111.17,505487,2017-08-04 01:00:00-04:00
111.16,111.92,110.85,111.2,462242,2017-08-07 01:00:00-04:00
111.13,111.18,109.79,110.39,358281,2017-08-08 01:00:00-04:00
110.25,110.36,109.01,109.68,387944,2017-08-09 01:00:00-04:00
109.44,110.26,107.13,107.26,396871,2017-08-10 01:00:00-04:00
107.36,108.02,106.13,107.13,529865,2017-08-11 01:00:00-04:00
108.2,110.8,107.34,110.28,572841,2017-08-14 01:00:00-04:00
110.49,110.78,109.15,109.27,260937,2017-08-15 01:00:00-04:00
109.72,112.49,109.4,112.19,327774,2017-08-16 01:00:00-04:00
112.13,112.64,110.25,110.34,328841,2017-08-17 01:00:00-04:00
110.78,111.5,110.05,111.12,506417,2017-08-18 01:00:00-04:00
110.98,111.9,110.011,110.32,194050,2017-08-21 01:00:00-04:00
110.74,113.36,110.55,112.97,384929,2017-08-22 01:00:00-04:00
