open,high,low,close,volume,datetime
88.31,89.89,87.9,89.87,4960596,2016-12-07 01:00:00-05:00
89.36,89.8,88.71,89.39,4247065,2016-12-08 01:00:00-05:00
89.52,90.53,89.4,90.24,4287699,2016-12-09 01:00:00-05:00
90.42,91.05,90.34,90.82,3805119,2016-12-12 01:00:00-05:00
91.11,92.16,91.01,92.03,4900362,2016-12-13 01:00:00-05:00
92.26,92.63,90.21,90.72,6651979,2016-12-14 01:00:00-05:00
90.29,90.77,89.75,89.9,5550535,2016-12-15 01:00:00-05:00
90.08,91.43,89.62,91.31,7702927,2016-12-16 01:00:00-05:00
91.55,91.55,90.69,91.46,4334373,2016-12-19 01:00:00-05:00
90.19,90.73,88.9,90.7,4586781,2016-12-20 01:00:00-05:00
90.76,91.69,90.64,91.31,4294421,2016-12-21 01:00:00-05:00
91.01,91.67,90.76,91.61,3682219,2016-12-22 01:00:00-05:00
91.73,91.74,91.28,91.58,2547832,2016-12-23 01:00:00-05:00
91.53,91.785,91.09,91.33,1990764,2016-12-27 01:00:00-05:00
91.03,91.32,90.61,90.94,2290708,2016-12-28 01:00:00-05:00
90.95,92.0,90.745,91.73,3107586,2016-12-29 01:00:00-05:00
91.79,92.15,91.3,91.49,3314591,2016-12-30 01:00:00-05:00
91.79,92.0,90.92,91.23,5020899,2017-01-03 01:00:00-05:00
90.53,91.12,90.12,90.42,6694960,2017-01-04 01:00:00-05:00
90.69,91.755,90.53,91.13,4840145,2017-01-05 01:00:00-05:00
91.39,91.96,90.73,91.84,3826077,2017-01-06 01:00:00-05:00
91.09,91.44,90.83,91.31,3529324,2017-01-09 01:00:00-05:00
91.66,91.66,90.31,90.52,4203360,2017-01-10 01:00:00-05:00
90.65,90.96,90.33,90.44,3603539,2017-01-11 01:00:00-05:00
90.45,90.86,90.25,90.51,3000708,2017-01-12 01:00:00-05:00
90.42,90.7,89.97,90.4,3054565,2017-01-13 01:00:00-05:00
90.63,92.56,90.15,92.36,6363309,2017-01-17 01:00:00-05:00
92.6,93.52,92.54,93.49,5236822,2017-01-18 01:00:00-05:00
93.36,93.9718,93.23,93.85,5563269,2017-01-19 01:00:00-05:00
94.13,94.68,94.07,94.57,5628698,2017-01-20 01:00:00-05:00
94.61,94.81,94.32,94.76,3350306,2017-01-23 01:00:00-05:00
94.92,95.94,94.88,95.78,4945315,2017-01-24 01:00:00-05:00
