open,high,low,close,volume,datetime
204.59,206.86,203.97,206.41,648429,2017-07-12 01:00:00-04:00
206.4,207.49,204.73,204.82,740647,2017-07-13 01:00:00-04:00
206.18,208.464,206.14,207.68,566232,2017-07-14 01:00:00-04:00
207.76,209.74,206.96,207.59,660467,2017-07-17 01:00:00-04:00
207.32,209.11,205.35,207.21,917920,2017-07-18 01:00:00-04:00
207.46,208.43,207.06,207.77,887523,2017-07-19 01:00:00-04:00
207.64,208.78,206.18,207.53,703615,2017-07-20 01:00:00-04:00
207.28,209.15,207.2,208.94,439521,2017-07-21 01:00:00-04:00
208.92,209.26,207.22,209.0,643574,2017-07-24 01:00:00-04:00
209.25,209.25,206.02,207.72,871812,2017-07-25 01:00:00-04:00
207.61,211.26,207.13,210.06,964398,2017-07-26 01:00:00-04:00
198.04,202.0,192.15,198.28,3807216,2017-07-27 01:00:00-04:00
198.45,203.46,197.7,202.84,1490254,2017-07-28 01:00:00-04:00
203.08,206.22,201.73,205.57,1370148,2017-07-31 01:00:00-04:00
206.1,206.6,202.38,202.83,726935,2017-08-01 01:00:00-04:00
202.3,204.28,201.02,202.22,933873,2017-08-02 01:00:00-04:00
201.02,202.96,198.19,200.34,870120,2017-08-03 01:00:00-04:00
200.33,201.98,199.625,201.49,672190,2017-08-04 01:00:00-04:00
201.51,201.89,200.19,201.08,534705,2017-08-07 01:00:00-04:00
200.73,201.5,198.38,200.68,717934,2017-08-08 01:00:00-04:00
200.49,201.87,199.77,200.88,646039,2017-08-09 01:00:00-04:00
200.48,201.45,199.2,200.65,590457,2017-08-10 01:00:00-04:00
200.8,200.8,197.48,198.63,630343,2017-08-11 01:00:00-04:00
200.01,200.87,199.4542,200.54,807328,2017-08-14 01:00:00-04:00
200.33,201.73,199.3,201.58,651237,2017-08-15 01:00:00-04:00
202.0,202.62,198.8,199.01,876474,2017-08-16 01:00:00-04:00
198.92,200.1,197.73,197.73,728662,2017-08-17 01:00:00-04:00
196.91,197.73,194.5,196.29,793777,2017-08-18 01:00:00-04:00
197.01,201.14,196.56,200.37,993043,2017-08-21 01:00:00-04:00
200.58,201.98,199.47,201.59,796857,2017-08-22 01:00:00-04:00
201.45,206.53,201.235,205.42,966284,2017-08-23 01:00:00-04:00
205.4,206.78,204.35,204.67,727581,2017-08-24 01:00:00-04:00
204.66,205.395,203.0,203.87,569306,2017-08-25 01:00:00-04:00
203.85,204.73,201.78,204.3,613539,2017-08-28 01:00:00-04:00
204.34,206.68,204.305,205.57,527453,2017-08-29 01:00:00-04:00
205.1,205.94,202.7,205.94,519693,2017-08-30 01:00:00-04:00
206.14,207.0,204.425,205.34,858092,2017-08-31 01:00:00-04:00
205.82,206.895,205.18,205.88,408257,2017-09-01 01:00:00-04:00
205.58,206.96,204.97,206.66,656850,2017-09-05 01:00:00-04:00
207.5,209.49,207.48,207.89,964415,2017-09-06 01:00:00-04:00
208.48,215.19,208.35,214.28,1413642,2017-09-07 01:00:00-04:00
214.25,219.925,214.17,218.31,1319819,2017-09-08 01:00:00-04:00
216.02,216.02,210.3401,213.4,1583856,2017-09-11 01:00:00-04:00
210.5,210.52,207.05,207.58,1240103,2017-09-12 01:00:00-04:00
207.62,208.8,206.09,208.74,646348,2017-09-13 01:00:00-04:00
208.87,213.9799,207.59,212.56,803318,2017-09-14 01:00:00-04:00
212.45,214.32,211.83,214.15,1032132,2017-09-15 01:00:00-04:00
214.01,216.4,214.01,215.85,796594,2017-09-18 01:00:00-04:00
215.99,216.5199,214.87,215.72,763139,2017-09-19 01:00:00-04:00
215.96,216.59,212.64,214.11,704864,2017-09-20 01:00:00-04:00
214.01,216.79,213.38,214.87,671973,2017-09-21 01:00:00-04:00
215.39,216.25,213.12,213.71,500245,2017-09-22 01:00:00-04:00
213.49,215.45,212.57,214.21,530031,2017-09-25 01:00:00-04:00
214.64,215.85,213.97,214.13,675403,2017-09-26 01:00:00-04:00
213.55,213.55,209.82,211.98,730202,2017-09-27 01:00:00-04:00
211.72,213.0,209.68,212.75,548550,2017-09-28 01:00:00-04:00
212.75,214.44,211.26,213.99,909720,2017-09-29 01:00:00-04:00
214.55,215.46,213.41,214.28,771200,2017-10-02 01:00:00-04:00
214.72,215.4699,212.47,212.92,574017,2017-10-03 01:00:00-04:00
212.61,214.044,211.63,213.87,527206,2017-10-04 01:00:00-04:00
214.51,215.54,213.38,213.68,681273,2017-10-05 01:00:00-04:00
213.0,214.02,211.62,213.42,847063,2017-10-06 01:00:00-04:00
213.21,215.045,211.69,213.83,635665,2017-10-09 01:00:00-04:00
213.93,215.87,211.63,213.02,807623,2017-10-10 01:00:00-04:00
213.0,215.21,211.645,214.68,783448,2017-10-11 01:00:00-04:00
214.6,216.92,214.47,216.81,541558,2017-10-12 01:00:00-04:00
217.5,219.53,216.325,218.56,1057695,2017-10-13 01:00:00-04:00
218.93,219.48,216.5,217.56,768070,2017-10-16 01:00:00-04:00
216.74,217.765,214.305,215.88,723341,2017-10-17 01:00:00-04:00
215.88,217.0,214.23,214.67,516379,2017-10-18 01:00:00-04:00
215.4,216.1,214.13,215.21,687004,2017-10-19 01:00:00-04:00
214.95,215.195,213.42,215.09,844964,2017-10-20 01:00:00-04:00
215.36,216.57,214.02,214.78,752787,2017-10-23 01:00:00-04:00
214.09,214.75,210.0,210.11,1070804,2017-10-24 01:00:00-04:00
210.93,211.465,208.2,210.0,1062370,2017-10-25 01:00:00-04:00
201.07,206.0,198.11,204.21,2974434,2017-10-26 01:00:00-04:00
203.55,207.64,203.06,206.9,1041351,2017-10-27 01:00:00-04:00
