open,high,low,close,volume,datetime
39.33,40.17,39.15,39.7,4980209,2017-07-12 01:00:00-04:00
37.62,39.01,37.32,38.32,11523664,2017-07-13 01:00:00-04:00
38.4,39.69,38.38,39.5,5357158,2017-07-14 01:00:00-04:00
39.0,39.25,38.555,39.07,3813384,2017-07-17 01:00:00-04:00
39.06,39.06,38.3,38.83,3497284,2017-07-18 01:00:00-04:00
39.0,39.44,38.931,39.24,4143946,2017-07-19 01:00:00-04:00
39.24,39.6,38.87,39.42,2778843,2017-07-20 01:00:00-04:00
39.48,39.72,39.075,39.58,3256610,2017-07-21 01:00:00-04:00
39.63,40.13,39.23,39.76,6279070,2017-07-24 01:00:00-04:00
32.33,34.13,31.88,33.2,35475705,2017-07-25 01:00:00-04:00
33.35,33.42,32.08,32.34,12637592,2017-07-26 01:00:00-04:00
32.5,33.0288,32.1,32.56,7709592,2017-07-27 01:00:00-04:00
32.3,32.62,31.88,32.61,7865473,2017-07-28 01:00:00-04:00
32.73,33.14,32.48,32.96,7171657,2017-07-31 01:00:00-04:00
33.05,33.51,32.9,33.37,6029177,2017-08-01 01:00:00-04:00
33.46,33.4675,33.03,33.42,5838381,2017-08-02 01:00:00-04:00
33.51,33.765,33.26,33.57,4934872,2017-08-03 01:00:00-04:00
33.71,34.035,33.36,33.43,6767992,2017-08-04 01:00:00-04:00
33.4,33.66,33.24,33.48,5520705,2017-08-07 01:00:00-04:00
33.39,33.62,32.97,32.99,5981481,2017-08-08 01:00:00-04:00
32.74,32.995,32.47,32.6,4285875,2017-08-09 01:00:00-04:00
32.36,32.52,31.51,31.55,6368456,2017-08-10 01:00:00-04:00
32.25,33.25,31.97,32.29,5647213,2017-08-11 01:00:00-04:00
32.65,33.16,32.54,32.55,4163015,2017-08-14 01:00:00-04:00
32.59,32.6717,32.26,32.28,2938591,2017-08-15 01:00:00-04:00
32.34,32.51,32.18,32.48,2533522,2017-08-16 01:00:00-04:00
32.3,32.6,31.47,31.51,3483081,2017-08-17 01:00:00-04:00
31.58,31.74,31.04,31.37,2901029,2017-08-18 01:00:00-04:00
31.47,31.5399,31.14,31.46,3141425,2017-08-21 01:00:00-04:00
31.67,32.38,31.56,32.29,2640301,2017-08-22 01:00:00-04:00
31.12,31.36,30.6,31.01,7757275,2017-08-23 01:00:00-04:00
31.11,31.43,30.95,31.02,4542635,2017-08-24 01:00:00-04:00
31.07,31.4,30.85,31.25,3504783,2017-08-25 01:00:00-04:00
31.34,31.7,31.12,31.49,2856317,2017-08-28 01:00:00-04:00
31.2,31.55,30.95,31.45,3357869,2017-08-29 01:00:00-04:00
31.36,31.58,30.91,31.5,3807194,2017-08-30 01:00:00-04:00
31.8,31.8,31.26,31.53,4289317,2017-08-31 01:00:00-04:00
31.59,32.0201,31.55,31.8,2115257,2017-09-01 01:00:00-04:00
31.84,33.35,31.83,32.75,8454710,2017-09-05 01:00:00-04:00
32.85,33.31,32.65,32.79,5927660,2017-09-06 01:00:00-04:00
32.93,32.98,31.89,32.34,4284306,2017-09-07 01:00:00-04:00
32.31,32.31,31.9,31.99,3562738,2017-09-08 01:00:00-04:00
31.27,31.79,30.89,30.95,6630305,2017-09-11 01:00:00-04:00
31.0,32.0,30.96,31.89,5159508,2017-09-12 01:00:00-04:00
32.12,32.85,31.94,32.78,5300016,2017-09-13 01:00:00-04:00
32.51,32.79,32.35,32.65,3368210,2017-09-14 01:00:00-04:00
32.66,33.64,32.4,33.55,9565630,2017-09-15 01:00:00-04:00
33.75,33.923,32.31,33.52,8551019,2017-09-18 01:00:00-04:00
32.75,32.92,31.7,32.18,7963150,2017-09-19 01:00:00-04:00
32.19,32.68,31.97,32.38,4594086,2017-09-20 01:00:00-04:00
32.38,33.05,32.05,32.72,4696936,2017-09-21 01:00:00-04:00
