open,high,low,close,volume,datetime
142.88,142.92,140.06,141.85,2413509,2016-12-07 01:00:00-05:00
141.78,143.775,140.9911,143.07,1819360,2016-12-08 01:00:00-05:00
143.81,145.65,143.75,145.41,1620683,2016-12-09 01:00:00-05:00
144.27,146.05,144.27,145.18,1390756,2016-12-12 01:00:00-05:00
145.56,146.48,145.205,145.9,1254313,2016-12-13 01:00:00-05:00
145.57,146.03,143.23,143.8,1657261,2016-12-14 01:00:00-05:00
144.0,144.33,142.871,143.5,1849424,2016-12-15 01:00:00-05:00
143.48,145.31,142.25,142.54,2706768,2016-12-16 01:00:00-05:00
142.34,143.41,140.72,141.25,1591367,2016-12-19 01:00:00-05:00
141.58,142.585,140.71,141.8,1871326,2016-12-20 01:00:00-05:00
141.74,141.8,140.42,140.77,1502616,2016-12-21 01:00:00-05:00
140.95,141.09,139.88,140.52,1191103,2016-12-22 01:00:00-05:00
140.85,141.99,139.88,141.84,1047741,2016-12-23 01:00:00-05:00
142.17,143.19,141.87,142.41,879530,2016-12-27 01:00:00-05:00
142.56,142.78,141.11,141.22,1015289,2016-12-28 01:00:00-05:00
141.01,142.38,141.0,141.48,771565,2016-12-29 01:00:00-05:00
142.16,142.34,140.45,141.1,1063322,2016-12-30 01:00:00-05:00
142.39,143.83,142.23,143.67,1966906,2017-01-03 01:00:00-05:00
143.95,146.06,143.29,145.16,2167219,2017-01-04 01:00:00-05:00
145.38,145.77,144.78,145.38,1683578,2017-01-05 01:00:00-05:00
145.28,147.49,145.14,147.27,2016228,2017-01-06 01:00:00-05:00
147.01,148.64,147.01,147.49,1967207,2017-01-09 01:00:00-05:00
147.8,149.32,147.3,147.78,1806625,2017-01-10 01:00:00-05:00
147.79,148.33,143.865,146.22,2764303,2017-01-11 01:00:00-05:00
146.18,146.99,145.1301,145.97,2239606,2017-01-12 01:00:00-05:00
146.09,147.025,145.52,146.29,1839728,2017-01-13 01:00:00-05:00
145.67,145.87,144.55,145.05,1651515,2017-01-17 01:00:00-05:00
145.84,146.0,143.56,144.66,1377132,2017-01-18 01:00:00-05:00
144.38,144.72,143.44,144.32,1435920,2017-01-19 01:00:00-05:00
144.91,145.14,143.32,143.51,1750006,2017-01-20 01:00:00-05:00
143.16,144.42,142.57,142.79,1508582,2017-01-23 01:00:00-05:00
143.23,143.66,140.0,140.98,2988471,2017-01-24 01:00:00-05:00
141.5,143.02,140.77,142.43,2224918,2017-01-25 01:00:00-05:00
142.52,143.47,141.97,143.1,2934176,2017-01-26 01:00:00-05:00
144.01,145.86,143.76,145.45,2107766,2017-01-27 01:00:00-05:00
145.53,145.56,142.66,143.29,3158625,2017-01-30 01:00:00-05:00
146.65,152.5,146.08,152.39,5340687,2017-01-31 01:00:00-05:00
152.27,155.1,151.48,152.94,3601963,2017-02-01 01:00:00-05:00
152.41,152.41,150.23,151.67,1751819,2017-02-02 01:00:00-05:00
152.15,152.3733,150.39,151.43,1817142,2017-02-03 01:00:00-05:00
151.06,152.15,150.42,152.08,1624932,2017-02-06 01:00:00-05:00
152.12,153.2,151.79,153.01,1479308,2017-02-07 01:00:00-05:00
152.38,154.23,151.69,153.5,1467821,2017-02-08 01:00:00-05:00
153.6,155.27,153.3801,154.74,1505007,2017-02-09 01:00:00-05:00
154.68,155.49,154.27,154.89,1482866,2017-02-10 01:00:00-05:00
155.0,156.799,154.49,156.35,1636548,2017-02-13 01:00:00-05:00
155.94,157.33,155.42,157.28,1429800,2017-02-14 01:00:00-05:00
156.49,158.37,156.48,158.26,1423317,2017-02-15 01:00:00-05:00
158.01,158.55,157.44,157.71,1252905,2017-02-16 01:00:00-05:00
157.62,159.3,157.385,158.64,1207502,2017-02-17 01:00:00-05:00
158.64,159.41,157.96,158.63,1242218,2017-02-21 01:00:00-05:00
158.34,159.1,157.69,158.02,1282983,2017-02-22 01:00:00-05:00
158.59,159.12,157.7,158.73,1124977,2017-02-23 01:00:00-05:00
158.34,158.98,157.58,158.98,832828,2017-02-24 01:00:00-05:00
158.36,159.29,158.02,158.48,1220207,2017-02-27 01:00:00-05:00
158.2,159.25,157.52,157.68,1674213,2017-02-28 01:00:00-05:00
159.47,160.89,158.91,159.82,1722556,2017-03-01 01:00:00-05:00
160.0,160.0,158.9845,159.2,1414396,2017-03-02 01:00:00-05:00
158.72,160.42,158.66,160.16,1204035,2017-03-03 01:00:00-05:00
158.71,159.29,157.55,157.71,1413379,2017-03-06 01:00:00-05:00
156.99,157.94,156.59,157.26,1166721,2017-03-07 01:00:00-05:00
157.39,157.96,156.64,157.5,1105385,2017-03-08 01:00:00-05:00
157.72,158.24,157.08,157.78,1102589,2017-03-09 01:00:00-05:00
158.18,159.47,158.15,159.33,1206266,2017-03-10 01:00:00-05:00
159.31,159.31,157.66,159.04,1324287,2017-03-13 01:00:00-04:00
158.49,158.7,157.955,158.34,1036534,2017-03-14 01:00:00-04:00
158.59,161.6599,158.36,161.05,2548153,2017-03-15 01:00:00-04:00
158.03,159.5,156.85,158.02,3208734,2017-03-16 01:00:00-04:00
158.54,159.09,156.38,157.89,2654091,2017-03-17 01:00:00-04:00
158.14,158.4,156.36,156.74,1280593,2017-03-20 01:00:00-04:00
157.47,157.7,154.36,155.54,1593396,2017-03-21 01:00:00-04:00
155.79,156.5,154.33,155.33,1309578,2017-03-22 01:00:00-04:00
155.3,155.95,154.02,154.65,1643432,2017-03-23 01:00:00-04:00
154.43,155.67,153.69,154.04,1938975,2017-03-24 01:00:00-04:00
153.44,155.35,152.61,154.59,1418568,2017-03-27 01:00:00-04:00
154.64,155.3833,153.54,154.64,1113892,2017-03-28 01:00:00-04:00
154.35,154.585,152.94,153.98,1075037,2017-03-29 01:00:00-04:00
154.1,154.71,153.45,153.91,1054176,2017-03-30 01:00:00-04:00
153.39,154.15,153.22,153.6,1219626,2017-03-31 01:00:00-04:00
153.6,155.21,153.5,154.58,2084836,2017-04-03 01:00:00-04:00
154.47,154.96,152.51,152.72,2701327,2017-04-04 01:00:00-04:00
153.27,154.09,152.63,152.76,2012985,2017-04-05 01:00:00-04:00
