open,high,low,close,volume,datetime
35.52,35.52,33.79,34.5,11556368,2016-12-07 01:00:00-05:00
34.5,36.08,34.24,36.06,9101676,2016-12-08 01:00:00-05:00
36.08,37.15,36.07,36.51,6118816,2016-12-09 01:00:00-05:00
36.69,37.3,36.3541,37.13,4876606,2016-12-12 01:00:00-05:00
37.7,38.45,37.64,38.3,7035612,2016-12-13 01:00:00-05:00
38.15,38.1717,37.13,37.69,5845650,2016-12-14 01:00:00-05:00
37.64,38.1,37.32,37.76,4591679,2016-12-15 01:00:00-05:00
38.09,38.23,37.63,37.82,6542310,2016-12-16 01:00:00-05:00
37.63,38.29,37.3801,37.49,2727895,2016-12-19 01:00:00-05:00
37.56,37.83,37.14,37.29,2480694,2016-12-20 01:00:00-05:00
37.4,37.89,37.05,37.52,4093743,2016-12-21 01:00:00-05:00
37.39,37.81,37.13,37.31,3122957,2016-12-22 01:00:00-05:00
37.26,37.55,37.2,37.5,2077667,2016-12-23 01:00:00-05:00
37.48,38.24,37.46,37.58,3860116,2016-12-27 01:00:00-05:00
37.69,37.79,36.895,37.21,5533599,2016-12-28 01:00:00-05:00
37.47,38.0,37.18,37.38,3553008,2016-12-29 01:00:00-05:00
37.98,38.79,37.84,38.15,6312717,2016-12-30 01:00:00-05:00
38.48,39.28,38.42,39.11,5031866,2017-01-03 01:00:00-05:00
39.32,40.0811,39.25,39.63,6581808,2017-01-04 01:00:00-05:00
38.95,39.47,38.77,39.16,5799320,2017-01-05 01:00:00-05:00
38.87,39.08,37.95,38.5,5723567,2017-01-06 01:00:00-05:00
38.5,39.13,38.41,38.95,3382719,2017-01-09 01:00:00-05:00
39.23,39.37,38.67,38.95,3410246,2017-01-10 01:00:00-05:00
39.55,39.58,37.08,37.28,11809823,2017-01-11 01:00:00-05:00
37.44,37.44,36.17,36.77,7167246,2017-01-12 01:00:00-05:00
36.79,37.02,36.35,36.73,5031791,2017-01-13 01:00:00-05:00
36.86,37.36,36.45,37.07,4542867,2017-01-17 01:00:00-05:00
37.18,37.38,36.71,37.19,4247697,2017-01-18 01:00:00-05:00
37.11,37.3,36.71,36.95,4062738,2017-01-19 01:00:00-05:00
36.93,37.35,36.8,37.07,3587008,2017-01-20 01:00:00-05:00
36.87,37.19,35.82,36.03,4735328,2017-01-23 01:00:00-05:00
36.03,36.13,35.16,35.81,5067774,2017-01-24 01:00:00-05:00
36.0,36.64,35.98,36.48,5150249,2017-01-25 01:00:00-05:00
36.54,36.59,35.83,36.1,3517896,2017-01-26 01:00:00-05:00
36.16,36.83,36.01,36.66,2982078,2017-01-27 01:00:00-05:00
36.57,36.73,35.5,36.34,5237857,2017-01-30 01:00:00-05:00
37.02,38.09,36.41,38.05,7353697,2017-01-31 01:00:00-05:00
38.68,38.75,38.07,38.66,5917169,2017-02-01 01:00:00-05:00
38.26,39.35,38.16,39.0,6225389,2017-02-02 01:00:00-05:00
39.27,39.5,38.52,39.21,5719394,2017-02-03 01:00:00-05:00
39.36,40.25,39.34,39.98,6182779,2017-02-06 01:00:00-05:00
40.26,40.3,39.21,39.39,6061655,2017-02-07 01:00:00-05:00
39.22,39.65,39.0,39.19,5939525,2017-02-08 01:00:00-05:00
39.36,39.6,39.0,39.3,5517734,2017-02-09 01:00:00-05:00
39.09,39.46,39.0,39.31,2521887,2017-02-10 01:00:00-05:00
39.71,39.885,39.56,39.78,3920308,2017-02-13 01:00:00-05:00
39.59,40.91,39.56,40.75,5501861,2017-02-14 01:00:00-05:00
40.67,42.59,40.59,42.44,10793852,2017-02-15 01:00:00-05:00
42.6,42.65,41.56,42.0,4437549,2017-02-16 01:00:00-05:00
41.86,42.33,41.78,42.05,6616387,2017-02-17 01:00:00-05:00
42.46,42.7,42.07,42.3,7442762,2017-02-21 01:00:00-05:00
42.21,42.3,41.86,42.0,5059524,2017-02-22 01:00:00-05:00
42.03,42.54,41.77,42.33,4395227,2017-02-23 01:00:00-05:00
42.31,42.35,41.76,42.16,4857746,2017-02-24 01:00:00-05:00
42.04,42.5,41.77,42.44,4060275,2017-02-27 01:00:00-05:00
42.45,42.48,41.42,41.85,6874112,2017-02-28 01:00:00-05:00
44.34,45.87,44.1,44.87,15930341,2017-03-01 01:00:00-05:00
44.67,45.73,44.4,45.28,7235878,2017-03-02 01:00:00-05:00
45.21,45.75,44.91,45.18,5382298,2017-03-03 01:00:00-05:00
45.31,45.44,43.98,44.04,5353290,2017-03-06 01:00:00-05:00
43.45,43.75,42.79,43.33,6585147,2017-03-07 01:00:00-05:00
43.32,43.88,43.07,43.47,4298419,2017-03-08 01:00:00-05:00
43.62,43.66,42.895,43.23,4391539,2017-03-09 01:00:00-05:00
43.68,43.73,42.97,43.4,3671441,2017-03-10 01:00:00-05:00
43.5,43.5,42.89,42.98,3195234,2017-03-13 01:00:00-04:00
42.68,42.93,42.32,42.77,3593080,2017-03-14 01:00:00-04:00
42.89,43.0,42.6,42.83,6844232,2017-03-15 01:00:00-04:00
42.71,42.89,42.3,42.49,4394457,2017-03-16 01:00:00-04:00
42.59,42.63,41.94,42.03,6070643,2017-03-17 01:00:00-04:00
42.1,42.52,41.95,42.17,5027254,2017-03-20 01:00:00-04:00
42.17,42.17,41.58,41.67,4241458,2017-03-21 01:00:00-04:00
41.6,41.86,41.365,41.7,4364730,2017-03-22 01:00:00-04:00
41.2,42.06,41.12,41.605,5029960,2017-03-23 01:00:00-04:00
40.28,41.27,40.25,40.96,24463423,2017-03-24 01:00:00-04:00
40.86,41.75,40.79,41.71,8049698,2017-03-27 01:00:00-04:00
41.94,42.48,41.55,41.72,4381423,2017-03-28 01:00:00-04:00
41.5,41.89,40.13,40.35,10250610,2017-03-29 01:00:00-04:00
40.21,40.43,39.5,39.59,7331495,2017-03-30 01:00:00-04:00
39.48,39.66,38.95,38.99,6588060,2017-03-31 01:00:00-04:00
38.63,39.16,38.57,39.01,7582231,2017-04-03 01:00:00-04:00
38.98,39.02,38.34,38.7,5425727,2017-04-04 01:00:00-04:00
38.74,39.245,38.59,38.82,5372521,2017-04-05 01:00:00-04:00
39.03,39.31,38.79,38.96,4102395,2017-04-06 01:00:00-04:00
38.86,39.82,38.68,39.6,6607454,2017-04-07 01:00:00-04:00
39.75,40.07,39.24,39.25,4782142,2017-04-10 01:00:00-04:00
39.16,39.16,38.25,38.45,7015986,2017-04-11 01:00:00-04:00
38.33,38.5,37.6801,38.04,4225830,2017-04-12 01:00:00-04:00
37.8,37.95,37.1,37.67,2967990,2017-04-13 01:00:00-04:00
37.74,37.85,37.0,37.55,3634333,2017-04-17 01:00:00-04:00
36.96,37.31,36.75,37.03,4422877,2017-04-18 01:00:00-04:00
37.17,37.2888,36.85,36.96,3848901,2017-04-19 01:00:00-04:00
37.18,37.22,36.6,37.08,3597191,2017-04-20 01:00:00-04:00
37.11,37.45,36.54,36.83,3876749,2017-04-21 01:00:00-04:00
37.25,37.7,37.14,37.47,4490466,2017-04-24 01:00:00-04:00
37.47,37.5,36.57,36.85,5844133,2017-04-25 01:00:00-04:00
36.92,38.02,36.83,37.44,6161221,2017-04-26 01:00:00-04:00
37.4,37.84,37.315,37.72,3467280,2017-04-27 01:00:00-04:00
37.73,37.83,37.12,37.35,3499415,2017-04-28 01:00:00-04:00
37.64,37.83,37.39,37.4,2460473,2017-05-01 01:00:00-04:00
37.47,38.39,37.245,38.17,5166236,2017-05-02 01:00:00-04:00
38.0,38.0,36.59,37.19,6301534,2017-05-03 01:00:00-04:00
37.22,38.24,37.16,38.01,4808496,2017-05-04 01:00:00-04:00
38.1,38.2,37.32,37.9,5568919,2017-05-05 01:00:00-04:00
37.66,37.72,37.14,37.38,3878084,2017-05-08 01:00:00-04:00
37.8,38.48,37.26,38.01,7378703,2017-05-09 01:00:00-04:00
38.65,38.94,36.79,38.21,12114902,2017-05-10 01:00:00-04:00
38.51,39.77,38.325,39.43,9857136,2017-05-11 01:00:00-04:00
39.3,39.54,38.865,38.94,5020896,2017-05-12 01:00:00-04:00
39.08,39.13,38.55,38.68,4695515,2017-05-15 01:00:00-04:00
39.01,39.345,38.67,39.15,4942208,2017-05-16 01:00:00-04:00
38.78,39.215,38.6,38.65,4540129,2017-05-17 01:00:00-04:00
38.76,38.8,37.96,38.15,4891101,2017-05-18 01:00:00-04:00
38.13,38.4701,37.92,37.94,3434774,2017-05-19 01:00:00-04:00
38.71,38.76,38.18,38.64,4457414,2017-05-22 01:00:00-04:00
38.93,40.1,38.7941,39.59,7414662,2017-05-23 01:00:00-04:00
39.82,39.83,39.13,39.18,3471352,2017-05-24 01:00:00-04:00
39.2,39.855,38.95,39.83,4691769,2017-05-25 01:00:00-04:00
39.75,39.99,39.43,39.72,3974189,2017-05-26 01:00:00-04:00
39.78,39.9,39.185,39.36,3485793,2017-05-30 01:00:00-04:00
39.39,39.66,38.74,38.98,5535348,2017-05-31 01:00:00-04:00
39.08,39.58,39.05,39.56,5097061,2017-06-01 01:00:00-04:00
39.42,39.48,39.0,39.08,6066530,2017-06-02 01:00:00-04:00
38.91,39.0999,38.22,38.64,4247599,2017-06-05 01:00:00-04:00
38.59,38.85,38.38,38.55,2275391,2017-06-06 01:00:00-04:00
38.63,39.415,38.61,39.34,5181363,2017-06-07 01:00:00-04:00
39.74,39.96,39.44,39.71,7981115,2017-06-08 01:00:00-04:00
39.74,40.67,39.71,40.09,9299326,2017-06-09 01:00:00-04:00
39.78,40.04,38.84,38.88,6319977,2017-06-12 01:00:00-04:00
38.8,38.92,37.67,37.77,7519479,2017-06-13 01:00:00-04:00
37.82,38.045,37.44,37.88,5768232,2017-06-14 01:00:00-04:00
37.41,37.53,36.5,36.98,8417135,2017-06-15 01:00:00-04:00
36.91,37.06,36.565,36.72,8784868,2017-06-16 01:00:00-04:00
36.88,37.58,36.87,37.23,4024543,2017-06-19 01:00:00-04:00
37.15,37.79,36.82,37.42,3739015,2017-06-20 01:00:00-04:00
37.47,38.295,37.45,38.27,4222955,2017-06-21 01:00:00-04:00
38.46,39.2,38.35,39.01,6319879,2017-06-22 01:00:00-04:00
39.03,39.29,38.665,39.03,16048933,2017-06-23 01:00:00-04:00
39.11,39.31,38.87,39.03,5316240,2017-06-26 01:00:00-04:00
39.18,39.22,38.41,38.43,4765334,2017-06-27 01:00:00-04:00
38.8,39.27,38.61,39.07,3467250,2017-06-28 01:00:00-04:00
39.21,39.4,38.5789,38.76,3118374,2017-06-29 01:00:00-04:00
38.86,38.93,38.37,38.82,2418851,2017-06-30 01:00:00-04:00
38.93,39.23,38.78,38.81,0,2017-07-03 01:00:00-04:00
39.04,39.07,38.045,38.47,3803400,2017-07-05 01:00:00-04:00
38.22,38.35,37.55,37.65,3202283,2017-07-06 01:00:00-04:00
37.7,37.89,37.28,37.61,2806373,2017-07-07 01:00:00-04:00
37.6,37.83,37.47,37.72,3136014,2017-07-10 01:00:00-04:00
37.58,37.875,37.42,37.65,3208138,2017-07-11 01:00:00-04:00
37.91,38.61,37.89,38.58,3249508,2017-07-12 01:00:00-04:00
38.95,39.445,38.75,39.05,4804783,2017-07-13 01:00:00-04:00
39.37,39.575,39.04,39.21,3397120,2017-07-14 01:00:00-04:00
39.2,39.41,38.65,38.75,4496677,2017-07-17 01:00:00-04:00
38.59,38.59,37.59,38.11,4664027,2017-07-18 01:00:00-04:00
38.06,38.475,37.76,38.34,3751398,2017-07-19 01:00:00-04:00
38.69,39.58,38.62,39.49,5349093,2017-07-20 01:00:00-04:00
39.8,39.8,39.03,39.17,2991857,2017-07-21 01:00:00-04:00
39.04,39.13,38.6301,38.76,3404123,2017-07-24 01:00:00-04:00
38.91,39.115,38.7201,38.82,2063453,2017-07-25 01:00:00-04:00
38.85,39.46,38.64,39.19,2606773,2017-07-26 01:00:00-04:00
39.27,39.35,38.22,38.49,3395574,2017-07-27 01:00:00-04:00
38.35,38.87,38.16,38.74,2304230,2017-07-28 01:00:00-04:00
38.98,39.39,38.91,38.99,4043432,2017-07-31 01:00:00-04:00
39.05,39.05,38.48,38.59,2768529,2017-08-01 01:00:00-04:00
38.42,38.43,36.71,36.92,7517149,2017-08-02 01:00:00-04:00
35.49,36.53,34.31,34.7,11843291,2017-08-03 01:00:00-04:00
34.33,34.34,32.77,32.92,12669007,2017-08-04 01:00:00-04:00
31.48,32.71,31.47,32.0,19740836,2017-08-07 01:00:00-04:00
32.36,32.68,31.28,31.79,11391234,2017-08-08 01:00:00-04:00
