open,high,low,close,volume,datetime
50.72,51.43,50.44,51.38,16280568,2016-12-07 01:00:00-05:00
51.23,51.28,50.98,51.13,11502897,2016-12-08 01:00:00-05:00
51.09,51.63,50.915,51.49,10101462,2016-12-09 01:00:00-05:00
51.54,52.43,51.475,51.76,16186418,2016-12-12 01:00:00-05:00
52.08,52.37,52.06,52.36,12211522,2016-12-13 01:00:00-05:00
52.46,52.66,51.405,51.63,19920424,2016-12-14 01:00:00-05:00
51.37,52.125,51.245,51.81,13963553,2016-12-15 01:00:00-05:00
52.06,52.28,51.86,52.27,21262325,2016-12-16 01:00:00-05:00
52.48,53.13,52.09,52.91,13406960,2016-12-19 01:00:00-05:00
52.93,53.46,52.93,53.12,10366942,2016-12-20 01:00:00-05:00
53.09,53.43,52.97,52.97,9656718,2016-12-21 01:00:00-05:00
52.85,53.74,52.72,53.65,11101456,2016-12-22 01:00:00-05:00
53.65,53.75,53.44,53.68,7201173,2016-12-23 01:00:00-05:00
53.69,53.83,53.44,53.64,6255400,2016-12-27 01:00:00-05:00
53.63,53.83,53.37,53.44,6849472,2016-12-28 01:00:00-05:00
53.59,53.9,53.51,53.74,7150762,2016-12-29 01:00:00-05:00
53.55,53.64,53.17,53.38,12440847,2016-12-30 01:00:00-05:00
53.96,54.67,53.73,54.58,22891725,2017-01-03 01:00:00-05:00
54.55,54.81,54.33,54.52,18316075,2017-01-04 01:00:00-05:00
54.78,54.83,54.3,54.64,13840590,2017-01-05 01:00:00-05:00
53.67,53.78,53.095,53.26,15615037,2017-01-06 01:00:00-05:00
53.22,53.265,52.67,52.68,14097190,2017-01-09 01:00:00-05:00
52.69,53.16,52.02,52.76,11787399,2017-01-10 01:00:00-05:00
52.62,52.75,52.235,52.46,16142843,2017-01-11 01:00:00-05:00
52.43,52.89,52.265,52.68,11052102,2017-01-12 01:00:00-05:00
52.72,52.9,52.41,52.55,9458660,2017-01-13 01:00:00-05:00
52.55,52.89,52.5,52.74,11383490,2017-01-17 01:00:00-05:00
52.52,52.835,52.21,52.25,12930855,2017-01-18 01:00:00-05:00
52.55,52.64,52.18,52.36,13286142,2017-01-19 01:00:00-05:00
52.6,53.2,52.56,52.72,15473748,2017-01-20 01:00:00-05:00
52.46,52.7,52.18,52.41,15695475,2017-01-23 01:00:00-05:00
50.255,50.79,49.79,50.12,43484680,2017-01-24 01:00:00-05:00
49.5,49.94,48.84,49.77,30398594,2017-01-25 01:00:00-05:00
48.75,49.47,48.51,49.12,37877112,2017-01-26 01:00:00-05:00
49.35,49.73,49.27,49.6,18369275,2017-01-27 01:00:00-05:00
49.49,49.84,49.18,49.37,12148701,2017-01-30 01:00:00-05:00
49.21,49.47,48.93,49.01,16844160,2017-01-31 01:00:00-05:00
49.34,49.37,48.25,48.39,26004051,2017-02-01 01:00:00-05:00
48.54,48.59,47.9,48.28,17787157,2017-02-02 01:00:00-05:00
48.45,48.62,48.33,48.58,15166338,2017-02-03 01:00:00-05:00
48.67,48.67,47.94,48.03,16151442,2017-02-06 01:00:00-05:00
48.13,48.16,47.8,48.04,12771905,2017-02-07 01:00:00-05:00
48.15,48.57,48.1,48.37,13962834,2017-02-08 01:00:00-05:00
48.52,48.96,48.41,48.81,13577346,2017-02-09 01:00:00-05:00
48.94,49.12,48.69,48.98,12317356,2017-02-10 01:00:00-05:00
48.27,48.615,48.08,48.55,18305342,2017-02-13 01:00:00-05:00
48.31,48.47,47.99,48.27,20847187,2017-02-14 01:00:00-05:00
48.0,48.1,47.8,48.08,19297054,2017-02-15 01:00:00-05:00
48.03,48.52,47.89,48.46,18706949,2017-02-16 01:00:00-05:00
48.31,49.3,48.13,49.19,23190659,2017-02-17 01:00:00-05:00
49.51,49.69,49.23,49.43,19205958,2017-02-21 01:00:00-05:00
49.5,49.7,49.48,49.67,13653423,2017-02-22 01:00:00-05:00
49.98,50.5,49.67,50.31,16211994,2017-02-23 01:00:00-05:00
50.28,50.945,50.28,50.6,14357936,2017-02-24 01:00:00-05:00
50.49,50.55,49.8,49.94,14029458,2017-02-27 01:00:00-05:00
49.96,50.03,49.41,49.63,17699168,2017-02-28 01:00:00-05:00
49.56,49.98,49.37,49.81,16095603,2017-03-01 01:00:00-05:00
49.69,50.02,49.6,49.98,10773372,2017-03-02 01:00:00-05:00
50.05,50.14,49.8,50.09,11075118,2017-03-03 01:00:00-05:00
50.03,50.145,49.84,50.03,10827336,2017-03-06 01:00:00-05:00
50.0,50.06,49.36,49.44,12896873,2017-03-07 01:00:00-05:00
49.3,49.33,48.9,49.16,14206492,2017-03-08 01:00:00-05:00
49.22,49.4499,49.075,49.28,10590012,2017-03-09 01:00:00-05:00
49.5,49.52,49.1,49.35,11181598,2017-03-10 01:00:00-05:00
49.33,49.53,49.13,49.47,10488812,2017-03-13 01:00:00-04:00
49.44,49.625,49.25,49.36,8496589,2017-03-14 01:00:00-04:00
49.26,50.25,49.26,50.14,12660774,2017-03-15 01:00:00-04:00
50.02,50.25,49.85,50.04,10861242,2017-03-16 01:00:00-04:00
50.19,50.425,50.02,50.39,21071260,2017-03-17 01:00:00-04:00
50.42,50.61,50.14,50.24,9455972,2017-03-20 01:00:00-04:00
50.48,50.63,50.12,50.16,15196517,2017-03-21 01:00:00-04:00
50.13,50.275,49.405,49.71,14950443,2017-03-22 01:00:00-04:00
49.75,49.88,49.42,49.64,9644949,2017-03-23 01:00:00-04:00
49.7,49.83,49.5,49.68,9310665,2017-03-24 01:00:00-04:00
