open,high,low,close,volume,datetime
193.32,193.32,193.32,193.32,100,2024-03-28 07:46:00-04:00
193.33,193.33,193.33,193.33,336,2024-03-28 08:12:00-04:00
193.33,193.33,193.33,193.33,669,2024-03-28 08:59:00-04:00
193.77,193.77,193.77,193.77,273,2024-03-28 09:27:00-04:00
194.06,194.06,193.97,193.97,300,2024-03-28 09:29:00-04:00
193.87,194.85,193.87,194.51,22970,2024-03-28 09:30:00-04:00
194.43,194.47,194.01,194.47,3460,2024-03-28 09:31:00-04:00
194.5,195.28,194.43,195.23,15656,2024-03-28 09:32:00-04:00
195.1,195.11,194.58,194.59,570,2024-03-28 09:33:00-04:00
194.55,194.86,194.55,194.73,2336,2024-03-28 09:34:00-04:00
195.03,195.03,194.645,194.84,4400,2024-03-28 09:35:00-04:00
194.81,195.28,194.67,195.24,2518,2024-03-28 09:36:00-04:00
195.355,195.6975,195.2,195.6975,3470,2024-03-28 09:37:00-04:00
195.53,196.025,195.53,196.015,5003,2024-03-28 09:38:00-04:00
195.96,196.63,195.96,196.6,9738,2024-03-28 09:39:00-04:00
196.56,196.9,196.2,196.775,20140,2024-03-28 09:40:00-04:00
196.735,197.38,196.68,197.2,19950,2024-03-28 09:41:00-04:00
197.26,197.26,196.26,196.41,2530,2024-03-28 09:42:00-04:00
196.39,196.5,196.03,196.395,3361,2024-03-28 09:43:00-04:00
196.255,196.65,196.255,196.5,9950,2024-03-28 09:44:00-04:00
196.57,196.58,196.5,196.58,400,2024-03-28 09:45:00-04:00
196.64,197.0,196.64,196.8,4176,2024-03-28 09:46:00-04:00
196.79,196.8099,196.48,196.48,3119,2024-03-28 09:47:00-04:00
196.41,196.41,196.15,196.15,536,2024-03-28 09:48:00-04:00
196.18,196.29,196.13,196.28,1000,2024-03-28 09:49:00-04:00
196.155,196.4,196.06,196.2,2574,2024-03-28 09:50:00-04:00
196.24,196.28,196.215,196.215,1144,2024-03-28 09:51:00-04:00
196.215,196.39,196.05,196.05,3398,2024-03-28 09:52:00-04:00
196.075,196.13,195.855,196.12,5715,2024-03-28 09:53:00-04:00
196.0694,196.0694,195.76,195.95,2000,2024-03-28 09:54:00-04:00
196.0,196.07,195.975,196.07,600,2024-03-28 09:55:00-04:00
196.035,196.035,195.8275,195.8275,700,2024-03-28 09:56:00-04:00
195.94,196.21,195.94,196.015,1486,2024-03-28 09:57:00-04:00
196.09,196.445,196.06,196.3,5194,2024-03-28 09:58:00-04:00
196.31,196.7,196.31,196.57,15363,2024-03-28 09:59:00-04:00
196.79,197.0,196.79,196.795,2550,2024-03-28 10:00:00-04:00
196.805,196.9325,196.795,196.925,1800,2024-03-28 10:01:00-04:00
196.93,197.17,196.88,197.135,3346,2024-03-28 10:02:00-04:00
197.155,197.25,197.12,197.24,2619,2024-03-28 10:03:00-04:00
197.28,197.51,197.28,197.46,11821,2024-03-28 10:04:00-04:00
197.53,197.565,197.38,197.4,9141,2024-03-28 10:05:00-04:00
197.4,197.62,197.4,197.53,6232,2024-03-28 10:06:00-04:00
197.54,197.59,197.47,197.5,2894,2024-03-28 10:07:00-04:00
197.5,197.78,197.5,197.765,7459,2024-03-28 10:08:00-04:00
197.765,197.77,197.645,197.72,7017,2024-03-28 10:09:00-04:00
197.71,197.79,197.26,197.26,3372,2024-03-28 10:10:00-04:00
197.27,197.38,197.09,197.2,3753,2024-03-28 10:11:00-04:00
197.16,197.26,196.99,196.99,1918,2024-03-28 10:12:00-04:00
197.07,197.07,196.88,196.9,777,2024-03-28 10:13:00-04:00
196.78,196.89,196.71,196.89,1100,2024-03-28 10:14:00-04:00
196.99,197.14,196.99,197.1,1891,2024-03-28 10:15:00-04:00
197.0403,197.0403,196.93,196.93,960,2024-03-28 10:16:00-04:00
196.8,196.97,196.8,196.955,1500,2024-03-28 10:17:00-04:00
196.97,197.03,196.86,197.03,1665,2024-03-28 10:18:00-04:00
197.024,197.13,197.024,197.13,880,2024-03-28 10:19:00-04:00
197.01,197.01,196.855,196.855,1000,2024-03-28 10:20:00-04:00
196.86,196.91,196.725,196.725,5198,2024-03-28 10:21:00-04:00
196.7,196.86,196.7,196.75,1432,2024-03-28 10:22:00-04:00
