open,high,low,close,volume,datetime
236.82,236.82,236.82,236.82,2678,2021-11-23 09:22:00-05:00
235.62,236.53,235.1,236.22,17996,2021-11-23 09:30:00-05:00
236.43,236.46,235.98,235.98,610,2021-11-23 09:31:00-05:00
235.98,235.98,235.4,235.4,973,2021-11-23 09:32:00-05:00
235.48,235.9,235.47,235.7203,750,2021-11-23 09:33:00-05:00
235.765,236.005,235.39,235.39,3753,2021-11-23 09:34:00-05:00
235.66,235.75,235.4,235.515,1811,2021-11-23 09:35:00-05:00
235.63,236.14,235.565,236.065,2400,2021-11-23 09:36:00-05:00
236.08,236.08,235.78,235.78,668,2021-11-23 09:37:00-05:00
236.1,236.11,236.1,236.11,500,2021-11-23 09:38:00-05:00
236.01,236.04,235.7386,235.7386,2244,2021-11-23 09:40:00-05:00
235.8768,235.975,235.8096,235.8888,1245,2021-11-23 09:41:00-05:00
235.95,236.04,235.82,235.84,1985,2021-11-23 09:42:00-05:00
235.84,235.84,235.75,235.75,300,2021-11-23 09:43:00-05:00
235.64,235.64,235.605,235.605,300,2021-11-23 09:44:00-05:00
235.6501,235.82,235.525,235.5852,1158,2021-11-23 09:45:00-05:00
235.5,235.5,234.82,234.82,1950,2021-11-23 09:46:00-05:00
234.96,235.045,234.89,235.045,500,2021-11-23 09:47:00-05:00
235.05,235.06,235.05,235.06,200,2021-11-23 09:48:00-05:00
235.34,235.6,235.23,235.6,1900,2021-11-23 09:49:00-05:00
235.1643,235.65,235.1643,235.58,1153,2021-11-23 09:50:00-05:00
235.34,235.52,235.34,235.52,598,2021-11-23 09:51:00-05:00
235.34,235.41,235.33,235.405,1200,2021-11-23 09:52:00-05:00
235.4,235.42,235.37,235.42,600,2021-11-23 09:53:00-05:00
235.49,235.49,235.48,235.49,300,2021-11-23 09:54:00-05:00
235.65,235.77,235.61,235.61,1100,2021-11-23 09:55:00-05:00
235.78,235.83,235.78,235.785,400,2021-11-23 09:56:00-05:00
235.85,235.85,235.85,235.85,215,2021-11-23 09:57:00-05:00
235.76,235.76,235.6825,235.6825,1400,2021-11-23 09:58:00-05:00
235.76,235.86,235.68,235.84,955,2021-11-23 09:59:00-05:00
235.57,235.73,235.53,235.73,1123,2021-11-23 10:00:00-05:00
235.81,236.0,235.81,236.0,926,2021-11-23 10:01:00-05:00
236.04,236.04,235.96,235.99,459,2021-11-23 10:02:00-05:00
236.0821,236.0821,236.02,236.02,500,2021-11-23 10:03:00-05:00
236.0,236.0,235.82,235.82,1023,2021-11-23 10:04:00-05:00
235.78,235.78,235.68,235.73,700,2021-11-23 10:05:00-05:00
235.7271,235.81,235.665,235.67,1602,2021-11-23 10:06:00-05:00
235.53,235.53,235.43,235.43,300,2021-11-23 10:07:00-05:00
235.44,235.44,235.21,235.21,1900,2021-11-23 10:08:00-05:00
235.17,235.31,235.11,235.285,1000,2021-11-23 10:09:00-05:00
235.28,235.43,235.28,235.35,802,2021-11-23 10:10:00-05:00
235.41,235.41,235.41,235.41,200,2021-11-23 10:11:00-05:00
235.44,235.44,235.44,235.44,100,2021-11-23 10:12:00-05:00
235.4,235.4,235.27,235.3875,1000,2021-11-23 10:13:00-05:00
235.22,235.295,235.14,235.295,815,2021-11-23 10:14:00-05:00
235.32,235.34,235.32,235.34,300,2021-11-23 10:15:00-05:00
