open,high,low,close,volume,datetime
86.59,86.59,86.59,86.59,4918,2021-11-23 09:30:00-05:00
86.31,86.31,86.3,86.3,248,2021-11-23 09:34:00-05:00
86.3898,86.3898,86.17,86.22,8882,2021-11-23 09:35:00-05:00
86.22,86.22,86.21,86.21,300,2021-11-23 09:36:00-05:00
86.085,86.085,86.085,86.085,100,2021-11-23 09:37:00-05:00
85.94,85.94,85.94,85.94,100,2021-11-23 09:38:00-05:00
85.96,85.96,85.96,85.96,100,2021-11-23 09:39:00-05:00
85.9,85.99,85.9,85.96,1211,2021-11-23 09:40:00-05:00
85.98,85.98,85.93,85.94,500,2021-11-23 09:41:00-05:00
85.91,85.91,85.8,85.87,7454,2021-11-23 09:42:00-05:00
85.82,85.82,85.76,85.76,788,2021-11-23 09:43:00-05:00
85.765,85.765,85.66,85.74,5321,2021-11-23 09:44:00-05:00
85.75,85.89,85.75,85.89,1301,2021-11-23 09:45:00-05:00
85.85,85.86,85.71,85.76,2197,2021-11-23 09:46:00-05:00
85.73,85.73,85.69,85.69,1494,2021-11-23 09:47:00-05:00
85.67,85.78,85.67,85.78,600,2021-11-23 09:48:00-05:00
85.87,85.88,85.84,85.84,876,2021-11-23 09:50:00-05:00
85.78,85.78,85.75,85.75,405,2021-11-23 09:51:00-05:00
85.74,85.77,85.73,85.73,1150,2021-11-23 09:52:00-05:00
85.77,85.77,85.68,85.68,1200,2021-11-23 09:53:00-05:00
85.67,85.67,85.66,85.66,707,2021-11-23 09:55:00-05:00
85.66,85.66,85.66,85.66,100,2021-11-23 09:56:00-05:00
85.65,85.65,85.58,85.61,2133,2021-11-23 09:57:00-05:00
85.68,85.69,85.64,85.65,976,2021-11-23 09:58:00-05:00
85.66,85.69,85.61,85.61,1461,2021-11-23 09:59:00-05:00
85.66,85.67,85.66,85.67,592,2021-11-23 10:00:00-05:00
85.78,85.79,85.78,85.79,250,2021-11-23 10:01:00-05:00
85.925,85.925,85.925,85.925,100,2021-11-23 10:03:00-05:00
85.9,85.9,85.87,85.88,1080,2021-11-23 10:04:00-05:00
85.851,85.87,85.79,85.79,966,2021-11-23 10:05:00-05:00
85.85,85.94,85.83,85.93,2276,2021-11-23 10:06:00-05:00
85.92,85.92,85.87,85.88,2174,2021-11-23 10:07:00-05:00
85.9,85.9,85.9,85.9,300,2021-11-23 10:08:00-05:00
85.94,86.01,85.94,86.01,506,2021-11-23 10:09:00-05:00
86.23,86.23,86.18,86.18,990,2021-11-23 10:11:00-05:00
86.18,86.22,86.18,86.22,450,2021-11-23 10:12:00-05:00
86.191,86.191,86.191,86.191,100,2021-11-23 10:13:00-05:00
86.18,86.18,86.08,86.08,2572,2021-11-23 10:14:00-05:00
86.12,86.14,86.11,86.14,841,2021-11-23 10:16:00-05:00
86.05,86.06,86.04,86.06,1247,2021-11-23 10:17:00-05:00
86.07,86.07,86.07,86.07,100,2021-11-23 10:18:00-05:00
86.09,86.09,86.04,86.045,708,2021-11-23 10:19:00-05:00
86.025,86.1,86.025,86.1,746,2021-11-23 10:20:00-05:00
86.04,86.06,86.0,86.03,726,2021-11-23 10:21:00-05:00
85.95,86.02,85.95,85.995,1100,2021-11-23 10:22:00-05:00
85.97,85.97,85.88,85.88,902,2021-11-23 10:23:00-05:00
85.84,85.86,85.84,85.86,200,2021-11-23 10:24:00-05:00
85.83,85.84,85.83,85.84,230,2021-11-23 10:25:00-05:00
85.84,85.89,85.801,85.83,2500,2021-11-23 10:26:00-05:00
85.83,85.83,85.78,85.81,1053,2021-11-23 10:27:00-05:00
85.81,85.85,85.81,85.85,440,2021-11-23 10:28:00-05:00
85.88,85.9,85.86,85.86,1208,2021-11-23 10:29:00-05:00
85.85,85.87,85.82,85.82,506,2021-11-23 10:30:00-05:00
85.87,85.9,85.87,85.9,200,2021-11-23 10:31:00-05:00
86.0,86.03,86.0,86.03,623,2021-11-23 10:33:00-05:00
86.01,86.01,85.96,85.99,1200,2021-11-23 10:34:00-05:00
85.99,85.99,85.95,85.96,2832,2021-11-23 10:35:00-05:00
85.98,85.98,85.95,85.95,346,2021-11-23 10:36:00-05:00
85.92,85.92,85.92,85.92,100,2021-11-23 10:37:00-05:00
85.96,85.96,85.96,85.96,100,2021-11-23 10:38:00-05:00
85.93,85.93,85.88,85.89,900,2021-11-23 10:39:00-05:00
85.92,85.92,85.92,85.92,154,2021-11-23 10:40:00-05:00
