open,high,low,close,volume,datetime
25.05,25.05,25.05,25.05,100,2021-11-23 07:01:00-05:00
25.18,25.18,25.18,25.18,100,2021-11-23 07:02:00-05:00
24.98,24.98,24.91,24.925,23698,2021-11-23 09:30:00-05:00
24.915,24.93,24.86,24.86,2474,2021-11-23 09:31:00-05:00
24.83,24.9,24.83,24.87,6011,2021-11-23 09:32:00-05:00
24.86,24.87,24.82,24.84,8273,2021-11-23 09:33:00-05:00
24.84,24.8827,24.84,24.88,4239,2021-11-23 09:34:00-05:00
24.85,24.85,24.81,24.81,2200,2021-11-23 09:35:00-05:00
24.805,24.81,24.79,24.8,800,2021-11-23 09:36:00-05:00
24.79,24.79,24.73,24.74,14848,2021-11-23 09:37:00-05:00
24.74,24.78,24.74,24.78,2700,2021-11-23 09:38:00-05:00
24.79,24.82,24.78,24.8,5739,2021-11-23 09:39:00-05:00
24.8,24.89,24.8,24.88,12262,2021-11-23 09:40:00-05:00
24.875,24.92,24.85,24.92,12960,2021-11-23 09:41:00-05:00
24.93,24.96,24.91,24.92,19242,2021-11-23 09:42:00-05:00
24.92,24.94,24.9,24.9,5200,2021-11-23 09:43:00-05:00
24.9,24.92,24.9,24.92,1850,2021-11-23 09:44:00-05:00
24.93,24.93,24.92,24.92,5369,2021-11-23 09:45:00-05:00
24.92,24.95,24.92,24.945,11243,2021-11-23 09:46:00-05:00
24.96,24.985,24.96,24.98,5056,2021-11-23 09:47:00-05:00
24.97,24.98,24.96,24.97,7319,2021-11-23 09:48:00-05:00
24.96,24.96,24.94,24.945,5729,2021-11-23 09:49:00-05:00
24.941,24.96,24.94,24.94,7809,2021-11-23 09:50:00-05:00
24.94,24.94,24.9,24.92,5941,2021-11-23 09:51:00-05:00
24.92,24.92,24.89,24.89,5600,2021-11-23 09:52:00-05:00
24.9,24.9,24.9,24.9,100,2021-11-23 09:53:00-05:00
24.885,24.9,24.88,24.9,1900,2021-11-23 09:54:00-05:00
24.91,24.94,24.91,24.92,2870,2021-11-23 09:55:00-05:00
24.925,24.925,24.925,24.925,100,2021-11-23 09:56:00-05:00
24.925,24.94,24.925,24.935,5720,2021-11-23 09:57:00-05:00
24.935,24.935,24.93,24.93,400,2021-11-23 09:58:00-05:00
24.93,24.93,24.92,24.92,3400,2021-11-23 09:59:00-05:00
