open,high,low,close,volume,datetime
85.62,85.62,85.62,85.62,393,2024-03-28 08:12:00-04:00
86.0,86.0,85.775,85.775,23000,2024-03-28 09:30:00-04:00
85.78,86.11,85.78,86.01,8664,2024-03-28 09:31:00-04:00
85.975,86.01,85.92,85.95,1170,2024-03-28 09:32:00-04:00
85.925,86.1,85.915,86.1,2453,2024-03-28 09:33:00-04:00
86.11,86.2,86.11,86.175,2667,2024-03-28 09:34:00-04:00
86.13,86.17,86.09,86.135,1143,2024-03-28 09:35:00-04:00
86.13,86.165,86.13,86.13,987,2024-03-28 09:36:00-04:00
86.15,86.17,86.12,86.15,1499,2024-03-28 09:37:00-04:00
86.14,86.14,86.1,86.1,1650,2024-03-28 09:38:00-04:00
86.13,86.13,86.13,86.13,200,2024-03-28 09:39:00-04:00
86.13,86.13,85.99,85.99,2585,2024-03-28 09:40:00-04:00
85.99,85.9997,85.95,85.95,1725,2024-03-28 09:41:00-04:00
85.95,85.99,85.91,85.96,1835,2024-03-28 09:42:00-04:00
85.98,85.98,85.965,85.965,1540,2024-03-28 09:43:00-04:00
86.02,86.03,86.02,86.03,700,2024-03-28 09:44:00-04:00
86.07,86.07,85.94,85.94,1770,2024-03-28 09:45:00-04:00
85.965,86.06,85.94,86.05,2433,2024-03-28 09:46:00-04:00
86.05,86.06,86.03,86.06,3424,2024-03-28 09:47:00-04:00
85.96,86.0199,85.96,85.98,1729,2024-03-28 09:48:00-04:00
85.97,85.98,85.95,85.97,1038,2024-03-28 09:49:00-04:00
85.9,85.9,85.9,85.9,500,2024-03-28 09:50:00-04:00
85.89,85.89,85.83,85.87,1182,2024-03-28 09:51:00-04:00
85.885,85.91,85.88,85.91,1599,2024-03-28 09:52:00-04:00
85.92,85.92,85.87,85.87,1593,2024-03-28 09:53:00-04:00
85.87,85.87,85.84,85.84,554,2024-03-28 09:54:00-04:00
85.85,85.88,85.84,85.88,2150,2024-03-28 09:55:00-04:00
85.9,85.9,85.9,85.9,200,2024-03-28 09:56:00-04:00
85.91,86.01,85.91,85.98,3357,2024-03-28 09:58:00-04:00
85.98,86.005,85.97,85.984,2556,2024-03-28 09:59:00-04:00
85.98,85.98,85.98,85.98,975,2024-03-28 10:00:00-04:00
85.98,86.08,85.98,86.062,3390,2024-03-28 10:01:00-04:00
86.04,86.0967,86.04,86.09,1258,2024-03-28 10:02:00-04:00
86.09,86.09,86.0644,86.08,1234,2024-03-28 10:03:00-04:00
86.08,86.08,86.05,86.05,700,2024-03-28 10:04:00-04:00
86.07,86.1,86.07,86.1,505,2024-03-28 10:05:00-04:00
86.1,86.115,86.0895,86.115,1819,2024-03-28 10:06:00-04:00
86.13,86.15,86.121,86.13,3804,2024-03-28 10:07:00-04:00
86.13,86.13,86.1,86.1,1156,2024-03-28 10:08:00-04:00
86.125,86.14,86.125,86.14,446,2024-03-28 10:09:00-04:00
86.15,86.165,86.15,86.161,3237,2024-03-28 10:10:00-04:00
86.18,86.23,86.17,86.23,2120,2024-03-28 10:11:00-04:00
86.2,86.2,86.19,86.19,500,2024-03-28 10:12:00-04:00
86.175,86.19,86.15,86.19,1023,2024-03-28 10:13:00-04:00
