open,high,low,close,volume,datetime
187.56,187.56,187.56,187.56,1564,2024-03-28 09:30:00-04:00
187.38,187.38,187.38,187.38,300,2024-03-28 09:32:00-04:00
187.38,188.42,187.38,188.42,2143,2024-03-28 09:35:00-04:00
187.81,187.81,187.81,187.81,100,2024-03-28 09:36:00-04:00
188.66,188.66,188.66,188.66,100,2024-03-28 09:37:00-04:00
189.02,189.02,189.02,189.02,100,2024-03-28 09:38:00-04:00
188.79,188.79,188.79,188.79,100,2024-03-28 09:39:00-04:00
188.78,189.1,188.7021,188.7021,407,2024-03-28 09:41:00-04:00
188.85,188.85,188.85,188.85,100,2024-03-28 09:44:00-04:00
188.43,188.555,188.19,188.52,700,2024-03-28 09:46:00-04:00
188.505,188.505,188.505,188.505,100,2024-03-28 09:47:00-04:00
188.48,188.48,188.48,188.48,159,2024-03-28 09:48:00-04:00
188.5919,188.7,188.5919,188.7,1536,2024-03-28 09:49:00-04:00
188.515,188.515,188.19,188.35,1497,2024-03-28 09:50:00-04:00
188.16,188.29,188.16,188.29,600,2024-03-28 09:52:00-04:00
188.39,188.41,188.39,188.41,200,2024-03-28 09:53:00-04:00
188.27,188.27,188.27,188.27,100,2024-03-28 09:54:00-04:00
188.27,188.33,188.27,188.33,200,2024-03-28 09:56:00-04:00
188.26,188.26,188.26,188.26,100,2024-03-28 09:57:00-04:00
188.5,188.5,188.5,188.5,100,2024-03-28 09:58:00-04:00
188.74,188.74,188.72,188.72,200,2024-03-28 09:59:00-04:00
188.74,188.74,188.74,188.74,322,2024-03-28 10:01:00-04:00
188.72,188.74,188.72,188.73,300,2024-03-28 10:02:00-04:00
188.73,188.74,188.73,188.74,468,2024-03-28 10:03:00-04:00
188.48,188.78,188.48,188.78,200,2024-03-28 10:04:00-04:00
188.75,188.86,188.75,188.86,450,2024-03-28 10:06:00-04:00
188.21,188.21,188.21,188.21,130,2024-03-28 10:07:00-04:00
188.72,188.72,188.72,188.72,100,2024-03-28 10:08:00-04:00
188.77,188.77,188.77,188.77,100,2024-03-28 10:11:00-04:00
188.79,188.96,188.79,188.96,924,2024-03-28 10:12:00-04:00
189.06,189.06,188.965,188.965,300,2024-03-28 10:13:00-04:00
189.27,189.27,189.27,189.27,100,2024-03-28 10:14:00-04:00
189.045,189.28,189.045,189.28,406,2024-03-28 10:15:00-04:00
189.24,189.24,189.24,189.24,100,2024-03-28 10:17:00-04:00
189.01,189.01,189.01,189.01,100,2024-03-28 10:18:00-04:00
189.14,189.15,189.14,189.15,514,2024-03-28 10:20:00-04:00
189.15,189.15,189.09,189.09,1979,2024-03-28 10:21:00-04:00
189.15,189.15,189.15,189.15,916,2024-03-28 10:22:00-04:00
