open,high,low,close,volume,datetime
669.68,669.68,669.68,669.68,767,2021-11-23 09:22:00-05:00
665.97,665.97,665.0,665.0,3995,2021-11-23 09:30:00-05:00
665.0,665.0,665.0,665.0,350,2021-11-23 09:32:00-05:00
662.09,662.09,657.34,657.34,2428,2021-11-23 09:35:00-05:00
659.08,660.64,659.08,660.64,500,2021-11-23 09:36:00-05:00
660.0,660.0,660.0,660.0,300,2021-11-23 09:37:00-05:00
659.5912,659.5912,659.5912,659.5912,100,2021-11-23 09:38:00-05:00
658.46,660.0,658.46,660.0,1300,2021-11-23 09:39:00-05:00
661.08,661.08,661.08,661.08,100,2021-11-23 09:41:00-05:00
661.0789,661.0789,661.0789,661.0789,200,2021-11-23 09:42:00-05:00
663.64,665.63,662.91,663.555,2400,2021-11-23 09:43:00-05:00
663.02,663.02,663.02,663.02,100,2021-11-23 09:44:00-05:00
661.38,661.38,660.44,660.44,200,2021-11-23 09:45:00-05:00
660.68,660.945,660.68,660.945,312,2021-11-23 09:46:00-05:00
661.85,662.34,661.1737,662.34,700,2021-11-23 09:47:00-05:00
662.75,662.75,662.535,662.55,300,2021-11-23 09:48:00-05:00
662.0,663.525,662.0,663.525,804,2021-11-23 09:50:00-05:00
663.88,663.88,663.88,663.88,100,2021-11-23 09:51:00-05:00
665.44,666.185,665.23,666.185,500,2021-11-23 09:52:00-05:00
665.48,665.48,665.48,665.48,100,2021-11-23 09:53:00-05:00
666.4665,666.4665,666.4665,666.4665,100,2021-11-23 09:54:00-05:00
665.64,665.68,663.83,663.83,500,2021-11-23 09:56:00-05:00
664.47,664.47,664.31,664.31,200,2021-11-23 09:58:00-05:00
663.93,663.93,662.5,663.43,400,2021-11-23 10:00:00-05:00
663.4,663.61,663.4,663.61,250,2021-11-23 10:01:00-05:00
663.56,663.56,663.54,663.54,200,2021-11-23 10:02:00-05:00
663.135,663.135,660.175,660.175,712,2021-11-23 10:06:00-05:00
659.89,660.715,659.89,660.0,700,2021-11-23 10:07:00-05:00
659.09,659.09,657.12,658.58,600,2021-11-23 10:08:00-05:00
657.645,657.645,657.645,657.645,100,2021-11-23 10:09:00-05:00
658.96,658.96,658.96,658.96,100,2021-11-23 10:12:00-05:00
657.27,658.0,657.27,658.0,1457,2021-11-23 10:13:00-05:00
659.63,660.03,658.8,659.65,1200,2021-11-23 10:15:00-05:00
659.155,659.89,659.13,659.89,400,2021-11-23 10:16:00-05:00
660.31,660.95,660.31,660.795,400,2021-11-23 10:17:00-05:00
661.28,661.4,660.435,661.27,448,2021-11-23 10:18:00-05:00
661.63,661.63,661.63,661.63,200,2021-11-23 10:20:00-05:00
660.56,661.79,660.56,660.835,459,2021-11-23 10:21:00-05:00
661.88,662.56,661.88,662.56,400,2021-11-23 10:23:00-05:00
661.53,661.53,661.53,661.53,100,2021-11-23 10:24:00-05:00
660.18,660.39,660.18,660.39,300,2021-11-23 10:25:00-05:00
660.64,660.64,660.64,660.64,200,2021-11-23 10:26:00-05:00
659.91,659.91,659.3,659.3,300,2021-11-23 10:27:00-05:00
659.67,659.67,658.98,659.34,400,2021-11-23 10:28:00-05:00
658.26,659.085,658.26,659.085,200,2021-11-23 10:29:00-05:00
658.842,660.6,658.842,660.6,359,2021-11-23 10:31:00-05:00
658.42,658.42,658.42,658.42,100,2021-11-23 10:33:00-05:00
658.37,658.37,657.27,657.27,200,2021-11-23 10:34:00-05:00
657.02,657.02,657.02,657.02,100,2021-11-23 10:35:00-05:00
657.62,659.16,657.16,658.86,1291,2021-11-23 10:36:00-05:00
658.115,659.76,657.55,658.68,1741,2021-11-23 10:37:00-05:00
658.595,658.595,658.595,658.595,100,2021-11-23 10:41:00-05:00
658.3,659.22,657.82,657.885,1200,2021-11-23 10:43:00-05:00
657.59,657.59,657.59,657.59,578,2021-11-23 10:44:00-05:00
658.35,659.01,658.35,659.01,400,2021-11-23 10:45:00-05:00
658.56,658.56,658.56,658.56,100,2021-11-23 10:46:00-05:00
658.505,658.91,657.84,658.91,1698,2021-11-23 10:47:00-05:00
658.64,659.38,658.64,659.38,525,2021-11-23 10:48:00-05:00
658.52,658.89,658.33,658.89,700,2021-11-23 10:49:00-05:00
659.11,659.11,658.885,658.885,475,2021-11-23 10:50:00-05:00
658.51,658.51,657.72,657.72,300,2021-11-23 10:53:00-05:00
657.32,657.53,657.305,657.53,1173,2021-11-23 10:54:00-05:00
657.55,657.65,657.195,657.65,1008,2021-11-23 10:55:00-05:00
656.725,657.495,656.725,657.495,626,2021-11-23 10:56:00-05:00
657.27,657.27,657.2,657.2,200,2021-11-23 10:57:00-05:00
657.295,657.84,657.215,657.215,509,2021-11-23 10:58:00-05:00
656.96,656.96,654.32,654.66,2134,2021-11-23 10:59:00-05:00
654.75,654.75,654.75,654.75,100,2021-11-23 11:00:00-05:00
653.08,653.22,653.08,653.22,400,2021-11-23 11:01:00-05:00
653.55,653.55,652.86,652.86,200,2021-11-23 11:02:00-05:00
652.17,653.2,652.17,652.17,775,2021-11-23 11:03:00-05:00
652.17,653.51,652.17,653.51,300,2021-11-23 11:04:00-05:00
653.76,653.76,652.625,652.625,700,2021-11-23 11:06:00-05:00
653.17,653.19,652.83,652.83,500,2021-11-23 11:07:00-05:00
653.89,654.23,653.89,654.23,309,2021-11-23 11:08:00-05:00
654.24,654.24,654.24,654.24,300,2021-11-23 11:09:00-05:00
655.03,655.03,655.03,655.03,100,2021-11-23 11:10:00-05:00
655.0655,655.33,655.01,655.01,350,2021-11-23 11:11:00-05:00
655.835,655.835,655.835,655.835,100,2021-11-23 11:12:00-05:00
655.805,655.81,655.795,655.795,312,2021-11-23 11:14:00-05:00
656.2,656.47,655.26,656.17,1300,2021-11-23 11:15:00-05:00
656.715,656.715,656.715,656.715,100,2021-11-23 11:16:00-05:00
656.72,657.75,656.72,657.56,700,2021-11-23 11:17:00-05:00
657.57,657.57,656.87,656.87,400,2021-11-23 11:18:00-05:00
656.17,656.17,656.17,656.17,100,2021-11-23 11:19:00-05:00
657.25,657.25,655.57,655.57,874,2021-11-23 11:20:00-05:00
656.0796,656.275,655.61,656.275,6775,2021-11-23 11:21:00-05:00
656.255,656.56,655.66,655.66,400,2021-11-23 11:22:00-05:00
656.92,656.92,656.29,656.29,500,2021-11-23 11:23:00-05:00
656.65,656.65,656.24,656.24,443,2021-11-23 11:24:00-05:00
656.93,657.74,656.84,656.84,500,2021-11-23 11:25:00-05:00
657.75,657.75,657.74,657.75,300,2021-11-23 11:26:00-05:00
