open,high,low,close,volume,datetime
11.85,11.88,11.85,11.87,48717,2021-11-23 09:30:00-05:00
11.87,11.87,11.84,11.87,26820,2021-11-23 09:31:00-05:00
11.875,11.875,11.87,11.875,2708,2021-11-23 09:32:00-05:00
11.88,11.88,11.825,11.83,10157,2021-11-23 09:33:00-05:00
11.83,11.835,11.82,11.825,14238,2021-11-23 09:34:00-05:00
11.83,11.84,11.82,11.84,13271,2021-11-23 09:35:00-05:00
11.84,11.84,11.815,11.815,8034,2021-11-23 09:36:00-05:00
11.81,11.81,11.785,11.79,5926,2021-11-23 09:37:00-05:00
11.79,11.8,11.785,11.795,6437,2021-11-23 09:38:00-05:00
11.8,11.815,11.795,11.805,25858,2021-11-23 09:39:00-05:00
11.81,11.82,11.81,11.815,12921,2021-11-23 09:40:00-05:00
11.82,11.86,11.82,11.855,62807,2021-11-23 09:41:00-05:00
11.855,11.855,11.82,11.835,21180,2021-11-23 09:42:00-05:00
11.835,11.84,11.835,11.835,400,2021-11-23 09:43:00-05:00
11.84,11.88,11.84,11.88,1732,2021-11-23 09:44:00-05:00
11.88,11.9,11.88,11.895,18031,2021-11-23 09:45:00-05:00
11.89,11.9,11.87,11.88,11107,2021-11-23 09:46:00-05:00
11.88,11.89,11.88,11.89,2609,2021-11-23 09:47:00-05:00
11.895,11.915,11.895,11.91,6717,2021-11-23 09:48:00-05:00
11.915,11.92,11.91,11.915,2047,2021-11-23 09:49:00-05:00
11.92,11.925,11.91,11.91,11847,2021-11-23 09:50:00-05:00
11.91,11.915,11.91,11.91,6897,2021-11-23 09:51:00-05:00
11.91,11.915,11.91,11.91,5315,2021-11-23 09:52:00-05:00
11.91,11.92,11.91,11.91,400,2021-11-23 09:53:00-05:00
11.915,11.93,11.915,11.93,7006,2021-11-23 09:54:00-05:00
11.92,11.93,11.92,11.925,884,2021-11-23 09:55:00-05:00
11.93,11.94,11.93,11.93,11323,2021-11-23 09:56:00-05:00
11.93,11.93,11.92,11.925,8452,2021-11-23 09:57:00-05:00
11.92,11.93,11.915,11.92,31876,2021-11-23 09:58:00-05:00
11.925,11.925,11.88,11.88,39379,2021-11-23 09:59:00-05:00
11.89,11.89,11.89,11.89,3755,2021-11-23 10:00:00-05:00
11.89,11.895,11.885,11.895,16344,2021-11-23 10:01:00-05:00
11.895,11.895,11.87,11.87,7950,2021-11-23 10:02:00-05:00
11.88,11.895,11.88,11.89,3339,2021-11-23 10:03:00-05:00
11.895,11.9,11.895,11.899,900,2021-11-23 10:04:00-05:00
11.9,11.915,11.9,11.91,8381,2021-11-23 10:05:00-05:00
11.91,11.91,11.9,11.9,3833,2021-11-23 10:06:00-05:00
11.9,11.91,11.9,11.905,800,2021-11-23 10:07:00-05:00
11.9,11.91,11.9,11.9,1000,2021-11-23 10:08:00-05:00
11.9,11.9,11.895,11.895,8250,2021-11-23 10:09:00-05:00
11.895,11.91,11.895,11.91,4080,2021-11-23 10:10:00-05:00
11.91,11.915,11.91,11.91,2839,2021-11-23 10:11:00-05:00
11.91,11.91,11.91,11.91,300,2021-11-23 10:12:00-05:00
11.915,11.915,11.905,11.915,19558,2021-11-23 10:13:00-05:00
11.91,11.91,11.9,11.9,2400,2021-11-23 10:14:00-05:00
11.905,11.91,11.905,11.91,990,2021-11-23 10:15:00-05:00
11.91,11.92,11.91,11.92,2439,2021-11-23 10:16:00-05:00
11.9196,11.93,11.91,11.9199,4674,2021-11-23 10:17:00-05:00
11.92,11.93,11.92,11.93,814,2021-11-23 10:18:00-05:00
11.925,11.925,11.905,11.905,7538,2021-11-23 10:19:00-05:00
11.91,11.915,11.91,11.9147,1724,2021-11-23 10:20:00-05:00
11.91,11.91,11.9,11.9,2100,2021-11-23 10:21:00-05:00
11.905,11.905,11.9,11.9,800,2021-11-23 10:22:00-05:00
11.9,11.9,11.89,11.89,4584,2021-11-23 10:23:00-05:00
11.89,11.89,11.8868,11.8868,2689,2021-11-23 10:24:00-05:00
11.88,11.885,11.88,11.88,1500,2021-11-23 10:25:00-05:00
11.88,11.88,11.86,11.865,1580,2021-11-23 10:26:00-05:00
11.865,11.865,11.86,11.865,1200,2021-11-23 10:27:00-05:00
11.865,11.865,11.86,11.86,1700,2021-11-23 10:28:00-05:00
11.865,11.87,11.865,11.87,1703,2021-11-23 10:29:00-05:00
11.87,11.875,11.87,11.87,10186,2021-11-23 10:30:00-05:00
11.87,11.89,11.87,11.885,7823,2021-11-23 10:31:00-05:00
11.89,11.89,11.885,11.89,7997,2021-11-23 10:32:00-05:00
11.895,11.895,11.89,11.89,200,2021-11-23 10:33:00-05:00
11.89,11.89,11.88,11.88,8600,2021-11-23 10:34:00-05:00
11.87,11.88,11.87,11.88,5600,2021-11-23 10:35:00-05:00
11.88,11.885,11.87,11.8799,14583,2021-11-23 10:36:00-05:00
11.87,11.87,11.86,11.86,2582,2021-11-23 10:38:00-05:00
11.865,11.865,11.865,11.865,100,2021-11-23 10:39:00-05:00
11.86,11.88,11.86,11.88,4500,2021-11-23 10:40:00-05:00
11.885,11.89,11.88,11.885,1065,2021-11-23 10:41:00-05:00
11.885,11.885,11.885,11.885,100,2021-11-23 10:42:00-05:00
11.89,11.895,11.88,11.89,16774,2021-11-23 10:43:00-05:00
11.89,11.89,11.889,11.889,6062,2021-11-23 10:44:00-05:00
11.885,11.9,11.885,11.9,3720,2021-11-23 10:45:00-05:00
11.8979,11.8979,11.895,11.895,675,2021-11-23 10:46:00-05:00
11.9,11.905,11.9,11.905,6500,2021-11-23 10:47:00-05:00
11.9,11.9,11.89,11.89,3346,2021-11-23 10:48:00-05:00
11.895,11.895,11.89,11.89,200,2021-11-23 10:49:00-05:00
11.8904,11.895,11.8904,11.895,739,2021-11-23 10:50:00-05:00
11.895,11.9,11.89,11.895,1100,2021-11-23 10:51:00-05:00
11.895,11.895,11.89,11.89,200,2021-11-23 10:52:00-05:00
11.89,11.895,11.885,11.89,18074,2021-11-23 10:53:00-05:00
11.89,11.895,11.89,11.89,600,2021-11-23 10:54:00-05:00
11.89,11.895,11.89,11.89,5310,2021-11-23 10:55:00-05:00
11.88,11.88,11.88,11.88,200,2021-11-23 10:56:00-05:00
11.881,11.8841,11.87,11.875,15696,2021-11-23 10:57:00-05:00
11.87,11.895,11.87,11.89,12502,2021-11-23 10:58:00-05:00
11.895,11.895,11.89,11.89,600,2021-11-23 10:59:00-05:00
11.9,11.905,11.895,11.9,15750,2021-11-23 11:00:00-05:00
11.9,11.9,11.89,11.89,1852,2021-11-23 11:01:00-05:00
11.89,11.89,11.885,11.885,200,2021-11-23 11:02:00-05:00
11.8801,11.895,11.8801,11.89,8191,2021-11-23 11:03:00-05:00
11.89,11.9,11.89,11.9,4367,2021-11-23 11:04:00-05:00
11.9,11.9,11.9,11.9,550,2021-11-23 11:05:00-05:00
