open,high,low,close,volume,datetime
241.33,241.33,241.33,241.33,147,2024-03-28 08:12:00-04:00
241.73,242.0,241.13,242.0,16748,2024-03-28 09:30:00-04:00
242.21,242.4,242.09,242.4,1432,2024-03-28 09:31:00-04:00
242.295,242.53,242.295,242.53,300,2024-03-28 09:32:00-04:00
242.415,242.63,242.16,242.16,450,2024-03-28 09:33:00-04:00
241.88,241.88,241.47,241.47,328,2024-03-28 09:34:00-04:00
241.865,241.9298,241.63,241.68,1282,2024-03-28 09:35:00-04:00
241.6,241.91,241.6,241.755,3349,2024-03-28 09:36:00-04:00
241.99,242.39,241.99,242.2,723,2024-03-28 09:37:00-04:00
242.18,242.31,242.175,242.31,500,2024-03-28 09:38:00-04:00
242.165,242.26,242.0,242.13,4066,2024-03-28 09:39:00-04:00
242.125,242.125,242.11,242.11,500,2024-03-28 09:40:00-04:00
242.0,242.33,242.0,242.33,2020,2024-03-28 09:41:00-04:00
242.33,242.33,242.165,242.33,915,2024-03-28 09:42:00-04:00
242.0712,242.145,242.0,242.12,3913,2024-03-28 09:43:00-04:00
242.1349,242.1349,242.05,242.115,848,2024-03-28 09:44:00-04:00
241.98,242.19,241.8925,241.95,4241,2024-03-28 09:45:00-04:00
241.95,241.99,241.69,241.69,7245,2024-03-28 09:46:00-04:00
241.82,241.87,241.64,241.65,2807,2024-03-28 09:47:00-04:00
241.59,241.59,240.915,240.915,1400,2024-03-28 09:48:00-04:00
240.93,240.935,240.78,240.89,2700,2024-03-28 09:50:00-04:00
241.0,241.405,241.0,241.385,1703,2024-03-28 09:51:00-04:00
241.52,241.52,241.3691,241.3691,603,2024-03-28 09:52:00-04:00
241.19,241.19,241.11,241.11,455,2024-03-28 09:53:00-04:00
241.0711,241.19,241.07,241.19,1202,2024-03-28 09:54:00-04:00
241.195,241.1975,241.195,241.1975,300,2024-03-28 09:55:00-04:00
241.165,241.165,241.08,241.08,343,2024-03-28 09:56:00-04:00
241.28,241.3675,241.28,241.3675,1101,2024-03-28 09:57:00-04:00
241.37,241.44,241.37,241.44,547,2024-03-28 09:59:00-04:00
241.35,241.91,241.35,241.91,616,2024-03-28 10:00:00-04:00
241.67,241.705,241.67,241.705,200,2024-03-28 10:01:00-04:00
241.695,241.88,241.695,241.88,1100,2024-03-28 10:02:00-04:00
241.75,241.775,241.62,241.7,2739,2024-03-28 10:03:00-04:00
241.71,241.815,241.68,241.68,400,2024-03-28 10:04:00-04:00
241.75,241.84,241.6695,241.83,1514,2024-03-28 10:05:00-04:00
241.71,241.86,241.71,241.83,1400,2024-03-28 10:06:00-04:00
241.84,241.95,241.77,241.815,1133,2024-03-28 10:07:00-04:00
241.74,241.8,241.74,241.8,1272,2024-03-28 10:08:00-04:00
241.83,241.95,241.83,241.85,700,2024-03-28 10:09:00-04:00
241.96,242.17,241.93,241.965,22240,2024-03-28 10:10:00-04:00
241.965,241.97,241.96,241.96,1010,2024-03-28 10:11:00-04:00
242.04,242.04,241.87,241.89,300,2024-03-28 10:12:00-04:00
241.76,241.76,241.64,241.67,405,2024-03-28 10:13:00-04:00
241.625,241.625,241.4935,241.4935,900,2024-03-28 10:14:00-04:00
241.58,241.72,241.58,241.63,500,2024-03-28 10:15:00-04:00
241.73,241.73,241.54,241.59,766,2024-03-28 10:16:00-04:00
241.59,241.59,241.42,241.5,1323,2024-03-28 10:17:00-04:00
241.4575,241.465,241.4175,241.455,425,2024-03-28 10:18:00-04:00
241.445,241.445,241.415,241.415,300,2024-03-28 10:19:00-04:00
241.49,241.49,241.46,241.46,400,2024-03-28 10:20:00-04:00
241.5199,241.61,241.43,241.56,3281,2024-03-28 10:21:00-04:00
241.62,241.66,241.53,241.62,1192,2024-03-28 10:22:00-04:00
241.7299,241.7299,241.62,241.62,242,2024-03-28 10:23:00-04:00
241.65,241.65,241.425,241.425,639,2024-03-28 10:24:00-04:00
241.35,241.39,241.35,241.39,200,2024-03-28 10:25:00-04:00
241.425,241.44,241.425,241.44,300,2024-03-28 10:26:00-04:00
241.445,241.45,241.44,241.45,961,2024-03-28 10:27:00-04:00
241.4775,241.4964,241.475,241.475,656,2024-03-28 10:28:00-04:00
241.475,241.72,241.47,241.66,3258,2024-03-28 10:29:00-04:00
241.68,241.84,241.6,241.675,2640,2024-03-28 10:30:00-04:00
241.59,241.78,241.59,241.725,2344,2024-03-28 10:31:00-04:00
241.745,241.81,241.745,241.745,500,2024-03-28 10:32:00-04:00
241.67,241.685,241.5706,241.6125,800,2024-03-28 10:33:00-04:00
241.63,241.64,241.63,241.64,400,2024-03-28 10:34:00-04:00
241.64,241.72,241.57,241.72,1025,2024-03-28 10:35:00-04:00
241.665,241.665,241.545,241.545,2200,2024-03-28 10:36:00-04:00
241.56,241.6492,241.56,241.6492,1107,2024-03-28 10:37:00-04:00
241.59,241.59,241.5465,241.59,1100,2024-03-28 10:38:00-04:00
241.65,241.76,241.65,241.725,1667,2024-03-28 10:39:00-04:00
241.75,241.845,241.75,241.845,3535,2024-03-28 10:40:00-04:00
241.83,241.845,241.83,241.84,500,2024-03-28 10:41:00-04:00
241.84,241.84,241.68,241.77,943,2024-03-28 10:42:00-04:00
241.76,241.76,241.76,241.76,100,2024-03-28 10:43:00-04:00
241.66,241.69,241.61,241.69,604,2024-03-28 10:44:00-04:00
241.695,241.695,241.695,241.695,100,2024-03-28 10:45:00-04:00
