open,high,low,close,volume,datetime
95.83,96.0,95.83,95.86,12357,2021-11-23 09:30:00-05:00
96.0,96.0,96.0,96.0,100,2021-11-23 09:31:00-05:00
96.04,96.09,96.04,96.09,200,2021-11-23 09:32:00-05:00
95.97,95.97,95.96,95.96,200,2021-11-23 09:33:00-05:00
95.76,95.89,95.7,95.7,400,2021-11-23 09:34:00-05:00
95.69,95.69,95.69,95.69,100,2021-11-23 09:35:00-05:00
95.69,95.69,95.69,95.69,1601,2021-11-23 09:36:00-05:00
95.6,95.64,95.6,95.6,1200,2021-11-23 09:37:00-05:00
95.35,95.38,95.31,95.32,1100,2021-11-23 09:39:00-05:00
95.43,95.485,95.43,95.485,200,2021-11-23 09:40:00-05:00
95.48,95.58,95.39,95.55,1386,2021-11-23 09:41:00-05:00
95.5,95.5,95.5,95.5,300,2021-11-23 09:42:00-05:00
95.29,95.29,95.29,95.29,200,2021-11-23 09:44:00-05:00
95.45,95.45,95.45,95.45,100,2021-11-23 09:45:00-05:00
95.43,95.44,95.35,95.35,1039,2021-11-23 09:46:00-05:00
95.415,95.415,95.35,95.37,636,2021-11-23 09:47:00-05:00
95.38,95.38,95.38,95.38,1098,2021-11-23 09:48:00-05:00
95.26,95.27,95.26,95.26,1600,2021-11-23 09:49:00-05:00
95.27,95.32,95.11,95.18,1400,2021-11-23 09:51:00-05:00
95.11,95.11,95.1,95.1,639,2021-11-23 09:52:00-05:00
95.14,95.15,95.075,95.08,1300,2021-11-23 09:53:00-05:00
95.0101,95.0101,94.87,94.87,1200,2021-11-23 09:54:00-05:00
94.9,94.9,94.9,94.9,100,2021-11-23 09:55:00-05:00
94.99,94.99,94.94,94.94,200,2021-11-23 09:56:00-05:00
94.89,94.89,94.84,94.84,321,2021-11-23 09:57:00-05:00
94.91,94.91,94.9,94.91,1583,2021-11-23 09:58:00-05:00
94.91,94.92,94.81,94.89,1100,2021-11-23 09:59:00-05:00
94.89,94.89,94.89,94.89,153,2021-11-23 10:00:00-05:00
95.0,95.14,94.99,95.072,1156,2021-11-23 10:01:00-05:00
95.17,95.17,95.06,95.07,880,2021-11-23 10:02:00-05:00
95.125,95.3,95.125,95.3,909,2021-11-23 10:03:00-05:00
95.29,95.29,95.22,95.22,500,2021-11-23 10:04:00-05:00
95.22,95.22,95.22,95.22,200,2021-11-23 10:05:00-05:00
