open,high,low,close,volume,datetime
219.79,220.24,218.18,220.24,2277,2021-11-23 09:30:00-05:00
218.775,219.84,218.775,219.84,300,2021-11-23 09:35:00-05:00
219.46,219.46,219.46,219.46,100,2021-11-23 09:37:00-05:00
219.46,219.46,219.46,219.46,100,2021-11-23 09:39:00-05:00
219.82,219.82,219.82,219.82,100,2021-11-23 09:42:00-05:00
219.46,219.87,219.46,219.46,300,2021-11-23 09:43:00-05:00
219.8,220.39,219.655,220.27,1900,2021-11-23 09:44:00-05:00
220.1,220.38,220.02,220.02,500,2021-11-23 09:46:00-05:00
220.3,220.31,220.27,220.31,300,2021-11-23 09:47:00-05:00
220.485,221.17,220.485,221.17,1300,2021-11-23 09:48:00-05:00
221.5,221.5,221.5,221.5,100,2021-11-23 09:49:00-05:00
221.32,221.32,220.98,221.26,3542,2021-11-23 09:51:00-05:00
221.26,221.63,221.235,221.63,500,2021-11-23 09:52:00-05:00
221.31,221.56,221.31,221.31,600,2021-11-23 09:53:00-05:00
221.045,221.045,221.045,221.045,100,2021-11-23 09:54:00-05:00
221.42,221.74,221.42,221.74,200,2021-11-23 09:56:00-05:00
221.54,221.54,221.26,221.26,846,2021-11-23 09:57:00-05:00
221.0,221.0,220.89,220.975,1300,2021-11-23 09:58:00-05:00
221.0,221.0,220.94,220.995,1308,2021-11-23 09:59:00-05:00
220.93,220.93,220.93,220.93,100,2021-11-23 10:00:00-05:00
220.52,220.94,220.42,220.455,4900,2021-11-23 10:02:00-05:00
220.455,220.455,220.455,220.455,200,2021-11-23 10:03:00-05:00
220.585,220.95,220.585,220.645,619,2021-11-23 10:04:00-05:00
220.95,220.95,220.95,220.95,100,2021-11-23 10:05:00-05:00
221.0,221.01,220.76,220.96,1602,2021-11-23 10:06:00-05:00
220.96,221.24,220.96,221.24,700,2021-11-23 10:07:00-05:00
221.22,221.22,220.77,221.0,1407,2021-11-23 10:08:00-05:00
220.85,220.85,220.85,220.85,100,2021-11-23 10:09:00-05:00
220.52,220.83,220.52,220.83,200,2021-11-23 10:12:00-05:00
