open,high,low,close,volume,datetime
37.69,37.7,37.69,37.7,2867,2024-03-28 07:00:00-04:00
37.7,37.7,37.7,37.7,100,2024-03-28 07:01:00-04:00
37.71,37.71,37.7,37.7,1348,2024-03-28 07:08:00-04:00
37.75,37.75,37.75,37.75,161,2024-03-28 07:09:00-04:00
37.75,37.75,37.75,37.75,1258,2024-03-28 07:10:00-04:00
37.75,37.75,37.75,37.75,412,2024-03-28 07:17:00-04:00
37.75,37.75,37.75,37.75,625,2024-03-28 07:27:00-04:00
37.75,37.75,37.75,37.75,464,2024-03-28 07:28:00-04:00
37.7,37.7,37.7,37.7,1099,2024-03-28 07:44:00-04:00
37.71,37.71,37.71,37.71,239,2024-03-28 07:52:00-04:00
37.69,37.69,37.65,37.65,770,2024-03-28 07:59:00-04:00
37.7091,37.71,37.7091,37.71,1300,2024-03-28 08:00:00-04:00
37.6606,37.6606,37.6606,37.6606,1000,2024-03-28 08:03:00-04:00
37.72,37.72,37.72,37.72,257,2024-03-28 08:04:00-04:00
37.72,37.72,37.66,37.67,2440,2024-03-28 08:05:00-04:00
37.66,37.66,37.6,37.6,1522,2024-03-28 08:06:00-04:00
37.7,37.7,37.7,37.7,100,2024-03-28 08:13:00-04:00
37.65,37.65,37.65,37.65,200,2024-03-28 08:14:00-04:00
37.69,37.69,37.69,37.69,100,2024-03-28 08:16:00-04:00
37.73,37.73,37.73,37.73,100,2024-03-28 08:17:00-04:00
37.73,37.73,37.73,37.73,150,2024-03-28 08:18:00-04:00
37.75,37.75,37.75,37.75,250,2024-03-28 08:19:00-04:00
37.71,37.71,37.71,37.71,200,2024-03-28 08:20:00-04:00
37.67,37.67,37.67,37.67,471,2024-03-28 08:22:00-04:00
37.69,37.69,37.67,37.67,829,2024-03-28 08:23:00-04:00
37.65,37.65,37.65,37.65,971,2024-03-28 08:24:00-04:00
37.67,37.67,37.67,37.67,1400,2024-03-28 08:25:00-04:00
37.67,37.67,37.67,37.67,723,2024-03-28 08:28:00-04:00
37.64,37.64,37.64,37.64,200,2024-03-28 08:29:00-04:00
37.7,37.7,37.69,37.69,1700,2024-03-28 08:30:00-04:00
37.69,37.69,37.65,37.65,2200,2024-03-28 08:36:00-04:00
37.67,37.67,37.67,37.67,100,2024-03-28 08:39:00-04:00
37.65,37.65,37.65,37.65,991,2024-03-28 08:40:00-04:00
37.67,37.67,37.67,37.67,523,2024-03-28 08:41:00-04:00
37.65,37.65,37.65,37.65,100,2024-03-28 08:42:00-04:00
37.67,37.67,37.67,37.67,300,2024-03-28 08:44:00-04:00
37.65,37.67,37.65,37.67,300,2024-03-28 08:46:00-04:00
37.65,37.65,37.64,37.64,1618,2024-03-28 08:47:00-04:00
37.81,37.81,37.81,37.81,4743,2024-03-28 08:51:00-04:00
37.66,37.66,37.66,37.66,400,2024-03-28 08:52:00-04:00
37.67,37.67,37.67,37.67,354,2024-03-28 08:56:00-04:00
37.67,37.68,37.67,37.68,1185,2024-03-28 08:58:00-04:00
37.7,37.7,37.68,37.69,994,2024-03-28 09:00:00-04:00
37.7,37.73,37.68,37.7,600,2024-03-28 09:01:00-04:00
37.7,37.7,37.7,37.7,100,2024-03-28 09:04:00-04:00
37.72,37.72,37.72,37.72,988,2024-03-28 09:05:00-04:00
37.73,37.74,37.73,37.73,6851,2024-03-28 09:06:00-04:00
37.73,37.73,37.7,37.7,1100,2024-03-28 09:08:00-04:00
37.7,37.7,37.7,37.7,1000,2024-03-28 09:10:00-04:00
37.68,37.68,37.68,37.68,112,2024-03-28 09:13:00-04:00
37.68,37.68,37.68,37.68,709,2024-03-28 09:14:00-04:00
37.7,37.7,37.7,37.7,3100,2024-03-28 09:18:00-04:00
37.71,37.74,37.71,37.74,200,2024-03-28 09:19:00-04:00
37.75,37.75,37.75,37.75,1234,2024-03-28 09:20:00-04:00
37.76,37.76,37.76,37.76,120,2024-03-28 09:21:00-04:00
37.76,37.76,37.76,37.76,850,2024-03-28 09:23:00-04:00
37.75,37.75,37.7,37.7,3777,2024-03-28 09:24:00-04:00
37.73,37.75,37.71,37.71,511,2024-03-28 09:28:00-04:00
37.73,37.73,37.7,37.7,3267,2024-03-28 09:29:00-04:00
37.72,37.86,37.64,37.815,692264,2024-03-28 09:30:00-04:00
37.81,37.85,37.75,37.75,115684,2024-03-28 09:31:00-04:00
37.76,37.86,37.76,37.83,53949,2024-03-28 09:32:00-04:00
37.83,37.8684,37.77,37.77,73323,2024-03-28 09:33:00-04:00
37.765,37.78,37.7125,37.7125,83897,2024-03-28 09:34:00-04:00
37.71,37.72,37.62,37.6301,172435,2024-03-28 09:35:00-04:00
37.63,37.7,37.63,37.66,59877,2024-03-28 09:36:00-04:00
37.66,37.68,37.58,37.595,162792,2024-03-28 09:37:00-04:00
37.59,37.6253,37.58,37.625,83858,2024-03-28 09:38:00-04:00
37.625,37.65,37.62,37.645,136453,2024-03-28 09:39:00-04:00
37.6444,37.655,37.59,37.595,82110,2024-03-28 09:40:00-04:00
37.6,37.66,37.59,37.6516,62476,2024-03-28 09:41:00-04:00
37.66,37.72,37.65,37.715,76161,2024-03-28 09:42:00-04:00
37.72,37.72,37.67,37.72,53985,2024-03-28 09:43:00-04:00
37.72,37.765,37.71,37.715,31461,2024-03-28 09:44:00-04:00
37.7104,37.73,37.68,37.72,49280,2024-03-28 09:45:00-04:00
37.7301,37.735,37.625,37.635,77704,2024-03-28 09:46:00-04:00
37.635,37.6799,37.63,37.66,39285,2024-03-28 09:47:00-04:00
37.65,37.66,37.59,37.59,76673,2024-03-28 09:48:00-04:00
37.595,37.6099,37.5545,37.555,58342,2024-03-28 09:49:00-04:00
37.55,37.55,37.5,37.525,172575,2024-03-28 09:50:00-04:00
37.525,37.535,37.5,37.505,76368,2024-03-28 09:51:00-04:00
37.505,37.56,37.49,37.54,141424,2024-03-28 09:52:00-04:00
37.545,37.58,37.53,37.54,42077,2024-03-28 09:53:00-04:00
37.535,37.535,37.47,37.475,90273,2024-03-28 09:54:00-04:00
37.48,37.495,37.415,37.425,230110,2024-03-28 09:55:00-04:00
37.43,37.485,37.42,37.485,78018,2024-03-28 09:56:00-04:00
37.485,37.49,37.455,37.4601,41811,2024-03-28 09:57:00-04:00
37.47,37.51,37.46,37.48,56667,2024-03-28 09:58:00-04:00
37.49,37.49,37.46,37.4855,37649,2024-03-28 09:59:00-04:00
37.49,37.54,37.49,37.505,41144,2024-03-28 10:00:00-04:00
37.505,37.54,37.505,37.515,72440,2024-03-28 10:01:00-04:00
37.515,37.525,37.49,37.5202,48410,2024-03-28 10:02:00-04:00
37.52,37.52,37.49,37.5,27603,2024-03-28 10:03:00-04:00
37.499,37.5,37.47,37.48,40588,2024-03-28 10:04:00-04:00
37.48,37.52,37.47,37.51,54607,2024-03-28 10:05:00-04:00
37.505,37.51,37.48,37.485,68369,2024-03-28 10:06:00-04:00
37.49,37.51,37.47,37.505,27303,2024-03-28 10:07:00-04:00
37.51,37.51,37.47,37.5,44677,2024-03-28 10:08:00-04:00
37.49,37.5,37.48,37.5,28503,2024-03-28 10:09:00-04:00
37.505,37.53,37.5,37.525,107581,2024-03-28 10:10:00-04:00
37.525,37.57,37.515,37.555,58700,2024-03-28 10:11:00-04:00
37.555,37.555,37.5,37.5,47049,2024-03-28 10:12:00-04:00
37.51,37.52,37.5,37.515,37531,2024-03-28 10:13:00-04:00
37.515,37.5798,37.51,37.5798,66678,2024-03-28 10:14:00-04:00
37.58,37.59,37.55,37.555,52721,2024-03-28 10:15:00-04:00
37.56,37.59,37.56,37.565,85974,2024-03-28 10:16:00-04:00
37.565,37.58,37.5339,37.5599,85976,2024-03-28 10:17:00-04:00
37.56,37.57,37.51,37.5195,48883,2024-03-28 10:18:00-04:00
