open,high,low,close,volume,datetime
245.29,245.29,245.29,245.29,380,2021-11-23 09:22:00-05:00
244.76,244.76,244.76,244.76,7729,2021-11-23 09:30:00-05:00
244.5142,244.52,244.5142,244.52,607,2021-11-23 09:33:00-05:00
244.89,244.89,244.89,244.89,100,2021-11-23 09:34:00-05:00
244.93,244.97,244.925,244.97,500,2021-11-23 09:35:00-05:00
245.015,245.49,244.86,245.49,2365,2021-11-23 09:36:00-05:00
245.195,245.29,244.96,245.29,3106,2021-11-23 09:37:00-05:00
245.45,245.982,245.28,245.982,1800,2021-11-23 09:40:00-05:00
245.855,245.855,245.57,245.65,1211,2021-11-23 09:41:00-05:00
245.36,245.64,245.36,245.55,503,2021-11-23 09:42:00-05:00
245.49,245.49,245.4,245.4,1979,2021-11-23 09:43:00-05:00
245.34,245.48,245.06,245.06,1800,2021-11-23 09:44:00-05:00
245.17,245.28,245.17,245.28,500,2021-11-23 09:45:00-05:00
245.452,245.452,245.07,245.07,1800,2021-11-23 09:46:00-05:00
244.885,245.0,244.83,245.0,1200,2021-11-23 09:47:00-05:00
244.97,244.97,244.97,244.97,323,2021-11-23 09:48:00-05:00
245.235,245.39,245.2027,245.2027,420,2021-11-23 09:49:00-05:00
245.11,245.185,245.04,245.04,2115,2021-11-23 09:50:00-05:00
245.0269,245.03,245.0269,245.03,202,2021-11-23 09:52:00-05:00
245.08,245.145,245.02,245.135,679,2021-11-23 09:53:00-05:00
245.025,245.18,244.9625,245.11,861,2021-11-23 09:54:00-05:00
245.312,245.33,245.27,245.33,383,2021-11-23 09:55:00-05:00
245.36,245.4,245.24,245.335,3053,2021-11-23 09:56:00-05:00
245.52,245.73,245.52,245.71,1360,2021-11-23 09:58:00-05:00
245.555,245.69,245.36,245.36,600,2021-11-23 09:59:00-05:00
245.0701,245.34,245.0701,245.34,434,2021-11-23 10:00:00-05:00
245.56,245.56,245.25,245.25,858,2021-11-23 10:01:00-05:00
245.44,245.44,245.44,245.44,100,2021-11-23 10:02:00-05:00
245.42,245.46,245.26,245.46,1039,2021-11-23 10:03:00-05:00
245.475,245.475,245.475,245.475,200,2021-11-23 10:04:00-05:00
245.51,245.51,245.22,245.34,1244,2021-11-23 10:05:00-05:00
245.27,245.275,245.18,245.2523,2142,2021-11-23 10:06:00-05:00
245.35,245.38,245.17,245.255,2421,2021-11-23 10:07:00-05:00
245.245,245.245,245.13,245.2225,900,2021-11-23 10:08:00-05:00
245.07,245.29,245.07,245.29,2884,2021-11-23 10:09:00-05:00
245.38,245.82,245.38,245.8,600,2021-11-23 10:10:00-05:00
245.54,245.86,245.44,245.86,888,2021-11-23 10:11:00-05:00
245.66,245.76,245.5,245.605,1279,2021-11-23 10:12:00-05:00
245.6,245.71,245.6,245.71,705,2021-11-23 10:13:00-05:00
245.51,245.54,245.38,245.38,500,2021-11-23 10:14:00-05:00
245.432,245.59,245.43,245.59,800,2021-11-23 10:15:00-05:00
245.63,245.63,245.53,245.54,620,2021-11-23 10:16:00-05:00
245.53,245.62,245.53,245.545,400,2021-11-23 10:17:00-05:00
245.54,245.65,245.47,245.65,1623,2021-11-23 10:18:00-05:00
245.51,245.615,245.24,245.335,2500,2021-11-23 10:19:00-05:00
245.34,245.47,245.34,245.44,602,2021-11-23 10:20:00-05:00
245.4,245.4187,245.26,245.4187,800,2021-11-23 10:21:00-05:00
245.18,245.305,245.18,245.305,700,2021-11-23 10:22:00-05:00
245.14,245.25,244.92,245.02,2207,2021-11-23 10:23:00-05:00
245.04,245.04,244.93,244.98,1535,2021-11-23 10:24:00-05:00
245.03,245.03,244.97,244.97,2100,2021-11-23 10:25:00-05:00
244.955,245.06,244.94,244.945,500,2021-11-23 10:26:00-05:00
244.85,244.96,244.82,244.96,2400,2021-11-23 10:27:00-05:00
244.86,244.91,244.75,244.91,3555,2021-11-23 10:28:00-05:00
244.93,244.93,244.845,244.845,243,2021-11-23 10:29:00-05:00
244.84,245.07,244.84,245.07,900,2021-11-23 10:30:00-05:00
244.985,245.08,244.9,245.025,1900,2021-11-23 10:31:00-05:00
245.06,245.22,245.04,245.175,6054,2021-11-23 10:33:00-05:00
245.22,245.335,245.22,245.23,1500,2021-11-23 10:34:00-05:00
245.21,245.245,245.12,245.1575,2093,2021-11-23 10:35:00-05:00
245.03,245.03,244.865,244.865,1338,2021-11-23 10:36:00-05:00
244.86,244.93,244.84,244.93,954,2021-11-23 10:37:00-05:00
245.04,245.04,244.9485,244.9485,3445,2021-11-23 10:38:00-05:00
245.06,245.1,244.9,245.1,7600,2021-11-23 10:39:00-05:00
245.07,245.21,245.02,245.17,4237,2021-11-23 10:40:00-05:00
245.03,245.03,244.89,244.91,1605,2021-11-23 10:41:00-05:00
244.8,244.8,244.735,244.735,3166,2021-11-23 10:42:00-05:00
244.655,244.695,244.655,244.695,560,2021-11-23 10:43:00-05:00
244.695,244.695,244.37,244.37,1000,2021-11-23 10:44:00-05:00
