open,high,low,close,volume,datetime
34.52,34.68,34.52,34.68,13300,2021-11-23 08:12:00-05:00
34.64,34.64,34.54,34.54,200,2021-11-23 08:13:00-05:00
34.66,34.66,34.35,34.35,200,2021-11-23 08:17:00-05:00
34.58,34.58,34.58,34.58,100,2021-11-23 08:33:00-05:00
34.69,34.69,34.69,34.69,156,2021-11-23 09:15:00-05:00
34.68,34.73,34.665,34.67,19156,2021-11-23 09:30:00-05:00
34.73,34.73,34.68,34.68,1605,2021-11-23 09:31:00-05:00
34.61,34.62,34.6,34.61,450,2021-11-23 09:32:00-05:00
34.56,34.61,34.5,34.5,1828,2021-11-23 09:33:00-05:00
34.49,34.49,34.49,34.49,100,2021-11-23 09:34:00-05:00
34.45,34.46,34.42,34.42,1514,2021-11-23 09:35:00-05:00
34.46,34.465,34.38,34.4,1770,2021-11-23 09:36:00-05:00
34.34,34.37,34.28,34.28,3165,2021-11-23 09:37:00-05:00
34.28,34.3,34.28,34.3,1648,2021-11-23 09:38:00-05:00
34.305,34.37,34.305,34.37,1095,2021-11-23 09:39:00-05:00
34.36,34.46,34.36,34.46,8214,2021-11-23 09:40:00-05:00
34.455,34.51,34.455,34.51,6246,2021-11-23 09:41:00-05:00
34.52,34.54,34.49,34.5,4273,2021-11-23 09:42:00-05:00
34.49,34.56,34.49,34.536,4148,2021-11-23 09:43:00-05:00
34.535,34.56,34.51,34.56,3322,2021-11-23 09:44:00-05:00
34.57,34.59,34.56,34.58,4313,2021-11-23 09:45:00-05:00
34.58,34.6,34.5,34.53,7883,2021-11-23 09:46:00-05:00
34.5,34.57,34.5,34.57,1865,2021-11-23 09:47:00-05:00
34.56,34.64,34.55,34.62,9555,2021-11-23 09:48:00-05:00
34.61,34.61,34.51,34.53,4939,2021-11-23 09:49:00-05:00
34.54,34.56,34.52,34.56,7946,2021-11-23 09:50:00-05:00
34.55,34.6,34.54,34.58,9760,2021-11-23 09:51:00-05:00
34.59,34.64,34.59,34.61,3643,2021-11-23 09:52:00-05:00
34.62,34.66,34.6,34.6,3900,2021-11-23 09:53:00-05:00
34.61,34.71,34.6,34.71,6376,2021-11-23 09:54:00-05:00
34.71,34.71,34.66,34.68,7662,2021-11-23 09:55:00-05:00
34.68,34.71,34.67,34.7,17932,2021-11-23 09:56:00-05:00
34.69,34.75,34.67,34.75,14218,2021-11-23 09:57:00-05:00
34.76,34.76,34.651,34.69,7207,2021-11-23 09:58:00-05:00
34.68,34.68,34.62,34.62,1300,2021-11-23 09:59:00-05:00
34.6,34.61,34.53,34.53,3693,2021-11-23 10:00:00-05:00
34.53,34.55,34.49,34.505,8700,2021-11-23 10:01:00-05:00
34.5,34.51,34.44,34.44,2525,2021-11-23 10:02:00-05:00
34.44,34.505,34.43,34.5,13244,2021-11-23 10:03:00-05:00
34.505,34.52,34.49,34.51,14616,2021-11-23 10:04:00-05:00
34.505,34.57,34.5,34.57,16162,2021-11-23 10:05:00-05:00
34.57,34.58,34.48,34.49,7260,2021-11-23 10:06:00-05:00
34.48,34.51,34.45,34.5,19291,2021-11-23 10:07:00-05:00
34.5,34.51,34.45,34.48,4206,2021-11-23 10:08:00-05:00
34.49,34.49,34.43,34.47,6988,2021-11-23 10:09:00-05:00
34.48,34.51,34.48,34.49,5030,2021-11-23 10:10:00-05:00
34.49,34.49,34.43,34.45,2871,2021-11-23 10:11:00-05:00
34.435,34.48,34.435,34.48,4800,2021-11-23 10:12:00-05:00
34.47,34.48,34.455,34.47,2775,2021-11-23 10:13:00-05:00
34.47,34.5,34.47,34.49,5835,2021-11-23 10:14:00-05:00
34.5,34.54,34.495,34.52,10306,2021-11-23 10:15:00-05:00
34.525,34.54,34.4799,34.49,2013,2021-11-23 10:16:00-05:00
34.5,34.52,34.48,34.48,3833,2021-11-23 10:17:00-05:00
34.49,34.52,34.49,34.51,1646,2021-11-23 10:18:00-05:00
34.5002,34.515,34.5,34.51,3177,2021-11-23 10:19:00-05:00
34.52,34.54,34.52,34.54,1803,2021-11-23 10:20:00-05:00
34.54,34.54,34.505,34.505,3046,2021-11-23 10:21:00-05:00
34.51,34.51,34.51,34.51,1100,2021-11-23 10:22:00-05:00
34.52,34.56,34.51,34.51,2600,2021-11-23 10:23:00-05:00
34.51,34.52,34.48,34.48,1927,2021-11-23 10:24:00-05:00
34.46,34.5,34.46,34.5,2274,2021-11-23 10:25:00-05:00
34.49,34.49,34.42,34.42,2100,2021-11-23 10:26:00-05:00
34.42,34.46,34.42,34.46,2447,2021-11-23 10:27:00-05:00
34.46,34.46,34.44,34.44,600,2021-11-23 10:28:00-05:00
34.435,34.44,34.43,34.43,701,2021-11-23 10:29:00-05:00
34.41,34.44,34.39,34.405,2544,2021-11-23 10:30:00-05:00
34.41,34.435,34.405,34.41,5008,2021-11-23 10:31:00-05:00
34.415,34.43,34.405,34.41,2357,2021-11-23 10:32:00-05:00
34.4,34.405,34.3799,34.38,1400,2021-11-23 10:33:00-05:00
34.3798,34.3883,34.32,34.33,2776,2021-11-23 10:34:00-05:00
34.34,34.35,34.32,34.33,3110,2021-11-23 10:35:00-05:00
34.32,34.32,34.29,34.29,2700,2021-11-23 10:36:00-05:00
34.29,34.29,34.2701,34.2701,1046,2021-11-23 10:37:00-05:00
34.26,34.27,34.25,34.255,4714,2021-11-23 10:38:00-05:00
34.25,34.26,34.24,34.24,2370,2021-11-23 10:39:00-05:00
34.25,34.335,34.25,34.33,8360,2021-11-23 10:40:00-05:00
34.32,34.38,34.315,34.375,5098,2021-11-23 10:41:00-05:00
34.37,34.39,34.36,34.385,1825,2021-11-23 10:42:00-05:00
34.38,34.38,34.35,34.38,1906,2021-11-23 10:43:00-05:00
34.37,34.37,34.35,34.365,2300,2021-11-23 10:44:00-05:00
34.37,34.4,34.36,34.39,3166,2021-11-23 10:45:00-05:00
34.39,34.405,34.39,34.395,2200,2021-11-23 10:46:00-05:00
34.4,34.435,34.4,34.42,2601,2021-11-23 10:47:00-05:00
34.43,34.43,34.41,34.425,1745,2021-11-23 10:48:00-05:00
34.415,34.43,34.415,34.42,812,2021-11-23 10:49:00-05:00
34.415,34.44,34.41,34.44,6367,2021-11-23 10:50:00-05:00
34.45,34.465,34.42,34.42,5228,2021-11-23 10:51:00-05:00
34.41,34.41,34.39,34.39,2246,2021-11-23 10:52:00-05:00
34.38,34.38,34.34,34.34,2101,2021-11-23 10:53:00-05:00
34.35,34.35,34.34,34.34,670,2021-11-23 10:54:00-05:00
34.335,34.335,34.3,34.32,5235,2021-11-23 10:55:00-05:00
34.32,34.33,34.32,34.32,2263,2021-11-23 10:56:00-05:00
34.31,34.31,34.29,34.3,2693,2021-11-23 10:57:00-05:00
34.2999,34.32,34.29,34.3044,6019,2021-11-23 10:58:00-05:00
34.3,34.3,34.24,34.24,6430,2021-11-23 10:59:00-05:00
34.24,34.27,34.18,34.185,15246,2021-11-23 11:00:00-05:00
34.185,34.2,34.16,34.17,15516,2021-11-23 11:01:00-05:00
34.17,34.175,34.16,34.17,3438,2021-11-23 11:02:00-05:00
34.16,34.16,34.11,34.11,14129,2021-11-23 11:03:00-05:00
34.115,34.23,34.115,34.23,4669,2021-11-23 11:04:00-05:00
34.22,34.22,34.21,34.215,1680,2021-11-23 11:05:00-05:00
34.22,34.225,34.2,34.2,2508,2021-11-23 11:06:00-05:00
34.19,34.22,34.19,34.19,3800,2021-11-23 11:07:00-05:00
34.18,34.2,34.18,34.2,2100,2021-11-23 11:08:00-05:00
34.2,34.2,34.185,34.2,4323,2021-11-23 11:09:00-05:00
34.205,34.24,34.2,34.22,4484,2021-11-23 11:10:00-05:00
34.22,34.26,34.21,34.25,6275,2021-11-23 11:11:00-05:00
34.27,34.28,34.26,34.26,2800,2021-11-23 11:12:00-05:00
34.26,34.28,34.26,34.28,2000,2021-11-23 11:13:00-05:00
34.29,34.29,34.275,34.29,1526,2021-11-23 11:14:00-05:00
34.28,34.31,34.28,34.305,9121,2021-11-23 11:15:00-05:00
34.31,34.33,34.3,34.33,7963,2021-11-23 11:16:00-05:00
34.33,34.34,34.32,34.32,1748,2021-11-23 11:17:00-05:00
34.31,34.31,34.295,34.31,3083,2021-11-23 11:18:00-05:00
34.3099,34.33,34.3099,34.32,1583,2021-11-23 11:20:00-05:00
34.32,34.34,34.32,34.33,900,2021-11-23 11:21:00-05:00
34.375,34.375,34.36,34.36,669,2021-11-23 11:22:00-05:00
34.36,34.36,34.345,34.345,1026,2021-11-23 11:23:00-05:00
34.35,34.37,34.35,34.365,2728,2021-11-23 11:24:00-05:00
34.365,34.375,34.365,34.37,3837,2021-11-23 11:25:00-05:00
34.36,34.36,34.35,34.355,1774,2021-11-23 11:26:00-05:00
34.35,34.36,34.35,34.355,1979,2021-11-23 11:27:00-05:00
34.36,34.375,34.36,34.365,1811,2021-11-23 11:28:00-05:00
