open,high,low,close,volume,datetime
73.9,73.9,73.9,73.9,5163,2021-11-23 09:30:00-05:00
73.78,73.78,73.78,73.78,200,2021-11-23 09:33:00-05:00
73.9035,73.9035,73.9035,73.9035,718,2021-11-23 09:34:00-05:00
73.68,73.68,73.56,73.56,319,2021-11-23 09:37:00-05:00
73.58,73.58,73.58,73.58,100,2021-11-23 09:38:00-05:00
73.56,73.56,73.56,73.56,100,2021-11-23 09:39:00-05:00
73.6,73.61,73.55,73.61,726,2021-11-23 09:42:00-05:00
73.53,73.59,73.53,73.54,901,2021-11-23 09:43:00-05:00
73.53,73.68,73.53,73.66,620,2021-11-23 09:44:00-05:00
73.64,73.64,73.64,73.64,100,2021-11-23 09:45:00-05:00
73.76,73.77,73.68,73.73,1053,2021-11-23 09:46:00-05:00
73.79,73.79,73.79,73.79,419,2021-11-23 09:47:00-05:00
73.76,73.76,73.69,73.69,601,2021-11-23 09:48:00-05:00
73.77,73.81,73.77,73.81,400,2021-11-23 09:50:00-05:00
73.78,73.85,73.76,73.77,400,2021-11-23 09:51:00-05:00
73.76,73.76,73.75,73.75,300,2021-11-23 09:52:00-05:00
73.77,73.77,73.69,73.69,200,2021-11-23 09:53:00-05:00
73.7803,73.7803,73.69,73.69,218,2021-11-23 09:54:00-05:00
73.69,73.84,73.69,73.84,590,2021-11-23 09:55:00-05:00
73.77,73.89,73.77,73.89,200,2021-11-23 09:56:00-05:00
73.79,73.79,73.79,73.79,100,2021-11-23 09:57:00-05:00
73.79,73.79,73.77,73.77,316,2021-11-23 09:58:00-05:00
73.74,73.76,73.67,73.67,923,2021-11-23 09:59:00-05:00
73.715,73.715,73.715,73.715,139,2021-11-23 10:01:00-05:00
73.7207,73.76,73.7207,73.7267,719,2021-11-23 10:02:00-05:00
73.74,73.74,73.74,73.74,100,2021-11-23 10:03:00-05:00
73.68,73.74,73.68,73.74,200,2021-11-23 10:05:00-05:00
73.7,73.7,73.62,73.65,1819,2021-11-23 10:06:00-05:00
73.6,73.6,73.57,73.59,735,2021-11-23 10:07:00-05:00
73.57,73.6,73.57,73.6,539,2021-11-23 10:08:00-05:00
73.555,73.83,73.555,73.83,1401,2021-11-23 10:10:00-05:00
73.79,73.88,73.79,73.83,1640,2021-11-23 10:11:00-05:00
73.88,73.88,73.835,73.835,214,2021-11-23 10:12:00-05:00
73.87,73.9,73.87,73.88,408,2021-11-23 10:13:00-05:00
73.95,73.964,73.89,73.8984,1174,2021-11-23 10:14:00-05:00
73.91,73.94,73.87,73.935,2574,2021-11-23 10:15:00-05:00
73.947,73.98,73.947,73.98,530,2021-11-23 10:16:00-05:00
73.935,73.98,73.934,73.98,1061,2021-11-23 10:17:00-05:00
73.956,74.0,73.88,73.88,2107,2021-11-23 10:18:00-05:00
73.9152,73.9152,73.69,73.69,2826,2021-11-23 10:19:00-05:00
73.775,73.82,73.73,73.73,700,2021-11-23 10:21:00-05:00
73.82,73.82,73.745,73.81,300,2021-11-23 10:22:00-05:00
73.73,73.73,73.59,73.59,728,2021-11-23 10:23:00-05:00
73.49,73.49,73.43,73.43,400,2021-11-23 10:26:00-05:00
73.39,73.39,73.33,73.35,513,2021-11-23 10:27:00-05:00
73.3,73.3,73.3,73.3,100,2021-11-23 10:28:00-05:00
73.303,73.36,73.275,73.36,1275,2021-11-23 10:29:00-05:00
73.39,73.39,73.35,73.3511,700,2021-11-23 10:30:00-05:00
73.4,73.46,73.4,73.46,1100,2021-11-23 10:32:00-05:00
73.495,73.5,73.46,73.5,699,2021-11-23 10:33:00-05:00
73.49,73.49,73.49,73.49,100,2021-11-23 10:34:00-05:00
73.53,73.53,73.36,73.36,800,2021-11-23 10:35:00-05:00
73.42,73.44,73.38,73.44,407,2021-11-23 10:38:00-05:00
73.38,73.38,73.32,73.32,424,2021-11-23 10:39:00-05:00
73.33,73.37,73.33,73.36,517,2021-11-23 10:40:00-05:00
73.3,73.35,73.3,73.321,359,2021-11-23 10:43:00-05:00
73.32,73.32,73.28,73.3,436,2021-11-23 10:44:00-05:00
73.34,73.42,73.34,73.42,1069,2021-11-23 10:45:00-05:00
73.45,73.47,73.45,73.47,312,2021-11-23 10:46:00-05:00
73.505,73.505,73.505,73.505,325,2021-11-23 10:48:00-05:00
73.46,73.46,73.46,73.46,200,2021-11-23 10:50:00-05:00
73.475,73.51,73.41,73.41,2287,2021-11-23 10:52:00-05:00
73.51,73.53,73.45,73.45,400,2021-11-23 10:53:00-05:00
73.46,73.4613,73.46,73.4613,253,2021-11-23 10:54:00-05:00
73.53,73.55,73.53,73.55,800,2021-11-23 10:55:00-05:00
73.55,73.55,73.55,73.55,200,2021-11-23 10:56:00-05:00
73.6,73.639,73.57,73.57,300,2021-11-23 10:57:00-05:00
73.58,73.58,73.55,73.55,431,2021-11-23 10:58:00-05:00
73.501,73.59,73.501,73.59,1003,2021-11-23 10:59:00-05:00
73.59,73.59,73.565,73.565,300,2021-11-23 11:00:00-05:00
73.56,73.56,73.51,73.51,202,2021-11-23 11:01:00-05:00
73.51,73.51,73.481,73.481,200,2021-11-23 11:02:00-05:00
73.45,73.45,73.45,73.45,100,2021-11-23 11:04:00-05:00
73.46,73.46,73.46,73.46,100,2021-11-23 11:05:00-05:00
73.45,73.45,73.45,73.45,200,2021-11-23 11:06:00-05:00
