open,high,low,close,volume,datetime
204.43,204.43,204.43,204.43,2005,2024-03-28 09:30:00-04:00
204.57,204.57,204.57,204.57,100,2024-03-28 09:44:00-04:00
204.3,204.3,204.04,204.04,200,2024-03-28 09:45:00-04:00
204.28,204.28,204.28,204.28,100,2024-03-28 09:46:00-04:00
204.28,204.28,204.28,204.28,100,2024-03-28 09:51:00-04:00
204.35,204.35,204.35,204.35,100,2024-03-28 09:52:00-04:00
204.35,204.615,204.35,204.35,5078,2024-03-28 09:55:00-04:00
204.65,204.7,204.58,204.67,643,2024-03-28 09:59:00-04:00
204.745,204.745,204.745,204.745,200,2024-03-28 10:02:00-04:00
204.5,204.5,204.5,204.5,446,2024-03-28 10:05:00-04:00
204.595,204.595,204.595,204.595,190,2024-03-28 10:07:00-04:00
204.485,204.485,204.485,204.485,100,2024-03-28 10:08:00-04:00
204.89,204.9,204.89,204.9,220,2024-03-28 10:10:00-04:00
204.98,204.98,204.89,204.89,300,2024-03-28 10:12:00-04:00
204.81,204.81,204.77,204.81,300,2024-03-28 10:14:00-04:00
204.95,204.95,204.95,204.95,320,2024-03-28 10:16:00-04:00
204.82,204.82,204.82,204.82,152,2024-03-28 10:17:00-04:00
204.69,204.72,204.69,204.72,500,2024-03-28 10:18:00-04:00
204.645,204.645,204.645,204.645,276,2024-03-28 10:22:00-04:00
204.74,204.845,204.74,204.845,200,2024-03-28 10:24:00-04:00
204.8488,204.8488,204.8488,204.8488,100,2024-03-28 10:26:00-04:00
204.845,204.845,204.845,204.845,100,2024-03-28 10:28:00-04:00
204.85,204.85,204.85,204.85,300,2024-03-28 10:29:00-04:00
204.845,204.845,204.845,204.845,100,2024-03-28 10:31:00-04:00
204.93,204.93,204.93,204.93,237,2024-03-28 10:33:00-04:00
204.92,204.92,204.92,204.92,200,2024-03-28 10:41:00-04:00
204.93,204.93,204.92,204.92,300,2024-03-28 10:42:00-04:00
204.915,204.915,204.915,204.915,237,2024-03-28 10:44:00-04:00
205.005,205.005,205.005,205.005,100,2024-03-28 10:48:00-04:00
204.96,204.96,204.96,204.96,100,2024-03-28 10:49:00-04:00
205.04,205.07,205.04,205.07,200,2024-03-28 10:50:00-04:00
205.196,205.23,205.196,205.23,1100,2024-03-28 10:52:00-04:00
205.13,205.13,205.13,205.13,127,2024-03-28 10:53:00-04:00
205.225,205.2909,205.13,205.14,702,2024-03-28 10:54:00-04:00
205.14,205.23,205.14,205.23,200,2024-03-28 10:55:00-04:00
205.1123,205.1123,205.1123,205.1123,162,2024-03-28 10:57:00-04:00
205.23,205.23,205.23,205.23,100,2024-03-28 11:01:00-04:00
205.09,205.09,205.07,205.07,247,2024-03-28 11:04:00-04:00
205.04,205.145,205.04,205.145,200,2024-03-28 11:05:00-04:00
205.05,205.05,204.94,204.94,200,2024-03-28 11:07:00-04:00
204.765,204.765,204.765,204.765,200,2024-03-28 11:10:00-04:00
204.82,204.84,204.82,204.84,416,2024-03-28 11:11:00-04:00
204.72,204.74,204.54,204.7,4250,2024-03-28 11:13:00-04:00
204.515,204.515,204.515,204.515,100,2024-03-28 11:14:00-04:00
204.62,204.63,204.62,204.63,332,2024-03-28 11:15:00-04:00
204.64,204.67,204.63,204.63,301,2024-03-28 11:16:00-04:00
204.6,204.615,204.585,204.615,350,2024-03-28 11:18:00-04:00
204.6,204.69,204.585,204.5875,400,2024-03-28 11:19:00-04:00
204.695,204.7,204.615,204.615,320,2024-03-28 11:21:00-04:00
204.6,204.6,204.38,204.49,1871,2024-03-28 11:22:00-04:00
204.57,204.57,204.57,204.57,200,2024-03-28 11:23:00-04:00
204.51,204.51,204.41,204.41,2264,2024-03-28 11:24:00-04:00
204.535,204.535,204.535,204.535,100,2024-03-28 11:25:00-04:00
