open,high,low,close,volume,datetime
29.49,29.49,29.49,29.49,342,2024-03-28 08:12:00-04:00
29.63,29.7,29.62,29.64,32145,2024-03-28 09:30:00-04:00
29.64,29.75,29.64,29.67,19723,2024-03-28 09:31:00-04:00
29.65,29.69,29.65,29.685,3068,2024-03-28 09:32:00-04:00
29.7,29.73,29.7,29.73,5223,2024-03-28 09:33:00-04:00
29.73,29.73,29.73,29.73,100,2024-03-28 09:34:00-04:00
29.75,29.76,29.74,29.74,3738,2024-03-28 09:35:00-04:00
29.74,29.76,29.74,29.75,2989,2024-03-28 09:36:00-04:00
29.73,29.76,29.73,29.73,3440,2024-03-28 09:37:00-04:00
29.71,29.71,29.685,29.69,7204,2024-03-28 09:38:00-04:00
29.685,29.6899,29.66,29.68,7334,2024-03-28 09:39:00-04:00
29.675,29.685,29.67,29.685,1241,2024-03-28 09:40:00-04:00
29.66,29.66,29.65,29.65,800,2024-03-28 09:41:00-04:00
29.63,29.63,29.62,29.62,600,2024-03-28 09:42:00-04:00
29.62,29.62,29.59,29.595,1000,2024-03-28 09:43:00-04:00
29.59,29.59,29.58,29.59,700,2024-03-28 09:44:00-04:00
29.58,29.63,29.58,29.63,2756,2024-03-28 09:45:00-04:00
29.625,29.6494,29.6,29.6,3360,2024-03-28 09:46:00-04:00
29.6198,29.62,29.6198,29.62,1268,2024-03-28 09:47:00-04:00
29.61,29.66,29.61,29.66,11295,2024-03-28 09:48:00-04:00
29.66,29.66,29.64,29.65,1631,2024-03-28 09:49:00-04:00
29.65,29.65,29.64,29.64,2883,2024-03-28 09:50:00-04:00
29.65,29.652,29.64,29.645,9475,2024-03-28 09:51:00-04:00
29.645,29.65,29.64,29.645,24818,2024-03-28 09:52:00-04:00
29.64,29.66,29.635,29.635,3299,2024-03-28 09:53:00-04:00
29.63,29.63,29.61,29.62,2846,2024-03-28 09:54:00-04:00
29.62,29.64,29.62,29.635,5267,2024-03-28 09:55:00-04:00
29.64,29.66,29.64,29.65,6437,2024-03-28 09:56:00-04:00
29.65,29.66,29.6472,29.66,4507,2024-03-28 09:57:00-04:00
29.66,29.66,29.645,29.655,5777,2024-03-28 09:58:00-04:00
29.66,29.66,29.64,29.65,3410,2024-03-28 09:59:00-04:00
29.64,29.66,29.64,29.66,8298,2024-03-28 10:00:00-04:00
29.665,29.665,29.66,29.665,3467,2024-03-28 10:01:00-04:00
29.665,29.68,29.65,29.67,11063,2024-03-28 10:02:00-04:00
29.67,29.67,29.67,29.67,180,2024-03-28 10:03:00-04:00
29.66,29.68,29.635,29.68,15716,2024-03-28 10:04:00-04:00
29.68,29.69,29.665,29.68,6085,2024-03-28 10:05:00-04:00
29.675,29.675,29.67,29.67,526,2024-03-28 10:06:00-04:00
29.68,29.68,29.675,29.68,2132,2024-03-28 10:07:00-04:00
29.68,29.68,29.665,29.675,11600,2024-03-28 10:08:00-04:00
29.66,29.675,29.66,29.67,2912,2024-03-28 10:09:00-04:00
29.66,29.665,29.65,29.66,1479,2024-03-28 10:10:00-04:00
29.65,29.67,29.645,29.665,4046,2024-03-28 10:11:00-04:00
29.665,29.675,29.655,29.67,3563,2024-03-28 10:12:00-04:00
29.665,29.67,29.66,29.66,1200,2024-03-28 10:13:00-04:00
29.65,29.65,29.625,29.625,3231,2024-03-28 10:14:00-04:00
29.63,29.655,29.63,29.655,16704,2024-03-28 10:15:00-04:00
29.655,29.7,29.655,29.69,17718,2024-03-28 10:16:00-04:00
29.68,29.684,29.68,29.68,4314,2024-03-28 10:17:00-04:00
29.685,29.6859,29.684,29.685,1038,2024-03-28 10:18:00-04:00
29.68,29.68,29.65,29.65,900,2024-03-28 10:19:00-04:00
29.655,29.665,29.65,29.65,5267,2024-03-28 10:20:00-04:00
29.645,29.665,29.645,29.665,1700,2024-03-28 10:21:00-04:00
29.66,29.685,29.66,29.685,1770,2024-03-28 10:22:00-04:00
29.68,29.68,29.665,29.67,2903,2024-03-28 10:23:00-04:00
29.66,29.665,29.65,29.665,3386,2024-03-28 10:24:00-04:00
29.67,29.67,29.66,29.665,1983,2024-03-28 10:25:00-04:00
29.665,29.67,29.665,29.67,2870,2024-03-28 10:26:00-04:00
29.665,29.685,29.655,29.655,5870,2024-03-28 10:27:00-04:00
29.655,29.6675,29.655,29.66,3309,2024-03-28 10:28:00-04:00
29.665,29.67,29.6601,29.6603,3827,2024-03-28 10:29:00-04:00
29.67,29.68,29.665,29.665,6105,2024-03-28 10:30:00-04:00
29.665,29.69,29.665,29.69,2865,2024-03-28 10:31:00-04:00
29.685,29.685,29.67,29.6791,2258,2024-03-28 10:32:00-04:00
29.675,29.68,29.675,29.68,2000,2024-03-28 10:33:00-04:00
29.675,29.675,29.675,29.675,462,2024-03-28 10:34:00-04:00
29.6775,29.7,29.67,29.68,17474,2024-03-28 10:35:00-04:00
29.67,29.67,29.6545,29.665,4392,2024-03-28 10:36:00-04:00
29.665,29.675,29.6503,29.675,3998,2024-03-28 10:37:00-04:00
29.68,29.7,29.68,29.6994,1623,2024-03-28 10:38:00-04:00
29.7,29.71,29.69,29.7,6789,2024-03-28 10:39:00-04:00
29.691,29.705,29.691,29.705,3097,2024-03-28 10:40:00-04:00
29.705,29.7199,29.705,29.7199,1300,2024-03-28 10:41:00-04:00
29.715,29.715,29.69,29.69,3970,2024-03-28 10:42:00-04:00
29.685,29.69,29.675,29.68,2375,2024-03-28 10:43:00-04:00
29.67,29.67,29.655,29.655,3000,2024-03-28 10:44:00-04:00
29.655,29.68,29.655,29.68,15465,2024-03-28 10:45:00-04:00
29.67,29.685,29.67,29.685,1123,2024-03-28 10:46:00-04:00
29.68,29.68,29.67,29.67,1800,2024-03-28 10:47:00-04:00
29.66,29.68,29.655,29.675,3467,2024-03-28 10:49:00-04:00
29.675,29.69,29.675,29.69,2348,2024-03-28 10:50:00-04:00
29.69,29.69,29.68,29.68,3524,2024-03-28 10:51:00-04:00
29.68,29.685,29.68,29.685,600,2024-03-28 10:52:00-04:00
29.685,29.705,29.685,29.7,5706,2024-03-28 10:53:00-04:00
29.6901,29.6901,29.6809,29.685,1853,2024-03-28 10:54:00-04:00
29.685,29.685,29.66,29.665,6944,2024-03-28 10:55:00-04:00
29.67,29.67,29.66,29.66,3200,2024-03-28 10:56:00-04:00
29.65,29.66,29.64,29.6565,2958,2024-03-28 10:57:00-04:00
29.6599,29.675,29.65,29.675,9649,2024-03-28 10:58:00-04:00
29.675,29.6988,29.67,29.69,8751,2024-03-28 10:59:00-04:00
29.69,29.72,29.68,29.715,23330,2024-03-28 11:00:00-04:00
29.7186,29.7186,29.69,29.7,11272,2024-03-28 11:01:00-04:00
29.69,29.7,29.68,29.695,15322,2024-03-28 11:02:00-04:00
29.695,29.7,29.69,29.695,15631,2024-03-28 11:03:00-04:00
29.685,29.685,29.685,29.685,1100,2024-03-28 11:04:00-04:00
29.6803,29.685,29.68,29.685,3817,2024-03-28 11:05:00-04:00
29.69,29.71,29.685,29.695,18548,2024-03-28 11:06:00-04:00
29.695,29.695,29.6902,29.6902,690,2024-03-28 11:07:00-04:00
29.69,29.695,29.685,29.695,36284,2024-03-28 11:08:00-04:00
29.69,29.7,29.685,29.695,29181,2024-03-28 11:09:00-04:00
29.7,29.71,29.69,29.705,46404,2024-03-28 11:10:00-04:00
29.705,29.705,29.68,29.685,33265,2024-03-28 11:11:00-04:00
29.685,29.69,29.68,29.685,8993,2024-03-28 11:12:00-04:00
29.69,29.69,29.68,29.685,2429,2024-03-28 11:13:00-04:00
29.69,29.71,29.685,29.71,10189,2024-03-28 11:14:00-04:00
29.71,29.715,29.705,29.715,5287,2024-03-28 11:15:00-04:00
29.72,29.72,29.715,29.715,500,2024-03-28 11:16:00-04:00
29.715,29.72,29.69,29.7,13747,2024-03-28 11:17:00-04:00
29.695,29.71,29.69,29.71,17701,2024-03-28 11:18:00-04:00
29.715,29.72,29.7,29.7,2971,2024-03-28 11:19:00-04:00
29.7,29.7,29.69,29.695,4082,2024-03-28 11:20:00-04:00
29.695,29.7,29.695,29.695,1400,2024-03-28 11:21:00-04:00
29.7,29.7,29.6909,29.695,2986,2024-03-28 11:22:00-04:00
29.7,29.7,29.695,29.7,848,2024-03-28 11:23:00-04:00
29.695,29.7,29.69,29.695,4668,2024-03-28 11:24:00-04:00
29.6925,29.7,29.6925,29.7,700,2024-03-28 11:25:00-04:00
29.69,29.705,29.69,29.705,8172,2024-03-28 11:26:00-04:00
29.7,29.705,29.7,29.705,2386,2024-03-28 11:27:00-04:00
29.7,29.705,29.7,29.705,11230,2024-03-28 11:28:00-04:00
29.7,29.71,29.7,29.705,788,2024-03-28 11:29:00-04:00
29.705,29.71,29.695,29.695,5993,2024-03-28 11:30:00-04:00
29.695,29.7,29.69,29.695,1333,2024-03-28 11:31:00-04:00
29.7,29.7,29.695,29.695,959,2024-03-28 11:32:00-04:00
29.6901,29.7,29.6901,29.6934,1698,2024-03-28 11:33:00-04:00
29.7,29.7,29.695,29.695,8509,2024-03-28 11:34:00-04:00
29.695,29.7,29.69,29.7,2219,2024-03-28 11:35:00-04:00
29.7,29.7,29.695,29.7,2717,2024-03-28 11:36:00-04:00
29.695,29.7,29.685,29.685,23184,2024-03-28 11:37:00-04:00
29.69,29.7,29.6897,29.695,9511,2024-03-28 11:38:00-04:00
29.7,29.7,29.69,29.7,12071,2024-03-28 11:39:00-04:00
29.7,29.7,29.6946,29.7,1220,2024-03-28 11:40:00-04:00
29.7,29.7,29.65,29.65,18046,2024-03-28 11:41:00-04:00
29.655,29.67,29.655,29.67,3679,2024-03-28 11:42:00-04:00
29.665,29.67,29.665,29.67,3470,2024-03-28 11:43:00-04:00
29.68,29.69,29.68,29.69,900,2024-03-28 11:44:00-04:00
29.695,29.695,29.685,29.6899,3616,2024-03-28 11:45:00-04:00
29.69,29.69,29.6846,29.6846,511,2024-03-28 11:46:00-04:00
29.68,29.685,29.675,29.675,1800,2024-03-28 11:47:00-04:00
29.675,29.68,29.675,29.675,300,2024-03-28 11:48:00-04:00
29.67,29.675,29.665,29.665,2500,2024-03-28 11:49:00-04:00
29.66,29.675,29.66,29.67,6740,2024-03-28 11:50:00-04:00
29.67,29.685,29.67,29.6801,1500,2024-03-28 11:51:00-04:00
29.69,29.69,29.68,29.685,2234,2024-03-28 11:52:00-04:00
29.685,29.69,29.6754,29.6754,1743,2024-03-28 11:53:00-04:00
29.675,29.675,29.665,29.665,1200,2024-03-28 11:54:00-04:00
29.665,29.69,29.665,29.69,3881,2024-03-28 11:55:00-04:00
29.68,29.685,29.67,29.675,4350,2024-03-28 11:56:00-04:00
29.675,29.675,29.67,29.67,777,2024-03-28 11:57:00-04:00
29.68,29.69,29.68,29.685,7819,2024-03-28 11:58:00-04:00
29.675,29.675,29.67,29.67,2332,2024-03-28 11:59:00-04:00
29.665,29.675,29.665,29.675,2245,2024-03-28 12:00:00-04:00
29.6738,29.675,29.67,29.67,1976,2024-03-28 12:01:00-04:00
29.675,29.68,29.665,29.68,3598,2024-03-28 12:02:00-04:00
29.675,29.685,29.645,29.645,25149,2024-03-28 12:03:00-04:00
29.65,29.655,29.645,29.645,9931,2024-03-28 12:04:00-04:00
29.65,29.69,29.65,29.665,36814,2024-03-28 12:05:00-04:00
29.665,29.67,29.64,29.65,8217,2024-03-28 12:06:00-04:00
29.645,29.65,29.64,29.645,2003,2024-03-28 12:07:00-04:00
29.646,29.65,29.625,29.625,3727,2024-03-28 12:08:00-04:00
29.62,29.62,29.61,29.61,1689,2024-03-28 12:09:00-04:00
29.615,29.615,29.54,29.5415,11917,2024-03-28 12:10:00-04:00
29.545,29.545,29.54,29.54,1117,2024-03-28 12:11:00-04:00
29.545,29.59,29.545,29.57,26537,2024-03-28 12:12:00-04:00
29.555,29.555,29.55,29.555,1587,2024-03-28 12:13:00-04:00
29.555,29.56,29.55,29.55,3695,2024-03-28 12:14:00-04:00
29.555,29.555,29.545,29.545,1834,2024-03-28 12:15:00-04:00
29.545,29.545,29.525,29.535,7726,2024-03-28 12:16:00-04:00
29.5312,29.54,29.525,29.535,2271,2024-03-28 12:17:00-04:00
29.53,29.54,29.51,29.52,18988,2024-03-28 12:18:00-04:00
29.515,29.525,29.515,29.525,9433,2024-03-28 12:19:00-04:00
29.53,29.56,29.53,29.555,7744,2024-03-28 12:20:00-04:00
29.56,29.57,29.56,29.57,3561,2024-03-28 12:21:00-04:00
29.565,29.58,29.56,29.5763,6612,2024-03-28 12:22:00-04:00
29.575,29.59,29.575,29.585,6003,2024-03-28 12:23:00-04:00
29.59,29.59,29.585,29.5859,610,2024-03-28 12:24:00-04:00
29.59,29.6,29.585,29.5962,1905,2024-03-28 12:25:00-04:00
29.591,29.595,29.59,29.595,1815,2024-03-28 12:26:00-04:00
29.6,29.625,29.6,29.625,44809,2024-03-28 12:27:00-04:00
29.62,29.63,29.61,29.61,7415,2024-03-28 12:28:00-04:00
29.615,29.63,29.615,29.625,1117,2024-03-28 12:29:00-04:00
29.625,29.63,29.62,29.63,3625,2024-03-28 12:30:00-04:00
29.625,29.629,29.62,29.62,5616,2024-03-28 12:31:00-04:00
29.62,29.625,29.62,29.625,2437,2024-03-28 12:32:00-04:00
29.625,29.635,29.62,29.63,19760,2024-03-28 12:33:00-04:00
29.63,29.635,29.615,29.625,6561,2024-03-28 12:34:00-04:00
29.625,29.625,29.6147,29.615,3320,2024-03-28 12:35:00-04:00
29.615,29.62,29.61,29.615,1969,2024-03-28 12:36:00-04:00
29.615,29.615,29.6,29.605,9666,2024-03-28 12:37:00-04:00
29.605,29.62,29.605,29.62,2504,2024-03-28 12:38:00-04:00
29.61,29.61,29.605,29.61,2822,2024-03-28 12:39:00-04:00
29.6,29.61,29.6,29.61,1600,2024-03-28 12:40:00-04:00
29.605,29.615,29.6007,29.61,4865,2024-03-28 12:41:00-04:00
29.615,29.615,29.615,29.615,565,2024-03-28 12:42:00-04:00
29.615,29.62,29.61,29.62,1847,2024-03-28 12:43:00-04:00
29.61,29.615,29.61,29.615,1715,2024-03-28 12:44:00-04:00
29.615,29.615,29.605,29.61,3929,2024-03-28 12:45:00-04:00
29.605,29.615,29.6,29.615,30407,2024-03-28 12:46:00-04:00
29.615,29.615,29.605,29.605,3259,2024-03-28 12:47:00-04:00
29.6075,29.61,29.605,29.605,2604,2024-03-28 12:48:00-04:00
29.605,29.615,29.605,29.615,3385,2024-03-28 12:49:00-04:00
29.62,29.62,29.6113,29.615,2663,2024-03-28 12:50:00-04:00
29.61,29.615,29.605,29.605,1109,2024-03-28 12:51:00-04:00
29.6047,29.605,29.6047,29.605,760,2024-03-28 12:52:00-04:00
29.605,29.61,29.6,29.605,3528,2024-03-28 12:53:00-04:00
