open,high,low,close,volume,datetime
364.0,364.0,364.0,364.0,4118,2024-03-28 07:13:00-04:00
363.57,363.57,363.56,363.57,577,2024-03-28 07:22:00-04:00
364.65,364.65,364.65,364.65,342,2024-03-28 08:12:00-04:00
363.7,363.7,363.7,363.7,180,2024-03-28 08:51:00-04:00
364.5,364.5,364.5,364.5,100,2024-03-28 09:13:00-04:00
364.5,364.5,364.5,364.5,102,2024-03-28 09:25:00-04:00
364.65,364.65,364.65,364.65,100,2024-03-28 09:28:00-04:00
364.62,364.86,364.3,364.35,31176,2024-03-28 09:30:00-04:00
364.41,365.41,364.41,364.89,11767,2024-03-28 09:31:00-04:00
364.955,366.2,364.6,365.34,7164,2024-03-28 09:32:00-04:00
365.04,365.04,364.885,364.9,1641,2024-03-28 09:33:00-04:00
365.06,365.44,364.8,364.85,2617,2024-03-28 09:34:00-04:00
364.83,364.83,364.235,364.535,5506,2024-03-28 09:35:00-04:00
364.365,364.365,364.29,364.29,392,2024-03-28 09:36:00-04:00
364.1,364.11,363.53,364.11,9434,2024-03-28 09:37:00-04:00
364.07,364.4699,364.0,364.25,4250,2024-03-28 09:38:00-04:00
364.045,364.045,364.01,364.01,326,2024-03-28 09:39:00-04:00
363.89,364.4181,363.89,364.4181,2500,2024-03-28 09:40:00-04:00
364.29,364.48,364.29,364.44,1534,2024-03-28 09:41:00-04:00
364.455,365.0,364.455,364.82,1760,2024-03-28 09:42:00-04:00
364.67,364.67,364.48,364.54,2647,2024-03-28 09:43:00-04:00
364.54,364.9837,364.54,364.55,2867,2024-03-28 09:44:00-04:00
364.9,365.05,364.9,364.985,850,2024-03-28 09:45:00-04:00
364.82,364.91,364.69,364.91,1400,2024-03-28 09:46:00-04:00
364.91,364.96,364.74,364.845,3233,2024-03-28 09:47:00-04:00
364.73,365.17,364.73,364.96,2200,2024-03-28 09:48:00-04:00
364.825,364.974,364.8,364.815,4014,2024-03-28 09:49:00-04:00
364.79,364.79,364.28,364.42,4082,2024-03-28 09:50:00-04:00
364.29,364.34,364.1401,364.21,2547,2024-03-28 09:51:00-04:00
364.13,364.32,364.02,364.32,1951,2024-03-28 09:52:00-04:00
364.43,364.58,364.32,364.34,3622,2024-03-28 09:53:00-04:00
364.36,364.46,364.1714,364.32,7087,2024-03-28 09:54:00-04:00
364.3999,364.3999,364.3999,364.3999,100,2024-03-28 09:55:00-04:00
364.4,364.55,364.38,364.55,1059,2024-03-28 09:56:00-04:00
364.58,364.82,364.58,364.82,850,2024-03-28 09:57:00-04:00
364.77,364.83,364.77,364.83,800,2024-03-28 09:58:00-04:00
364.77,365.14,364.77,364.9,3640,2024-03-28 09:59:00-04:00
365.04,365.28,365.04,365.175,1100,2024-03-28 10:00:00-04:00
365.29,365.35,365.1,365.19,1389,2024-03-28 10:01:00-04:00
365.08,365.25,365.08,365.1,606,2024-03-28 10:02:00-04:00
365.08,365.25,365.08,365.11,1819,2024-03-28 10:03:00-04:00
365.2362,365.63,365.11,365.38,3717,2024-03-28 10:04:00-04:00
365.29,365.525,365.29,365.51,1600,2024-03-28 10:05:00-04:00
365.43,365.59,365.43,365.59,365,2024-03-28 10:06:00-04:00
365.58,365.58,365.12,365.2,1709,2024-03-28 10:07:00-04:00
365.12,365.215,365.12,365.215,500,2024-03-28 10:08:00-04:00
365.215,365.33,365.09,365.325,1657,2024-03-28 10:09:00-04:00
365.44,365.57,365.31,365.52,2461,2024-03-28 10:10:00-04:00
365.33,365.605,365.33,365.535,1535,2024-03-28 10:11:00-04:00
365.6391,365.6391,365.24,365.36,1301,2024-03-28 10:12:00-04:00
365.22,365.22,365.08,365.22,1270,2024-03-28 10:13:00-04:00
365.1049,365.63,365.1049,365.63,1280,2024-03-28 10:14:00-04:00
365.81,365.81,365.63,365.73,1336,2024-03-28 10:15:00-04:00
365.82,365.895,365.75,365.75,2803,2024-03-28 10:16:00-04:00
365.71,365.71,365.4703,365.4703,871,2024-03-28 10:17:00-04:00
365.63,365.63,365.43,365.43,1401,2024-03-28 10:18:00-04:00
365.31,365.31,365.18,365.19,2776,2024-03-28 10:19:00-04:00
365.255,365.38,365.11,365.11,2348,2024-03-28 10:20:00-04:00
365.271,365.34,365.271,365.34,700,2024-03-28 10:21:00-04:00
365.24,365.35,365.24,365.35,1100,2024-03-28 10:22:00-04:00
365.3775,365.535,365.3775,365.535,830,2024-03-28 10:23:00-04:00
365.535,365.535,365.2,365.4,2295,2024-03-28 10:24:00-04:00
365.14,365.37,365.14,365.37,1500,2024-03-28 10:25:00-04:00
365.37,365.54,365.37,365.54,600,2024-03-28 10:26:00-04:00
365.445,365.445,365.41,365.41,300,2024-03-28 10:27:00-04:00
365.63,365.7403,365.63,365.67,2366,2024-03-28 10:28:00-04:00
365.64,365.64,365.59,365.615,2242,2024-03-28 10:29:00-04:00
365.605,365.605,365.605,365.605,175,2024-03-28 10:30:00-04:00
365.605,365.6075,365.605,365.6075,481,2024-03-28 10:31:00-04:00
365.615,365.69,365.43,365.43,1473,2024-03-28 10:32:00-04:00
365.41,365.54,365.36,365.54,536,2024-03-28 10:33:00-04:00
365.55,365.595,365.55,365.595,200,2024-03-28 10:34:00-04:00
365.59,365.79,365.505,365.73,2322,2024-03-28 10:35:00-04:00
365.6,365.72,365.5,365.71,1114,2024-03-28 10:36:00-04:00
365.69,365.78,365.67,365.78,664,2024-03-28 10:37:00-04:00
365.695,365.695,365.49,365.5,1242,2024-03-28 10:38:00-04:00
365.495,365.495,365.34,365.41,1389,2024-03-28 10:39:00-04:00
365.42,365.49,365.35,365.375,1200,2024-03-28 10:40:00-04:00
365.3907,365.4,365.3907,365.4,205,2024-03-28 10:41:00-04:00
365.53,365.59,365.42,365.5,1300,2024-03-28 10:42:00-04:00
365.41,365.48,365.41,365.46,400,2024-03-28 10:43:00-04:00
365.44,365.44,365.44,365.44,132,2024-03-28 10:44:00-04:00
365.43,365.43,365.16,365.16,1758,2024-03-28 10:45:00-04:00
365.23,365.36,365.13,365.35,1100,2024-03-28 10:46:00-04:00
365.33,365.33,365.33,365.33,101,2024-03-28 10:47:00-04:00
365.25,365.49,365.25,365.49,2031,2024-03-28 10:48:00-04:00
365.47,365.5046,365.47,365.5046,1270,2024-03-28 10:49:00-04:00
365.4999,365.62,365.45,365.62,600,2024-03-28 10:50:00-04:00
365.7,365.75,365.54,365.75,3039,2024-03-28 10:51:00-04:00
365.75,365.77,365.75,365.77,250,2024-03-28 10:52:00-04:00
365.755,365.82,365.55,365.59,1400,2024-03-28 10:53:00-04:00
365.62,365.6745,365.57,365.6745,495,2024-03-28 10:54:00-04:00
365.67,365.81,365.67,365.73,838,2024-03-28 10:55:00-04:00
365.66,365.66,365.55,365.65,2994,2024-03-28 10:56:00-04:00
365.65,365.65,365.65,365.65,200,2024-03-28 10:57:00-04:00
365.64,365.68,365.64,365.68,799,2024-03-28 10:58:00-04:00
365.63,365.63,365.565,365.565,974,2024-03-28 10:59:00-04:00
365.54,365.54,365.49,365.5,1200,2024-03-28 11:00:00-04:00
365.5,365.5,365.24,365.24,3561,2024-03-28 11:01:00-04:00
365.21,365.21,364.89,364.93,1300,2024-03-28 11:02:00-04:00
364.81,364.97,364.79,364.97,1466,2024-03-28 11:03:00-04:00
365.0,365.18,365.0,365.14,1139,2024-03-28 11:04:00-04:00
365.1,365.22,365.01,365.22,1200,2024-03-28 11:05:00-04:00
365.22,365.2739,365.215,365.24,937,2024-03-28 11:06:00-04:00
365.15,365.15,365.04,365.1403,1740,2024-03-28 11:07:00-04:00
365.02,365.04,365.005,365.01,1000,2024-03-28 11:08:00-04:00
364.94,364.9721,364.89,364.9721,611,2024-03-28 11:09:00-04:00
364.92,364.93,364.755,364.755,2033,2024-03-28 11:10:00-04:00
364.83,364.83,364.77,364.77,692,2024-03-28 11:11:00-04:00
364.775,364.79,364.61,364.61,923,2024-03-28 11:12:00-04:00
364.55,364.76,364.5,364.7247,3574,2024-03-28 11:13:00-04:00
364.64,364.67,364.64,364.67,318,2024-03-28 11:14:00-04:00
