open,high,low,close,volume,datetime
192.045,192.93,192.045,192.8225,24028,2021-11-23 09:30:00-05:00
193.0,193.4,192.9245,192.9245,805,2021-11-23 09:31:00-05:00
193.27,193.27,193.0,193.0,200,2021-11-23 09:32:00-05:00
193.18,193.45,193.12,193.3999,1254,2021-11-23 09:33:00-05:00
193.08,193.08,193.04,193.04,200,2021-11-23 09:34:00-05:00
193.0116,193.4,193.0,193.25,1391,2021-11-23 09:35:00-05:00
193.39,193.43,193.12,193.41,1590,2021-11-23 09:36:00-05:00
193.17,193.265,192.6001,192.6001,6421,2021-11-23 09:37:00-05:00
192.745,193.01,192.745,193.01,700,2021-11-23 09:38:00-05:00
193.19,193.55,193.19,193.38,2100,2021-11-23 09:39:00-05:00
193.53,193.765,193.51,193.765,453,2021-11-23 09:40:00-05:00
193.94,193.94,193.78,193.845,1105,2021-11-23 09:41:00-05:00
193.855,194.01,193.84,194.01,2412,2021-11-23 09:42:00-05:00
194.02,194.02,193.51,193.51,1752,2021-11-23 09:43:00-05:00
193.615,194.05,193.533,193.9992,1723,2021-11-23 09:44:00-05:00
194.01,194.08,194.01,194.08,900,2021-11-23 09:45:00-05:00
193.92,193.92,193.77,193.875,19364,2021-11-23 09:46:00-05:00
193.875,193.96,193.67,193.78,8972,2021-11-23 09:47:00-05:00
193.845,194.06,193.799,194.06,3157,2021-11-23 09:48:00-05:00
194.23,194.48,194.23,194.4,3051,2021-11-23 09:49:00-05:00
194.43,194.79,194.41,194.6,4643,2021-11-23 09:50:00-05:00
194.49,194.5425,194.28,194.29,1908,2021-11-23 09:51:00-05:00
194.39,194.48,194.27,194.45,3218,2021-11-23 09:52:00-05:00
194.45,194.52,194.44,194.52,500,2021-11-23 09:53:00-05:00
194.415,194.59,194.3706,194.46,1213,2021-11-23 09:54:00-05:00
194.52,194.645,194.25,194.28,3510,2021-11-23 09:55:00-05:00
194.32,194.4,194.31,194.31,500,2021-11-23 09:56:00-05:00
194.43,194.43,194.12,194.12,2531,2021-11-23 09:57:00-05:00
194.12,194.24,194.1,194.24,1625,2021-11-23 09:58:00-05:00
194.18,194.18,193.96,194.025,4446,2021-11-23 09:59:00-05:00
194.03,194.33,194.03,194.145,2925,2021-11-23 10:00:00-05:00
193.97,194.045,193.96,194.045,400,2021-11-23 10:01:00-05:00
193.97,193.98,193.79,193.855,10763,2021-11-23 10:02:00-05:00
193.92,193.92,193.79,193.875,3782,2021-11-23 10:03:00-05:00
193.93,193.94,193.6,193.91,8648,2021-11-23 10:04:00-05:00
193.9,193.99,193.78,193.99,4500,2021-11-23 10:05:00-05:00
194.07,194.135,193.805,193.805,1531,2021-11-23 10:06:00-05:00
193.765,193.77,193.4,193.41,4388,2021-11-23 10:07:00-05:00
193.545,193.57,193.24,193.305,8089,2021-11-23 10:08:00-05:00
193.37,193.62,193.36,193.6,2033,2021-11-23 10:09:00-05:00
193.71,193.72,193.58,193.58,1705,2021-11-23 10:10:00-05:00
193.62,193.77,193.61,193.77,1513,2021-11-23 10:11:00-05:00
193.79,194.07,193.79,194.05,1011,2021-11-23 10:12:00-05:00
194.06,194.11,194.0,194.105,700,2021-11-23 10:13:00-05:00
194.06,194.06,193.78,193.78,4629,2021-11-23 10:14:00-05:00
193.812,193.85,193.7,193.85,2391,2021-11-23 10:15:00-05:00
193.81,193.99,193.81,193.99,1010,2021-11-23 10:16:00-05:00
194.0,194.0,193.71,193.83,1993,2021-11-23 10:17:00-05:00
193.9,194.0,193.9,193.995,1342,2021-11-23 10:18:00-05:00
193.91,193.91,193.73,193.73,2500,2021-11-23 10:21:00-05:00
193.74,193.8199,193.6,193.6,1250,2021-11-23 10:23:00-05:00
193.58,193.63,193.51,193.56,3630,2021-11-23 10:24:00-05:00
193.52,193.52,193.52,193.52,200,2021-11-23 10:25:00-05:00
193.54,193.565,193.29,193.29,4142,2021-11-23 10:26:00-05:00
193.38,193.615,193.38,193.615,1506,2021-11-23 10:27:00-05:00
193.5,193.51,193.32,193.33,1870,2021-11-23 10:28:00-05:00
193.36,193.59,193.3403,193.59,3050,2021-11-23 10:29:00-05:00
193.675,193.71,193.51,193.6849,5197,2021-11-23 10:30:00-05:00
193.62,193.8405,193.62,193.84,1400,2021-11-23 10:31:00-05:00
193.92,193.92,193.8114,193.82,1499,2021-11-23 10:33:00-05:00
193.92,193.92,193.75,193.75,2440,2021-11-23 10:34:00-05:00
