open,high,low,close,volume,datetime
311.34,311.34,311.34,311.34,183,2024-03-28 08:12:00-04:00
311.1,311.1,311.1,311.1,100,2024-03-28 08:20:00-04:00
311.12,311.12,311.12,311.12,100,2024-03-28 08:43:00-04:00
312.16,312.16,311.795,312.0,14998,2024-03-28 09:30:00-04:00
311.575,311.575,310.55,310.58,22100,2024-03-28 09:31:00-04:00
310.85,311.615,310.85,311.33,1350,2024-03-28 09:32:00-04:00
311.42,311.815,310.19,311.06,3205,2024-03-28 09:33:00-04:00
310.5,310.51,309.39,310.15,5358,2024-03-28 09:34:00-04:00
309.95,310.64,309.92,310.07,4655,2024-03-28 09:35:00-04:00
309.71,310.045,309.63,310.045,300,2024-03-28 09:36:00-04:00
310.0,311.16,310.0,310.74,9572,2024-03-28 09:37:00-04:00
310.62,310.77,310.28,310.42,2257,2024-03-28 09:38:00-04:00
310.21,310.76,310.135,310.76,3065,2024-03-28 09:39:00-04:00
310.5,311.09,310.02,310.28,7660,2024-03-28 09:40:00-04:00
310.49,311.15,310.49,311.15,1020,2024-03-28 09:41:00-04:00
311.13,311.9,310.93,310.93,4155,2024-03-28 09:42:00-04:00
310.96,312.06,310.96,312.06,4319,2024-03-28 09:43:00-04:00
311.885,312.05,311.885,312.015,400,2024-03-28 09:45:00-04:00
312.01,312.05,311.71,311.875,1100,2024-03-28 09:46:00-04:00
311.61,311.635,311.61,311.635,220,2024-03-28 09:47:00-04:00
311.78,311.78,311.62,311.62,384,2024-03-28 09:48:00-04:00
311.83,311.83,311.37,311.37,579,2024-03-28 09:49:00-04:00
311.68,312.22,311.43,312.055,8517,2024-03-28 09:50:00-04:00
312.055,312.3,311.86,312.3,3790,2024-03-28 09:51:00-04:00
312.33,312.33,312.33,312.33,300,2024-03-28 09:53:00-04:00
312.55,312.845,312.55,312.81,2990,2024-03-28 09:54:00-04:00
312.66,312.74,312.42,312.74,4264,2024-03-28 09:55:00-04:00
312.8,312.825,312.58,312.58,600,2024-03-28 09:56:00-04:00
312.65,312.65,312.46,312.46,260,2024-03-28 09:59:00-04:00
312.39,312.985,312.385,312.9,3750,2024-03-28 10:00:00-04:00
312.895,313.01,312.83,312.83,453,2024-03-28 10:01:00-04:00
312.45,312.45,312.28,312.28,200,2024-03-28 10:02:00-04:00
312.285,312.285,312.285,312.285,100,2024-03-28 10:03:00-04:00
312.46,312.48,312.21,312.21,2662,2024-03-28 10:04:00-04:00
312.38,312.38,311.9,311.915,1504,2024-03-28 10:05:00-04:00
311.61,311.7,311.4801,311.55,731,2024-03-28 10:06:00-04:00
311.47,311.5,311.47,311.5,600,2024-03-28 10:07:00-04:00
311.28,311.42,311.0,311.0,2263,2024-03-28 10:08:00-04:00
310.91,311.3,310.87,310.87,1055,2024-03-28 10:09:00-04:00
311.0,311.17,310.53,310.7,4556,2024-03-28 10:10:00-04:00
310.67,310.86,310.4,310.6,2500,2024-03-28 10:11:00-04:00
310.8,311.0,310.52,310.52,716,2024-03-28 10:12:00-04:00
310.6,310.6,310.4,310.41,800,2024-03-28 10:13:00-04:00
310.425,310.6,310.425,310.6,1679,2024-03-28 10:14:00-04:00
310.6,311.06,310.535,311.06,1089,2024-03-28 10:15:00-04:00
310.855,310.855,310.365,310.37,1804,2024-03-28 10:16:00-04:00
310.17,310.46,310.17,310.46,2445,2024-03-28 10:17:00-04:00
310.175,310.495,310.1601,310.495,976,2024-03-28 10:19:00-04:00
310.515,310.515,309.99,310.01,1099,2024-03-28 10:21:00-04:00
310.045,310.045,309.84,309.84,300,2024-03-28 10:22:00-04:00
309.755,309.88,309.47,309.47,1100,2024-03-28 10:23:00-04:00
309.755,309.89,309.755,309.89,2163,2024-03-28 10:24:00-04:00
310.02,310.32,310.02,310.32,585,2024-03-28 10:25:00-04:00
310.22,310.22,309.89,310.035,757,2024-03-28 10:26:00-04:00
309.792,309.91,309.792,309.91,300,2024-03-28 10:27:00-04:00
309.798,309.98,309.78,309.875,500,2024-03-28 10:28:00-04:00
309.98,310.03,309.84,309.895,2502,2024-03-28 10:29:00-04:00
309.88,309.93,309.82,309.82,472,2024-03-28 10:30:00-04:00
309.815,309.93,309.7,309.7,506,2024-03-28 10:31:00-04:00
309.845,309.845,309.845,309.845,150,2024-03-28 10:33:00-04:00
309.8963,310.11,309.86,310.02,1341,2024-03-28 10:34:00-04:00
310.5,310.51,310.45,310.45,300,2024-03-28 10:35:00-04:00
310.73,310.73,310.54,310.54,200,2024-03-28 10:36:00-04:00
310.77,310.88,310.77,310.77,560,2024-03-28 10:37:00-04:00
310.82,310.89,310.5,310.56,3543,2024-03-28 10:38:00-04:00
310.625,311.01,310.625,310.72,2299,2024-03-28 10:39:00-04:00
310.7001,310.8,310.5,310.54,1300,2024-03-28 10:40:00-04:00
310.53,310.59,310.53,310.585,300,2024-03-28 10:41:00-04:00
310.59,310.93,310.59,310.93,1400,2024-03-28 10:42:00-04:00
311.03,311.03,311.03,311.03,100,2024-03-28 10:43:00-04:00
310.77,310.78,310.77,310.78,643,2024-03-28 10:45:00-04:00
310.855,310.855,310.52,310.665,400,2024-03-28 10:46:00-04:00
310.55,310.675,310.55,310.56,500,2024-03-28 10:47:00-04:00
310.525,310.73,310.41,310.52,1000,2024-03-28 10:49:00-04:00
310.67,310.67,310.67,310.67,100,2024-03-28 10:50:00-04:00
310.8,310.8,310.65,310.65,400,2024-03-28 10:51:00-04:00
310.625,310.625,310.625,310.625,100,2024-03-28 10:52:00-04:00
310.68,310.82,310.68,310.775,900,2024-03-28 10:54:00-04:00
310.6501,310.94,310.6501,310.91,760,2024-03-28 10:55:00-04:00
310.96,310.96,310.96,310.96,100,2024-03-28 10:56:00-04:00
310.93,310.93,310.64,310.64,700,2024-03-28 10:57:00-04:00
310.52,310.59,310.52,310.59,800,2024-03-28 10:58:00-04:00
310.76,310.86,310.76,310.76,1000,2024-03-28 10:59:00-04:00
310.865,310.905,310.865,310.9,600,2024-03-28 11:00:00-04:00
310.82,310.89,310.76,310.89,818,2024-03-28 11:01:00-04:00
310.89,310.89,310.77,310.77,300,2024-03-28 11:02:00-04:00
310.89,311.17,310.89,311.155,1766,2024-03-28 11:03:00-04:00
311.46,311.48,311.24,311.31,1050,2024-03-28 11:04:00-04:00
311.58,311.71,311.45,311.71,770,2024-03-28 11:06:00-04:00
311.42,311.5,311.34,311.34,1765,2024-03-28 11:07:00-04:00
311.45,311.45,311.44,311.44,813,2024-03-28 11:08:00-04:00
311.47,311.54,311.19,311.19,1880,2024-03-28 11:09:00-04:00
311.12,311.12,310.83,310.885,1300,2024-03-28 11:10:00-04:00
310.91,311.16,310.85,310.87,2950,2024-03-28 11:11:00-04:00
310.81,311.02,310.81,311.01,1267,2024-03-28 11:13:00-04:00
311.18,311.18,311.025,311.13,700,2024-03-28 11:14:00-04:00
311.27,311.42,311.2,311.42,500,2024-03-28 11:15:00-04:00
311.505,311.57,311.505,311.57,314,2024-03-28 11:16:00-04:00
311.54,311.55,311.37,311.46,1700,2024-03-28 11:17:00-04:00
311.53,311.68,311.53,311.535,770,2024-03-28 11:18:00-04:00
311.52,311.52,311.28,311.28,1100,2024-03-28 11:19:00-04:00
311.205,311.61,311.205,311.4,5414,2024-03-28 11:20:00-04:00
311.51,311.51,311.34,311.41,500,2024-03-28 11:21:00-04:00
311.575,311.575,311.575,311.575,100,2024-03-28 11:22:00-04:00
311.47,311.47,311.47,311.47,404,2024-03-28 11:23:00-04:00
311.59,311.59,311.59,311.59,400,2024-03-28 11:24:00-04:00
311.85,311.85,311.72,311.72,700,2024-03-28 11:25:00-04:00
311.82,311.82,311.74,311.818,300,2024-03-28 11:26:00-04:00
311.83,312.0,311.75,311.75,1284,2024-03-28 11:27:00-04:00
311.71,312.005,311.65,311.85,900,2024-03-28 11:28:00-04:00
312.085,312.085,312.02,312.02,200,2024-03-28 11:29:00-04:00
312.16,312.26,312.16,312.26,1258,2024-03-28 11:30:00-04:00
312.369,312.369,312.369,312.369,284,2024-03-28 11:31:00-04:00
312.28,312.315,312.275,312.275,309,2024-03-28 11:32:00-04:00
312.19,312.26,312.15,312.23,1200,2024-03-28 11:33:00-04:00
312.175,312.175,312.07,312.07,302,2024-03-28 11:34:00-04:00
311.98,312.17,311.97,312.17,1006,2024-03-28 11:35:00-04:00
312.04,312.07,312.04,312.07,400,2024-03-28 11:36:00-04:00
312.1216,312.18,312.08,312.08,667,2024-03-28 11:37:00-04:00
311.91,311.91,311.91,311.91,200,2024-03-28 11:38:00-04:00
311.97,312.06,311.97,312.03,1766,2024-03-28 11:39:00-04:00
312.0579,312.0579,312.0579,312.0579,400,2024-03-28 11:40:00-04:00
312.13,312.13,312.13,312.13,100,2024-03-28 11:41:00-04:00
312.25,312.25,312.25,312.25,100,2024-03-28 11:43:00-04:00
312.1417,312.1417,311.84,311.84,1000,2024-03-28 11:44:00-04:00
311.92,311.92,311.92,311.92,162,2024-03-28 11:45:00-04:00
312.07,312.14,312.055,312.14,712,2024-03-28 11:46:00-04:00
312.02,312.12,312.02,312.12,200,2024-03-28 11:47:00-04:00
312.33,312.39,312.29,312.29,400,2024-03-28 11:50:00-04:00
312.3675,312.37,312.3675,312.37,800,2024-03-28 11:51:00-04:00
312.36,312.36,312.36,312.36,100,2024-03-28 11:52:00-04:00
312.51,312.51,312.28,312.355,1800,2024-03-28 11:53:00-04:00
312.34,312.36,312.34,312.34,1100,2024-03-28 11:54:00-04:00
312.22,312.22,312.05,312.05,540,2024-03-28 11:55:00-04:00
312.01,312.01,312.01,312.01,100,2024-03-28 11:57:00-04:00
311.9,311.9,311.76,311.89,900,2024-03-28 11:58:00-04:00
311.78,311.88,311.67,311.67,2500,2024-03-28 11:59:00-04:00
311.73,311.75,311.63,311.7,1010,2024-03-28 12:00:00-04:00
311.82,311.84,311.55,311.55,3555,2024-03-28 12:01:00-04:00
311.56,311.61,311.49,311.49,500,2024-03-28 12:02:00-04:00
311.49,311.57,311.49,311.57,609,2024-03-28 12:04:00-04:00
311.4591,311.4591,311.4591,311.4591,168,2024-03-28 12:05:00-04:00
311.39,311.39,311.2,311.2,613,2024-03-28 12:06:00-04:00
311.1332,311.1332,311.1332,311.1332,122,2024-03-28 12:07:00-04:00
311.26,311.35,311.26,311.35,600,2024-03-28 12:08:00-04:00
311.42,311.48,311.41,311.48,300,2024-03-28 12:09:00-04:00
311.445,311.445,311.445,311.445,150,2024-03-28 12:10:00-04:00
311.43,311.43,311.43,311.43,100,2024-03-28 12:11:00-04:00
311.27,311.27,311.27,311.27,300,2024-03-28 12:12:00-04:00
311.38,311.44,311.37,311.43,800,2024-03-28 12:15:00-04:00
311.37,311.37,311.37,311.37,123,2024-03-28 12:16:00-04:00
311.39,311.39,311.31,311.31,200,2024-03-28 12:17:00-04:00
311.15,311.15,311.0885,311.0885,456,2024-03-28 12:18:00-04:00
311.1,311.1,311.1,311.1,100,2024-03-28 12:19:00-04:00
311.2,311.33,311.2,311.33,700,2024-03-28 12:20:00-04:00
311.345,311.345,311.17,311.17,206,2024-03-28 12:21:00-04:00
311.17,311.17,311.1,311.1,500,2024-03-28 12:22:00-04:00
311.18,311.185,311.18,311.185,200,2024-03-28 12:23:00-04:00
311.23,311.23,311.23,311.23,100,2024-03-28 12:24:00-04:00
311.09,311.17,311.09,311.13,1086,2024-03-28 12:25:00-04:00
311.21,311.63,311.21,311.55,1316,2024-03-28 12:26:00-04:00
311.725,311.75,311.44,311.6,2050,2024-03-28 12:27:00-04:00
311.72,311.74,311.6091,311.6091,1506,2024-03-28 12:28:00-04:00
311.83,311.83,311.7,311.73,1000,2024-03-28 12:29:00-04:00
311.59,311.59,311.28,311.29,700,2024-03-28 12:30:00-04:00
311.24,311.24,311.01,311.1481,589,2024-03-28 12:33:00-04:00
311.145,311.145,311.145,311.145,100,2024-03-28 12:35:00-04:00
311.14,311.24,311.14,311.23,700,2024-03-28 12:37:00-04:00
311.21,311.21,311.06,311.06,500,2024-03-28 12:38:00-04:00
310.94,310.94,310.94,310.94,100,2024-03-28 12:39:00-04:00
311.05,311.23,311.05,311.23,200,2024-03-28 12:41:00-04:00
310.98,310.98,310.93,310.93,200,2024-03-28 12:43:00-04:00
