open,high,low,close,volume,datetime
170.0,170.48,170.0,170.45,5050,2024-03-28 09:30:00-04:00
169.965,170.93,169.965,170.93,1312,2024-03-28 09:35:00-04:00
171.38,171.38,171.23,171.23,206,2024-03-28 09:36:00-04:00
171.18,171.305,171.04,171.16,1300,2024-03-28 09:37:00-04:00
170.485,170.485,170.485,170.485,100,2024-03-28 09:40:00-04:00
170.51,170.51,170.51,170.51,100,2024-03-28 09:41:00-04:00
170.29,170.335,170.25,170.25,838,2024-03-28 09:43:00-04:00
170.52,170.52,170.52,170.52,100,2024-03-28 09:45:00-04:00
170.26,170.4,170.26,170.3707,513,2024-03-28 09:47:00-04:00
170.14,170.14,170.14,170.14,400,2024-03-28 09:48:00-04:00
170.12,170.12,170.12,170.12,100,2024-03-28 09:51:00-04:00
170.115,170.115,169.92,169.92,350,2024-03-28 09:53:00-04:00
169.71,169.71,169.71,169.71,100,2024-03-28 09:55:00-04:00
169.95,169.95,169.95,169.95,100,2024-03-28 09:56:00-04:00
169.92,169.92,169.92,169.92,100,2024-03-28 09:57:00-04:00
169.945,169.945,169.945,169.945,244,2024-03-28 09:58:00-04:00
169.92,170.1,169.92,170.1,200,2024-03-28 09:59:00-04:00
170.255,170.31,170.24,170.31,300,2024-03-28 10:01:00-04:00
170.17,170.31,170.17,170.31,900,2024-03-28 10:02:00-04:00
170.13,170.21,170.13,170.2,463,2024-03-28 10:05:00-04:00
170.21,170.21,170.21,170.21,100,2024-03-28 10:06:00-04:00
170.37,170.37,170.37,170.37,200,2024-03-28 10:08:00-04:00
170.51,170.66,170.46,170.58,813,2024-03-28 10:11:00-04:00
170.605,170.605,170.43,170.43,523,2024-03-28 10:12:00-04:00
170.38,170.38,170.23,170.23,200,2024-03-28 10:14:00-04:00
170.52,170.52,170.52,170.52,150,2024-03-28 10:15:00-04:00
170.28,170.28,170.25,170.25,238,2024-03-28 10:17:00-04:00
170.02,170.055,170.02,170.055,212,2024-03-28 10:19:00-04:00
170.17,170.17,170.17,170.17,100,2024-03-28 10:21:00-04:00
170.24,170.24,170.24,170.24,100,2024-03-28 10:22:00-04:00
170.35,170.4,170.35,170.4,200,2024-03-28 10:27:00-04:00
170.39,170.39,170.39,170.39,100,2024-03-28 10:28:00-04:00
170.28,170.28,170.28,170.28,100,2024-03-28 10:29:00-04:00
170.44,170.44,170.44,170.44,204,2024-03-28 10:31:00-04:00
170.385,170.385,170.385,170.385,100,2024-03-28 10:32:00-04:00
170.29,170.29,170.29,170.29,100,2024-03-28 10:33:00-04:00
