open,high,low,close,volume,datetime
35.76,35.77,35.76,35.77,571,2024-03-28 07:59:00-04:00
35.82,35.82,35.82,35.82,342,2024-03-28 08:12:00-04:00
35.96,35.96,35.96,35.96,150,2024-03-28 08:40:00-04:00
35.9,36.12,35.9,36.04,57967,2024-03-28 09:30:00-04:00
36.15,36.18,36.05,36.05,12214,2024-03-28 09:31:00-04:00
36.07,36.14,36.07,36.08,4350,2024-03-28 09:32:00-04:00
36.1,36.16,36.1,36.12,2839,2024-03-28 09:33:00-04:00
36.12,36.17,36.12,36.13,3143,2024-03-28 09:34:00-04:00
36.13,36.16,36.1,36.1,2943,2024-03-28 09:35:00-04:00
36.14,36.14,36.03,36.105,23269,2024-03-28 09:36:00-04:00
36.13,36.14,36.05,36.05,4014,2024-03-28 09:37:00-04:00
36.06,36.08,36.04,36.04,1573,2024-03-28 09:38:00-04:00
36.09,36.11,36.08,36.1,2636,2024-03-28 09:39:00-04:00
36.1,36.1,36.0057,36.0057,2887,2024-03-28 09:40:00-04:00
36.005,36.01,35.99,35.99,3093,2024-03-28 09:41:00-04:00
36.01,36.0264,35.99,36.0264,2233,2024-03-28 09:42:00-04:00
36.03,36.06,36.01,36.06,700,2024-03-28 09:43:00-04:00
36.055,36.0608,36.02,36.02,1189,2024-03-28 09:44:00-04:00
36.03,36.04,36.0,36.03,3559,2024-03-28 09:45:00-04:00
36.025,36.025,35.92,35.93,1100,2024-03-28 09:46:00-04:00
35.94,35.985,35.94,35.985,1893,2024-03-28 09:47:00-04:00
35.97,35.97,35.88,35.88,4456,2024-03-28 09:48:00-04:00
35.89,35.895,35.81,35.81,4225,2024-03-28 09:49:00-04:00
35.79,35.82,35.785,35.785,3543,2024-03-28 09:50:00-04:00
35.78,35.8,35.75,35.75,4063,2024-03-28 09:51:00-04:00
35.75,35.795,35.75,35.78,1622,2024-03-28 09:52:00-04:00
35.78,35.81,35.775,35.775,4916,2024-03-28 09:53:00-04:00
35.785,35.785,35.73,35.73,1902,2024-03-28 09:54:00-04:00
35.725,35.725,35.685,35.72,4380,2024-03-28 09:55:00-04:00
35.73,35.74,35.7,35.72,5195,2024-03-28 09:56:00-04:00
35.72,35.72,35.695,35.72,3913,2024-03-28 09:57:00-04:00
35.72,35.77,35.72,35.74,2335,2024-03-28 09:58:00-04:00
35.75,35.77,35.73,35.76,2228,2024-03-28 09:59:00-04:00
35.76,35.78,35.71,35.72,3497,2024-03-28 10:00:00-04:00
35.74,35.785,35.74,35.78,3610,2024-03-28 10:01:00-04:00
35.78,35.81,35.765,35.81,8870,2024-03-28 10:02:00-04:00
35.8,35.8,35.76,35.79,7335,2024-03-28 10:03:00-04:00
35.78,35.78,35.745,35.765,3739,2024-03-28 10:04:00-04:00
35.78,35.84,35.78,35.84,5648,2024-03-28 10:05:00-04:00
