open,high,low,close,volume,datetime
104.21,104.21,104.21,104.21,165,2024-03-28 08:12:00-04:00
104.65,104.7,104.18,104.18,7012,2024-03-28 09:30:00-04:00
104.45,104.46,104.29,104.46,1700,2024-03-28 09:31:00-04:00
104.22,104.22,104.22,104.22,100,2024-03-28 09:32:00-04:00
104.625,104.625,104.34,104.5,1327,2024-03-28 09:33:00-04:00
104.43,104.51,104.32,104.32,3958,2024-03-28 09:34:00-04:00
104.415,104.415,104.22,104.22,1200,2024-03-28 09:35:00-04:00
104.26,104.29,104.16,104.16,1825,2024-03-28 09:36:00-04:00
104.225,104.29,104.225,104.26,1900,2024-03-28 09:37:00-04:00
104.26,104.26,104.15,104.15,900,2024-03-28 09:38:00-04:00
104.235,104.235,104.15,104.235,1300,2024-03-28 09:39:00-04:00
104.18,104.245,104.17,104.22,1200,2024-03-28 09:40:00-04:00
104.15,104.18,104.15,104.17,300,2024-03-28 09:41:00-04:00
104.15,104.22,104.15,104.22,600,2024-03-28 09:42:00-04:00
104.09,104.215,104.09,104.2125,500,2024-03-28 09:43:00-04:00
104.14,104.225,104.12,104.12,676,2024-03-28 09:44:00-04:00
104.12,104.12,104.12,104.12,100,2024-03-28 09:45:00-04:00
104.2,104.26,104.2,104.205,800,2024-03-28 09:46:00-04:00
104.14,104.3,104.14,104.18,3678,2024-03-28 09:47:00-04:00
104.19,104.19,104.09,104.09,2344,2024-03-28 09:48:00-04:00
104.1,104.1,104.1,104.1,100,2024-03-28 09:49:00-04:00
104.1,104.1,104.1,104.1,200,2024-03-28 09:50:00-04:00
104.04,104.04,104.04,104.04,100,2024-03-28 09:51:00-04:00
104.04,104.04,104.01,104.01,200,2024-03-28 09:52:00-04:00
103.955,103.965,103.955,103.965,300,2024-03-28 09:53:00-04:00
103.92,103.9625,103.91,103.95,700,2024-03-28 09:54:00-04:00
103.89,104.065,103.89,104.065,13515,2024-03-28 09:55:00-04:00
104.065,104.065,104.02,104.02,300,2024-03-28 09:56:00-04:00
104.065,104.17,104.065,104.17,4086,2024-03-28 09:57:00-04:00
104.18,104.18,104.18,104.18,109,2024-03-28 09:58:00-04:00
104.12,104.12,104.12,104.12,600,2024-03-28 09:59:00-04:00
104.105,104.105,104.105,104.105,200,2024-03-28 10:00:00-04:00
104.13,104.155,104.12,104.12,419,2024-03-28 10:01:00-04:00
104.16,104.19,104.16,104.16,825,2024-03-28 10:02:00-04:00
104.14,104.16,104.09,104.09,3070,2024-03-28 10:03:00-04:00
104.06,104.08,104.035,104.045,3028,2024-03-28 10:04:00-04:00
104.065,104.065,104.0,104.0,400,2024-03-28 10:05:00-04:00
104.01,104.11,104.01,104.09,3192,2024-03-28 10:06:00-04:00
104.14,104.22,104.105,104.18,2122,2024-03-28 10:07:00-04:00
104.18,104.19,104.17,104.19,567,2024-03-28 10:09:00-04:00
104.13,104.23,104.13,104.195,1700,2024-03-28 10:10:00-04:00
104.23,104.35,104.215,104.3,800,2024-03-28 10:11:00-04:00
104.33,104.33,104.33,104.33,412,2024-03-28 10:12:00-04:00
104.36,104.36,104.33,104.36,1206,2024-03-28 10:13:00-04:00
104.32,104.32,104.26,104.26,931,2024-03-28 10:14:00-04:00
104.245,104.26,104.21,104.245,2245,2024-03-28 10:15:00-04:00
104.26,104.33,104.25,104.33,3322,2024-03-28 10:16:00-04:00
104.3142,104.4,104.3142,104.335,3160,2024-03-28 10:17:00-04:00
104.36,104.42,104.335,104.4,7700,2024-03-28 10:18:00-04:00
104.36,104.36,104.33,104.33,1250,2024-03-28 10:19:00-04:00
104.32,104.445,104.32,104.445,9644,2024-03-28 10:20:00-04:00
104.46,104.47,104.39,104.39,3382,2024-03-28 10:21:00-04:00
104.395,104.47,104.395,104.435,2591,2024-03-28 10:22:00-04:00
104.45,104.45,104.41,104.41,392,2024-03-28 10:23:00-04:00
104.4,104.4,104.36,104.36,698,2024-03-28 10:24:00-04:00
104.33,104.33,104.3,104.305,2200,2024-03-28 10:25:00-04:00
104.3,104.32,104.29,104.31,4632,2024-03-28 10:26:00-04:00
104.32,104.36,104.31,104.33,2568,2024-03-28 10:27:00-04:00
104.37,104.37,104.355,104.36,2100,2024-03-28 10:28:00-04:00
104.36,104.36,104.35,104.35,644,2024-03-28 10:29:00-04:00
104.3,104.33,104.3,104.33,1300,2024-03-28 10:30:00-04:00
104.345,104.36,104.31,104.33,1810,2024-03-28 10:31:00-04:00
104.34,104.35,104.32,104.32,1818,2024-03-28 10:32:00-04:00
104.33,104.34,104.29,104.3,3453,2024-03-28 10:33:00-04:00
104.3,104.38,104.3,104.32,3785,2024-03-28 10:34:00-04:00
104.32,104.36,104.32,104.325,3268,2024-03-28 10:35:00-04:00
104.31,104.31,104.27,104.275,2047,2024-03-28 10:36:00-04:00
104.26,104.29,104.245,104.26,2900,2024-03-28 10:37:00-04:00
104.28,104.3,104.28,104.295,1342,2024-03-28 10:38:00-04:00
104.28,104.31,104.28,104.305,2232,2024-03-28 10:39:00-04:00
104.31,104.36,104.31,104.355,3217,2024-03-28 10:40:00-04:00
104.36,104.43,104.35,104.4,2523,2024-03-28 10:41:00-04:00
104.38,104.38,104.38,104.38,100,2024-03-28 10:42:00-04:00
104.39,104.39,104.33,104.33,2462,2024-03-28 10:43:00-04:00
104.36,104.36,104.34,104.34,838,2024-03-28 10:44:00-04:00
104.32,104.42,104.32,104.42,2213,2024-03-28 10:45:00-04:00
104.435,104.435,104.435,104.435,300,2024-03-28 10:46:00-04:00
104.435,104.435,104.415,104.415,635,2024-03-28 10:47:00-04:00
104.425,104.45,104.4,104.415,1529,2024-03-28 10:48:00-04:00
104.415,104.47,104.405,104.45,2100,2024-03-28 10:49:00-04:00
104.46,104.51,104.46,104.5,982,2024-03-28 10:50:00-04:00
104.5,104.54,104.48,104.53,2300,2024-03-28 10:51:00-04:00
104.53,104.53,104.53,104.53,172,2024-03-28 10:52:00-04:00
104.54,104.62,104.54,104.6,3433,2024-03-28 10:53:00-04:00
104.59,104.605,104.59,104.605,1300,2024-03-28 10:54:00-04:00
104.59,104.59,104.53,104.54,3399,2024-03-28 10:55:00-04:00
104.569,104.5699,104.535,104.54,1825,2024-03-28 10:56:00-04:00
104.55,104.57,104.53,104.535,1561,2024-03-28 10:57:00-04:00
104.5,104.505,104.47,104.47,800,2024-03-28 10:58:00-04:00
104.48,104.48,104.48,104.48,100,2024-03-28 10:59:00-04:00
104.41,104.42,104.41,104.42,200,2024-03-28 11:00:00-04:00
104.42,104.44,104.42,104.43,700,2024-03-28 11:01:00-04:00
104.38,104.38,104.35,104.35,300,2024-03-28 11:02:00-04:00
104.315,104.315,104.28,104.28,300,2024-03-28 11:03:00-04:00
104.28,104.3,104.25,104.26,1563,2024-03-28 11:04:00-04:00
104.255,104.255,104.255,104.255,100,2024-03-28 11:05:00-04:00
104.23,104.23,104.19,104.215,4341,2024-03-28 11:06:00-04:00
104.23,104.23,104.2,104.2,1989,2024-03-28 11:07:00-04:00
104.18,104.18,104.14,104.14,200,2024-03-28 11:08:00-04:00
104.18,104.18,104.18,104.18,244,2024-03-28 11:09:00-04:00
104.2,104.2,104.18,104.2,1262,2024-03-28 11:10:00-04:00
104.18,104.19,104.13,104.13,1025,2024-03-28 11:11:00-04:00
104.15,104.15,104.13,104.135,1524,2024-03-28 11:12:00-04:00
104.1,104.12,104.1,104.11,1618,2024-03-28 11:13:00-04:00
104.115,104.18,104.115,104.17,3477,2024-03-28 11:14:00-04:00
104.16,104.16,104.14,104.14,1300,2024-03-28 11:15:00-04:00
104.17,104.215,104.14,104.2,2010,2024-03-28 11:16:00-04:00
104.26,104.275,104.2,104.2,2329,2024-03-28 11:17:00-04:00
104.19,104.19,104.19,104.19,100,2024-03-28 11:18:00-04:00
104.18,104.21,104.18,104.21,551,2024-03-28 11:20:00-04:00
104.21,104.21,104.17,104.17,480,2024-03-28 11:21:00-04:00
104.195,104.195,104.16,104.17,935,2024-03-28 11:22:00-04:00
104.175,104.175,104.175,104.175,440,2024-03-28 11:23:00-04:00
104.16,104.16,104.06,104.06,800,2024-03-28 11:24:00-04:00
104.075,104.1,104.075,104.08,1502,2024-03-28 11:25:00-04:00
104.07,104.085,104.065,104.075,1002,2024-03-28 11:26:00-04:00
104.09,104.11,104.08,104.11,502,2024-03-28 11:27:00-04:00
104.11,104.13,104.1001,104.1001,1024,2024-03-28 11:28:00-04:00
104.12,104.16,104.12,104.16,878,2024-03-28 11:29:00-04:00
104.145,104.145,104.11,104.11,676,2024-03-28 11:30:00-04:00
104.115,104.12,104.11,104.115,756,2024-03-28 11:31:00-04:00
104.1,104.12,104.1,104.12,900,2024-03-28 11:32:00-04:00
104.1,104.12,104.1,104.12,300,2024-03-28 11:33:00-04:00
104.12,104.12,104.09,104.1,747,2024-03-28 11:34:00-04:00
104.11,104.12,104.095,104.115,1268,2024-03-28 11:35:00-04:00
104.11,104.13,104.11,104.13,1260,2024-03-28 11:36:00-04:00
104.1101,104.1101,104.1101,104.1101,139,2024-03-28 11:37:00-04:00
104.13,104.15,104.085,104.115,3135,2024-03-28 11:38:00-04:00
104.13,104.14,104.12,104.13,2822,2024-03-28 11:39:00-04:00
104.14,104.15,104.14,104.15,400,2024-03-28 11:40:00-04:00
104.16,104.165,104.08,104.08,851,2024-03-28 11:41:00-04:00
104.07,104.07,104.035,104.045,453,2024-03-28 11:42:00-04:00
104.025,104.025,104.0,104.005,300,2024-03-28 11:43:00-04:00
104.01,104.01,104.01,104.01,200,2024-03-28 11:44:00-04:00
104.03,104.03,104.01,104.015,550,2024-03-28 11:45:00-04:00
104.0212,104.0212,103.98,103.98,1002,2024-03-28 11:46:00-04:00
103.97,103.97,103.97,103.97,550,2024-03-28 11:47:00-04:00
103.96,103.98,103.96,103.96,587,2024-03-28 11:48:00-04:00
103.98,103.99,103.96,103.99,936,2024-03-28 11:49:00-04:00
103.99,104.015,103.99,104.015,500,2024-03-28 11:50:00-04:00
104.02,104.02,104.02,104.02,100,2024-03-28 11:51:00-04:00
104.05,104.05,104.03,104.03,350,2024-03-28 11:52:00-04:00
104.045,104.0547,104.01,104.01,768,2024-03-28 11:53:00-04:00
103.99,103.99,103.98,103.99,710,2024-03-28 11:54:00-04:00
103.99,104.0,103.99,103.99,301,2024-03-28 11:55:00-04:00
104.0,104.0,104.0,104.0,300,2024-03-28 11:56:00-04:00
104.0,104.01,103.97,103.97,638,2024-03-28 11:57:00-04:00
103.99,104.0164,103.99,104.0164,479,2024-03-28 11:58:00-04:00
