open,high,low,close,volume,datetime
668.19,668.19,666.895,668.0,7571,2021-11-23 09:30:00-05:00
667.415,669.85,667.415,669.658,1324,2021-11-23 09:31:00-05:00
670.47,671.75,670.47,670.805,500,2021-11-23 09:32:00-05:00
670.77,672.59,670.77,672.39,1300,2021-11-23 09:33:00-05:00
672.39,672.39,672.29,672.29,600,2021-11-23 09:34:00-05:00
672.34,673.31,671.72,671.72,2708,2021-11-23 09:35:00-05:00
672.515,672.515,670.24,671.445,2451,2021-11-23 09:36:00-05:00
670.42,671.11,669.835,670.96,5025,2021-11-23 09:37:00-05:00
670.675,670.675,668.64,669.135,3700,2021-11-23 09:38:00-05:00
670.56,671.565,670.24,671.555,1993,2021-11-23 09:39:00-05:00
671.525,674.08,671.075,671.075,2225,2021-11-23 09:40:00-05:00
672.43,672.95,671.31,671.31,300,2021-11-23 09:41:00-05:00
672.37,672.37,671.885,671.885,600,2021-11-23 09:42:00-05:00
672.685,672.9,671.81,671.95,3578,2021-11-23 09:43:00-05:00
672.52,673.15,672.52,672.525,500,2021-11-23 09:44:00-05:00
672.63,673.675,672.63,673.47,5850,2021-11-23 09:45:00-05:00
673.485,674.03,672.89,673.42,3419,2021-11-23 09:46:00-05:00
673.485,674.12,673.485,673.62,962,2021-11-23 09:47:00-05:00
674.115,674.115,673.515,673.515,200,2021-11-23 09:48:00-05:00
674.94,675.0,673.76,674.825,1970,2021-11-23 09:49:00-05:00
674.48,674.84,674.32,674.84,700,2021-11-23 09:50:00-05:00
674.32,675.765,674.32,675.765,700,2021-11-23 09:51:00-05:00
675.61,675.61,674.305,674.9,1200,2021-11-23 09:52:00-05:00
675.47,675.86,675.105,675.105,1100,2021-11-23 09:53:00-05:00
675.0,675.0,674.06,674.435,1199,2021-11-23 09:54:00-05:00
674.915,674.915,674.475,674.475,300,2021-11-23 09:55:00-05:00
674.48,675.97,674.48,675.595,4406,2021-11-23 09:56:00-05:00
675.605,676.75,675.55,676.345,10650,2021-11-23 09:57:00-05:00
676.31,676.34,675.27,675.79,1200,2021-11-23 09:58:00-05:00
675.795,675.99,675.172,675.985,874,2021-11-23 09:59:00-05:00
676.08,677.11,675.94,676.32,1948,2021-11-23 10:00:00-05:00
676.695,676.835,676.56,676.83,900,2021-11-23 10:01:00-05:00
676.83,676.84,676.31,676.31,400,2021-11-23 10:02:00-05:00
676.82,676.89,676.32,676.735,1390,2021-11-23 10:03:00-05:00
676.73,677.14,676.73,676.92,2568,2021-11-23 10:04:00-05:00
676.905,676.905,676.12,676.12,1901,2021-11-23 10:05:00-05:00
676.07,676.235,675.88,676.0425,1382,2021-11-23 10:06:00-05:00
676.095,676.095,675.69,675.88,1400,2021-11-23 10:07:00-05:00
676.18,676.47,675.46,675.46,8559,2021-11-23 10:08:00-05:00
676.09,676.09,675.02,675.1,3310,2021-11-23 10:09:00-05:00
675.65,675.74,674.86,675.1,3200,2021-11-23 10:10:00-05:00
675.11,675.8,674.96,675.8,2002,2021-11-23 10:11:00-05:00
675.83,676.06,675.82,675.91,1114,2021-11-23 10:12:00-05:00
675.74,676.1775,675.55,676.0,3925,2021-11-23 10:13:00-05:00
676.365,676.365,675.9,675.9,200,2021-11-23 10:14:00-05:00
676.0,676.0,675.96,675.96,200,2021-11-23 10:15:00-05:00
676.59,677.19,676.36,676.415,5825,2021-11-23 10:16:00-05:00
676.39,676.39,674.89,674.89,1039,2021-11-23 10:17:00-05:00
675.32,675.44,675.21,675.375,1600,2021-11-23 10:18:00-05:00
675.73,676.19,675.54,676.19,1500,2021-11-23 10:19:00-05:00
676.57,676.635,676.29,676.29,1600,2021-11-23 10:20:00-05:00
676.43,676.43,676.19,676.25,600,2021-11-23 10:21:00-05:00
676.17,676.17,675.64,676.0,600,2021-11-23 10:22:00-05:00
676.305,676.305,676.305,676.305,100,2021-11-23 10:23:00-05:00
676.08,676.08,676.08,676.08,100,2021-11-23 10:24:00-05:00
675.83,675.84,675.54,675.605,900,2021-11-23 10:25:00-05:00
675.53,675.57,674.98,675.465,5273,2021-11-23 10:26:00-05:00
675.64,676.86,675.64,676.61,1475,2021-11-23 10:27:00-05:00
676.61,676.61,676.48,676.48,400,2021-11-23 10:28:00-05:00
676.545,676.545,676.545,676.545,100,2021-11-23 10:29:00-05:00
676.29,676.29,676.14,676.14,800,2021-11-23 10:30:00-05:00
676.27,676.62,676.21,676.21,700,2021-11-23 10:31:00-05:00
676.21,676.21,675.15,675.32,1600,2021-11-23 10:32:00-05:00
675.325,675.87,675.23,675.44,2625,2021-11-23 10:33:00-05:00
675.2259,675.2259,675.2,675.2,600,2021-11-23 10:34:00-05:00
675.42,675.45,675.3,675.3,877,2021-11-23 10:36:00-05:00
675.37,675.4,675.37,675.4,200,2021-11-23 10:38:00-05:00
675.4375,675.4375,675.41,675.41,400,2021-11-23 10:39:00-05:00
675.66,676.07,675.615,676.07,1600,2021-11-23 10:40:00-05:00
676.15,676.77,676.08,676.315,2500,2021-11-23 10:41:00-05:00
676.52,676.78,675.72,675.9,2725,2021-11-23 10:44:00-05:00
675.96,676.19,675.55,676.19,1969,2021-11-23 10:45:00-05:00
676.51,676.52,676.51,676.52,700,2021-11-23 10:46:00-05:00
676.52,676.52,674.97,675.0,2570,2021-11-23 10:47:00-05:00
675.12,675.53,674.7,674.75,7496,2021-11-23 10:48:00-05:00
675.255,675.53,674.49,675.35,4351,2021-11-23 10:49:00-05:00
675.16,675.16,674.25,674.535,2480,2021-11-23 10:50:00-05:00
674.07,675.12,674.04,674.955,2173,2021-11-23 10:51:00-05:00
674.78,674.81,674.05,674.36,2875,2021-11-23 10:52:00-05:00
674.05,675.57,674.05,674.47,3375,2021-11-23 10:53:00-05:00
674.41,674.9,674.32,674.9,300,2021-11-23 10:54:00-05:00
674.5,675.53,674.5,675.53,725,2021-11-23 10:55:00-05:00
675.92,676.72,675.92,676.38,1332,2021-11-23 10:56:00-05:00
677.08,677.34,677.01,677.2,628,2021-11-23 10:57:00-05:00
677.19,677.42,677.19,677.375,725,2021-11-23 10:58:00-05:00
677.36,677.55,676.96,677.3,2538,2021-11-23 10:59:00-05:00
677.25,677.25,677.25,677.25,100,2021-11-23 11:00:00-05:00
677.25,677.25,675.12,675.13,2787,2021-11-23 11:01:00-05:00
675.97,675.97,675.93,675.93,225,2021-11-23 11:02:00-05:00
675.94,676.56,675.72,676.06,5080,2021-11-23 11:03:00-05:00
676.06,676.1,675.16,675.47,4200,2021-11-23 11:04:00-05:00
675.12,675.57,675.11,675.57,1800,2021-11-23 11:05:00-05:00
675.06,675.06,674.95,674.95,236,2021-11-23 11:06:00-05:00
675.0,675.0,675.0,675.0,200,2021-11-23 11:07:00-05:00
675.425,675.425,674.305,675.16,6026,2021-11-23 11:08:00-05:00
675.19,675.19,674.55,675.03,600,2021-11-23 11:09:00-05:00
674.58,675.14,674.58,675.135,400,2021-11-23 11:10:00-05:00
675.095,675.42,674.3,674.715,2807,2021-11-23 11:11:00-05:00
674.36,674.73,673.77,673.77,1000,2021-11-23 11:12:00-05:00
673.75,673.75,672.44,672.97,2625,2021-11-23 11:13:00-05:00
673.04,673.365,672.93,672.93,900,2021-11-23 11:14:00-05:00
672.94,673.09,672.74,672.82,1682,2021-11-23 11:15:00-05:00
673.13,673.6,672.925,673.32,3180,2021-11-23 11:16:00-05:00
673.59,674.07,673.5,673.97,2000,2021-11-23 11:17:00-05:00
674.22,674.87,674.095,674.87,2038,2021-11-23 11:18:00-05:00
675.11,675.17,674.77,675.0,2225,2021-11-23 11:19:00-05:00
674.5,674.5,674.35,674.41,400,2021-11-23 11:20:00-05:00
674.43,675.18,674.2775,675.18,1520,2021-11-23 11:22:00-05:00
675.04,676.14,674.89,676.14,2114,2021-11-23 11:23:00-05:00
676.23,676.51,674.71,676.2,2600,2021-11-23 11:24:00-05:00
675.31,676.19,675.31,676.19,1145,2021-11-23 11:25:00-05:00
676.17,676.17,675.765,675.91,525,2021-11-23 11:26:00-05:00
676.39,676.5,675.16,675.16,3101,2021-11-23 11:27:00-05:00
