open,high,low,close,volume,datetime
123.29,123.29,123.29,123.29,105,2024-03-28 08:12:00-04:00
123.73,123.73,123.73,123.73,4524,2024-03-28 09:30:00-04:00
123.8225,123.8225,123.8225,123.8225,1000,2024-03-28 09:32:00-04:00
123.67,123.67,123.67,123.67,100,2024-03-28 09:33:00-04:00
123.7,123.735,123.7,123.735,277,2024-03-28 09:34:00-04:00
123.605,123.605,123.5875,123.5875,500,2024-03-28 09:35:00-04:00
123.76,123.83,123.735,123.735,500,2024-03-28 09:36:00-04:00
123.835,123.835,123.835,123.835,110,2024-03-28 09:37:00-04:00
123.755,123.755,123.755,123.755,100,2024-03-28 09:38:00-04:00
123.815,123.815,123.815,123.815,100,2024-03-28 09:39:00-04:00
123.815,123.815,123.815,123.815,100,2024-03-28 09:40:00-04:00
123.885,123.91,123.82,123.91,700,2024-03-28 09:44:00-04:00
123.82,123.91,123.7,123.7,980,2024-03-28 09:45:00-04:00
123.69,123.69,123.69,123.69,230,2024-03-28 09:47:00-04:00
123.59,123.59,123.54,123.54,200,2024-03-28 09:48:00-04:00
123.43,123.43,123.43,123.43,100,2024-03-28 09:50:00-04:00
123.36,123.36,123.36,123.36,100,2024-03-28 09:52:00-04:00
123.315,123.315,123.315,123.315,200,2024-03-28 09:54:00-04:00
123.38,123.61,123.38,123.61,1200,2024-03-28 09:55:00-04:00
123.745,123.78,123.745,123.78,200,2024-03-28 09:57:00-04:00
123.75,123.77,123.71,123.73,600,2024-03-28 09:58:00-04:00
123.72,123.72,123.72,123.72,100,2024-03-28 09:59:00-04:00
123.755,123.76,123.755,123.76,200,2024-03-28 10:00:00-04:00
123.785,123.785,123.785,123.785,100,2024-03-28 10:01:00-04:00
123.765,123.85,123.765,123.81,400,2024-03-28 10:02:00-04:00
123.79,123.79,123.78,123.78,900,2024-03-28 10:03:00-04:00
123.7,123.885,123.7,123.885,1575,2024-03-28 10:04:00-04:00
123.885,123.9353,123.885,123.9353,1100,2024-03-28 10:05:00-04:00
123.91,123.93,123.91,123.93,400,2024-03-28 10:06:00-04:00
123.94,123.94,123.935,123.935,400,2024-03-28 10:07:00-04:00
123.92,123.92,123.92,123.92,100,2024-03-28 10:08:00-04:00
123.99,124.075,123.99,124.025,2601,2024-03-28 10:09:00-04:00
124.06,124.06,124.06,124.06,100,2024-03-28 10:11:00-04:00
124.0,124.13,124.0,124.13,1100,2024-03-28 10:12:00-04:00
124.1625,124.3,124.1625,124.3,508,2024-03-28 10:13:00-04:00
124.3,124.3,124.25,124.25,2342,2024-03-28 10:14:00-04:00
124.32,124.35,124.22,124.25,2415,2024-03-28 10:15:00-04:00
124.19,124.19,124.18,124.18,200,2024-03-28 10:17:00-04:00
124.11,124.13,124.0701,124.13,777,2024-03-28 10:18:00-04:00
124.15,124.15,124.15,124.15,111,2024-03-28 10:19:00-04:00
124.14,124.14,124.14,124.14,100,2024-03-28 10:20:00-04:00
124.16,124.16,124.16,124.16,200,2024-03-28 10:21:00-04:00
124.22,124.22,124.18,124.22,1276,2024-03-28 10:22:00-04:00
124.16,124.205,124.16,124.195,1277,2024-03-28 10:23:00-04:00
124.16,124.16,124.16,124.16,100,2024-03-28 10:24:00-04:00
