open,high,low,close,volume,datetime
77.71,77.71,77.71,77.71,200,2021-11-23 08:15:00-05:00
77.73,77.73,77.73,77.73,350,2021-11-23 09:28:00-05:00
77.56,77.56,77.56,77.56,170,2021-11-23 09:29:00-05:00
77.69,77.77,77.56,77.62,39930,2021-11-23 09:30:00-05:00
77.62,77.72,77.61,77.7,9757,2021-11-23 09:31:00-05:00
77.72,77.755,77.67,77.69,9753,2021-11-23 09:32:00-05:00
77.695,77.75,77.64,77.73,7217,2021-11-23 09:33:00-05:00
77.73,77.73,77.6,77.62,4651,2021-11-23 09:34:00-05:00
77.63,77.64,77.56,77.64,4313,2021-11-23 09:35:00-05:00
77.63,77.68,77.56,77.6,12654,2021-11-23 09:36:00-05:00
77.61,77.61,77.49,77.49,5977,2021-11-23 09:37:00-05:00
77.51,77.52,77.46,77.52,5870,2021-11-23 09:38:00-05:00
77.52,77.57,77.51,77.515,8730,2021-11-23 09:39:00-05:00
77.52,77.56,77.445,77.4816,11946,2021-11-23 09:40:00-05:00
77.48,77.6,77.48,77.56,8852,2021-11-23 09:41:00-05:00
77.554,77.59,77.53,77.55,10589,2021-11-23 09:42:00-05:00
77.53,77.53,77.474,77.4822,19738,2021-11-23 09:43:00-05:00
77.5,77.5299,77.47,77.5,1692,2021-11-23 09:44:00-05:00
77.51,77.58,77.51,77.56,3853,2021-11-23 09:45:00-05:00
77.565,77.58,77.48,77.48,5447,2021-11-23 09:46:00-05:00
77.47,77.47,77.39,77.4,4423,2021-11-23 09:47:00-05:00
77.4,77.545,77.4,77.545,5899,2021-11-23 09:48:00-05:00
77.55,77.61,77.55,77.6,2934,2021-11-23 09:49:00-05:00
77.61,77.64,77.568,77.6,6209,2021-11-23 09:50:00-05:00
77.57,77.575,77.54,77.55,4562,2021-11-23 09:51:00-05:00
77.52,77.52,77.49,77.5,8635,2021-11-23 09:52:00-05:00
77.48,77.52,77.48,77.48,22453,2021-11-23 09:53:00-05:00
77.475,77.53,77.475,77.51,10044,2021-11-23 09:54:00-05:00
77.505,77.56,77.5,77.54,8392,2021-11-23 09:55:00-05:00
77.55,77.57,77.54,77.54,5826,2021-11-23 09:56:00-05:00
77.53,77.53,77.44,77.45,3566,2021-11-23 09:57:00-05:00
77.465,77.52,77.465,77.485,5700,2021-11-23 09:58:00-05:00
77.485,77.485,77.38,77.385,4293,2021-11-23 09:59:00-05:00
77.38,77.54,77.38,77.54,10840,2021-11-23 10:00:00-05:00
77.56,77.565,77.53,77.54,5700,2021-11-23 10:01:00-05:00
77.51,77.51,77.45,77.455,3450,2021-11-23 10:02:00-05:00
77.45,77.485,77.42,77.475,4111,2021-11-23 10:03:00-05:00
77.46,77.46,77.38,77.39,4451,2021-11-23 10:04:00-05:00
77.39,77.41,77.38,77.38,5215,2021-11-23 10:05:00-05:00
77.39,77.41,77.35,77.36,6340,2021-11-23 10:06:00-05:00
77.36,77.36,77.32,77.32,3420,2021-11-23 10:07:00-05:00
77.32,77.34,77.3,77.34,7469,2021-11-23 10:08:00-05:00
77.35,77.35,77.31,77.34,5619,2021-11-23 10:09:00-05:00
77.35,77.43,77.35,77.42,10883,2021-11-23 10:10:00-05:00
77.42,77.5,77.41,77.45,9842,2021-11-23 10:11:00-05:00
77.45,77.48,77.41,77.455,4997,2021-11-23 10:12:00-05:00
77.46,77.54,77.46,77.5,7305,2021-11-23 10:13:00-05:00
77.49,77.5,77.435,77.48,8850,2021-11-23 10:14:00-05:00
77.47,77.48,77.435,77.46,2747,2021-11-23 10:15:00-05:00
77.46,77.52,77.46,77.51,4532,2021-11-23 10:16:00-05:00
77.5,77.515,77.435,77.46,15220,2021-11-23 10:17:00-05:00
77.45,77.485,77.44,77.44,6356,2021-11-23 10:18:00-05:00
77.45,77.455,77.38,77.38,7093,2021-11-23 10:19:00-05:00
77.38,77.47,77.38,77.465,6521,2021-11-23 10:20:00-05:00
77.47,77.47,77.425,77.46,3196,2021-11-23 10:21:00-05:00
77.45,77.45,77.4,77.4,6633,2021-11-23 10:22:00-05:00
77.38,77.4,77.325,77.33,5062,2021-11-23 10:23:00-05:00
77.33,77.34,77.3,77.3,4046,2021-11-23 10:24:00-05:00
77.31,77.32,77.29,77.29,4115,2021-11-23 10:25:00-05:00
77.285,77.32,77.27,77.28,4613,2021-11-23 10:26:00-05:00
77.29,77.3,77.26,77.26,2775,2021-11-23 10:27:00-05:00
77.265,77.29,77.255,77.29,5912,2021-11-23 10:28:00-05:00
77.29,77.3,77.265,77.28,4558,2021-11-23 10:29:00-05:00
77.285,77.34,77.27,77.29,3512,2021-11-23 10:30:00-05:00
77.3,77.35,77.3,77.34,4360,2021-11-23 10:31:00-05:00
