open,high,low,close,volume,datetime
51.65,51.65,51.65,51.65,387,2021-11-23 07:03:00-05:00
51.55,51.55,51.55,51.55,292,2021-11-23 07:29:00-05:00
51.51,51.53,51.51,51.51,700,2021-11-23 07:42:00-05:00
51.49,51.49,51.49,51.49,108,2021-11-23 07:54:00-05:00
51.41,51.41,51.41,51.41,100,2021-11-23 07:58:00-05:00
51.48,51.48,51.48,51.48,100,2021-11-23 08:16:00-05:00
51.46,51.46,51.46,51.46,100,2021-11-23 08:17:00-05:00
51.39,51.39,51.39,51.39,300,2021-11-23 08:30:00-05:00
51.41,51.41,51.4,51.4,300,2021-11-23 08:31:00-05:00
51.4,51.4,51.27,51.27,1213,2021-11-23 08:33:00-05:00
51.27,51.27,51.27,51.27,188,2021-11-23 08:34:00-05:00
51.29,51.29,51.29,51.29,153,2021-11-23 08:47:00-05:00
51.29,51.29,51.29,51.29,200,2021-11-23 08:50:00-05:00
51.31,51.31,51.31,51.31,464,2021-11-23 08:53:00-05:00
51.31,51.31,51.31,51.31,310,2021-11-23 08:54:00-05:00
51.31,51.31,51.26,51.26,652,2021-11-23 08:56:00-05:00
51.71,51.99,51.58,51.98,277630,2021-11-23 09:30:00-05:00
51.96,52.13,51.95,52.13,35580,2021-11-23 09:31:00-05:00
52.16,52.23,52.07,52.07,32641,2021-11-23 09:32:00-05:00
52.03,52.08,51.98,52.0388,15987,2021-11-23 09:33:00-05:00
52.01,52.02,51.83,51.85,22010,2021-11-23 09:34:00-05:00
51.85,51.93,51.81,51.84,25460,2021-11-23 09:35:00-05:00
51.85,51.86,51.55,51.555,24511,2021-11-23 09:36:00-05:00
51.56,51.64,51.51,51.565,34684,2021-11-23 09:37:00-05:00
51.59,51.76,51.59,51.76,21857,2021-11-23 09:38:00-05:00
51.75,51.79,51.66,51.68,17526,2021-11-23 09:39:00-05:00
51.67,51.76,51.66,51.685,24827,2021-11-23 09:40:00-05:00
51.69,51.81,51.69,51.75,27768,2021-11-23 09:41:00-05:00
51.75,51.88,51.75,51.81,36567,2021-11-23 09:42:00-05:00
51.8,51.8,51.73,51.765,31615,2021-11-23 09:43:00-05:00
51.76,51.83,51.76,51.83,12906,2021-11-23 09:44:00-05:00
51.8194,51.91,51.81,51.89,15349,2021-11-23 09:45:00-05:00
51.9,51.91,51.82,51.83,12636,2021-11-23 09:46:00-05:00
51.83,51.9272,51.82,51.91,23264,2021-11-23 09:47:00-05:00
51.9,51.91,51.78,51.89,20508,2021-11-23 09:48:00-05:00
51.9,51.95,51.89,51.9,11419,2021-11-23 09:49:00-05:00
51.9,51.97,51.9,51.91,22352,2021-11-23 09:50:00-05:00
51.91,51.925,51.87,51.88,16397,2021-11-23 09:51:00-05:00
51.87,51.89,51.79,51.8,20036,2021-11-23 09:52:00-05:00
51.795,51.84,51.79,51.81,12269,2021-11-23 09:53:00-05:00
51.806,51.84,51.78,51.83,36231,2021-11-23 09:54:00-05:00
51.825,51.83,51.785,51.815,11877,2021-11-23 09:55:00-05:00
51.82,51.865,51.81,51.86,12682,2021-11-23 09:56:00-05:00
51.8601,51.91,51.8601,51.89,26336,2021-11-23 09:57:00-05:00
51.89,51.93,51.88,51.925,19613,2021-11-23 09:58:00-05:00
51.915,51.95,51.885,51.885,23240,2021-11-23 09:59:00-05:00
51.89,51.96,51.89,51.96,21198,2021-11-23 10:00:00-05:00
51.96,52.025,51.95,52.015,22809,2021-11-23 10:01:00-05:00
52.015,52.015,51.905,51.94,22224,2021-11-23 10:02:00-05:00
51.95,52.03,51.95,52.01,39665,2021-11-23 10:03:00-05:00
52.0,52.05,51.99,51.995,22918,2021-11-23 10:04:00-05:00
51.99,52.0,51.92,51.96,21069,2021-11-23 10:05:00-05:00
51.96,52.03,51.96,52.0,30305,2021-11-23 10:06:00-05:00
52.01,52.01,51.985,51.995,21885,2021-11-23 10:07:00-05:00
52.0,52.01,51.98,51.985,55625,2021-11-23 10:08:00-05:00
51.99,52.01,51.94,51.99,59887,2021-11-23 10:09:00-05:00
52.0,52.0782,52.0,52.055,22523,2021-11-23 10:10:00-05:00
52.05,52.06,52.02,52.06,11863,2021-11-23 10:11:00-05:00
52.07,52.11,52.045,52.1,11589,2021-11-23 10:12:00-05:00
52.1,52.13,52.06,52.1204,42433,2021-11-23 10:13:00-05:00
52.12,52.125,52.07,52.1,31503,2021-11-23 10:14:00-05:00
52.11,52.22,52.11,52.215,42014,2021-11-23 10:15:00-05:00
