open,high,low,close,volume,datetime
61.64,61.64,61.64,61.64,893,2021-11-23 09:22:00-05:00
61.77,61.77,61.77,61.77,10081,2021-11-23 09:30:00-05:00
61.68,61.68,61.68,61.68,100,2021-11-23 09:31:00-05:00
61.69,61.69,61.69,61.69,100,2021-11-23 09:32:00-05:00
61.6,61.605,61.51,61.555,2979,2021-11-23 09:34:00-05:00
61.56,61.56,61.54,61.54,200,2021-11-23 09:35:00-05:00
61.54,61.54,61.35,61.35,1085,2021-11-23 09:36:00-05:00
61.37,61.39,61.36,61.39,676,2021-11-23 09:37:00-05:00
61.34,61.355,61.31,61.34,800,2021-11-23 09:38:00-05:00
61.37,61.37,61.27,61.27,1662,2021-11-23 09:39:00-05:00
61.3,61.3,61.22,61.25,994,2021-11-23 09:40:00-05:00
61.29,61.29,61.26,61.26,200,2021-11-23 09:41:00-05:00
61.27,61.29,61.22,61.29,827,2021-11-23 09:42:00-05:00
61.24,61.26,61.23,61.23,918,2021-11-23 09:43:00-05:00
61.22,61.23,61.21,61.23,855,2021-11-23 09:44:00-05:00
61.24,61.26,61.24,61.26,985,2021-11-23 09:45:00-05:00
61.22,61.22,61.21,61.21,300,2021-11-23 09:46:00-05:00
61.21,61.21,61.175,61.21,1102,2021-11-23 09:47:00-05:00
61.17,61.17,61.17,61.17,100,2021-11-23 09:48:00-05:00
61.21,61.23,61.21,61.22,675,2021-11-23 09:49:00-05:00
61.27,61.29,61.27,61.28,705,2021-11-23 09:50:00-05:00
61.22,61.22,61.22,61.22,100,2021-11-23 09:51:00-05:00
61.18,61.18,61.13,61.17,822,2021-11-23 09:52:00-05:00
61.15,61.155,61.1,61.1,1822,2021-11-23 09:53:00-05:00
61.1018,61.14,61.1018,61.14,569,2021-11-23 09:54:00-05:00
61.1,61.12,61.1,61.12,346,2021-11-23 09:55:00-05:00
61.19,61.19,61.18,61.18,200,2021-11-23 09:56:00-05:00
61.18,61.2,61.17,61.2,600,2021-11-23 09:57:00-05:00
61.21,61.21,61.21,61.21,100,2021-11-23 09:58:00-05:00
