open,high,low,close,volume,datetime
154.15,154.5,154.15,154.5,300,2021-11-23 09:28:00-05:00
154.5,154.5,154.5,154.5,100,2021-11-23 09:29:00-05:00
154.0,154.58,153.85,154.48,23555,2021-11-23 09:30:00-05:00
154.58,155.27,154.5,155.27,10059,2021-11-23 09:31:00-05:00
155.27,155.27,154.38,154.38,3908,2021-11-23 09:32:00-05:00
154.34,154.43,154.1,154.18,5646,2021-11-23 09:33:00-05:00
154.28,154.49,154.27,154.49,3815,2021-11-23 09:34:00-05:00
154.55,154.75,154.34,154.4,5774,2021-11-23 09:35:00-05:00
154.44,154.55,153.72,153.82,7501,2021-11-23 09:36:00-05:00
153.56,153.8099,153.21,153.3,3681,2021-11-23 09:37:00-05:00
153.37,153.6,153.37,153.43,6031,2021-11-23 09:38:00-05:00
153.43,153.67,153.325,153.67,2748,2021-11-23 09:39:00-05:00
153.76,154.15,153.74,154.15,5298,2021-11-23 09:40:00-05:00
154.26,154.41,154.13,154.13,6668,2021-11-23 09:41:00-05:00
154.2,154.27,154.06,154.06,2685,2021-11-23 09:42:00-05:00
154.06,154.25,153.98,154.15,4804,2021-11-23 09:43:00-05:00
154.21,154.53,154.16,154.495,4444,2021-11-23 09:44:00-05:00
154.51,154.72,154.435,154.56,4615,2021-11-23 09:45:00-05:00
154.56,154.87,154.49,154.79,4766,2021-11-23 09:46:00-05:00
154.9,154.91,154.43,154.69,13270,2021-11-23 09:47:00-05:00
154.69,154.74,154.46,154.73,2667,2021-11-23 09:48:00-05:00
154.64,154.64,154.26,154.28,3800,2021-11-23 09:49:00-05:00
154.28,154.42,154.26,154.36,3536,2021-11-23 09:50:00-05:00
154.35,154.35,154.06,154.11,3715,2021-11-23 09:51:00-05:00
154.17,154.45,154.15,154.27,5840,2021-11-23 09:52:00-05:00
154.31,154.49,154.21,154.21,5272,2021-11-23 09:53:00-05:00
154.29,154.77,154.275,154.77,5353,2021-11-23 09:54:00-05:00
154.73,154.92,154.46,154.46,6850,2021-11-23 09:55:00-05:00
154.56,154.79,154.53,154.72,5080,2021-11-23 09:56:00-05:00
154.69,154.78,154.57,154.71,5964,2021-11-23 09:57:00-05:00
154.7,154.7,154.51,154.6,4647,2021-11-23 09:58:00-05:00
154.6,154.6,154.3275,154.425,5994,2021-11-23 09:59:00-05:00
154.45,154.46,154.1401,154.196,4773,2021-11-23 10:00:00-05:00
154.17,154.29,154.065,154.26,3031,2021-11-23 10:01:00-05:00
154.25,154.25,153.99,154.09,3521,2021-11-23 10:02:00-05:00
154.17,154.45,154.16,154.45,5504,2021-11-23 10:03:00-05:00
154.52,154.815,154.49,154.67,6280,2021-11-23 10:04:00-05:00
154.68,154.76,154.59,154.69,5071,2021-11-23 10:05:00-05:00
154.67,154.75,154.6,154.6,2500,2021-11-23 10:06:00-05:00
154.66,154.74,154.61,154.62,3645,2021-11-23 10:07:00-05:00
154.63,154.75,154.6066,154.69,5225,2021-11-23 10:08:00-05:00
154.76,155.03,154.64,154.98,5383,2021-11-23 10:09:00-05:00
155.0,155.15,154.96,155.09,6063,2021-11-23 10:10:00-05:00
155.12,155.19,154.8,154.8,5200,2021-11-23 10:11:00-05:00
154.825,155.1,154.825,155.03,6842,2021-11-23 10:12:00-05:00
155.11,155.13,154.95,154.95,4500,2021-11-23 10:13:00-05:00
154.9,155.2,154.755,155.185,5881,2021-11-23 10:14:00-05:00
155.15,155.26,155.06,155.15,9602,2021-11-23 10:15:00-05:00
155.21,155.21,154.9,154.9,5262,2021-11-23 10:16:00-05:00
154.97,155.2,154.935,155.08,4093,2021-11-23 10:17:00-05:00
155.09,155.395,155.06,155.38,5764,2021-11-23 10:18:00-05:00
155.3565,155.3999,155.27,155.3,3078,2021-11-23 10:19:00-05:00
155.37,155.37,155.115,155.115,5650,2021-11-23 10:20:00-05:00
155.1,155.25,155.01,155.185,4956,2021-11-23 10:21:00-05:00
155.21,155.23,155.07,155.08,6170,2021-11-23 10:22:00-05:00
155.13,155.15,154.93,154.93,4885,2021-11-23 10:23:00-05:00
154.85,154.94,154.81,154.87,2400,2021-11-23 10:24:00-05:00
154.81,154.89,154.8,154.83,3740,2021-11-23 10:25:00-05:00
154.81,154.83,154.5701,154.62,4092,2021-11-23 10:26:00-05:00
154.62,154.86,154.5691,154.86,4050,2021-11-23 10:27:00-05:00
154.86,154.87,154.64,154.69,3959,2021-11-23 10:28:00-05:00
154.69,154.84,154.61,154.71,7673,2021-11-23 10:29:00-05:00
154.71,154.71,154.5,154.545,6470,2021-11-23 10:30:00-05:00
154.585,154.9,154.585,154.9,4170,2021-11-23 10:31:00-05:00
